step,deepseek1.5b_sync_8gpu_advvar_ent_lr1e-5-actor/pg_loss_step,deepseek1.5b_sync_8gpu_ent0.1_lr1e-5-actor/pg_loss_step,deepseek1.5b_sync_8gpu_ent0.001_lr1e-5-actor/pg_loss_step,deepseek1.5b_sync_8gpu_cosine_floor_lr1e-5-actor/pg_loss_step,deepseek1.5b_sync_8gpu_cosine_ent0.01_lr1e-5-actor/pg_loss_step
1,0.009418203677221598,-0.27420705401164014,0.030225671006178345,-0.04901192657689535,-0.03288386778331187
2,0.060828269998563,-0.2659318591540796,-0.09719346057579514,-0.022582506848266348,-0.06591680221390561
3,0.02192220496984408,-0.2827967070188606,-0.05534167538030488,-0.014929349199519493,0.00355181015584094
4,-0.01575700183916768,-0.2829842520368402,-0.09393445928844812,0.0035171135732525727,-0.02939448569486558
5,-0.07732688043357198,-0.5165147403022274,-0.11579218601241335,-0.10341944821266225,-0.07076011699609808
6,-0.05903786160909405,-0.6761468570912257,-0.06919166680540911,-0.042207391421470675,-0.025343007717310684
7,-0.14356062930260338,-1.043310606124578,-0.059398170307076725,-0.08920144445210099,-0.052697930430440465
8,-0.0185026501530956,-3.567393916193396,-0.02037722673310327,-0.07476787084806347,-0.08474771659530234
9,-0.025803863600231125,-3.9624306494370103,0.04840629824821008,-0.051988848071232496,-0.07621208535965707
10,-0.03554793818325663,-4.229986071586609,-0.003999086262183482,-0.002238412594124384,-0.07659002513719315
11,0.02682024857035157,-4.379270645556971,0.03206459537977935,0.03072837580839405,-0.08030025598054635
12,0.019045121111612877,-4.4265947276726365,0.06366572338049536,-0.008145966219672118,-0.017948731965589104
13,0.04637420196354469,-4.468601128319278,0.01965366482727404,0.03625003938213922,-0.01579653559747385
14,0.04588747307934682,-4.50062106619589,0.02820492926480256,0.012093291314613452,-0.07824210327817127
15,0.10300704263431726,-4.5023192055523396,0.08614620778325843,0.09280631621851398,-0.04219711090627243
16,0.06247989306984891,-4.569620604859665,0.05623157893978714,0.06807605872927525,0.010615600145683857
17,0.08118210259613079,-4.5284582250751555,-0.0016440828815120767,0.04629274914714187,-0.057052355201449245
18,0.045654162956225264,-4.478362705092877,0.05355212680274235,0.0002038635157077806,-0.03610791364917531
19,0.09369727997875545,-4.483788284473121,0.07502278101060256,0.0591838552209083,-0.05330601714376826
20,0.04352666055018517,-4.557860679924488,0.036891366682311855,0.04930356967088301,-0.14307151225511916
21,0.03883754407252127,-4.507432323182002,0.05586180866214363,0.0957092906046455,-0.14456317063013557
22,0.03916449028257318,-4.513243844266981,0.03631594458647669,0.04318429181626016,-0.15509088060935028
23,0.07389589877129765,-4.5515681088436395,0.04881823603011526,0.07291378414947758,-0.30852485678042285
