step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-critic/advantages/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1e-5-critic/advantages/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr7.5e-6-critic/advantages/mean_step
101,-0.04282284528017044,-0.06267280876636505,-0.07109784334897995
102,-0.045957814902067184,-0.0680060163140297,-0.062122736126184464
103,-0.0435219369828701,-0.053750183433294296,-0.0846429392695427
104,-0.04936518520116806,-0.04129313305020332,-0.056915078312158585
105,-0.041928987950086594,-0.07220683246850967,-0.06519049406051636
106,-0.05824645608663559,-0.0765756368637085,-0.05330302566289902
107,-0.03134588524699211,-0.04128120467066765,-0.04602118581533432
108,-0.053897444158792496,-0.05306219309568405,-0.06552630662918091
109,-0.05673600733280182,-0.07764939963817596,-0.0572560653090477
110,-0.04739377647638321,-0.09271518141031264,-0.065350741147995
111,-0.053283773362636566,-0.09124193340539932,-0.0734473317861557
112,-0.030920814722776413,-0.0441194511950016,-0.06019049882888794
113,-0.04986969754099846,-0.07145939022302628,-0.097444549202919
114,-0.039694420993328094,-0.06819925457239151,-0.043181467801332474
115,-0.06089001893997192,-0.06671856343746185,-0.04825818911194801
116,-0.03411484509706497,-0.06386899203062057,-0.053354572504758835
117,-0.0607261098921299,-0.0709812343120575,-0.06865713000297546
118,-0.041173264384269714,-0.08386552333831787,-0.058189187198877335
119,-0.04210951924324035,-0.08468590676784515,-0.07088711857795715
120,-0.041506461799144745,-0.08366499096155167,-0.09230291843414308
121,-0.049655213952064514,-0.0810881108045578,-0.0626038983464241
122,-0.04309763014316559,-0.07518740743398666,-0.046413812786340714
123,-0.04447201266884804,-0.050012245774269104,-0.07421856373548508
124,-0.03137194365262985,-0.04528999328613281,-0.06172487139701843
125,-0.025953911244869232,-0.04893224686384201,-0.07049090415239334
126,-0.04777700826525688,-0.06449374556541443,-0.07044481486082077
127,-0.051598433405160904,-0.06310909986495972,-0.04905564337968826
128,-0.03885486349463463,-0.06701552122831345,-0.06505215913057327
129,-0.05199469625949859,-0.04963969811797142,-0.07979323714971542
130,-0.05095731094479561,-0.06590380519628525,-0.07247383892536163
131,-0.040678322315216064,-0.0736481174826622,-0.07436925172805786
132,-0.03659346327185631,-0.07041051238775253,-0.06904267519712448
133,-0.05644913390278816,-0.05318609997630119,-0.04506736621260643
134,-0.04540185257792473,-0.05251158028841019,-0.09065748751163484
135,-0.04969191923737526,-0.053919997066259384,-0.061551276594400406
136,-0.04007161781191826,-0.05588676780462265,-0.03836577385663986
137,-0.04492995515465736,-0.05020248889923096,-0.05955412238836289
138,-0.032672811299562454,-0.05151459574699402,-0.06234140694141388
139,-0.035890694707632065,-0.053330548107624054,-0.06042582169175148
140,-0.032712966203689575,-0.05636879429221153,-0.06896163523197174
141,-0.030575096607208252,-0.05696529895067215,-0.06125456094741821
142,-0.025381479412317276,-0.06157612055540085,-0.05795677751302719
143,-0.022165633738040924,-0.05913975462317467,-0.0494883693754673
144,-0.031260110437870026,-0.054017964750528336,-0.049248430877923965
145,-0.029392005875706673,-0.06196793168783188,-0.05105530098080635
146,-0.04703185334801674,-0.047253768891096115,-0.04986787587404251
147,-0.03378598019480705,-0.08167757093906403,-0.0481264591217041
148,-0.035155367106199265,-0.06317758560180664,-0.04562171548604965
149,-0.03715021163225174,-0.06064369902014733,-0.06117082759737968
150,-0.03670166805386543,-0.06630218029022217,-0.044855110347270966
151,-0.04485718160867691,-0.06440625339746475,-0.03527944162487984
152,-0.029599113389849663,-0.042345549911260605,-0.04528272897005081
153,-0.052885886281728745,-0.06254466623067856,-0.07507838308811188
154,-0.03433248773217201,-0.06405506283044815,-0.03726421296596527
155,-0.048614244908094406,-0.044028423726558685,-0.06873860955238342
156,-0.04976531118154526,-0.046350762248039246,-0.07062758505344391
157,-0.04596477001905441,-0.04801087453961373,-0.07638511061668396
158,-0.05211218073964119,-0.06110437214374542,-0.06383541971445084
159,-0.03450663015246391,-0.06305006146430969,-0.04050266742706299
160,-0.029082052409648895,-0.06120936572551727,-0.043059077113866806
161,-0.04388568177819252,-0.05384068936109543,-0.05106644704937935
162,-0.06442399322986603,-0.0458570159971714,-0.06095270067453384
163,-0.05004741996526718,-0.0574052520096302,-0.06485774368047714
164,-0.05333286896348,-0.055554408580064774,-0.05433564633131027
165,-0.0359954833984375,-0.059606872498989105,-0.052826546132564545
166,-0.04622162878513336,-0.04359406605362892,-0.0611388199031353
167,-0.03578776866197586,-0.04737201705574989,-0.04561694338917732
168,-0.048088811337947845,-0.04033941030502319,-0.056094877421855927
169,-0.06552629172801971,-0.05727203190326691,-0.065604567527771
170,-0.031996436417102814,-0.04279014095664024,-0.05116216465830803
171,-0.035981807857751846,-0.06291348487138748,-0.07067962735891342
172,-0.03737954795360565,-0.045678310096263885,-0.03904551640152931
173,-0.05280429869890213,-0.0429970920085907,-0.061226315796375275
174,-0.06980472803115845,-0.06237052381038666,-0.07541953772306442
175,-0.05869457125663757,-0.06862334907054901,-0.05473370850086212
176,-0.05072901397943497,-0.0421312190592289,-0.04428330436348915
177,-0.04611384496092796,-0.03983866423368454,-0.060449499636888504
178,-0.05514198914170265,-0.0503695085644722,-0.05690671876072883
179,-0.08177021890878677,-0.07423582673072815,-0.0544273778796196
180,-0.07153735309839249,-0.06050143763422966,-0.050820205360651016
181,-0.05489042773842811,-0.05279456451535225,-0.07371531426906586
182,-0.056833185255527496,-0.05966939404606819,-0.04785127937793732
183,-0.0480802021920681,-0.03728553652763367,-0.06178991869091987
184,-0.05371659621596336,-0.04559360072016716,-0.05707423388957977
185,-0.034357164055109024,-0.03738323971629143,-0.044229909777641296
186,-0.06349188834428787,-0.06660196930170059,-0.06410390883684158
187,-0.04631292074918747,-0.0329817496240139,-0.05430490523576737
188,-0.05999775230884552,-0.052138540893793106,-0.06189842149615288
189,-0.049066830426454544,-0.05801589414477348,-0.04808371514081955
190,-0.05352829769253731,-0.052742403000593185,-0.054274868220090866
191,-0.06052570417523384,-0.05210845172405243,-0.03932686150074005
192,-0.06174502894282341,-0.053883619606494904,-0.0504828505218029
193,-0.040620092302560806,-0.05604075640439987,-0.055732112377882
194,-0.04394826292991638,-0.038852207362651825,-0.06572630256414413
195,-0.0556790865957737,-0.03846750408411026,-0.050668586045503616
196,-0.049471404403448105,-0.04450151324272156,-0.03831812366843224
197,-0.042938634753227234,-0.027014756575226784,-0.06281787902116776
198,-0.058134645223617554,-0.04227263107895851,-0.05393676832318306
199,-0.0654316321015358,-0.05107484757900238,-0.08007201552391052
200,-0.054378435015678406,-0.055893369019031525,-0.05335960164666176
201,-0.04688217490911484,-0.03389454260468483,-0.06754614412784576
202,-0.03370875492691994,-0.052467647939920425,-0.05580892786383629
203,-0.03468973934650421,-0.04607708007097244,-0.052965324372053146
204,-0.054663896560668945,-0.05863332748413086,-0.041061729192733765
205,-0.047196514904499054,-0.04226694256067276,-0.04481077566742897
206,-0.04898633807897568,-0.04622945189476013,-0.049630384892225266
207,-0.04111311584711075,-0.03955903649330139,-0.06298263370990753
208,-0.05635939538478851,-0.042738884687423706,-0.06548410654067993
209,-0.030845381319522858,-0.04736774042248726,-0.046668581664562225
210,-0.03976394608616829,-0.04924413561820984,-0.07057972252368927
211,-0.040018822997808456,-0.03770333155989647,-0.052908413112163544
212,-0.04740940406918526,-0.05039384961128235,-0.04932226613163948
213,-0.05486638471484184,-0.05675859376788139,-0.04685018211603165
214,-0.03999201580882072,-0.03067672811448574,-0.0385822169482708
215,-0.0461169071495533,-0.03517449274659157,-0.04790998995304108
216,-0.04464869201183319,-0.05437825247645378,-0.058745257556438446
217,-0.049484457820653915,-0.03724190592765808,-0.06083127483725548
218,-0.05415179580450058,-0.026793858036398888,-0.062067896127700806
219,-0.039884116500616074,-0.05348606035113335,-0.06491973251104355
220,-0.05049296095967293,-0.04702283442020416,-0.04887601360678673
221,-0.04711143299937248,-0.03260062262415886,-0.05605426803231239
222,-0.05981529876589775,-0.03968176245689392,-0.04042431339621544
223,-0.06442473083734512,-0.03480204939842224,-0.05450526252388954
224,-0.045637406408786774,-0.049098726361989975,-0.06617274880409241
225,-0.03164893388748169,-0.023303262889385223,-0.05239539593458176
226,-0.033203285187482834,-0.030927520245313644,-0.045831870287656784
227,-0.02933768928050995,-0.03251472860574722,-0.029960358515381813
228,-0.05237562581896782,-0.03705763816833496,-0.04909561946988106
229,-0.05036904662847519,-0.03537604585289955,-0.05010781064629555
230,-0.05614278465509415,-0.05166194587945938,-0.0627744123339653
231,-0.05608463287353515,-0.043516676872968674,-0.04421435296535492
232,-0.04421918839216232,-0.02658429741859436,-0.035723358392715454
233,-0.05603425204753876,-0.035493697971105576,-0.04769302159547806
234,-0.049623604863882065,-0.05381041020154953,-0.05576732754707336
235,-0.059661827981472015,-0.04311465844511986,-0.04992217943072319
236,-0.04235568270087242,-0.0403420515358448,-0.04113160818815231
237,-0.06671258807182312,-0.04455988481640816,-0.06102372705936432
238,-0.042945705354213715,-0.039621662348508835,-0.04161618649959564
239,-0.04353459179401398,-0.05160919949412346,-0.0370359905064106
240,-0.05906208977103233,-0.052160121500492096,-0.055855803191661835
241,-0.048550207167863846,-0.04545186460018158,-0.04328836500644684
242,-0.053921908140182495,-0.042917754501104355,-0.037852693349123
243,-0.04806126654148102,-0.025997303426265717,-0.05074446648359299
244,-0.03969867900013923,-0.03804598376154899,-0.03746688738465309
245,-0.04255064204335213,-0.0412144772708416,-0.0372791662812233
246,-0.04344715550541878,-0.03724366053938866,-0.031466707587242126
247,-0.04117664322257042,-0.03635672479867935,-0.03428581357002258
248,-0.024519311264157295,-0.05307786166667938,-0.03390616178512573
249,-0.04234202578663826,-0.025745823979377747,-0.03240528330206871
250,-0.03079656139016151,-0.027706196531653404,-0.032565291970968246
251,-0.0475548692047596,-0.04472097381949425,-0.03596146032214165
252,-0.03534790873527527,-0.05592641234397888,-0.042764242738485336
253,-0.04375755041837692,-0.05529087409377098,-0.036613866686820984
254,-0.02423601783812046,-0.04153524339199066,-0.04387826845049858
255,-0.04020845144987106,-0.03924044221639633,-0.0379335843026638
256,-0.03454063460230827,-0.045332133769989014,-0.017081424593925476
257,-0.03551695868372917,-0.06862514466047287,-0.03465113788843155
258,-0.03374441713094711,-0.06143584847450256,-0.05273229628801346
259,-0.026741379871964455,-0.05518222972750664,-0.05255546048283577
260,-0.023588690906763077,-0.05259952321648598,-0.0394953079521656
261,-0.03005026839673519,-0.043113019317388535,-0.035716839134693146
262,-0.054743848741054535,-0.06579602509737015,-0.04437338933348656
263,-0.05173112452030182,-0.052567243576049805,-0.04377475008368492
264,-0.04238834232091904,-0.06825527548789978,-0.0458420068025589
265,-0.031184187158942223,-0.05817652866244316,-0.041303958743810654
266,-0.05132871866226196,-0.0497620590031147,-0.04228680208325386
267,-0.03629922494292259,-0.036286063492298126,-0.017552679404616356
268,-0.02732853032648563,-0.02973136492073536,-0.04151775687932968
269,-0.0376940481364727,-0.04703782498836517,-0.0361277312040329
270,-0.06022381410002709,-0.03723061829805374,-0.041506435722112656
271,-0.03585037589073181,-0.03771853819489479,-0.03390531614422798
272,-0.02962573617696762,-0.0390070304274559,-0.01615999825298786
273,-0.04026307165622711,-0.03287363424897194,-0.032559558749198914
274,-0.03548485040664673,-0.051198560744524,-0.02174130082130432
275,-0.05341077595949173,-0.060565557330846786,-0.061564065515995026
276,-0.043089721351861954,-0.0638328567147255,-0.0528234988451004
277,-0.03431158885359764,-0.046457864344120026,-0.026654930785298347
278,-0.03275337070226669,-0.057542335242033005,-0.02426854707300663
279,-0.0682547315955162,-0.04794174060225487,-0.0474579818546772
280,-0.03783636912703514,-0.04815410450100899,-0.03324529528617859
281,-0.039390042424201965,-0.04529144614934921,-0.03252897784113884
282,-0.037815771996974945,-0.046288806945085526,-0.04725603759288788
283,-0.037491265684366226,-0.06217307597398758,-0.03784800320863724
284,-0.050383757799863815,-0.04508529603481293,-0.0425155833363533
285,-0.0417957566678524,-0.0513107031583786,-0.040060728788375854
286,-0.03950255364179611,-0.040033504366874695,-0.04361285641789436
287,-0.0387147068977356,-0.05090182274580002,-0.05034093558788299
288,-0.04546700045466423,-0.043503645807504654,-0.05216551572084427
289,-0.03778496757149696,-0.04296436160802841,-0.02998998947441578
290,-0.02771737053990364,-0.04813949018716812,-0.028161777183413506
291,-0.03820803761482239,-0.05106076970696449,-0.03256765007972717
292,-0.04222210496664047,-0.05664156377315521,-0.050829771906137466
293,-0.018490612506866455,-0.04330622777342796,-0.03562241792678833
294,-0.032727111130952835,-0.046115439385175705,-0.036609552800655365
295,-0.04117153212428093,-0.05389537289738655,-0.0617101788520813
296,-0.04243111237883568,-0.0620393380522728,-0.05922617390751839
297,-0.027237949892878532,-0.03498675301671028,-0.036788955330848694
298,-0.03618045896291733,-0.03024693764746189,-0.04790567979216576
299,-0.03242528811097145,-0.03946548327803612,-0.053485944867134094
300,-0.04965800791978836,-0.05339454486966133,-0.04371645301580429
