step,deepseek1.5b_sync_8gpu_entadapt_initial_lr1e-5-critic/returns/mean_step,deepseek1.5b_sync_8gpu_entadapt_lr1e-5-critic/returns/mean_step
103,-0.06887508183717728,-0.05321251600980759
104,-0.03637569397687912,-0.058668024837970734
105,-0.07026670128107071,-0.06387162208557129
106,-0.052978772670030594,-0.06084971874952316
107,-0.05041644722223282,-0.04512513428926468
108,-0.07353422045707703,-0.05825400352478027
109,-0.07525967061519623,-0.06004796177148819
110,-0.06340865790843964,-0.061183806508779526
111,-0.05671856552362442,-0.04542267695069313
112,-0.06938973814249039,-0.0667349174618721
113,-0.06016187369823456,-0.05764121934771538
114,-0.07478343695402145,-0.06604205816984177
115,-0.08123831450939178,-0.072883240878582
116,-0.05724808946251869,-0.049591224640607834
117,-0.06486880779266357,-0.05274626612663269
118,-0.05303201079368591,-0.024839218705892563
119,-0.07082783430814743,-0.03824227303266525
120,-0.06590732932090759,-0.059066690504550934
121,-0.05486266314983368,-0.04196801781654358
122,-0.0587654709815979,-0.05538485944271088
123,-0.05788484588265419,-0.06747543811798096
124,-0.05292438343167305,-0.04680804908275604
125,-0.048277147114276886,-0.03492506593465805
126,-0.052322279661893845,-0.033300384879112244
127,-0.07472501695156097,-0.03951054438948631
128,-0.06866458058357239,-0.05162833631038666
129,-0.060174696147441864,-0.045286066830158234
130,-0.07300247251987457,-0.03808679059147835
131,-0.045049965381622314,-0.049566224217414856
132,-0.05890475958585739,-0.05152615904808045
133,-0.07417735457420349,-0.05051553621888161
134,-0.06821244210004807,-0.05515945330262184
135,-0.05633366107940674,-0.044698264449834824
136,-0.057234425097703934,-0.04738322272896767
137,-0.04454945772886276,-0.0488041527569294
138,-0.04166914150118828,-0.06213346868753433
139,-0.046057600528001785,-0.04132164642214775
140,-0.06435234099626541,-0.03727206587791443
141,-0.05258829519152641,-0.04818158969283104
142,-0.06303013861179352,-0.03405251353979111
143,-0.04700732231140137,-0.0365060530602932
144,-0.053521063178777695,-0.051129378378391266
145,-0.05781972780823707,-0.05564036965370178
146,-0.05339574441313744,-0.05907607823610306
147,-0.059460077434778214,-0.05313895642757416
148,-0.058637455105781555,-0.04018916189670563
149,-0.059297773987054825,-0.04177193716168403
150,-0.04122835770249367,-0.04029113054275513
151,-0.04166937619447708,-0.05837054550647736
152,-0.034153472632169724,-0.048430006951093674
153,-0.04988155514001846,-0.04557163640856743
154,-0.040234312415122986,-0.06505881994962692
155,-0.05506101623177528,-0.05278932675719261
156,-0.06466419249773026,-0.027543028816580772
157,-0.05391344800591469,-0.045546527951955795
158,-0.050872012972831726,-0.03459366038441658
159,-0.04165153205394745,-0.047868166118860245
160,-0.05780861899256706,-0.06260561943054199
161,-0.06134477257728577,-0.08692021667957306
162,-0.07439055293798447,-0.07026910781860352
163,-0.0434233695268631,-0.06188471615314483
164,-0.04334134608507157,-0.03063990548253059
165,-0.0366322323679924,-0.064287468791008
166,-0.06119273975491524,-0.04294340685009957
167,-0.04698481783270836,-0.05410631746053696
168,-0.04179218038916588,-0.06397444009780884
169,-0.05318596214056015,-0.05060817673802376
170,-0.046044643968343735,-0.05824495479464531
171,-0.05207129567861557,-0.04788203537464142
172,-0.04526052996516228,-0.05982433259487152
173,-0.047497205436229706,-0.06395838409662247
174,-0.07394266128540039,-0.05381928011775017
175,-0.038673195987939835,-0.06457655131816864
176,-0.05646008625626564,-0.0600021667778492
177,-0.04249761253595352,-0.05157399922609329
178,-0.04156557470560074,-0.0359305813908577
179,-0.048942361027002335,-0.03902548924088478
180,-0.05405063182115555,-0.0635097548365593
181,-0.04285191372036934,-0.050598882138729095
182,-0.0708676427602768,-0.0678253248333931
183,-0.03615395352244377,-0.054177939891815186
184,-0.04974978789687157,-0.06422398239374161
185,-0.03609820827841759,-0.04478953406214714
186,-0.06885582208633423,-0.07126911729574203
187,-0.03325437381863594,-0.045103948563337326
188,-0.04880434647202492,-0.04961720481514931
189,-0.07086806744337082,-0.059151843190193176
190,-0.06808092445135117,-0.05835496634244919
191,-0.05915314331650734,-0.06794712692499161
192,-0.04585885629057884,-0.0653776228427887
193,-0.06434275209903717,-0.0551319383084774
194,-0.06798817962408066,-0.04255913943052292
195,-0.0476873517036438,-0.03836923837661743
196,-0.04139897599816322,-0.03423650562763214
197,-0.06309986114501953,-0.050755344331264496
198,-0.06300630420446396,-0.044336531311273575
199,-0.07090571522712708,-0.06169683113694191
200,-0.05716974660754204,-0.04922604188323021
201,-0.0707491785287857,-0.058865051716566086
202,-0.044228386133909225,-0.044983796775341034
203,-0.04368862509727478,-0.05655065178871155
204,-0.050373997539281845,-0.06111639738082886
205,-0.05140522122383118,-0.05255618318915367
206,-0.05241779983043671,-0.04606166109442711
207,-0.06982603669166565,-0.03768366202712059
208,-0.07191916555166245,-0.045950766652822495
209,-0.06203967705368996,-0.040658142417669296
210,-0.06935422867536545,-0.06010696664452553
211,-0.05050237849354744,-0.048573222011327744
212,-0.058138053864240646,-0.04905213415622711
213,-0.06496227532625198,-0.06187557801604271
214,-0.065791055560112,-0.04380224272608757
215,-0.050930995494127274,-0.03127780929207802
216,-0.03284425288438797,-0.05832358822226525
217,-0.05712248012423515,-0.0648830384016037
218,-0.04833551123738289,-0.03604298457503319
219,-0.06398291885852814,-0.05995526164770126
220,-0.06049690768122673,-0.05406690016388893
221,-0.07076502591371536,-0.06735210120677948
222,-0.04492338001728058,-0.03769993036985397
223,-0.05256921052932739,-0.0526871494948864
224,-0.0667118951678276,-0.07022947072982788
225,-0.04664600268006325,-0.030235977843403816
226,-0.04521007090806961,-0.050478775054216385
227,-0.03115166164934635,-0.05813902989029884
228,-0.04998521879315376,-0.06102461367845535
229,-0.030428556725382805,-0.04760868474841118
230,-0.06722158938646317,-0.05171721428632736
231,-0.027970081195235252,-0.054537318646907806
232,-0.05615410581231117,-0.061598923057317734
233,-0.05333236977458,-0.05584772676229477
234,-0.049150288105010986,-0.04839098080992699
235,-0.04180153086781502,-0.04895978420972824
236,-0.05267508327960968,-0.05730864405632019
237,-0.05139615759253502,-0.04578311741352081
238,-0.05355151742696762,-0.04805437847971916
239,-0.06338313221931458,-0.04670283570885658
240,-0.05913149192929268,-0.06625325977802277
241,-0.06364430487155914,-0.04898152872920036
242,-0.05612243711948395,-0.06016536056995392
243,-0.05755635350942612,-0.04657221585512161
244,-0.07062535732984543,-0.05802934616804123
245,-0.04971196502447128,-0.04438303783535957
246,-0.055243756622076035,-0.06815445423126221
247,-0.0623832643032074,-0.049296602606773376
248,-0.05757172778248787,-0.04449278116226196
249,-0.048899244517087936,-0.06048233434557915
250,-0.04774811491370201,-0.05419987812638283
251,-0.052693940699100494,-0.04927482828497887
252,-0.04474369436502457,-0.055950284004211426
253,-0.04776155203580856,-0.04968046024441719
254,-0.0746292695403099,-0.05615430325269699
255,-0.05715320259332657,-0.06362668424844742
256,-0.03729962557554245,-0.05272678658366203
257,-0.04662882909178734,-0.04846763238310814
258,-0.04727617651224136,-0.05017906799912453
259,-0.04696858301758766,-0.05598153918981552
260,-0.06155041977763176,-0.04487045109272003
261,-0.039651233702898026,-0.047882165759801865
262,-0.05885687470436096,-0.06165783107280731
263,-0.05471085384488106,-0.049463655799627304
264,-0.04952365159988403,-0.046326830983161926
265,-0.04246870428323746,-0.031136352568864822
266,-0.050860852003097534,-0.05659839510917664
267,-0.04293569177389145,-0.03836166858673096
268,-0.046644434332847595,-0.05221886932849884
269,-0.04911128431558609,-0.02391776256263256
270,-0.07426177710294724,-0.05051669850945473
271,-0.045747123658657074,-0.04286139830946922
272,-0.039766937494277954,-0.04489884525537491
273,-0.04905544593930245,-0.043373338878154755
274,-0.05027199164032936,-0.04311290383338928
275,-0.06970188766717911,-0.04275425150990486
276,-0.06072453409433365,-0.04112814739346504
277,-0.025936663150787354,-0.03667604923248291
278,-0.039525214582681656,-0.04762483760714531
279,-0.055349674075841904,-0.04611700028181076
280,-0.05057418346405029,-0.03494774177670479
281,-0.04682277143001557,-0.04396570473909378
282,-0.02870829775929451,-0.050926316529512405
283,-0.07219965010881424,-0.04384302720427513
284,-0.060113031417131424,-0.04866888001561165
285,-0.06677431613206863,-0.034639738500118256
286,-0.0611310750246048,-0.034439437091350555
287,-0.05462172627449035,-0.046427614986896515
288,-0.05777488276362419,-0.04038591310381889
289,-0.038708556443452835,-0.027412613853812218
290,-0.06852129846811295,-0.034781426191329956
291,-0.06515044718980789,-0.026310471817851067
292,-0.07555266469717026,-0.03951681777834892
293,-0.05206893011927605,-0.03716455772519112
294,-0.051740486174821854,-0.031178828328847885
295,-0.06158430874347687,-0.04271861910820007
296,-0.04926276579499245,-0.0488126203417778
297,-0.062366269528865814,-0.02786175347864628
298,-0.06310403347015381,-0.03739417344331741
299,-0.05152213200926781,-0.04751246050000191
300,-0.06896798312664032,-0.045011427253484726
