step,deepseek1.5b_sync_8gpu_entadapt_initial_lr1e-5-critic/rewards/mean_step,deepseek1.5b_sync_8gpu_entadapt_lr1e-5-critic/rewards/mean_step
1,-1.059943675994873,-1.0494093894958496
2,-1.140373468399048,-1.1143581867218018
3,-1.137101173400879,-1.1163034439086914
4,-1.051081657409668,-1.0356199741363523
5,-0.808281660079956,-0.8159186840057373
6,-0.8503763675689697,-0.809302568435669
7,-0.7643728256225586,-0.8218462467193604
8,-0.38295531272888184,-0.3882358074188232
9,-0.2617917060852051,-0.2380228042602539
10,-0.23956727981567383,-0.26566338539123535
11,-0.3737039566040039,-0.3630692958831787
12,-0.2207131385803223,-0.18650412559509277
13,-0.2461106777191162,-0.2065138816833496
14,-0.28275179862976074,-0.2300872802734375
15,-0.09432291984558104,-0.09995436668395996
16,-0.16490459442138672,-0.13532638549804688
17,-0.006317138671875,-0.04361391067504883
18,-0.007600545883178711,-0.0017879009246826172
19,-0.10477304458618164,-0.15471792221069336
20,-0.14965009689331055,-0.2579679489135742
21,-0.0015566349029541016,0.0009307861328125
22,-0.051664113998413086,-0.022382259368896484
23,-0.13198375701904297,-0.0998532772064209
24,-0.09714603424072266,-0.10067868232727052
25,-0.02400374412536621,-0.04738974571228027
26,-0.03311610221862793,-0.06343603134155273
27,-0.11147022247314452,-0.0783698558807373
28,-0.0991964340209961,-0.1699504852294922
29,0.01200723648071289,-0.0020689964294433594
30,-0.04515790939331055,0.016600370407104492
31,-0.15234017372131348,-0.10046076774597168
32,-0.18013453483581543,-0.13704347610473633
33,-0.12522029876708984,-0.07898664474487305
34,-0.08740067481994629,-0.03270912170410156
35,-0.02750396728515625,0.02108860015869141
36,-0.08424615859985352,-0.0379481315612793
37,0.020659685134887695,0.025954008102416992
38,0.04638099670410156,0.033377647399902344
39,0.00233602523803711,-0.009783267974853516
40,0.01861715316772461,0.0658726692199707
41,-0.07694530487060547,-0.07310199737548828
42,-0.010535001754760742,-0.02856612205505371
43,0.046544790267944336,0.02767062187194824
44,-0.017029523849487305,-0.0250241756439209
45,-0.0653073787689209,-0.0784909725189209
46,-0.08176612854003906,-0.05461907386779785
47,0.03142666816711426,-0.0003819465637207031
48,0.01840519905090332,0.08543157577514648
49,-0.011404752731323242,0.006949424743652344
50,0.032338619232177734,0.015520095825195312
51,0.24221420288085935,0.2396750450134277
52,0.13249778747558594,0.13143348693847656
53,0.07119941711425781,0.07599949836730957
54,-0.03257012367248535,-0.053221702575683594
55,-0.0538482666015625,-0.06978249549865723
56,-0.060712575912475586,-0.06455326080322266
57,0.13442683219909668,0.10877490043640135
58,-0.06978559494018555,-0.0666646957397461
59,0.1195824146270752,0.07477402687072754
60,-0.10135173797607422,-0.13988280296325684
61,-0.035086631774902344,-0.058724403381347656
62,0.03996634483337402,0.014033317565917969
63,-0.006139993667602539,0.01456284523010254
64,-0.03701138496398926,-0.05750322341918945
65,0.04176664352416992,0.12738442420959473
66,0.042867183685302734,0.04441022872924805
67,0.07025790214538574,0.06153106689453125
68,0.21584129333496097,0.17636847496032715
69,0.09338617324829102,0.07766437530517578
70,0.04807925224304199,0.08188486099243164
71,0.026433229446411133,-0.019368410110473633
72,0.014642953872680664,-0.01624441146850586
73,0.1533811092376709,0.09380531311035156
74,0.05113673210144043,0.03799700736999512
75,0.06096696853637695,0.04045820236206055
76,0.10827302932739258,0.08285236358642578
77,0.001785993576049805,0.04020428657531738
78,-0.01718592643737793,-0.02671337127685547
79,0.06405520439147949,0.06411576271057129
80,0.13290786743164062,0.19342851638793945
81,0.1345658302307129,0.15997958183288574
82,0.110062837600708,0.05020785331726074
83,0.011885881423950195,0.0013535022735595703
84,0.22513222694396973,0.15721893310546875
85,-0.09589815139770508,-0.100508451461792
86,0.04964756965637207,0.004332065582275391
87,0.06199336051940918,0.048858642578125
88,0.07917952537536621,0.06559133529663086
89,0.0962214469909668,0.09865188598632812
90,0.12684202194213867,0.0745539665222168
91,0.0989382266998291,0.06193995475769043
92,-0.05029940605163574,-0.047801971435546875
93,0.17358684539794922,0.1068871021270752
94,-0.001118183135986328,0.011680126190185549
95,0.22231125831604004,0.22065329551696777
96,0.2631080150604248,0.1934359073638916
97,0.05262303352355957,0.003592491149902344
98,0.15970158576965332,0.14065837860107422
99,0.022104740142822266,0.07818388938903809
100,0.1595664024353027,0.10776829719543456
101,0.06807279586791992,0.01699995994567871
102,0.05144500732421875,0.03812813758850098
103,0.12416315078735352,0.14385128021240234
104,0.11643600463867188,0.06555533409118652
105,0.2130749225616455,0.15122151374816897
106,0.04030895233154297,0.032999515533447266
107,0.029246807098388672,0.056082725524902344
108,0.061094045639038086,0.06673622131347656
109,0.12027263641357422,0.14265155792236328
110,0.04430842399597168,0.03213810920715332
111,0.13663077354431152,0.1357264518737793
112,0.20209312438964844,0.12142086029052734
113,0.029384136199951172,0.026009321212768555
114,0.10640788078308104,0.05810856819152832
115,0.0358729362487793,0.06326174736022949
116,-0.007691621780395508,-0.009457111358642578
117,0.13836240768432617,0.09120702743530272
118,0.10178327560424805,0.04411745071411133
119,0.00983262062072754,-0.0802769660949707
120,0.052329063415527344,0.06483173370361328
121,-0.02590036392211914,-0.0756680965423584
122,0.13431811332702637,0.12518763542175293
123,0.12008404731750488,0.1508004665374756
124,0.046066999435424805,-0.030443429946899418
125,0.12917542457580566,0.021800994873046875
126,0.09893512725830078,0.006855010986328125
127,0.24182534217834473,0.17701220512390137
128,0.20077085494995117,0.1677260398864746
129,0.13427734375,0.07699942588806152
130,-0.07131671905517578,0.02926945686340332
131,0.04615330696105957,-0.01584768295288086
132,0.0634775161743164,0.10550999641418456
133,0.07477140426635742,0.026953697204589844
134,0.17117643356323242,0.1940631866455078
135,-0.042272090911865234,-0.12462663650512695
136,0.09312057495117188,0.06611156463623047
137,0.2585914134979248,0.1359353065490723
138,0.15669894218444824,0.09439826011657716
139,0.11640787124633788,0.008508920669555664
140,-0.008220434188842773,0.003019571304321289
141,0.01222538948059082,0.05594754219055176
142,0.17954087257385254,0.12933063507080078
143,0.08615541458129883,0.037267446517944336
144,0.12476205825805664,0.06684327125549316
145,0.12984514236450195,0.1546635627746582
146,0.017721891403198242,0.003727436065673828
147,0.05420804023742676,-0.013999700546264648
148,0.12257933616638184,0.10808539390563963
149,0.15536236763000488,0.12352681159973145
150,0.0939781665802002,0.07375764846801758
151,0.0025768280029296875,-0.06655502319335938
152,0.1230311393737793,0.12509703636169434
153,0.04869580268859863,0.005742549896240234
154,0.04896378517150879,-0.01479506492614746
155,0.06415104866027832,-0.021752595901489254
156,0.107039213180542,0.1278693675994873
157,0.037872314453125,-0.06087350845336914
158,0.10162115097045898,0.10809898376464844
159,0.03152728080749512,0.011662721633911133
160,0.027884483337402344,0.0231173038482666
161,0.15564584732055664,0.1366739273071289
162,0.10341477394104004,0.0744466781616211
163,0.10160136222839355,0.0030982494354248047
164,0.1279315948486328,0.12668776512145996
165,0.14716792106628418,0.04193925857543945
166,0.1114799976348877,0.09479308128356934
167,0.09414792060852052,0.0490267276763916
168,0.1572718620300293,0.11580514907836914
169,0.22464418411254883,0.1788012981414795
170,0.09033870697021484,0.06298279762268066
171,0.04363536834716797,0.03834939002990723
172,0.06438779830932617,-0.02712416648864746
173,0.08697271347045898,0.04197287559509277
174,0.0937507152557373,0.023842811584472656
175,0.18610525131225583,0.10576534271240234
176,0.05714702606201172,-0.00153350830078125
177,0.11494922637939452,0.1082632541656494
178,0.05563092231750488,0.00990581512451172
179,0.06529641151428223,0.11321473121643066
180,0.16888141632080078,0.14719080924987793
181,0.05012845993041992,0.06549263000488281
182,0.07360386848449707,0.03922224044799805
183,0.08994388580322266,0.009202957153320312
184,0.12316608428955078,0.0822744369506836
185,0.08417940139770508,0.03923511505126953
186,0.17985773086547852,0.121474027633667
187,0.033865928649902344,-0.03562664985656738
188,0.026990890502929688,-0.04008793830871582
189,0.10188698768615724,0.010569572448730469
190,0.06961894035339355,-0.006438732147216797
191,0.0645909309387207,-0.02521491050720215
192,0.15535306930541992,0.10300087928771973
193,0.18239569664001465,0.06461286544799805
194,-0.020912647247314453,0.007315635681152344
195,0.14835119247436523,0.03022599220275879
196,0.1197044849395752,0.015573978424072266
