step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-response_length/mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-response_length/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-response_length/mean_step
203,2464.4794921875,2788.26171875,2748.7294921875
204,2542.896484375,2836.734375,2884.310546875
205,2418.787109375,2776.123046875,2729.240234375
206,2424.826171875,2667.0556640625,2737.1884765625
207,2343.359375,2631.7177734375,2656.015625
208,2538.5234375,2769.552734375,2940.578125
209,2367.3798828125,2654.109375,2705.025390625
210,2559.447265625,2867.2890625,3000.8779296875
211,2416.64453125,2706.048828125,2782.158203125
212,2397.5693359375,2692.7060546875,2889.630859375
213,2472.6201171875,2737.8251953125,2887.2607421875
214,2353.5576171875,2606.0751953125,2788.654296875
215,2318.76171875,2554.6328125,2636.056640625
216,2304.7734375,2482.5673828125,2628.3740234375
217,2364.556640625,2589.2919921875,2718.7060546875
218,2558.96875,2739.681640625,2857.2958984375
219,2448.6708984375,2664.7705078125,2742.3251953125
220,2397.962890625,2603.4755859375,2650.689453125
221,2390.2705078125,2544.2001953125,2652.82421875
222,2551.6474609375,2601.4658203125,2806.724609375
223,2584.63671875,2543.3203125,2632.755859375
224,2369.564453125,2410.3369140625,2513.3095703125
225,2612.9091796875,2631.638671875,2819.1357421875
226,2532.6142578125,2525.9892578125,2703.7138671875
227,2564.2958984375,2508.74609375,2738.845703125
228,2565.7822265625,2513.2412109375,2743.798828125
229,2744.365234375,2615.4169921875,2987.6640625
230,2826.9794921875,2756.595703125,3031.6611328125
231,2583.2666015625,2569.4208984375,2886.560546875
232,2674.3759765625,2660.8798828125,2850.5908203125
233,2691.9111328125,2629.9140625,2890.3369140625
234,2630.822265625,2586.4306640625,2785.0771484375
235,2676.3369140625,2606.4658203125,2775.3984375
236,2630.7529296875,2544.8876953125,2711.8544921875
237,2836.416015625,2718.7431640625,2918.3271484375
238,2800.7060546875,2571.7470703125,2832.7939453125
239,2916.3837890625,2732.3427734375,2820.720703125
240,2841.2197265625,2613.634765625,2695.4619140625
241,2956.384765625,2683.029296875,2790.9814453125
242,2919.0205078125,2733.2705078125,2731.5537109375
243,2943.01171875,2749.904296875,2731.3779296875
244,2707.6953125,2513.8251953125,2602.634765625
245,2941.9599609375,2716.2724609375,2761.720703125
246,3145.6005859375,2909.576171875,2921.6328125
247,2897.236328125,2615.9638671875,2634.0791015625
248,2877.8017578125,2635.435546875,2628.9736328125
249,2980.580078125,2683.0595703125,2694.0400390625
250,3103.896484375,2776.306640625,2760.5146484375
251,2968.8623046875,2679.0537109375,2714.5673828125
252,3117.240234375,2810.947265625,2836.1318359375
253,2986.5859375,2705.779296875,2723.5361328125
254,2836.6884765625,2529.6171875,2605.984375
255,2986.8251953125,2628.4765625,2694.1259765625
256,2994.6103515625,2686.8232421875,2722.75
257,3059.8671875,2729.619140625,2711.0888671875
258,3029.142578125,2699.0869140625,2735.662109375
259,2980.3564453125,2741.82421875,2776.935546875
260,3032.2880859375,2715.8720703125,2783.4345703125
261,3056.67578125,2742.03125,2746.4580078125
262,3008.009765625,2774.16796875,2755.02734375
263,3048.935546875,2875.8759765625,2890.7412109375
264,3051.4912109375,2832.0517578125,2872.0615234375
265,3061.4873046875,2830.4853515625,2875.9990234375
266,3005.28125,2885.869140625,2846.01953125
267,2872.275390625,2743.7314453125,2791.6376953125
268,2783.888671875,2528.732421875,2623.25390625
269,2832.5908203125,2627.0302734375,2745.33984375
270,2840.25,2762.3544921875,2850.96875
271,2976.947265625,2782.228515625,2903.314453125
272,2973.1962890625,2823.658203125,2895.3984375
273,2813.9951171875,2675.021484375,2797.2265625
274,2766.978515625,2682.4873046875,2782.99609375
275,2776.0478515625,2665.267578125,2857.8056640625
276,2732.59375,2727.0810546875,2864.330078125
277,2781.4052734375,2761.0068359375,3076.2060546875
278,2712.8115234375,2671.8857421875,2939.421875
279,2642.2060546875,2550.6923828125,2942.1806640625
280,2641.916015625,2614.599609375,2976.4599609375
281,2508.31640625,2456.970703125,2908.03515625
282,2443.5888671875,2364.0068359375,2814.966796875
283,2680.951171875,2617.70703125,3081.3828125
284,2650.3818359375,2565.1328125,3023.9638671875
285,2343.705078125,2246.912109375,2728.9619140625
286,2710.1123046875,2640.802734375,3154.3310546875
287,2640.8271484375,2589.7919921875,3044.0712890625
288,2491.650390625,2390.6181640625,2930.2314453125
289,2616.06640625,2591.3154296875,3128.15625
290,2514.560546875,2410.720703125,2938.564453125
291,2546.828125,2483.8251953125,2965.65625
292,2455.2236328125,2407.6748046875,2862.01171875
293,2443.814453125,2418.087890625,2851.369140625
294,2581.8056640625,2555.3740234375,2979.67578125
295,2388.2392578125,2304.6376953125,2752.185546875
296,2608.337890625,2470.9482421875,2929.7470703125
297,2725.787109375,2639.8115234375,3030.92578125
298,2661.994140625,2549.412109375,2952.0615234375
299,2562.2431640625,2488.5693359375,2822.19921875
300,2714.3681640625,2601.96484375,2917.890625
