step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/g_rms_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/g_rms_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/g_rms_step
86,9.759402143599653e-07,1.0439034430964738e-06,9.468995549202963e-07
87,9.5754076564447e-07,9.887313844972603e-07,9.27388417329344e-07
88,1.040214795613868e-06,9.905623662275852e-07,9.589945369208738e-07
89,8.881669463744611e-07,9.114564450165515e-07,9.518956745460867e-07
90,9.470986398108079e-07,9.0270357948196e-07,9.095030763533757e-07
91,9.77417350376562e-07,1.024379533987466e-06,9.449698070298415e-07
92,1.0292552106801539e-06,9.064778063580447e-07,8.660802411402773e-07
93,9.651931408759369e-07,1.000174552177238e-06,9.565510501587149e-07
94,9.505585807573812e-07,9.339173881210268e-07,9.412990117259172e-07
95,1.0134728699582364e-06,1.044624930560929e-06,9.960648044365723e-07
96,9.825494235252089e-07,9.932562723437432e-07,9.048738863800291e-07
97,,,9.332876981897617e-07
98,,,9.773270307953277e-07
99,,,9.662529078650065e-07
100,9.82651229453366e-07,9.811053164383845e-07,9.296493191375255e-07
101,9.455503555026533e-07,9.505567720913948e-07,8.854804953154326e-07
102,9.766067231711792e-07,1.006846522995733e-06,8.923542688637386e-07
103,9.512739820902508e-07,9.435765226307042e-07,9.30398710269824e-07
104,9.805501728386565e-07,1.0732239709149384e-06,9.420242827453602e-07
105,1.0165048434004789e-06,1.075889380796143e-06,9.639092718930773e-07
106,1.0032770623281357e-06,9.683675971278312e-07,8.508966359742103e-07
107,9.408512828346906e-07,9.318284961919108e-07,8.640940116280953e-07
108,9.0910085559433e-07,9.408553770931273e-07,8.642320963775681e-07
109,9.73565272746217e-07,9.386801034813711e-07,8.729938646939409e-07
110,8.910740665184341e-07,8.847093045592579e-07,8.790191728132803e-07
111,9.009141150874584e-07,9.733239633486422e-07,9.528197296258101e-07
112,9.76764318121381e-07,9.320318879368861e-07,8.49062939784631e-07
113,9.840185373718826e-07,9.853004488759975e-07,9.111927540677556e-07
114,9.465565840957185e-07,9.77156083562888e-07,8.824545898285526e-07
115,9.053677434320382e-07,9.648960184147438e-07,8.308550617409889e-07
116,8.546950000214579e-07,8.271039912018399e-07,8.459686526095051e-07
117,9.711246769210065e-07,9.003287194832771e-07,8.878436457621558e-07
118,1.0190693151093211e-06,9.6598973689792e-07,8.488698891752294e-07
119,9.200007097542895e-07,9.154418665979109e-07,8.748866975160366e-07
120,1.0188716272082797e-06,9.285045308130429e-07,8.863248786771158e-07
121,9.596770687773585e-07,9.464503895445414e-07,8.938561790958569e-07
122,9.169961811455332e-07,9.224865797768288e-07,8.347205288404344e-07
123,1.0098438889660021e-06,9.422759300308957e-07,8.337888141042382e-07
124,9.732008361712003e-07,9.05821708100804e-07,8.557095805447605e-07
125,9.375190301382536e-07,9.290592291381313e-07,8.630316736767335e-07
126,9.403562464686384e-07,1.0191339538397198e-06,8.981683494614232e-07
127,1.0131581735735642e-06,1.005193096550011e-06,8.781348396090744e-07
128,9.351234432987707e-07,9.96164289059618e-07,8.604429312428104e-07
129,9.206584860609476e-07,9.321363010607234e-07,8.572021879445027e-07
130,8.904842719295784e-07,9.005123470905635e-07,8.575205199942898e-07
131,9.513694620835693e-07,9.017008127088696e-07,8.654073405281181e-07
132,9.170420443400963e-07,1.004471320491369e-06,8.540585491967252e-07
133,9.144369518005349e-07,8.970329209157365e-07,8.364410119701995e-07
134,9.088289343007922e-07,9.104625539208538e-07,9.042394525088505e-07
135,8.757170923328349e-07,9.173256260257734e-07,8.899176084293934e-07
136,9.401131212903996e-07,9.290334545749649e-07,8.755758516367294e-07
137,9.769846462519084e-07,9.437242239766595e-07,8.888776963065689e-07
138,8.901490303940603e-07,9.589246664952192e-07,8.653420933537175e-07
139,9.189400687036432e-07,9.449037399908519e-07,8.687982792443132e-07
140,8.812652691777518e-07,9.358005628207232e-07,8.89822907123343e-07
141,9.044095878452079e-07,9.318381863977995e-07,8.658272897890148e-07
142,8.852020530809754e-07,9.605927597697059e-07,8.229607409288693e-07
143,8.399868461223924e-07,8.682583139317953e-07,8.043932507446122e-07
144,1.005061936269634e-06,9.316446871342778e-07,9.280901204630563e-07
145,8.959161573398283e-07,9.861775793568203e-07,9.197391837054688e-07
146,9.28902862723835e-07,9.99283331974544e-07,9.212098395188524e-07
147,9.086685297610933e-07,9.787049118560077e-07,8.930184448591804e-07
148,9.261929736439723e-07,1.0180733798306341e-06,8.81913679621249e-07
149,9.104814022448193e-07,9.328828212679236e-07,8.813340533092082e-07
150,8.646321169984718e-07,9.133448535547156e-07,9.567779201666085e-07
151,8.634806504751233e-07,9.713527644876734e-07,9.014678568445571e-07
152,9.36248802861742e-07,9.138255095087652e-07,8.68716047611875e-07
153,8.538572570784185e-07,9.258030902424188e-07,9.314822113284828e-07
154,8.924545379075983e-07,8.685936107490797e-07,8.157997811787671e-07
155,8.971111510693086e-07,9.404383443914469e-07,9.177578685084905e-07
156,8.924453914333534e-07,1.0080631142339234e-06,9.048586789286552e-07
157,9.255647749315954e-07,9.901060944079642e-07,9.205819029426244e-07
158,9.292981587316583e-07,1.0154831293811455e-06,8.975632729411108e-07
159,8.897443429584427e-07,9.148723513469798e-07,8.798443454642878e-07
160,9.435653863062407e-07,9.182177733807696e-07,8.964982918350987e-07
161,8.60827519785041e-07,9.80960731632504e-07,9.082526047510964e-07
162,9.472262219087031e-07,9.364590261436536e-07,9.314903691918507e-07
163,8.433610667921602e-07,9.12568046664632e-07,9.135524585945358e-07
164,8.746348772657232e-07,9.393747164439197e-07,9.253872681088547e-07
165,9.03460650852476e-07,9.799627147915205e-07,9.450490057163279e-07
166,8.420534510291912e-07,9.000125340044234e-07,8.922989196081937e-07
167,9.417654871331817e-07,9.852319880445113e-07,8.985074041117716e-07
168,8.645874547693999e-07,9.594634545132e-07,9.547663466301051e-07
169,8.94549494935674e-07,9.571897485893922e-07,9.7019251870134e-07
170,9.494913474289429e-07,9.569496894117235e-07,9.46695588315198e-07
171,8.429168205985345e-07,8.738891644942381e-07,8.538772527371971e-07
172,9.19988483608636e-07,9.242200010786541e-07,8.54722433203858e-07
173,8.793681361398636e-07,9.05064269758328e-07,9.096116985089631e-07
174,8.767000149426275e-07,9.1081763739191e-07,9.017232209937256e-07
175,8.934883112909649e-07,9.368741093666027e-07,9.227552734459221e-07
176,9.057674462858992e-07,9.109743682509004e-07,8.804963141780904e-07
177,9.343596320090858e-07,9.252550252086149e-07,8.90129062698482e-07
178,9.59388384553643e-07,8.976186658950494e-07,8.471277659586411e-07
179,8.953355232116124e-07,9.459728905803439e-07,8.993689461003549e-07
180,8.719279100279142e-07,9.147684437486287e-07,9.408504369764164e-07
181,9.160717342096612e-07,9.427588339467427e-07,8.817781558404844e-07
182,9.336893381996983e-07,9.364092990932589e-07,8.804627082282788e-07
183,8.645280596558617e-07,8.701310329943657e-07,8.786438598497797e-07
184,8.414401646530902e-07,8.735919545735685e-07,9.157009783910135e-07
185,8.972219368657592e-07,9.844496896572489e-07,8.707328114783387e-07
186,9.536520515914476e-07,9.753474823793171e-07,9.349649751009657e-07
187,9.680392445228831e-07,9.323134949582524e-07,8.781860685322886e-07
188,9.359729123802236e-07,9.208541134415765e-07,9.093687711066684e-07
189,8.99014988436955e-07,9.911374858344914e-07,9.072175103862491e-07
190,8.742760685151133e-07,9.38777027556174e-07,9.120923361196463e-07
191,8.619710481758301e-07,9.014303339648088e-07,8.811058530840548e-07
192,8.755400141193444e-07,9.329938817934101e-07,9.109800171715761e-07
193,9.164384700468016e-07,9.70688859966854e-07,9.119252463195538e-07
194,8.559094870022153e-07,9.092580022073034e-07,8.236457383568932e-07
195,9.073097538505782e-07,9.517973252328363e-07,8.981069490081028e-07
196,8.632373147651412e-07,8.927380515198212e-07,9.419157280891823e-07
197,9.036260566400615e-07,9.173304817523015e-07,8.777259496426909e-07
198,8.677864189759063e-07,1.0569393351986924e-06,9.515401529877472e-07
199,8.775191085577816e-07,9.59798065308784e-07,9.407299454076395e-07
200,8.904721317334287e-07,9.334381589928611e-07,9.231998207539991e-07
201,9.400867675379374e-07,9.631599008547464e-07,8.85628869057098e-07
202,9.23146672294674e-07,9.733815336605041e-07,9.325409830268304e-07
203,9.036877107138508e-07,8.929445291031793e-07,8.152116117939089e-07
204,9.579943198613525e-07,9.51786010082376e-07,8.990026775724292e-07
205,9.203154946502543e-07,9.257256720322539e-07,9.193284109162698e-07
206,8.786221994558404e-07,9.039648020034677e-07,8.253761259083562e-07
207,9.319337187833708e-07,8.922087049899308e-07,8.702208935384823e-07
208,1.009069387895391e-06,9.128328829193607e-07,9.210302286779114e-07
209,9.069559869590891e-07,9.756908585609155e-07,9.06618668006662e-07
210,9.183753425037099e-07,9.433947513681532e-07,8.726016165013504e-07
211,9.158425470240596e-07,9.356644714352613e-07,8.97271729069265e-07
212,9.369231361633204e-07,8.915256125502757e-07,9.610583582276102e-07
213,9.300910005333108e-07,8.888577855045794e-07,9.220389712593071e-07
214,8.575410448592057e-07,8.223756694072893e-07,9.357611864811232e-07
215,9.91811117944734e-07,9.60757211011808e-07,9.18242770607782e-07
216,9.54647307724311e-07,9.436752797068523e-07,9.410908348419392e-07
217,8.956118023262941e-07,8.420897282442615e-07,9.613583394275598e-07
218,8.89832414611149e-07,8.831850227364766e-07,9.186024270967413e-07
219,9.590463970863352e-07,9.49354138438764e-07,1.0013001860999608e-06
220,9.121935587686216e-07,8.912432298261061e-07,9.943574378691569e-07
221,9.095916749478519e-07,9.017742404888672e-07,9.65969937602053e-07
222,8.812378467677408e-07,9.285271670456965e-07,9.562724289731824e-07
223,8.935026237667704e-07,8.812556890269936e-07,1.0921980939640517e-06
224,9.604066189162737e-07,9.77200618197745e-07,1.2009632164246322e-06
225,8.840734576487921e-07,9.02139750931529e-07,1.0682340423450082e-06
226,9.261372292643935e-07,8.83650344438335e-07,1.1285719642822088e-06
227,8.977233892613284e-07,9.382923421995604e-07,1.2251966141040173e-06
228,8.440609142523139e-07,8.832788736200226e-07,1.3178551901756554e-06
229,9.346108390033304e-07,8.987667525440631e-07,1.2945206858750145e-06
230,8.820621695518731e-07,8.975711029334686e-07,1.3045402150670186e-06
231,8.483162213989664e-07,8.774237571934687e-07,1.3393002688541353e-06
232,8.520675404873106e-07,8.484547590052139e-07,1.3195633065130522e-06
233,9.247893552681378e-07,9.292225081095723e-07,1.2544672430831313e-06
234,9.081249973048652e-07,9.256551461328012e-07,1.1680731691206629e-06
235,9.050783956438239e-07,9.503311822904116e-07,1.1918196802512723e-06
236,8.835771052450041e-07,9.293216377070318e-07,1.1950049168128592e-06
237,8.384137730286773e-07,9.813874841476007e-07,1.1586882081679982e-06
238,9.153832674095952e-07,9.366636865184366e-07,1.1970052757130405e-06
239,8.335735285460677e-07,8.338303140226806e-07,1.0553090674740554e-06
240,9.216759500790801e-07,9.638985907510044e-07,1.1172543231662648e-06
241,8.597149939904216e-07,8.663777817306946e-07,1.0141222445245569e-06
242,8.909682344164551e-07,8.513713965484889e-07,1.0426015718041594e-06
243,8.676609077751714e-07,9.011713109254559e-07,1.0801430429421352e-06
244,8.579384932896953e-07,8.231398986708903e-07,9.962596395771557e-07
245,8.65078504215854e-07,9.147046070685643e-07,1.0048538884425892e-06
246,7.983480516125182e-07,8.560070598961505e-07,9.645066022584288e-07
247,8.615850957797576e-07,8.800948335378165e-07,9.90760585559075e-07
248,8.729649142404041e-07,8.869555343859804e-07,9.238383654395244e-07
249,8.478430411319941e-07,8.828173841200863e-07,1.0240304263711179e-06
250,8.310315818865957e-07,9.39228802816728e-07,9.470633870011118e-07
251,8.432872336275307e-07,9.000439674294175e-07,9.889146178280763e-07
252,8.307958295385603e-07,9.276404923699292e-07,9.103288767041942e-07
253,8.613651965513659e-07,9.70703216744741e-07,1.0021494576545365e-06
254,8.265013658588867e-07,8.837924958654726e-07,9.042683791350654e-07
255,8.226073536850732e-07,8.376886298177162e-07,9.021045185200952e-07
256,7.957763027063704e-07,8.260611766336892e-07,9.127208668484986e-07
257,8.638158161024767e-07,8.731731332733563e-07,9.324671583174772e-07
258,9.153914777658957e-07,8.740194733777942e-07,9.106744619005519e-07
259,8.238998468039989e-07,8.83461300313273e-07,9.288476829842784e-07
260,8.369592958373482e-07,8.262249107027924e-07,9.167772412262806e-07
261,8.396292272719943e-07,8.520499740543903e-07,8.721893504088969e-07
262,8.277866893125463e-07,8.935730747038512e-07,9.115871746210375e-07
263,8.757079494702317e-07,8.236865051238554e-07,1.001246987779399e-06
264,8.591466345983483e-07,9.459992684829597e-07,8.969337330385542e-07
265,8.243747664611408e-07,8.332061901318157e-07,8.813808344729714e-07
266,8.57322173886719e-07,8.804268386854804e-07,8.9166434267433e-07
267,8.109367208716921e-07,8.692454282795715e-07,8.677203379836587e-07
268,8.862359207138695e-07,8.440710082986662e-07,8.213715932644534e-07
269,8.458530299334309e-07,9.066665614640065e-07,9.375882505352436e-07
270,9.394519635518792e-07,9.01299787988991e-07,9.584460655415382e-07
271,8.290391795671768e-07,8.922960292474271e-07,8.600308135517765e-07
272,8.162499212497172e-07,8.309316089209475e-07,8.747002765677292e-07
273,8.930226787838183e-07,8.910578323584091e-07,9.027516263513984e-07
274,8.671850001977606e-07,8.449582472083646e-07,9.531455752528064e-07
275,8.962413898321661e-07,8.815933451949634e-07,9.518161755961332e-07
276,8.113675080729042e-07,9.130366258946491e-07,8.481218680736544e-07
277,8.315833018479355e-07,8.367542767121834e-07,8.460053540831806e-07
278,8.477881654692837e-07,9.367727105269395e-07,9.059184850144667e-07
279,8.963997269387484e-07,8.57977463014222e-07,8.991519690555826e-07
280,8.550853121612947e-07,8.558621055477389e-07,9.081428473376748e-07
281,8.777406362953602e-07,8.835413640517743e-07,9.202543895394432e-07
282,9.09266544806907e-07,9.433751446141708e-07,9.271244463687369e-07
283,8.271270813834047e-07,8.442996401016722e-07,9.171186431870067e-07
284,8.773587394680158e-07,9.016551897205767e-07,8.344223454925741e-07
285,8.601159642076666e-07,9.030616333667387e-07,8.528679462564282e-07
286,8.587234832024254e-07,8.937347181714296e-07,8.394744626288245e-07
287,9.346280047257157e-07,9.261516258124947e-07,8.613204773255513e-07
288,8.304697344604191e-07,9.142972937569704e-07,9.269290484251237e-07
289,8.068182791610601e-07,8.93438059970685e-07,8.56158298280304e-07
290,8.587808573835175e-07,8.577024157285006e-07,8.044833568519121e-07
291,9.127919349271568e-07,8.910865513540976e-07,8.612039859981212e-07
292,9.47759984362393e-07,9.088343180824706e-07,8.570507769775643e-07
293,7.821790178266787e-07,7.8530234610618e-07,7.615364274064112e-07
294,9.581739539932019e-07,9.284159113136399e-07,8.493557209851159e-07
295,8.066131558274248e-07,9.56193124212273e-07,8.949017910337627e-07
296,8.834716313357182e-07,8.966605240961865e-07,8.65798939583478e-07
297,9.471217792355649e-07,9.323269337976604e-07,8.707761807593163e-07
298,8.740454331371186e-07,9.221911468627242e-07,8.85643244863469e-07
299,8.493915609203775e-07,9.118061799078363e-07,8.720113409432716e-07
300,8.543190478763783e-07,9.060187735197087e-07,8.509962735508322e-07
