step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/grad_norm_pre_clip_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/grad_norm_pre_clip_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/grad_norm_pre_clip_step
1,0.030688609927892685,0.03185340762138367,0.03012063354253769
2,0.03051615320146084,0.028014464303851128,0.02858299575746059
3,0.030501702800393105,0.03014664351940155,0.0305684357881546
4,0.029273731634020805,0.02899208664894104,0.030558262020349503
5,0.03130028769373894,0.03395600616931915,0.03139090538024902
6,0.02929789014160633,0.030004525557160378,0.03015904873609543
7,0.03118000365793705,0.030860578641295433,0.03096659854054451
8,0.032866500318050385,0.032486461102962494,0.037369243800640106
9,0.03315193951129913,0.0343925841152668,0.041270919144153595
10,0.03383573144674301,0.03264084830880165,0.03988653048872948
11,0.030978236347436905,0.03040856122970581,0.04176043719053269
12,0.03142359107732773,0.032200686633586884,0.04491797834634781
13,0.03062320314347744,0.03243778645992279,0.0460650809109211
14,0.030548205599188805,0.032908134162425995,0.045699592679739
15,0.03210359439253807,0.033136188983917236,0.05131109803915024
16,0.03191833570599556,0.03431690111756325,0.04984467849135399
17,0.039071232080459595,0.03743378445506096,0.04713202267885208
18,0.03847751393914223,0.038985706865787506,0.04730912670493126
19,0.035535793751478195,0.03715194761753082,0.044101618230342865
20,0.04014991596341133,0.03927235305309296,0.03765431419014931
21,0.03993763029575348,0.038996372371912,0.04253973439335823
22,0.04215232282876968,0.04117995873093605,0.04380904510617256
23,0.04168875515460968,0.0407990962266922,0.04463477432727814
24,0.04359819367527962,0.041313279420137405,0.04360664263367653
25,0.042940158396959305,0.041469886898994446,0.04034155607223511
26,0.041356198489665985,0.04079731926321983,0.043118640780448914
27,0.04213349521160126,0.03962440043687821,0.04120267555117607
28,0.04204334318637848,0.042069047689437866,0.04163969308137894
29,0.04265346750617027,0.04200560227036476,0.044249437749385834
30,0.044480908662080765,0.044911883771419525,0.04253332316875458
31,0.04058051481842995,0.04050176590681076,0.04031459987163544
32,0.04144212231040001,0.04180538281798363,0.03888804093003273
33,0.04525167495012283,0.04197923466563225,0.04439893364906311
34,0.04569629952311516,0.04761352390050888,0.04511567950248718
35,0.043652452528476715,0.04473494365811348,0.04144975543022156
36,0.04357965663075447,0.045217156410217285,0.04189794883131981
37,0.04381030052900314,0.04750486835837364,0.043533921241760254
38,0.049216363579034805,0.04640188813209534,0.045609261840581894
39,0.045070577412843704,0.04616476967930794,0.04168359562754631
40,0.04813402518630028,0.04337090253829956,0.04032880812883377
41,0.04450707510113716,0.0459410659968853,0.04279045760631561
42,0.04564779996871948,0.04417843744158745,0.04200481995940208
43,0.045594893395900726,0.04289723560214043,0.040836311876773834
44,0.04286087676882744,0.04452688619494438,0.041715916246175766
45,0.0403304286301136,0.041662320494651794,0.04173634573817253
46,0.04348934069275856,0.043533988296985626,0.039528049528598785
47,0.04715904593467712,0.043366022408008575,0.04269464313983917
48,0.04614286497235298,0.04023667424917221,0.040377769619226456
49,0.04058312997221947,0.04150185361504555,0.0364668034017086
50,0.046627119183540344,0.038864865899086,0.039250824600458145
51,0.04424181580543518,0.04647346958518028,0.04019947722554207
52,0.04434583708643913,0.04284161701798439,0.04216878488659859
53,0.04426207020878792,0.043744347989559174,0.04266390949487686
54,0.043892752379179,0.04112568870186806,0.039300329983234406
55,0.04078720137476921,0.04374413192272186,0.039765894412994385
56,0.04384635388851166,0.04218558222055435,0.03935065120458603
57,0.04579664021730423,0.04369102790951729,0.04316667094826698
58,0.04180806502699852,0.04027732089161873,0.04019220545887947
59,0.04283889010548592,0.041299764066934586,0.03965286538004875
60,0.03914162144064903,0.03992019221186638,0.0380060076713562
61,0.04249124601483345,0.04016932100057602,0.040351513773202896
62,0.04318086802959442,0.04093334823846817,0.0430949442088604
63,0.041710276156663895,0.0404026135802269,0.04196080192923546
64,0.03980211168527603,0.040427498519420624,0.03703993186354637
65,0.04290635138750076,0.039742834866046906,0.042389508336782455
66,0.04334750026464462,0.03940326347947121,0.03827977180480957
67,0.041866932064294815,0.041586849838495255,0.03992202877998352
68,0.042635343968868256,0.0427749939262867,0.04070264846086502
69,0.04093398153781891,0.041181452572345734,0.03875087574124336
70,0.04151532799005509,0.040395986288785934,0.041252825409173965
71,0.038136694580316544,0.039920758455991745,0.04016657918691635
72,0.04116497188806534,0.04187232255935669,0.038700226694345474
73,0.044186897575855255,0.044155627489089966,0.043928440660238266
74,0.04009164869785309,0.04134381935000419,0.039621081203222275
75,0.042947303503751755,0.04376868903636933,0.041746024042367935
76,0.043735019862651825,0.04458970949053764,0.04170358180999756
77,0.03920174017548561,0.04095583036541939,0.03870611265301704
78,0.03728673234581947,0.039387766271829605,0.04190060496330261
79,0.04320641607046127,0.044169362634420395,0.04234004765748978
80,0.04298965260386467,0.04172922670841217,0.04392899200320244
81,0.04108741879463196,0.04356170445680618,0.04279215261340141
82,0.04380070045590401,0.04320196062326431,0.042802728712558746
83,0.04338165372610092,0.040153007954359055,0.04065048322081566
84,0.04213902726769447,0.04141886159777641,0.0386526957154274
85,0.039497241377830505,0.04080236703157425,0.03944143280386925
86,0.041141267865896225,0.04400629550218582,0.03991704434156418
87,0.04036563262343407,0.041680485010147095,0.03909454494714737
88,0.04385079815983772,0.041757673025131226,0.040426913648843765
89,0.03744114190340042,0.03842291980981827,0.04012765735387802
90,0.03992543742060661,0.03805394098162651,0.038340575993061066
91,0.041203536093235016,0.043183255940675735,0.039835695177316666
92,0.043388791382312775,0.03821304813027382,0.03651006519794464
93,0.04068822041153908,0.042162880301475525,0.04032390937209129
94,0.040071289986371994,0.03936977684497833,0.039680950343608856
95,0.04272347688674927,0.044036708772182465,0.041989631950855255
96,0.04141988232731819,0.04187123849987984,0.03814543038606644
97,0.0412980243563652,,0.03934323042631149
98,0.04360484331846237,0.04144004359841347,0.04119972884654999
99,0.040688686072826385,0.03987185284495354,0.04073289781808853
100,0.04142417386174202,0.041359007358551025,0.03918984904885292
101,0.03986017033457756,0.04007121920585632,0.03732789307832718
102,0.041169364005327225,0.0424441397190094,0.03761766105890274
103,0.04010144993662834,0.03977695852518082,0.039221443235874176
104,0.04133560508489609,0.0452423132956028,0.03971152380108833
105,0.042851291596889496,0.04535467550158501,0.04063409939408302
106,0.042293667793273926,0.04082204028964043,0.03586999326944351
107,0.03966207802295685,0.03928171843290329,0.03642633184790611
108,0.038323622196912766,0.03966224938631058,0.03643215447664261
109,0.04104115441441536,0.03957054764032364,0.03680151328444481
110,0.03756369277834892,0.0372953787446022,0.03705551102757454
111,0.03797850385308266,0.04103098064661026,0.04016661271452904
112,0.04117600992321968,0.03929029032588005,0.03579268977046013
113,0.04148181527853012,0.04153585061430931,0.03841180354356766
114,0.03990258648991585,0.041192520409822464,0.037200335413217545
115,0.03816625103354454,0.04067569598555565,0.03502512723207474
116,0.036030113697052,0.034866999834775925,0.035662248730659485
117,0.04093826934695244,0.037953827530145645,0.03742751106619835
118,0.04295939579606056,0.04072180017828941,0.03578455373644829
119,0.03878311067819595,0.0385909304022789,0.036881301552057266
120,0.0429510660469532,0.039141591638326645,0.03736348822712898
121,0.040455687791109085,0.0398981086909771,0.0376809723675251
122,0.03865645080804825,0.03888790309429169,0.03518807888031006
123,0.04257049411535263,0.03972213342785835,0.035148803144693375
124,0.0410257913172245,0.03818538412451744,0.03607288375496864
125,0.03952160105109215,0.03916497528553009,0.0363815501332283
126,0.039641205221414566,0.04296212270855904,0.03786275535821915
127,0.04271021485328674,0.04237443953752518,0.03701823577284813
128,0.03942061960697174,0.041993822902441025,0.03627242147922516
129,0.038810838013887405,0.03929469361901283,0.036135803908109665
130,0.03753883019089699,0.03796156868338585,0.036149222403764725
131,0.04010547325015068,0.038011666387319565,0.036481697112321854
132,0.03865838423371315,0.04234401136636734,0.03600328415632248
133,0.03854856640100479,0.03781489282846451,0.03526061028242111
134,0.0383121557533741,0.03838102146983147,0.03811868280172348
135,0.03691631183028221,0.038670338690280914,0.03751493990421295
136,0.03963096067309379,0.03916389122605324,0.03691035509109497
137,0.041185297071933746,0.039783187210559845,0.03747110068798065
138,0.03752469643950462,0.04042397066950798,0.03647894784808159
139,0.038738396018743515,0.039832908660173416,0.036624643951654434
140,0.037150196731090546,0.03944916278123856,0.0375109501183033
141,0.03812585771083832,0.03928212448954582,0.036499399691820145
142,0.037316154688596725,0.04049428924918175,0.03469233587384224
143,0.0354100838303566,0.03660188242793083,0.033909618854522705
144,0.04236891120672226,0.03927396610379219,0.03912412375211716
145,0.037767816334962845,0.04157283157110214,0.038772083818912506
146,0.03915838524699211,0.04212530702352524,0.03883408010005951
147,0.03830539435148239,0.041257817298173904,0.03764565661549568
148,0.03904414921998978,0.042917415499687195,0.03717753291130066
149,0.03838181868195534,0.03932616114616394,0.03715309500694275
150,0.03644901514053345,0.0385025292634964,0.040333472192287445
151,0.03640047833323479,0.04094788059592247,0.03800184652209282
152,0.039468053728342056,0.03852279111742973,0.036621179431676865
153,0.03599479794502258,0.03902771323919296,0.03926711902022362
154,0.0376218818128109,0.0366160161793232,0.034390464425086975
155,0.03781818971037865,0.039644669741392136,0.03868856281042099
156,0.037621501833200455,0.042495425790548325,0.0381447896361351
157,0.03901766613125801,0.04173843935132027,0.03880760818719864
158,0.03917504847049713,0.04280821979045868,0.03783724829554558
159,0.037507638335227966,0.03856692090630531,0.03709029778838158
160,0.03977648913860321,0.038707949221134186,0.037792354822158813
161,0.036288630217313766,0.04135291278362274,0.03828786313533783
162,0.03993081673979759,0.0394769199192524,0.03926746174693107
163,0.03555232658982277,0.03846978023648262,0.038511279970407486
164,0.03687068819999695,0.03959983214735985,0.0390101820230484
165,0.038085851818323135,0.04131083935499191,0.03983903303742409
166,0.03549720346927643,0.03794049844145775,0.037615325301885605
167,0.03970061615109444,0.0415329672396183,0.037877049297094345
168,0.03644713386893272,0.04044668003916741,0.04024867340922356
169,0.03771020099520683,0.040350835770368576,0.04089897125959397
170,0.04002630338072777,0.04034071043133736,0.03990844637155533
171,0.0355335958302021,0.03683925420045853,0.035995639860630035
172,0.038782596588134766,0.03896097838878632,0.036031268537044525
173,0.037070222198963165,0.03815345466136933,0.038345154374837875
174,0.036957748234272,0.038395993411540985,0.038012612611055374
175,0.0376654677093029,0.03949441760778427,0.03889922797679901
176,0.03818310052156448,0.03840259835124016,0.03711778298020363
177,0.03938841819763184,0.0390046089887619,0.03752385452389717
178,0.04044351726770401,0.037839580327272415,0.03571111336350441
179,0.03774333745241165,0.03987798094749451,0.03791336715221405
180,0.03675657510757446,0.03856253996491432,0.039662040770053864
181,0.03861748054623604,0.03974248841404915,0.03717181831598282
