step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/r_hat_raw_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/r_hat_raw_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/r_hat_raw_step
1,0.08597898374158669,0.09925128264405624,0.025701102521481112
2,0.07815646329318245,0.018014719782318302,-0.01746577614185292
3,-0.0003933279754096318,0.0005477223707040856,0.05275516135417629
4,-0.0022994646235848667,0.0028003335996344275,0.010582419996974126
5,0.011376159176913326,0.03704778252372499,0.01259682836443555
6,0.032385792135322215,0.03692021483508504,-0.009856625693425406
7,0.05517234431175099,0.06505908280435749,-0.01939591959411774
8,0.06668835477879721,0.04217953683344133,-0.00941097332467827
9,-0.006449979490395999,0.038115713300210255,0.0037373150665677823
10,0.07547940866861112,-0.02447420886179447,-0.03802162166258002
11,0.023276802088013956,0.01896153447920318,0.011957606924993695
12,0.0246435770608615,0.035477655570853514,0.028430411278124196
13,0.008154093265461751,0.06225576282717253,0.024509792317473
14,-0.009212435447066606,0.05394197518240095,-0.00842448888096177
15,0.017981446826074894,0.012485421116437663,0.06347452561392664
16,-0.03868553388082764,0.04567453236778436,0.0007363338758725752
17,0.06712267080932162,-0.06899331904664965,0.009973449637219129
18,0.052188026427996186,0.04742122071571076,0.0015642913225764928
19,0.008476733511071683,0.010827608895225136,0.023881247069815054
20,0.06609855522665159,0.0041113725101059205,-0.034131765155990826
21,0.02041819431753029,-0.04637226242636592,0.007237485397152008
22,0.03885401289391224,0.020591051834294008,0.007325924362662611
23,0.037531939600950755,-0.0056103644186123805,0.024178920347023226
24,0.04548628710915904,0.05535878811924907,-0.02707191094733711
25,0.019933968428251223,-0.03581155397827838,0.011917076639634311
26,-0.03957163436187824,-0.01810523149938048,0.020198087443533512
27,0.007970336664172852,0.04058179762185118,-0.028587222597720476
28,-0.02332206083281328,0.02450152475842643,-0.00587559538328474
29,-0.03599089304230873,-0.01144924492766992,0.024061029220667697
30,-0.006369424206342461,0.03838091765251461,0.006926826429620666
31,-0.015301970826002384,0.005964803869503277,0.014494034323993947
32,-0.016995993295642574,0.029800092813225203,-0.007804152533844922
33,0.011301036874106942,0.015149289631104196,0.08330957883478206
34,-0.0020416944804450875,-0.011981606332149971,0.05451253735759537
35,0.007024873744524367,-0.01221078108876942,-0.08537195098385376
36,-0.04087871927183408,-0.008826681622966084,0.026039922277685604
37,0.004419924878692405,0.06504508997943961,-0.0036837025657871407
38,0.05018736295521399,-0.008211781972319377,-0.030066440644478266
39,-0.020835057381903378,0.012231191711133876,0.014003635930530172
40,0.020520384110061737,-0.03662154675454527,0.02372253823475114
41,0.002143477171326893,0.0237027893843398,0.02419020534947436
42,0.040208715044417136,-0.017784415383592437,0.04890810311873447
43,-0.01730818660420817,-0.004070581859212358,-0.0353774952237131
44,-0.015358653464253986,0.004639680283921901,0.01650586051672566
