step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/r_ctrl_step
173,0.05,0.05,0.010065821633990803
174,0.05,0.05,0.012060388967580623
175,0.05,0.05,0.013699389837398553
176,0.05,0.025,0.01
177,0.05,0.05,0.01
178,0.05,0.025,0.01
179,0.05,0.025,0.01
180,0.05,0.025,0.01
181,0.05,0.025,0.01
182,0.05,0.025,0.01
183,0.05,0.025,0.01
184,0.05,0.025,0.011378766807806154
185,0.05,0.025,0.01
186,0.05,0.05,0.01
187,0.05,0.05,0.01
188,0.05,0.05,0.01
189,0.05,0.05,0.01
190,0.05,0.05,0.01
191,0.05,0.025,0.01
192,0.05,0.025,0.01
193,0.05,0.025,0.01
194,0.05,0.05,0.01
195,0.05,0.05,0.01
196,0.05,0.025,0.01
197,0.05,0.05,0.01
198,0.05,0.05,0.01
199,0.05,0.05,0.01
200,0.05,0.025,0.01
201,0.05,0.05,0.01
202,0.05,0.05,0.01
203,0.05,0.025,0.01
204,0.05,0.025,0.01
205,0.05,0.05,0.01
206,0.05,0.025,0.01
207,0.05,0.025,0.01
208,0.05,0.025,0.01
209,0.05,0.025,0.01
210,0.05,0.025,0.01
211,0.05,0.025,0.01
212,0.05,0.025,0.01
213,0.05,0.025,0.01
214,0.05,0.025,0.01
215,0.05,0.05,0.01
216,0.05,0.05,0.01
217,0.05,0.025,0.01
218,0.05,0.025,0.01
219,0.05,0.05,0.010914491552645086
220,0.05,0.025,0.010914491552645086
221,0.05,0.05,0.010914491552645086
222,0.05,0.025,0.010914491552645086
223,0.05,0.05,0.011490890118284806
224,0.05,0.025,0.011490890118284806
225,0.05,0.025,0.011490890118284806
226,0.05,0.05,0.011490890118284806
227,0.05,0.025,0.01117350837847604
228,0.05,0.05,0.01570465422343454
229,0.05,0.05,0.011907570609328962
230,0.05,0.05,0.0145356137634688
231,0.05,0.025,0.017255238866204947
232,0.05,0.05,0.01
233,0.05,0.025,0.010938504505135367
234,0.05,0.05,0.01130487197725914
235,0.05,0.05,0.01
236,0.05,0.05,0.01
237,0.05,0.05,0.01
238,0.05,0.05,0.01
239,0.05,0.025,0.01
240,0.05,0.05,0.01
241,0.05,0.05,0.01
242,0.05,0.05,0.01
243,0.05,0.05,0.01
244,0.05,0.05,0.01
245,0.05,0.025,0.01
246,0.05,0.05,0.01
247,0.05,0.025,0.01
248,0.05,0.05,0.0103164498914005
249,0.05,0.025,0.0103164498914005
250,0.05,0.05,0.01
251,0.05,0.05,0.01
252,0.05,0.05,0.01
253,0.05,0.05,0.011384088672826306
254,0.05,0.025,0.011384088672826306
255,0.05,0.025,0.011384088672826306
256,0.05,0.025,0.013056113007396656
257,0.05,0.025,0.013056113007396656
258,0.05,0.05,0.013056113007396656
259,0.05,0.025,0.01
260,0.05,0.025,0.01
261,0.05,0.05,0.01
262,0.05,0.025,0.01
263,0.05,0.025,0.01
264,0.05,0.025,0.01
265,0.05,0.025,0.01
266,0.05,0.05,0.01
267,0.05,0.05,0.01
268,0.05,0.05,0.01
269,0.05,0.025,0.01
270,0.05,0.05,0.01
271,0.05,0.05,0.01
272,0.05,0.025,0.01
273,0.05,0.05,0.01
274,0.05,0.05,0.01
275,0.05,0.05,0.01
276,0.05,0.05,0.01
277,0.05,0.05,0.01
278,0.05,0.05,0.01
279,0.05,0.05,0.01
280,0.05,0.05,0.011394835986849252
281,0.05,0.025,0.012330191293491707
282,0.05,0.025,0.011792359071913812
283,0.05,0.025,0.012540362495886193
284,0.05,0.05,0.012540362495886193
285,0.05,0.025,0.012540362495886193
286,0.05,0.05,0.012540362495886193
287,0.05,0.025,0.012540362495886193
288,0.05,0.05,0.013131927774498968
289,0.05,0.05,0.01
290,0.05,0.025,0.01
291,0.05,0.025,0.01
292,0.05,0.025,0.01
293,0.05,0.025,0.01
294,0.05,0.025,0.01
295,0.05,0.05,0.01
296,0.05,0.05,0.01
297,0.05,0.05,0.01
298,0.05,0.025,0.01
299,0.05,0.025,0.010850156111084516
300,0.05,0.025,0.010850156111084516
