step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/entropy_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/entropy_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/entropy_step
1,0.674420177936554,0.6720290780067444,0.6784077286720276
2,0.6714232563972473,0.6753057241439819,0.6713986992835999
3,0.6774362921714783,0.6767801642417908,0.6806291341781616
4,0.6635209321975708,0.6629853248596191,0.6634091138839722
5,0.6911513209342957,0.6944734454154968,0.6905102729797363
6,0.6465795636177063,0.6374832391738892,0.651837170124054
7,0.6582878828048706,0.6571535468101501,0.6644442677497864
8,0.6716527938842773,0.6770902276039124,0.6863964796066284
9,0.6881891489028931,0.6791224479675293,0.6962242722511292
10,0.6537100672721863,0.6498268246650696,0.6505933403968811
11,0.6614367365837097,0.6574803590774536,0.6245488524436951
12,0.6714037656784058,0.6679813861846924,0.5863184332847595
13,0.6146695017814636,0.6110941767692566,0.5061954855918884
14,0.6221904754638672,0.6190873384475708,0.49635225534439087
15,0.6653081178665161,0.6591494083404541,0.4745761752128601
16,0.6439489126205444,0.6381934285163879,0.46854037046432495
17,0.6274540424346924,0.6302369832992554,0.43113991618156433
18,0.6074850559234619,0.5942100882530212,0.4182409644126892
19,0.6304343342781067,0.6137189865112305,0.409957617521286
20,0.6433372497558594,0.6259232759475708,0.431010365486145
21,0.6350728273391724,0.6118655204772949,0.4226780831813812
22,0.5591495633125305,0.5447392463684082,0.40929484367370605
23,0.5882593989372253,0.5688982605934143,0.4250498712062836
24,0.5694001317024231,0.554450273513794,0.4285631775856018
25,0.5275493860244751,0.5232066512107849,0.41160112619400024
26,0.5372846722602844,0.5334912538528442,0.4193528890609741
27,0.559948205947876,0.5538305044174194,0.4262121319770813
28,0.5444439649581909,0.5417429804801941,0.4286861717700958
29,0.5359510779380798,0.5262199640274048,0.4126875400543213
30,0.5121545791625977,0.5120260119438171,0.4221698045730591
31,0.5398898124694824,0.5253296494483948,0.44188427925109863
32,0.5194963216781616,0.5168157815933228,0.42200255393981934
33,0.5324257612228394,0.5244280099868774,0.4363888204097748
34,0.5307298898696899,0.5197033286094666,0.4377746880054474
35,0.5101658701896667,0.4981819689273834,0.4111723303794861
36,0.5151783227920532,0.5156936049461365,0.4394929707050323
