step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/ppo_kl_mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/ppo_kl_mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/ppo_kl_mean_step
1,0.0004319807630963623,0.0004191182379145175,0.0004479640629142523
2,0.0004414097056724131,0.0004563918919302523,0.0004383988853078335
3,0.0004387297958601266,0.00044574588537216187,0.0004274348320905119
4,0.00044687805348075926,0.0004363430489320308,0.00046430478687398136
5,0.00044029869604855776,0.0004687161708716303,0.00042986206244677305
6,0.0004312345408834517,0.0004339108127169311,0.00042429144377820194
7,0.00044510207953862846,0.0004542114329524338,0.00046260975068435073
8,0.0004364231426734478,0.0004246729949954897,0.0004423639620654285
9,0.0004285142058506608,0.0004624384455382824,0.00045396736823022366
10,0.0004367768124211579,0.0004592389741446823,0.0004237148095853626
11,0.000441746786236763,0.00044293078826740384,0.0004071048460900783
12,0.00043629732681438327,0.0004396612639538944,0.0004255868552718311
13,0.0004279898712411523,0.0004177524533588439,0.00035991272307001054
14,0.000413547910284251,0.0004314985126256943,0.00041166105074808
15,0.0004349455703049898,0.0004505841352511198,0.0004068274283781648
16,0.00043405022006481886,0.00044615150545723736,0.0004369815578684211
17,0.00042717697215266526,0.0004564838018268347,0.000388939370168373
18,0.00044077401980757713,0.0004085009277332574,0.0003463798784650862
19,0.00043855595868080854,0.00040942514897324145,0.0003617594775278121
20,0.000451274449005723,0.00045605917694047093,0.000394030095776543
21,0.0004176081856712699,0.0004200338735245168,0.0003862270095851272
22,0.00043336363160051405,0.00041105240234173834,0.0003962953924201429
23,0.0004250221827533096,0.00042350299190729856,0.0003989413380622864
24,0.00039468807517550886,0.0004266468749847263,0.0003625303506851196
25,0.0003824713348876685,0.000380855577532202,0.00036745896795764565
26,0.0003853482485283166,0.0004047084075864405,0.0003758856328204274
27,0.00039131802623160183,0.0003737591905519366,0.00039134445250965655
28,0.00040080855251289904,0.0004112443129997701,0.0003672646125778556
29,0.00039070440107025206,0.0003972090198658407,0.0003277162613812834
30,0.0003904620243702084,0.000371332629583776,0.00038440045318566263
31,0.00041681400034576654,0.0004103772225789726,0.000372616748791188
32,0.0004091521550435573,0.0004217452369630337,0.000362802209565416
33,0.000423246732680127,0.0003957595326937735,0.00038708694046363235
34,0.0004123594844713807,0.0004266579344402998,0.00036792096216231585
35,0.0003970950201619417,0.00038720923475921154,0.00036581806489266455
36,0.000397244788473472,0.0004434301517903805,0.00034781431895680726
37,0.00039414045750163496,0.000395030016079545,0.0003712528559844941
38,0.00037254649214446545,0.0003910172672476619,0.00034527998650446534
39,0.0004277190892025829,0.0003793844080064446,0.0003731004544533789
40,0.00039365520933642983,0.0004118863726034761,0.0003724732086993754
41,0.0004078022320754826,0.0004174509958829731,0.0004118709766771645
42,0.0003734691126737744,0.0003680433146655559,0.0003986582742072642
43,0.0003825385356321931,0.0003782506100833416,0.0003590786946006119
44,0.0004210439801681787,0.0004004523216281086,0.0003704541886691004
45,0.00037377956323325634,0.0003994941071141511,0.0003944779455196112
46,0.00036208739038556814,0.0003781095438171178,0.0003650568542070687
47,0.0003848322085104882,0.0003626645484473556,0.00036267118412069976
48,0.0004099237557966262,0.0004227147728670389,0.0003982206981163472
49,0.0003750408359337598,0.0003656665794551373,0.0003889717336278409
50,0.00039045416633598506,0.0004000744665972889,0.0003858398413285613
51,0.00037933175917714834,0.00041883441735990345,0.0003589345433283597
52,0.00034150309511460364,0.00039316253969445825,0.00035677271080203354
53,0.00037656340282410383,0.0003959213208872825,0.0003768957685679198
54,0.0003912273677997291,0.0004016345483250916,0.000393411930417642
55,0.0003691710880957544,0.00039912606007419527,0.0003793727373704314
56,0.0003743126871995628,0.000416627008235082,0.0003937626024708152
57,0.0004014147561974823,0.00041851139394566417,0.0003524912754073739
58,0.0003822308499366045,0.0004241987771820277,0.0004055150493513793
59,0.0003646596451289952,0.0003865543694701046,0.0004112305177841335
60,0.0004133516049478203,0.0003987214877270162,0.00041657642577774823
61,0.0003848952183034271,0.00040202471427619457,0.0003830709320027381
62,0.0004295604594517499,0.0003891503729391843,0.0003922149771824479
63,0.0004014781734440476,0.0004063810338266194,0.00038768621743656695
64,0.0004274964740034193,0.00042113932431675494,0.00040261013782583177
65,0.0003853618400171399,0.0004106751002836973,0.00040767272002995014
66,0.0004105524276383221,0.0004107579297851771,0.0003536184085533023
67,0.000382135040126741,0.0004013524448964745,0.0003767471935134381
68,0.0003780953702516854,0.0003935496788471937,0.0003655581676866859
69,0.00039303454104810953,0.0003818571858573705,0.0003843727754428983
