step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/g_norm_A2_sq_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/g_norm_A2_sq_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/g_norm_A2_sq_step
1,0.0016138836021915568,0.00174793663002856,0.0019547081952112086
2,0.00197161371723189,0.0015839144151377949,0.0014399248082262316
3,0.0020250244612762523,0.0018312061910102293,0.001870079762050975
4,0.0016550127550376485,0.001651874365564783,0.001706894302662256
5,0.0020917142412331443,0.0022794579567103224,0.001629015165076479
6,0.0017437006676159226,0.0016992951800059,0.001859805831936592
7,0.0016291962332453745,0.0016127830771986071,0.0019118100285755448
8,0.0020767487316180546,0.0019115126615718832,0.002325539459923323
9,0.002460619653821271,0.002315919073395135,0.003541675365521149
10,0.002174418977140024,0.0024533652343514136,0.0034420378399465205
11,0.001873158718771964,0.0018222731358504408,0.0032976043766609307
12,0.00198723282622461,0.0021157396768241156,0.003241285295160672
13,0.0019795653955466818,0.0019415824352956752,0.003854945993780601
14,0.0021412714158459112,0.0021637495414501555,0.004424204470509113
15,0.001938712131612172,0.002150021350605414,0.005970318799169555
16,0.0021551725753929394,0.002235697848349909,0.005360075777139868
17,0.002668847308300016,0.002939558304853224,0.004338013993003873
18,0.0027477920234104257,0.002715187392895271,0.0045806288264641625
19,0.0024726919186806263,0.002316482435215712,0.003647785981506764
20,0.003304608946162898,0.0031916039840141778,0.0032417032574578665
21,0.003018597573632806,0.003147459667574621,0.0038488414664394825
22,0.003753743930759912,0.003299758875689092,0.004190588751935524
23,0.00318240281965302,0.0038193530130753673,0.0037261343332698135
24,0.003028101622109973,0.003068659086894861,0.003762529681988611
25,0.003479746564424081,0.00353917573790812,0.003517876904483206
26,0.003306124998100322,0.0035697406402386027,0.0040802755849690415
27,0.003179754204415491,0.0031981426226628156,0.0035764523922799537
28,0.0037985034157887337,0.003201386645231662,0.0031421463733050537
29,0.0034682007839464475,0.003680693841615134,0.003651416769326319
30,0.003620249122368937,0.0040755782479557304,0.0038515757338128194
31,0.0030917742936803255,0.0034547714946704484,0.0033334226814902964
32,0.0036094882101365662,0.003287715145064842,0.003016825612898444
33,0.004017795692212342,0.003183142697067313,0.003974141521714948
34,0.0042075148039038,0.004854026463245948,0.0035296887481174885
35,0.003462722591301865,0.00434089905752928,0.0037240486233394167
36,0.0039209716081493335,0.003970619344630175,0.003509693550707276
37,0.003742052316531921,0.004288842776262212,0.004090330935124789
38,0.0045960229155720435,0.0043038555931142215,0.003743976866969293
39,0.004465665117549172,0.004111168850853419,0.003068634709250151
40,0.0049996683106014565,0.0031982766719062723,0.003169731907269051
41,0.003787610330433237,0.003647060445202629,0.003209818502679717
42,0.003754256513130446,0.00402519738523672,0.003736390808054916
43,0.004710419330418207,0.0035816095494369204,0.0036956507894567127
44,0.003962588357347712,0.003501017484475499,0.0037064129587680134
45,0.003008688303328472,0.0030595785663185848,0.003171449741688138
46,0.003382741832905313,0.003474430438976082,0.0028790279665839506
47,0.005077821123113748,0.004043819177696032,0.003720893903708534
48,0.00400100073952943,0.0036323291310800536,0.0029692123536784027
49,0.0036429657930765846,0.003672268856233358,0.002538683185951517
50,0.004570611961224629,0.0033969784967036935,0.003153246846212703
51,0.004156436925219895,0.00442098410375733,0.003099074370574978
52,0.0038947211881364945,0.0033887208548861684,0.0037037184401124343
53,0.004021538771570066,0.003639496875566101,0.003374023799843631
54,0.003682523195105025,0.0035354858262610124,0.00312282218975671
55,0.0033807679623641994,0.0033071586728395013,0.003519281803200978
56,0.00385720241387167,0.0034090652207960192,0.0030268343641031634
57,0.004401415826434254,0.003946555911549965,0.003653979138447028
58,0.0037620248280370674,0.0033260542082933857,0.0033790806908198545
59,0.004030285125952297,0.003279168517145888,0.003195138672817896
60,0.003423741570190665,0.003502032949912839,0.0030312323979505605
61,0.003763730049305256,0.0033596425608439363,0.0034188869068336354
62,0.00411778559813955,0.003684180344148934,0.003892330772564315
63,0.003671966769729621,0.003110366590201747,0.0035834724793384473
64,0.0032250669098521203,0.0035915679725636845,0.003279500178328064
65,0.0034262438322800698,0.003881455491182618,0.003829705910758672
66,0.004158189749759549,0.0030424078534607084,0.003244707437434467
67,0.0034306952336671135,0.003996914641585607,0.0025015205185612848
68,0.003608281608333602,0.0035660196786763,0.0034589641025737066
69,0.0037578531099956617,0.003630280162490432,0.003260779295802864
70,0.0034860386108564413,0.003568790544178683,0.003874321177478928
71,0.003284661358845568,0.0030690917652414127,0.002969852686620159
72,0.0033164002459006693,0.002910824177043159,0.003198357485308622
73,0.003253790706862858,0.003469355688308704,0.003888981996814581
74,0.0028335579825176757,0.0028697002314999336,0.0032011144701623436
75,0.003924233044592874,0.003571461695795632,0.0034894610039197384
76,0.004201132382963061,0.003216283676283482,0.003397331130436693
77,0.0032863185766798648,0.0032087654831607576,0.0028664796378342376
78,0.002301821016770945,0.0031876335464925422,0.0033154965577085415
79,0.0038274771985765993,0.003970381788995635,0.003467258491606495
80,0.0037521607140532007,0.0033694021005180254,0.00366503762773275
81,0.0033259638800274645,0.0035628701365780393,0.004124628742660118
82,0.003649536623127386,0.003799327697589648,0.003660850190804751
83,0.003424313048474102,0.003070658071487503,0.0031416772775807794
84,0.004054430326924577,0.003621387813285233,0.0032969836308269253
85,0.003278835460132099,0.0032664911053324848,0.0031845413383606983
86,0.003916179775302651,0.003988136014304991,0.0030561613126906
87,0.003265536456830127,0.003606549899894188,0.0032273443888196553
88,0.0035128922764989952,0.0035725397704310523,0.0031323408981573536
89,0.0030294239727642063,0.002636551274072685,0.003327991934726151
90,0.003246877662550573,0.003158920153584898,0.002888104112301482
91,0.00349665222950619,0.003774793381807846,0.003510409019332967
92,0.003742758128062041,0.0027774458638665863,0.0028211548925327454
93,0.00380552649458311,0.0034880464481155254,0.003664811882975893
94,0.003117822223169249,0.002858463803910681,0.0027839069378522156
