step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/g_rms_ema_step
119,9.62546027741285e-07,9.599451875401282e-07,9.086908845714743e-07
120,9.653623077146348e-07,9.583731547037739e-07,9.075725842767564e-07
121,9.65078045767771e-07,9.577770164458123e-07,9.068867640177116e-07
122,9.62673952536659e-07,9.560124946123631e-07,9.032784522588476e-07
123,9.650324493581261e-07,9.553256663832895e-07,8.998039703511169e-07
124,9.654408686987796e-07,9.528504684691654e-07,8.975992508607993e-07
125,9.640447767707532e-07,9.516609065026136e-07,8.958708720015959e-07
126,9.628603502556471e-07,9.55034558869469e-07,8.959857458745873e-07
127,9.65375241421543e-07,9.57542485753496e-07,8.950932005613115e-07
128,9.638626515154044e-07,9.594735759188019e-07,8.933606870953864e-07
129,9.617024432426812e-07,9.581067121758976e-07,8.915527621378423e-07
130,9.581415346770263e-07,9.552269939216309e-07,8.898511500306647e-07
131,9.578029310473537e-07,9.52550684860993e-07,8.886289595555373e-07
132,9.557648867119904e-07,9.551467166425118e-07,8.869004390375967e-07
133,9.536984899664178e-07,9.52241026856173e-07,8.843774676842267e-07
134,9.514550121831364e-07,9.501521032094069e-07,8.85370566925458e-07
135,9.476681161906212e-07,9.485107793502251e-07,8.855979190006549e-07
136,9.472903664456101e-07,9.475369131114621e-07,8.850968156324585e-07
137,9.487750804359249e-07,9.473462786547219e-07,8.85285859666164e-07
138,9.458437779338316e-07,9.479251980467468e-07,8.842886713505417e-07
139,9.444985924723221e-07,9.47774125143952e-07,8.835141517452301e-07
140,9.413369263075936e-07,9.471754470277906e-07,8.838295895141359e-07
141,9.394905593844743e-07,9.46408583996291e-07,8.829294745278798e-07
142,9.367761340692992e-07,9.471177927849616e-07,8.799310378479292e-07
143,9.319366696719539e-07,9.431748188423034e-07,8.761541484927631e-07
144,9.35592933001838e-07,9.42598312256902e-07,8.787509470912779e-07
145,9.336090942187374e-07,9.447772756118979e-07,8.808003589219872e-07
146,9.333737826439922e-07,9.475025784300301e-07,8.828208329518304e-07
147,9.321385199998472e-07,9.49062695101329e-07,8.833307135471979e-07
148,9.318412426820534e-07,9.525132293377941e-07,8.832598618509007e-07
149,9.307732506601916e-07,9.515317089343007e-07,8.831635714238159e-07
150,9.274661939771055e-07,9.496223661653214e-07,8.868442888609555e-07
151,9.242669168020064e-07,9.507088860814387e-07,8.875754672601354e-07
152,9.248660111049931e-07,9.488647172528052e-07,8.866324962777226e-07
153,9.213155734036643e-07,9.47711635902286e-07,8.888749820302603e-07
154,9.198725216288609e-07,9.437557346446256e-07,8.852212219876857e-07
155,9.187344531008832e-07,9.435898651319666e-07,8.868480543137259e-07
156,9.174200000175067e-07,9.468135275870644e-07,8.877485855444724e-07
157,9.178272387632112e-07,9.489781559281091e-07,8.8939025141438e-07
158,9.184007847616333e-07,9.523034046007612e-07,8.897989024907163e-07
159,9.169679626714737e-07,9.504318519380719e-07,8.893011746393948e-07
160,9.18297833853212e-07,9.488211480102067e-07,8.896610304991799e-07
161,9.154243181498035e-07,9.504281271913216e-07,8.905906092117758e-07
162,9.170144133377483e-07,9.497296721389382e-07,8.926355972107796e-07
163,9.13331746010469e-07,9.478715908652228e-07,8.936814402799673e-07
164,9.113969025732316e-07,9.474467471441576e-07,8.952667316714116e-07
165,9.11000089987194e-07,9.490725455265255e-07,8.977558453736574e-07
166,9.075527580392938e-07,9.466195449504209e-07,8.974829990853841e-07
167,9.09263394493988e-07,9.48550167105125e-07,8.975342193367036e-07
168,9.070295975077588e-07,9.490958314755287e-07,9.003958257013735e-07
169,9.064055923791544e-07,9.495005273312219e-07,9.038856603513717e-07
170,9.08559880131644e-07,9.49872985435247e-07,9.060261567495631e-07
171,9.052777271549883e-07,9.460737943881964e-07,9.034187115489448e-07
172,9.060132649776708e-07,9.449811047227191e-07,9.009838976316905e-07
173,9.046810085357802e-07,9.429852629744998e-07,9.01415287675554e-07
174,9.032819588561228e-07,9.413768816953702e-07,9.014306843414626e-07
175,9.027922764778645e-07,9.411517430789319e-07,9.024969137966856e-07
176,9.029410349682663e-07,9.396428743375302e-07,9.013968838157557e-07
177,9.045119648203071e-07,9.389234818810843e-07,9.008334927598922e-07
178,9.072557858069739e-07,9.368582410817825e-07,8.981482064198295e-07
179,9.066597726772059e-07,9.373139735567107e-07,8.982092434038559e-07
180,9.049231795447411e-07,9.361866970663063e-07,9.003413030824837e-07
181,9.054806072779871e-07,9.365153039103283e-07,8.994131457203838e-07
182,9.068910438240727e-07,9.365100036694746e-07,8.984656238457784e-07
183,9.047728946156622e-07,9.331910551357191e-07,8.974745356459784e-07
184,9.016062581175335e-07,9.302111001076119e-07,8.983858577832302e-07
185,9.013870420549448e-07,9.329230295850935e-07,8.970032054679854e-07
186,9.040002925317699e-07,9.350442522248048e-07,8.989012939496344e-07
187,9.072022401313256e-07,9.349077143614772e-07,8.978655326787672e-07
188,9.086407737437703e-07,9.34205034315482e-07,8.984406946001623e-07
189,9.081594844784294e-07,9.370516568914324e-07,8.988795353894666e-07
190,9.064653136802638e-07,9.371379254246695e-07,8.995401754259756e-07
191,9.04240600405042e-07,9.353525458516763e-07,8.986184593088796e-07
192,9.028055710907571e-07,9.352346126487631e-07,8.992365372020144e-07
193,9.034872160385594e-07,9.370073250146676e-07,8.998709726578912e-07
194,9.01108329586742e-07,9.356198588742995e-07,8.960597109428412e-07
195,9.01418400799934e-07,9.364287321922264e-07,8.961620728461042e-07
196,8.995093464981941e-07,9.342441981586059e-07,8.984497556082582e-07
197,8.997151820052878e-07,9.333985123382907e-07,8.974135653099796e-07
198,8.981187438538185e-07,9.395755534813108e-07,9.00119894693868e-07
199,8.970887620890167e-07,9.405866790726843e-07,9.021503972295566e-07
200,8.967579305712373e-07,9.402292530686931e-07,9.032028684057788e-07
201,8.989243724195721e-07,9.413757854579955e-07,9.023241684383446e-07
202,9.001354874133272e-07,9.429760728681211e-07,9.038350091677688e-07
203,9.003130985783535e-07,9.40474495679874e-07,8.994038392990758e-07
204,9.031971596425032e-07,9.410400713999992e-07,8.993837812127434e-07
205,9.040530763928908e-07,9.402743514316115e-07,9.003810126979196e-07
206,9.027815325460384e-07,9.384588739602044e-07,8.966307683584414e-07
207,9.042391418579047e-07,9.361463655116909e-07,8.953102746174433e-07
208,9.094806541597792e-07,9.349806913820742e-07,8.965962723204667e-07
209,9.093544207997448e-07,9.370161997410164e-07,8.970973921047763e-07
210,9.098054668849428e-07,9.373351273223731e-07,8.958726033246052e-07
211,9.101073208918986e-07,9.372515945280173e-07,8.959425596118378e-07
212,9.114481116554698e-07,9.349652954291304e-07,8.991983495426264e-07
213,9.123802560993617e-07,9.326599199329028e-07,9.003403806284606e-07
214,9.09638295537354e-07,9.27145707406622e-07,9.021114209210935e-07
215,9.137469366577229e-07,9.288262825868812e-07,9.02917988405428e-07
216,9.157919552110524e-07,9.295687324428799e-07,9.048266307272535e-07
217,9.147829475668144e-07,9.251947822329489e-07,9.076532161622689e-07
218,9.135354209190312e-07,9.230942942581252e-07,9.082006767089924e-07
219,9.158109697273964e-07,9.244072864671573e-07,9.128556521785407e-07
220,9.156300991794575e-07,9.227490836351046e-07,9.169307414630713e-07
221,9.153281779678771e-07,9.217003414777927e-07,9.193827012700204e-07
222,9.136236614078704e-07,9.220416827561878e-07,9.212271876551785e-07
223,9.126176095258152e-07,9.200023830697279e-07,9.297757329706224e-07
224,9.150070599953382e-07,9.228622948261287e-07,9.433351071433226e-07
225,9.134603798780107e-07,9.218261676313985e-07,9.49580053903407e-07
226,9.140942223473297e-07,9.199173764717455e-07,9.58529649422347e-07
227,9.132756806930295e-07,9.208361247581363e-07,9.718629976564303e-07
228,9.098149423709939e-07,9.189582622012306e-07,9.891626072823917e-07
229,9.110547372026108e-07,9.179486867183723e-07,1.0044305112120228e-06
230,9.096051088200738e-07,9.16929807529127e-07,1.0194359964047723e-06
231,9.065406644490182e-07,9.149545050123439e-07,1.0354292100272405e-06
232,9.038170082509328e-07,9.116295177119873e-07,1.0496359148515312e-06
233,9.048656256017929e-07,9.125091672318665e-07,1.059877481263111e-06
234,9.050285941869466e-07,9.131664661769132e-07,1.0652872656559883e-06
235,9.050310842597903e-07,9.150247019825879e-07,1.0716138863857524e-06
236,9.039583853090512e-07,9.157395487688104e-07,1.077783437907108e-06
237,9.006811546950324e-07,9.190219455377498e-07,1.0818286764201525e-06
238,9.014162603307603e-07,9.199040325867839e-07,1.0875875063847969e-06
239,8.980241237415256e-07,9.156003466585789e-07,1.0859735844392596e-06
240,8.992067150584035e-07,9.180152588632001e-07,1.08753762137561e-06
241,8.972321290050043e-07,9.154333850065748e-07,1.0838668525330573e-06
242,8.969189342755768e-07,9.122302855836706e-07,1.0818035884966123e-06
243,8.954560329505565e-07,9.116773368507597e-07,1.0817205612188882e-06
244,8.935801559675132e-07,9.072504649417665e-07,1.0774475151368017e-06
245,8.921550733799304e-07,9.076231720481063e-07,1.0738178338020909e-06
246,8.874647222915597e-07,9.050423664405083e-07,1.0683522722249079e-06
247,8.861707409659695e-07,9.037949897953735e-07,1.0644726878916162e-06
248,8.855104496296911e-07,9.029530170249038e-07,1.0574409717690114e-06
249,8.836270792048063e-07,9.019462353796631e-07,1.0557704444991166e-06
250,8.809973043388957e-07,9.038103637515164e-07,1.0503350916242161e-06
251,8.791118008033274e-07,9.036220439354112e-07,1.0472640679344094e-06
252,8.766960022400893e-07,9.048229663571371e-07,1.0404173083728981e-06
253,8.759294619556529e-07,9.081169788765171e-07,1.0385039158369804e-06
254,8.734580571508146e-07,9.069007547259652e-07,1.0317921390018844e-06
255,8.709155219775276e-07,9.034401484805526e-07,1.0253077579777952e-06
256,8.671585610139696e-07,8.995711998882093e-07,1.0196784134213304e-06
257,8.669914237683951e-07,8.982512965574667e-07,1.0153178506661374e-06
258,8.694114264682699e-07,8.970397053984829e-07,1.0100856812278581e-06
259,8.671358474850563e-07,8.963607851442227e-07,1.0060237813156792e-06
260,8.656270199026708e-07,8.92853991422151e-07,1.0015614543112092e-06
261,8.64327130271137e-07,8.908137905537629e-07,9.950928491160935e-07
262,8.625001082232076e-07,8.909517547612672e-07,9.909175653913406e-07
263,8.631605002855588e-07,8.875884922793966e-07,9.914340365107437e-07
264,8.629598070011982e-07,8.905090310895747e-07,9.86709021337134e-07
265,8.610305549741951e-07,8.876438890416867e-07,9.814426119939253e-07
266,8.608451359198215e-07,8.872830365238764e-07,9.76953698527946e-07
267,8.583497151674148e-07,8.863811561116611e-07,9.714920305007316e-07
268,8.597440254447378e-07,8.842656487210113e-07,9.639860086389177e-07
269,8.590494756691722e-07,8.853856943581611e-07,9.62666120733734e-07
270,8.630696000633076e-07,8.861813990397026e-07,9.62455117974124e-07
271,8.613680790385009e-07,8.864871305500887e-07,9.573339027530069e-07
272,8.591121711490617e-07,8.837093544686316e-07,9.532022214437427e-07
273,8.608076965307995e-07,8.840767783631206e-07,9.506796916891253e-07
274,8.611265617141475e-07,8.821208518053826e-07,9.508029858673095e-07
275,8.628823031200484e-07,8.820944764748615e-07,9.508536453537507e-07
276,8.60306563367691e-07,8.836415839458508e-07,9.457170564897458e-07
277,8.588704002917034e-07,8.812972185841674e-07,9.407314713694175e-07
278,8.583162885505821e-07,8.840709931813061e-07,9.389908220516698e-07
279,8.602204604699907e-07,8.827663166729518e-07,9.369988794018656e-07
280,8.599637030545558e-07,8.814211061166911e-07,9.355560777986559e-07
281,8.608525497165959e-07,8.815271190134452e-07,9.347909933856952e-07
282,8.632732494711115e-07,8.846195202934815e-07,9.344076660348472e-07
283,8.614659410667261e-07,8.82603526283891e-07,9.335432148924551e-07
284,8.622605809867906e-07,8.835561094557252e-07,9.285871714224612e-07
285,8.621533501478342e-07,8.845313856512758e-07,9.248012101641595e-07
286,8.619818568005639e-07,8.849915522772836e-07,9.205348727873927e-07
287,8.656141641968213e-07,8.87049555954044e-07,9.175741530143007e-07
288,8.638569427100012e-07,8.884119428441904e-07,9.18041897784842e-07
289,8.610050095325542e-07,8.886632487005151e-07,9.14947717809615e-07
290,8.608938019251022e-07,8.871152070519144e-07,9.094244997617298e-07
291,8.634887085752049e-07,8.873137742670234e-07,9.070134740735494e-07
292,8.677022723645643e-07,8.883898014577958e-07,9.045153392187499e-07
293,8.6342610963767e-07,8.832354286902148e-07,8.973663936281331e-07
294,8.681635018554466e-07,8.854944528213861e-07,8.949658599959821e-07
295,8.650859845540456e-07,8.890293863909304e-07,8.94962656547871e-07
296,8.660052668931291e-07,8.894109432761931e-07,8.935044706996513e-07
297,8.700610925102507e-07,8.915567428022665e-07,8.923680562026346e-07
298,8.702603095415941e-07,8.930884630052893e-07,8.920318156356763e-07
299,8.692168721105332e-07,8.940243488504167e-07,8.910307919010561e-07
300,8.684719808988253e-07,8.946240700838814e-07,8.890290659835449e-07
