step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/g_norm_A1_sq_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/g_norm_A1_sq_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/g_norm_A1_sq_step
1,0.001855026108951364,0.001944174595386939,0.0015833691933716248
2,0.0014833047676502803,0.00149977469910789,0.0018861177570664736
3,0.0016978555245205046,0.0018020842987016392,0.001680334482979114
4,0.0017806929957177352,0.0017009008648482852,0.001989221349921607
5,0.0017830382476363093,0.0021678209554679734,0.0022635071577584483
6,0.0015820575119814273,0.0017735721061124831,0.0018146853636258325
7,0.0020562398858705367,0.001964014875601217,0.00199978020673152
8,0.001973944200859578,0.002139114361947452,0.0033133706557646487
9,0.0019641240726272894,0.0022417610040623005,0.003246111206673277
10,0.002083614309112157,0.0019152526151227395,0.003173225913897683
11,0.0018781277507284489,0.0018076208410884584,0.0035957045430033393
12,0.001867539727708441,0.0018896939512121117,0.004606110411304243
13,0.001741217163742711,0.0020205893726723437,0.00442996029040875
14,0.0016262080221756772,0.0019463256897378788,0.00400058183337579
15,0.0021110306380391734,0.002187846875807146,0.0039324243130016276
16,0.002083940041293801,0.0022691442444105975,0.004570579079214744
17,0.003053311167839942,0.003080970592198873,0.004459949348760871
18,0.0028805529306094595,0.003089106977268728,0.00435800281681463
19,0.002536020890000277,0.0031454471463446985,0.003950566257219289
20,0.0027436711723622872,0.0029524061988936705,0.002630101300132247
21,0.00323379637096174,0.003231201518192727,0.0033376621810363226
22,0.003087711387687074,0.0033465431735085756,0.0034305103437071347
23,0.0035179293051032364,0.002876477880095436,0.0040547844497992765
24,0.004244312728388044,0.003400371728490256,0.004055269648768827
25,0.0037515340407428687,0.0035953284720640936,0.002915223603674205
26,0.0038170921699186506,0.003210705632805585,0.003209357104381194
27,0.003865022371168313,0.002837299970600459,0.0034140275120649976
28,0.003440905641713273,0.0037085282664293417,0.003834301046323411
29,0.004080767470437086,0.0034589326209836704,0.0039966154560523255
30,0.004344687434985785,0.0036945083407776023,0.0033349786031585367
31,0.003597700610748711,0.0030678941769067994,0.0030747659271342254
32,0.003379087980256594,0.0035007483091154343,0.003079873728543465
33,0.004081530143580625,0.0037606889842669777,0.0033045348485011604
34,0.004162181847903393,0.004324132432125928,0.004191129412144284
35,0.004106253508577611,0.003762916133432284,0.0037897487354177977
36,0.003999555988701169,0.004280577559749799,0.0033338536835894363
37,0.003901533659646022,0.004186714505651702,0.0035185070608865147
38,0.004629951531682205,0.0043799959715690355,0.004834774500848378
