step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/param_delta_norm_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/param_delta_norm_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/param_delta_norm_step
1,0.009753926657140257,0.00980740413069725,0.04120098054409027
2,0.007261337712407112,0.007245735265314579,0.030750537291169167
3,0.012222527526319029,0.012261145748198032,0.05092206597328186
4,0.01610438898205757,0.01611945964396,0.06765493750572205
5,0.019789904356002808,0.019725581631064415,0.08313701301813126
6,0.022827716544270515,0.022933222353458405,0.09699647128582
7,0.02573998831212521,0.0260204765945673,0.10819531232118608
8,0.028648128733038902,0.02906091697514057,0.12278126925230026
9,0.03183640167117119,0.032268960028886795,0.1353854387998581
10,0.03515142574906349,0.035181742161512375,0.1461641490459442
11,0.03793582320213318,0.037717055529356,0.1586894392967224
12,0.03671520948410034,0.03726334869861603,0.1554360389709473
13,0.035493988543748856,0.03735097125172615,0.14206071197986603
14,0.03481163829565048,0.03762778267264366,0.13112467527389526
15,0.03410973399877548,0.03742906451225281,0.12585167586803436
16,0.033426739275455475,0.037816911935806274,0.09942178428173064
17,0.03387441858649254,0.027714483439922333,0.08603914082050323
18,0.03418466076254845,0.039514075964689255,0.07329713553190231
19,0.034266285598278046,0.039453886449337006,0.06046954169869423
20,0.034130245447158813,0.04033934697508812,0.047657836228609085
21,0.03423498198390007,0.022014932706952095,0.03637208789587021
22,0.03389068320393562,0.04117831215262413,0.025629347190260887
23,0.033420149236917496,0.020231110975146297,0.02540095336735249
24,0.03363360837101936,0.040307097136974335,0.025132721289992332
25,0.03323046490550041,0.019681598991155624,0.02455981820821762
26,0.03253493458032608,0.01964486949145794,0.025248639285564423
27,0.03261943906545639,0.03868528828024864,0.02498319000005722
28,0.031853217631578445,0.03858235850930214,0.02460079826414585
29,0.03167199343442917,0.019170882180333138,0.027376271784305573
