step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/pg_loss_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/pg_loss_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/pg_loss_step
1,0.14786517262989438,0.1386579478068682,0.14483358385582823
2,0.13987948704911324,0.11986713483929634,0.13528101430838985
3,0.1373714038363687,0.1412393612929413,0.13945103317529
4,0.15455318490543157,0.1588167943328424,0.16981798035866116
5,0.13811942152984202,0.14980088973329325,0.15531171167224386
6,0.13390839243286545,0.1491231484410097,0.1474811490445782
7,0.14110681051070886,0.13877155781568337,0.15493953809238475
8,0.15913525594712666,0.14870609033202592,0.19924541542766544
9,0.1816884798266432,0.16915981860302054,0.2035348309887013
10,0.16568746393054426,0.1578936259974675,0.17960391329819914
11,0.16053803857035248,0.15544258546067924,0.20489356190098207
12,0.14434603388350525,0.1584128025323534,0.17211347622452938
13,0.12956257308003116,0.14607068777038923,0.1144962335079874
14,0.1368815371538471,0.14388147805204596,0.028960244729741805
15,0.1778920985480699,0.17772548875865668,0.024557916566801865
16,0.17325911385552517,0.16017694685156625,0.03416844010511837
17,0.2118805943464395,0.19574855993495952,0.04930943038759021
18,0.16965266176100283,0.18980137326306085,0.04430989561979004
19,0.19711791320009472,0.1972842364421792,0.034709165483456254
20,0.1799899636823322,0.1883050045598242,0.026243927686604423
21,0.21483994437652632,0.220395016061957,0.038900743592351385
22,0.18864235547759264,0.193313869323812,0.024259889653306915
23,0.19790803254873027,0.200007103125836,0.05273278940772538
24,0.1778146807294063,0.20260308500935656,0.03874648093655456
25,0.2098156063357153,0.1678871476125026,0.053195758288105334
26,0.20924243052720645,0.19443575669414712,0.043980747251286326
27,0.18226352361809403,0.1890373695665039,0.0347962709111551
28,0.1769058150641839,0.19927604774218943,0.04960286445793827
29,0.1483677564114346,0.1592754154726641,0.08804433914610854
30,0.16178912582351282,0.2034431259525858,0.06510875901471991
31,0.1526070803600305,0.1792698761863313,0.06134249747465754
32,0.15262182916354194,0.17712589649308938,0.08074906288311468
33,0.10501749383909244,0.14213645595332813,0.05596027055049918
34,0.09119368864305535,0.09614268590196257,0.0454096502138588
35,0.09580197438181665,0.10008723203495988,0.05649024233849452
36,0.13834992694197962,0.1321523936083609,0.08952451007197644
37,0.1272615089537794,0.12224672551656111,0.05991653658394867
38,0.1050679392744011,0.09670926158363552,0.05816809944928322
39,0.05451502610667376,0.07319486884262005,0.07447627628466257
40,0.08195532082150597,0.08614205428013037,0.07183034605178465
41,0.056365586037766965,0.07860881367423644,0.07011466239821043
42,0.07274106079103149,0.10706686374257568,0.07723926875925763
43,0.0967045112370215,0.12554954378724895,0.1005440353948966
44,0.07562441854577173,0.110997668647221,0.07963758114136807
45,0.090451939585043,0.09831096139472112,0.07971413766254523
46,0.08128135145904404,0.053249776560278406,0.0444325392150276
47,0.0886905655170267,0.10830755950540633,0.07423577291238972
48,0.0720503367974743,0.06301395093214524,0.06132656127697878
49,0.07106609640708056,0.07278415891778423,0.06412372803992146
50,0.07181951560642119,0.05841917087332149,0.05923019578239844
51,0.07798123645924908,0.08619990890474583,0.07736218445694439
52,0.06471164026751305,0.08750577062453566,0.08030177447007089
53,0.11186107112344496,0.07311058312445633,0.056523975267362615
54,0.07777311094610519,0.0674476547195916,0.06638344229854978
55,0.11011845298829331,0.07440916641088038,0.07407289015504323
56,0.10236395845055744,0.05489507980339968,0.07444318506006514
57,0.12491916739604884,0.07859012000517396,0.0704984705966233
58,0.12029369858610152,0.07998405021192555,0.06498089187763598
59,0.10950622602563512,0.07582243991197833,0.0507562755052564
60,0.08461940068300464,0.10047212788700371,0.08145625973698153
61,0.09798746119340648,0.06039495206297081,0.05632326524592875
62,0.09098449087988011,0.0649482924400812,0.06462098950321567
63,0.09628738818864804,0.08501671654965703,0.07780610660758389
64,0.10022556624608116,0.08446271362335109,0.06281177967749126
65,0.08086671979043258,0.05372617591799806,0.057300621419724654
66,0.09116427015824388,0.06111726762416462,0.06724116097105853
67,0.09831063996534796,0.09038339121378168,0.06765920719600912
68,0.09250682668262442,0.10069284094955606,0.076265367325772
69,0.09657753124146869,0.10939406098393528,0.06298521816512412
70,0.07590627069815219,0.0585850541381458,0.05852701745216644
71,0.07631743399695934,0.0687457592802174,0.04095500903017905
72,0.0797959383451396,0.07356188468610544,0.06388491964349263
73,0.10081232317192236,0.07681217506992385,0.06816002288114226
74,0.08331837019068189,0.06306943168682563,0.04577239981379867
75,0.0914402046397653,0.11288227806988266,0.056689658926402715
76,0.07484099118887064,0.017086638788299524,0.020906405615652844
77,0.07756365990606261,0.07738620567963356,0.05885889421349727
78,0.07127078898237313,0.059118135683307,0.057540237447082865
79,0.0788040689557957,0.07281513069875217,0.04657263996584031
80,0.09084802227067378,0.06712115533317796,0.0704536486608263
81,0.06631672808445026,0.05391050057778259,0.03400222233418996
82,0.08226464789785336,0.06389113139405656,0.05218821068137913
83,0.07179947720221974,0.06558085442045125,0.05033497735631601
84,0.06076697852147524,0.06495418243096485,0.04136781681396921
85,0.06551128784706885,0.07631611513285239,0.06433410782406818
86,0.0771558983219115,0.0420382191320338,0.03802200803631571
87,0.06614339395985083,0.07352842212544362,0.043386897651209066
88,0.07206956073466297,0.06932673838218761,0.05697292692234947
89,0.06668385284946352,0.05876148056095668,0.05113799440805451
90,0.04067858502075146,0.05844096766055659,0.040870191281934046
91,0.06432331672968919,0.09901503889947584,0.05757882880791505
92,0.06989254574944968,0.055768635099497935,0.05049912915346795
93,0.051539263174430854,0.06369038921952273,0.04845854823684526
94,0.05210999733799029,0.06932204642383169,0.020866041599315634
95,0.07488027119346524,0.07502993020352733,0.04233255300156694
96,0.05657818272427701,0.06749488026635894,0.05807056208723225
97,,,0.03566220002769689
98,,,0.04252752481282543
99,,,0.07071687847260603
100,0.06850207032312028,0.065603201874991,0.05152876234393123
101,0.08185533946033241,0.07912927926542701,0.04549874719217003
102,0.07021712168812214,0.06938226624394397,0.04651714093970919
103,0.052241782950388144,0.05853707822663839,0.04225267103756778
104,0.048398482700577006,0.054213286218274495,0.051472414105703024
105,0.06780289101195247,0.07000204469204618,0.04473094879520229
106,0.10030887560515112,0.06784668236535875,0.05953192730188935
107,0.06103151359987494,0.04447239643782826,0.031042686580414217
108,0.049910523293012946,0.06856707503877463,0.052491701929284325
109,0.07542613647023437,0.06175556905994503,0.05837432889761874
110,0.07015848426017328,0.06186023746011957,0.048690544753515586
111,0.07098529225592135,0.05288529016009609,0.05717840925353812
112,0.055632734218508825,0.03736817055855948,0.032436985511786164
113,0.06534055729540628,0.04618767754477125,0.05095839537222804
114,0.04760216072961492,0.0640206092094511,0.04197866445229011
115,0.05836329062897181,0.05222374398384572,0.0641620918904664
116,0.0715830551077488,0.04701191323539733,0.03707545629696965
117,0.03993542950136767,0.06985569050432792,0.05991904728944064
118,0.05180634094479804,0.035761822714965655,0.04386694328715661
119,0.050015597699185545,0.04082741758917875,0.047308890186575976
120,0.06276936311790807,0.06017737405717424,0.042829750786906866
121,0.05196612842458611,0.0556383075858725,0.05048824106601214
122,0.06303643336448456,0.05352797940470149,0.04336634849716488
123,0.04137204731999078,0.05629235797186993,0.04488504400942474
124,0.047459554998110505,0.058521016096840586,0.03339097536009237
125,0.03685071820764517,0.04627273142036489,0.02581780518776213
126,0.03863470154788552,0.04114988837606087,0.04857456628524233
127,0.035471399939577916,0.05612800816561503,0.054337279432251015
128,0.03892076697101242,0.0558862931379234,0.04179581167638964
129,0.02825115542338394,0.04621206482560785,0.054068932785211424
130,0.04018032661321225,0.06694378289945521,0.05477855768823518
131,0.03777136196902789,0.05032650690897272,0.040442245865506266
132,0.04598920061976862,0.06063502670278669,0.03712886117448631
133,0.030984431196379267,0.0527266079425317,0.05994849677808815
134,0.04583482238847543,0.054061326631603554,0.047985675886708413
135,0.04794059814172981,0.05384051323543597,0.04918586135359614
136,0.03477478483725,0.05861645180094026,0.03897408132179407
137,0.05401998637665252,0.04987471231668263,0.04649872576839315
138,0.06880086382186752,0.040344962400280675,0.036692355263059855
139,0.03342038076435629,0.04534268471373556,0.037161971817517445
140,0.06122545478159183,0.0538956231276744,0.032504050813210936
141,0.04254754716950831,0.06054826137228196,0.031669215658136324
142,0.05101282320528197,0.0616436692717899,0.027002678575609385
143,0.040707663318042056,0.054111908893805544,0.020959214630137363
144,0.04708740604107685,0.03440509827568247,0.03361703672414354
145,0.04485138582243416,0.06090760569167008,0.030649138478432123
146,0.04334502726085607,0.060026912974104854,0.04753691436457706
147,0.06958304823411277,0.047845845480257096,0.03484110817791791
148,0.05221363112765462,0.07679138191030543,0.03500393355756791
149,0.048866696134178995,0.058595338914433096,0.038870053073979866
150,0.03792165848426521,0.05648834741471849,0.0393978017294822
151,0.04896569052552877,0.05267888723220064,0.047313866134668627
152,0.03154073484135249,0.051189398363931105,0.03020206051850335
153,0.034318320594090776,0.045871670852648094,0.054376476085771605
154,0.05084484268177459,0.03841365562057992,0.03353708991183908
155,0.06180100387427956,0.0776566094706747,0.049031147536071434
156,0.0439462779491135,0.05693870022534813,0.05089201069333488
157,0.06374907167773927,0.0605166417479172,0.048502786673468606
158,0.04986430312515279,0.06565933315141592,0.05294099708675946
159,0.05009188236880091,0.049329618940407126,0.03671695135643757
160,0.07709418053893483,0.0800145044026737,0.029911817374675975
161,0.05637348988830126,0.04126474343851633,0.046519665674024616
162,0.06083187246501136,0.04845081405154714,0.0658827843552798
163,0.04780246964552092,0.033059505609057134,0.05098663233019318
164,0.0526405465099838,0.040046272570626776,0.054427519919311086
165,0.05435938793238569,0.05569885880445148,0.03709478576852501
166,0.03628313154184613,0.03281294957596188,0.04959173030814176
167,0.04981753417910353,0.059886600031556256,0.03585354148981956
168,0.056635595088071006,0.04753050652086838,0.0479397590779148
169,0.05730408226204605,0.05062098715032429,0.0677763744477286
170,0.03344110274184985,0.033959664955067345,0.03493615420493849
171,0.05113737414503702,0.04438128052118516,0.03908526630924538
172,0.06484182879768403,0.047459980599294224,0.03803747606829607
173,0.04276147033172156,0.0448135658769186,0.05405827797972291
174,0.07851859932672509,0.05865006247172486,0.07299016829513545
175,0.05774699090780862,0.024828455597243095,0.06108271371769278
176,0.05259471439349,0.054733727597825535,0.05122667427422129
177,0.04945654215239062,0.030474966681999324,0.04949817796750722
178,0.07581764380617023,0.04358713403945379,0.062077155781067136
179,0.06497675182022032,0.047540151006965944,0.08545662316741766
180,0.06731408787515983,0.052875585586459946,0.07351164253764182
181,0.04721871012225165,0.05354660374761902,0.05633042259502136
182,0.061921029277159714,0.03275441357216455,0.05887469349129658
183,0.03760121458825389,0.03487450223048989,0.050916490042943754
184,0.04255483334472956,0.049500725117053536,0.05564404266174062
185,0.03384842888845015,0.04515147534058135,0.03663010385796604
186,0.06407687511589182,0.05847216760479282,0.06534401191027081
187,0.048085779784014446,0.03536837707374377,0.04674279751236013
188,0.06354623441145955,0.05188751391792071,0.06448087168113985
189,0.06328789500763551,0.0741283451592218,0.04915928367838552
190,0.0540287558378796,0.06147939903939481,0.05348948807451441
191,0.05995937592195419,0.05801923875766252,0.062001296472902
192,0.07394314864809748,0.06662742024941724,0.06525916837018364
193,0.06284873532495112,0.056968211635068565,0.041486247621393586
194,0.03541874566208207,0.06673927490919596,0.045719365680789846
195,0.026758390091249327,0.04786382570101912,0.05643984427771924
196,0.026600221170060417,0.05094669559198553,0.05215644698556779
197,0.03707818321223992,0.0454752483438872,0.044249416049569855
198,0.03314881729832115,0.06233160110402866,0.058510844968190034
199,0.04766410720478967,0.07559311585637693,0.06550494247640018
200,0.047357454795322454,0.07461645145598422,0.05576499504441017
201,0.04400090829687797,0.06252927773815142,0.0472548835693271
202,0.04540104709329235,0.06081670220702931,0.03472259827231894
203,0.037942774779569144,0.04931549257016741,0.035978138106293044
204,0.03339370967373007,0.0738321648428523,0.05644221079481732
205,0.055111061880476576,0.05983622554958857,0.04814590702990244
206,0.06098684455608034,0.034018559103890914,0.04956914327085542
207,0.04832216880701405,0.04647576408828363,0.04294004215901767
208,0.05957543092631701,0.062007200552852734,0.057205502764277515
209,0.03524906432888207,0.03492166845918339,0.031821747577736176
210,0.0497302347215928,0.06638408814857637,0.04421749044067011
211,0.05227805580216227,0.04118907529955322,0.04060995539766736
212,0.05246363286411365,0.03480653497007504,0.04938720998775568
213,0.04961908829944958,0.05950242220860673,0.05541964903559779
214,0.029393843947474164,0.028706436791684324,0.041247008997050305
215,0.05028245099803076,0.04708139984761242,0.04758199401457157
216,0.04351984038144377,0.04799926953354669,0.04639637537777736
217,0.05822833544640114,0.037980635156839665,0.052050564056116855
218,0.03732390358039227,0.04628330102350446,0.05638742480368819
219,0.05069062754713134,0.04272989254478536,0.040405816169368336
220,0.03962633819758718,0.05765574442231905,0.05233005696745271
221,0.05405244038986602,0.04588172505532251,0.04937314126526825
222,0.04218852355935317,0.03155219519574434,0.05961624887103903
223,0.054854622693566946,0.04585682570732601,0.06686839989676005
224,0.035276414948016074,0.06594563823697779,0.04842586151232476
225,0.03940790593486254,0.037494147901031144,0.0341171105388661
226,0.04268019984963715,0.03840595325112972,0.03624590001345496
227,0.03280449381686355,0.027750166379513892,0.027962535553524504
228,0.05545862384544881,0.0437888832904442,0.05237772013497306
229,0.034584765546605924,0.035744784579085385,0.05533544758773959
230,0.05432927548785561,0.06235109837725759,0.059701321655831474
231,0.037023973867690074,0.03757469523603911,0.05683633648662917
232,0.032147602508714616,0.042498159208825145,0.046633568535547794
233,0.06405054837950477,0.05510773262138077,0.058686336695418936
234,0.055829011804139315,0.04697351565310352,0.05117708325851709
235,0.06454103705542175,0.06328463990786604,0.06067386337435891
236,0.053113855683477595,0.030799382229911555,0.04325898988972767
237,0.04891514279543549,0.07204789422903558,0.06870903069578899
238,0.05875579665520317,0.044438805326966466,0.04397182456776222
239,0.04817945048350902,0.035873687145794975,0.044702419211500366
240,0.059736482933294616,0.06797239132911752,0.05936023507598101
241,0.05810743819974999,0.06180854321818946,0.04925397377373883
242,0.06674722650123363,0.04391760670259827,0.05672999802609411
243,0.04330486654503915,0.06976943214103812,0.04873432529566343
244,0.05389600989183237,0.03440439329555461,0.040222499106963176
245,0.04598862382276407,0.06776005983083451,0.04270529540663119
246,0.054500711402595145,0.05049377739349093,0.043748006938369055
247,0.06011094771297178,0.05524256892079536,0.04237746738497088
248,0.05748283583289733,0.0471646859767038,0.025274206549415555
249,0.060216863046110986,0.037282522800868675,0.04304923995399517
250,0.03854614518703148,0.045401658581886294,0.031099541288131145
251,0.04813023091271067,0.05873969829789483,0.048101084410154725
252,0.052113080314617255,0.03740899262146351,0.03552250180669251
253,0.04339007886631986,0.049340910041064494,0.04552773282775888
254,0.04189542517671639,0.040985549501847504,0.025120408078165433
255,0.06355603021560637,0.030730808755642533,0.04061984302984456
256,0.03587246593009167,0.03863027716678947,0.035685005753475704
257,0.06596423234160201,0.07442063203197903,0.03529921952722361
258,0.04832234278497212,0.05413582994586154,0.03320658562370227
259,0.03852469130951253,0.0492829297480057,0.026335855881188763
260,0.0634935274870672,0.04916856313284371,0.02290889269206673
261,0.07438606367114434,0.031920223499764686,0.03253378512599738
262,0.05938137934936094,0.07198289596817631,0.05587889314251697
263,0.059596256597780506,0.05332963944238145,0.05396507940739477
264,0.06268482606339437,0.06475314088766027,0.045359453443996334
265,0.05113669733575741,0.03841169587435832,0.030704815504231233
266,0.04903852079058363,0.06029299025543705,0.05204666848814148
267,0.030569526931642377,0.052152133398340086,0.03484788860660047
268,0.03697090709829354,0.0385138145668154,0.028576820984821286
269,0.05498538697003304,0.036227013260175134,0.03810707638840541
270,0.05179895505924443,0.056619275910634315,0.0637060053713434
271,0.046265476973219866,0.042511116201785625,0.03598793792168311
272,0.04085568175783423,0.04566314338964211,0.02987208066804756
273,0.03690759221485461,0.05600129662910293,0.04131586944616477
274,0.03050153255571786,0.044453124272235744,0.03602191680038232
275,0.034485635814053235,0.048473379813214326,0.0544290752919291
276,0.04810498215301777,0.06986886537833925,0.04468603199902211
277,0.03737604659654607,0.04241678928156034,0.039072648619449785
278,0.043682130215984216,0.065061492222843,0.03187259169395215
279,0.03679649849486611,0.03803224700555132,0.07261180638662465
280,0.032653105236462775,0.026877001971833556,0.04010175651908718
281,0.037509083891085246,0.03528192011193217,0.04033969218948013
282,0.03919223893737783,0.031495931502861535,0.03872866646069312
283,0.04309234120094181,0.028865583395695706,0.041051026499851345
284,0.06269015763410654,0.04654222300986907,0.05641017647989925
285,0.038125838016865934,0.04611751191837624,0.0413250255451203
286,0.03169079212675569,0.0376470400247758,0.046943810139371475
287,0.04060750542312713,0.05290350843355746,0.042522800904986405
288,0.05125428999022989,0.03945431531463245,0.047707974643950976
289,0.03408395166862695,0.04282844667087422,0.04552504377591004
290,0.03372716099569814,0.0439854824556581,0.028923436776191615
291,0.04516120285477999,0.03433208486967487,0.04019371111531041
292,0.032215652595671905,0.03383829542629731,0.04472734924811882
293,0.026963329309688155,0.02820255738333799,0.017976728229162596
294,0.031668974726926535,0.03260953899620004,0.0353014078852078
295,0.03280077483546859,0.043911741483230696,0.03934549142431933
296,0.05405299575412707,0.0513500255636043,0.04289233569319809
297,0.04340922138653695,0.04650426638959049,0.031423912480270454
298,0.04660833313870458,0.052093578574768845,0.038689297912702834
299,0.02201610543622672,0.044208752471604384,0.0345657297852172
300,0.04067272388710989,0.031326856683192184,0.048754028020561065
