step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/r_hat_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/r_hat_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/r_hat_step
1,0.060793695122476,0.06477538479321687,0.04271033075644433
2,0.06600252557368794,0.050747185289947296,0.04271033075644433
3,0.06600252557368794,0.03568734641417433,0.04572377993576392
4,0.06600252557368794,0.025821242569812355,0.035181371954126975
5,0.049614615654655546,0.029189204555986142,0.028406008877219547
6,0.04444596859885555,0.031508507639715806,0.028406008877219547
7,0.04766388131272418,0.041573680189108314,0.028406008877219547
8,0.053371223352546085,0.04175543718240822,0.028406008877219547
9,0.053371223352546085,0.040663520017748825,0.021005400734024016
10,0.060003678947365593,0.040663520017748825,0.021005400734024016
11,0.0489856158895601,0.03415292435618513,0.018291062591314917
12,0.0368145964752108,0.03428539747765197,0.019304997459995844
13,0.022484344870336275,0.037082434012604026,0.01982547694574356
14,0.022484344870336275,0.03876838812958372,0.01982547694574356
15,0.020232895848205583,0.02562690462301069,0.024190381812561872
16,0.020232895848205583,0.02763166739748806,0.012463357844217223
17,0.024921873344317187,0.02763166739748806,0.011218403740718176
18,0.027648488652685085,0.02961062272931033,0.006391347531647334
19,0.018062611081878385,0.020219115812267735,0.008140337485464107
20,0.022866205496355707,0.012165244161186828,0.008140337485464107
21,0.021642199906943,0.012165244161186828,0.0076889114413080575
22,0.023363381205639924,0.013007824928497546,0.007507417901985334
23,0.02478023704517101,0.013007824928497546,0.009174568146489124
24,0.02685084205156981,0.0172429212475727,0.009174568146489124
25,0.023392405239910517,0.0172429212475727,0.009448818995803644
26,0.023392405239910517,0.0172429212475727,0.01052374584057663
27,0.015681370952041685,0.01957680888500055,0.01052374584057663
28,0.015681370952041685,0.02006928047234314,0.01052374584057663
29,0.015681370952041685,0.02006928047234314,0.011877474178585735
30,0.015681370952041685,0.021900444190360288,0.009402150304103202
31,0.015681370952041685,0.013932624029931782,0.009911338706092275
32,0.015681370952041685,0.015519370908261124,0.009911338706092275
33,0.013491203913074314,0.015334330269682658,0.017251162718961256
34,0.013491203913074314,0.015334330269682658,0.020977300182824662
35,0.01025803882879934,0.015334330269682658,0.020977300182824662
36,0.01025803882879934,0.015334330269682658,0.02148356239231076
37,0.007338981853745872,0.020305406240658356,0.02148356239231076
38,0.011623819963892683,0.020305406240658356,0.02148356239231076
39,0.011623819963892683,0.016268298975896114,0.017743599161420466
40,0.01251347637850959,0.016268298975896114,0.01834149306875353
41,0.007328476774918242,0.017011748016740484,0.018926364296825617
42,0.010616500601868133,0.017011748016740484,0.0219245381790165
43,0.010616500601868133,0.017011748016740484,0.0219245381790165
44,0.010616500601868133,0.010825714150331192,0.01921519934787108
45,0.010616500601868133,0.010825714150331192,0.015593569104173102
46,0.010616500601868133,0.011434763936939167,0.01009403340067604
47,0.012419235339848712,0.012357725303971064,0.01009403340067604
48,0.012419235339848712,0.012357725303971064,0.01009403340067604
49,0.012419235339848712,0.012357725303971064,0.01009403340067604
50,0.013920205715835606,0.012357725303971064,0.01009403340067604
51,0.013920205715835606,0.016700540028544292,0.01009403340067604
52,0.014338636214288996,0.017145074234809068,0.011048679276274807
53,0.014338636214288996,0.017145074234809068,0.013068595673521808
54,0.014338636214288996,0.018275964254494955,0.008282674380052093
55,0.014338636214288996,0.019499934121012977,0.008282674380052093
56,0.01628749264121276,0.02247619240443387,0.008282674380052093
57,0.009508460644228963,0.02247619240443387,0.008282674380052093
58,0.010693360961655112,0.014954991855272251,0.008282674380052093
59,0.010693360961655112,0.01594760234293407,0.009349677483759682
60,0.010693360961655112,0.01594760234293407,0.008329520283604881
61,0.010740978599227229,0.01594760234293407,0.0103465420829829
62,0.010740978599227229,0.01680578983391446,0.0103465420829829
63,0.010740978599227229,0.015522293356710725,0.010378450196168612
64,0.010740978599227229,0.015522293356710725,0.010378450196168612
65,0.014061771601453,0.015522293356710725,0.010158075924412806
66,0.014061771601453,0.015503188555342044,0.007407285730704395
67,0.008469434828182878,0.015503188555342044,0.007842941501917002
68,0.008469434828182878,0.015503188555342044,0.007842941501917002
69,0.0055458514064589464,0.012856968607857133,0.007842941501917002
70,0.0055458514064589464,0.01421683902955465,0.007842941501917002
71,0.0055458514064589464,0.014656017955241716,0.01025175834027544
