step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/alpha_t_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/alpha_t_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/alpha_t_step
84,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
85,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
86,2.9699999999999995e-06,3.7099999999999996e-06,3.194379291910273e-06
87,2.9699999999999995e-06,3.7099999999999996e-06,3.37565715842438e-06
88,2.9699999999999995e-06,1.8549999999999998e-06,4.0820272625074355e-06
89,2.9699999999999995e-06,3.7099999999999996e-06,4.0820272625074355e-06
90,2.9699999999999995e-06,1.8549999999999998e-06,2.52282307526369e-06
91,2.9699999999999995e-06,1.8549999999999998e-06,2.5949522680934063e-06
92,2.9699999999999995e-06,3.7099999999999996e-06,3.591396656349539e-06
93,2.9699999999999995e-06,1.8549999999999998e-06,3.716112899193441e-06
94,2.9699999999999995e-06,3.7099999999999996e-06,3.716112899193441e-06
95,2.9699999999999995e-06,3.7099999999999996e-06,3.716112899193441e-06
96,2.9699999999999995e-06,3.7099999999999996e-06,3.716112899193441e-06
97,2.9699999999999995e-06,,3.716112899193441e-06
98,2.9699999999999995e-06,1.8549999999999998e-06,3.716112899193441e-06
99,2.9699999999999995e-06,3.7099999999999996e-06,4.6533249319439995e-06
100,2.9699999999999995e-06,1.8549999999999998e-06,4.750011936669967e-06
101,2.9699999999999995e-06,1.8549999999999998e-06,4.750011936669967e-06
102,2.9699999999999995e-06,1.8549999999999998e-06,4.750011936669967e-06
103,2.9699999999999995e-06,3.7099999999999996e-06,4.750011936669967e-06
104,2.9699999999999995e-06,3.7099999999999996e-06,4.750011936669967e-06
105,2.9699999999999995e-06,3.7099999999999996e-06,4.750011936669967e-06
106,2.9699999999999995e-06,3.7099999999999996e-06,4.750011936669967e-06
107,2.9699999999999995e-06,3.7099999999999996e-06,4.750011936669967e-06
108,2.9699999999999995e-06,3.7099999999999996e-06,3.403387487558151e-06
109,2.9699999999999995e-06,3.7099999999999996e-06,4.076699712114059e-06
110,2.9699999999999995e-06,1.8549999999999998e-06,5.069409610252114e-06
111,2.9699999999999995e-06,3.7099999999999996e-06,4.1847500547085384e-06
112,2.9699999999999995e-06,1.8549999999999998e-06,4.627079832480325e-06
113,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
114,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
115,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
116,2.9699999999999995e-06,1.8549999999999998e-06,2.8288860206541244e-06
117,2.9699999999999995e-06,1.8549999999999998e-06,3.0883075804176322e-06
118,2.9699999999999995e-06,3.7099999999999996e-06,3.0883075804176322e-06
119,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
120,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
121,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
122,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
123,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
124,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
125,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
126,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
127,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
128,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
129,2.9699999999999995e-06,3.7099999999999996e-06,2.5489210865699726e-06
130,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
131,2.9699999999999995e-06,1.8549999999999998e-06,3.3347151557337127e-06
132,2.9699999999999995e-06,3.7099999999999996e-06,3.3347151557337127e-06
133,2.9699999999999995e-06,3.7099999999999996e-06,3.3347151557337127e-06
134,2.9699999999999995e-06,3.7099999999999996e-06,4.638739180142066e-06
135,2.9699999999999995e-06,3.7099999999999996e-06,4.638739180142066e-06
136,2.9699999999999995e-06,3.7099999999999996e-06,4.638739180142066e-06
137,2.9699999999999995e-06,1.8549999999999998e-06,4.9122408512315655e-06
138,2.9699999999999995e-06,3.7099999999999996e-06,4.9122408512315655e-06
139,2.9699999999999995e-06,1.8549999999999998e-06,4.9122408512315655e-06
140,2.9699999999999995e-06,3.7099999999999996e-06,3.192531984607321e-06
141,2.9699999999999995e-06,3.7099999999999996e-06,4.3098031332813564e-06
142,2.9699999999999995e-06,3.7099999999999996e-06,3.873147670281618e-06
143,2.9699999999999995e-06,1.8549999999999998e-06,4.0914754017814876e-06
144,2.9699999999999995e-06,3.7099999999999996e-06,4.6813473180055806e-06
145,2.9699999999999995e-06,3.7099999999999996e-06,4.689442892546231e-06
146,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
147,2.9699999999999995e-06,3.7099999999999996e-06,3.055725644903163e-06
148,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
149,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
150,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
151,2.9699999999999995e-06,3.7099999999999996e-06,3.288078894345123e-06
152,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
153,2.9699999999999995e-06,3.7099999999999996e-06,2.600427460540531e-06
154,2.9699999999999995e-06,1.8549999999999998e-06,2.600427460540531e-06
155,2.9699999999999995e-06,1.8549999999999998e-06,2.982685017575302e-06
156,2.9699999999999995e-06,3.7099999999999996e-06,2.982685017575302e-06
157,2.9699999999999995e-06,3.7099999999999996e-06,3.400505176733903e-06
158,2.9699999999999995e-06,3.7099999999999996e-06,3.400505176733903e-06
159,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
160,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
161,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
162,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
163,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
164,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
165,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
166,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
167,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
168,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
169,2.9699999999999995e-06,1.8549999999999998e-06,2.7790346183628143e-06
170,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
171,2.9699999999999995e-06,3.7099999999999996e-06,2.5008486830514733e-06
172,2.9699999999999995e-06,3.7099999999999996e-06,2.516455408497701e-06
173,2.9699999999999995e-06,3.7099999999999996e-06,2.516455408497701e-06
174,2.9699999999999995e-06,3.7099999999999996e-06,3.0150972418951556e-06
175,2.9699999999999995e-06,3.7099999999999996e-06,3.4248474593496384e-06
176,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
177,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
178,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
179,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
180,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
181,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
182,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
183,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
184,2.9699999999999995e-06,1.8549999999999998e-06,2.8446917019515385e-06
185,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
186,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
187,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
188,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
189,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
190,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
191,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
192,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
193,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
194,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
195,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
196,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
197,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
198,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
199,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
200,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
201,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
202,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
203,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
204,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
205,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
206,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
207,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
208,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
209,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
210,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
211,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
212,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
213,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
214,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
215,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
216,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
217,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
218,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
219,2.9699999999999995e-06,3.7099999999999996e-06,2.7286228881612717e-06
220,2.9699999999999995e-06,1.8549999999999998e-06,2.7286228881612717e-06
221,2.9699999999999995e-06,3.7099999999999996e-06,2.7286228881612717e-06
222,2.9699999999999995e-06,1.8549999999999998e-06,2.7286228881612717e-06
223,2.9699999999999995e-06,3.7099999999999996e-06,2.8727225295712012e-06
224,2.9699999999999995e-06,1.8549999999999998e-06,2.8727225295712012e-06
225,2.9699999999999995e-06,1.8549999999999998e-06,2.8727225295712012e-06
226,2.9699999999999995e-06,3.7099999999999996e-06,2.8727225295712012e-06
227,2.9699999999999995e-06,1.8549999999999998e-06,2.7933770946190103e-06
228,2.9699999999999995e-06,3.7099999999999996e-06,3.9261635558586354e-06
229,2.9699999999999995e-06,3.7099999999999996e-06,2.9768926523322405e-06
230,2.9699999999999995e-06,3.7099999999999996e-06,3.6339034408671998e-06
231,2.9699999999999995e-06,1.8549999999999998e-06,4.313809716551236e-06
232,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
233,2.9699999999999995e-06,1.8549999999999998e-06,2.7346261262838413e-06
234,2.9699999999999995e-06,3.7099999999999996e-06,2.826217994314786e-06
235,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
236,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
237,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
238,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
239,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
240,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
241,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
242,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
243,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
244,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
245,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
246,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
247,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
248,2.9699999999999995e-06,3.7099999999999996e-06,2.5791124728501245e-06
249,2.9699999999999995e-06,1.8549999999999998e-06,2.5791124728501245e-06
250,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
251,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
252,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
253,2.9699999999999995e-06,3.7099999999999996e-06,2.846022168206576e-06
254,2.9699999999999995e-06,1.8549999999999998e-06,2.846022168206576e-06
255,2.9699999999999995e-06,1.8549999999999998e-06,2.846022168206576e-06
256,2.9699999999999995e-06,1.8549999999999998e-06,3.2640282518491638e-06
257,2.9699999999999995e-06,1.8549999999999998e-06,3.2640282518491638e-06
258,2.9699999999999995e-06,3.7099999999999996e-06,3.2640282518491638e-06
259,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
260,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
261,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
262,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
263,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
264,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
265,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
266,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
267,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
268,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
269,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
270,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
271,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
272,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
273,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
274,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
275,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
276,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
277,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
278,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
279,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
280,2.9699999999999995e-06,3.7099999999999996e-06,2.8487089967123127e-06
281,2.9699999999999995e-06,1.8549999999999998e-06,3.0825478233729275e-06
282,2.9699999999999995e-06,1.8549999999999998e-06,2.9480897679784527e-06
283,2.9699999999999995e-06,1.8549999999999998e-06,3.135090623971548e-06
284,2.9699999999999995e-06,3.7099999999999996e-06,3.135090623971548e-06
285,2.9699999999999995e-06,1.8549999999999998e-06,3.135090623971548e-06
286,2.9699999999999995e-06,3.7099999999999996e-06,3.135090623971548e-06
287,2.9699999999999995e-06,1.8549999999999998e-06,3.135090623971548e-06
288,2.9699999999999995e-06,3.7099999999999996e-06,3.282981943624742e-06
289,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
290,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
291,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
292,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
293,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
294,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
295,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
296,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
297,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
298,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
299,2.9699999999999995e-06,1.8549999999999998e-06,2.7125390277711283e-06
300,2.9699999999999995e-06,1.8549999999999998e-06,2.7125390277711283e-06
