step,deepseek1.5b_sync_8gpu_entadapt_initial_lr1e-5-training/rollout_probs_diff_std_step,deepseek1.5b_sync_8gpu_entadapt_lr1e-5-training/rollout_probs_diff_std_step
1,0.007642848417162895,0.007642975077033043
2,0.007695118431001902,0.007706107571721077
3,0.007642600685358048,0.007636876776814461
4,0.007764778565615416,0.0077710626646876335
5,0.007722944021224976,0.007690909784287214
6,0.007720635738223791,0.007723781280219555
7,0.007807024288922548,0.007770994678139687
8,0.007789777126163244,0.007720838766545057
9,0.007808649446815252,0.007701427210122347
10,0.007788897957652807,0.0076740821823477745
11,0.0077657802030444145,0.007684660144150257
12,0.007824838161468506,0.007687434554100037
13,0.007824794389307499,0.007718317676335573
14,0.007861888036131859,0.007772030774503946
15,0.007893375121057034,0.007828793488442898
16,0.007993429899215698,0.007935013622045517
17,0.00795377790927887,0.007871453650295734
18,0.007980722934007645,0.007790009491145611
19,0.007959038950502872,0.007809517905116081
20,0.007991268299520016,0.007950657978653908
21,0.00802695658057928,0.007902116514742374
22,0.007967217825353146,0.007973719388246536
23,0.008024618960916996,0.007965510711073875
24,0.008041813969612122,0.008024245500564575
25,0.008049292489886284,0.007996435277163982
26,0.008084014058113098,0.007946241647005081
27,0.008026674389839172,0.008000003173947334
28,0.008074479177594185,0.008072921074926853
29,0.008111502975225449,0.008047943003475666
30,0.008107404224574566,0.007986238226294518
31,0.008218365721404552,0.008074521087110043
32,0.008188901469111443,0.007939447648823261
33,0.008233572356402874,0.007973655126988888
34,0.00823286548256874,0.008022569119930267
35,0.008235253393650055,0.007953467778861523
36,0.008297860622406006,0.00801568478345871
37,0.008179479278624058,0.007942261174321175
38,0.008274934254586697,0.0079823462292552
39,0.008345776237547398,0.008089721202850342
40,0.008318644016981125,0.008081521838903427
41,0.008414126001298428,0.008195084519684315
42,0.008371556177735329,0.008091377094388008
43,0.008344300091266632,0.008046001195907593
44,0.008377032354474068,0.008092348463833332
45,0.008411861956119537,0.008134810253977776
46,0.008423877879977226,0.008140494115650654
47,0.00836589653044939,0.0080872792750597
48,0.008426813408732414,0.008159776218235493
49,0.008382345549762249,0.008069374598562717
50,0.00844033807516098,0.008123711682856083
51,0.008386800065636635,0.00799435656517744
52,0.008434650488197803,0.008004345931112766
53,0.008408266119658947,0.008089259266853333
54,0.008511193096637726,0.008135377429425716
55,0.00850670412182808,0.008211038075387478
