step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/pg_loss_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/pg_loss_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/pg_loss_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/pg_loss_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/pg_loss_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/pg_loss_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/pg_loss_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/pg_loss_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/pg_loss_step
1,0.1453672618315578,0.15454930717213558,0.14832613622594382,0.12874280928070486,0.15330074133213734,0.13966950556570693,0.14786517262989438,0.1386579478068682,0.14483358385582823
2,0.15442141004221224,0.14406126485524978,0.13994589215015302,0.14507764035449114,0.16671965992945853,0.16120134029179534,0.13987948704911324,0.11986713483929634,0.13528101430838985
3,0.15626776497170103,0.13890133809763938,0.13154681441960747,0.1283662674969409,0.1474954010655416,0.15545973989438835,0.1373714038363687,0.1412393612929413,0.13945103317529
4,0.15954246589670212,0.12078335539367148,0.14167110191410504,0.14380581319364,0.1659835135479542,0.16399347399981873,0.15455318490543157,0.1588167943328424,0.16981798035866116
5,0.14390224343107108,0.1573257786683741,0.1623786185776328,0.17959277785726352,0.1552211360242735,0.1488022066581632,0.13811942152984202,0.14980088973329325,0.15531171167224386
6,0.1500262789438122,0.1362802708674942,0.15864494065494017,0.1457605644031622,0.16116944825129087,0.1536152910120173,0.13390839243286545,0.1491231484410097,0.1474811490445782
7,0.14836465332222074,0.15672057657773325,0.17445424914185426,0.16444847040517296,0.13004671598367862,0.1328307642213143,0.14110681051070886,0.13877155781568337,0.15493953809238475
8,0.15151722603353557,0.1331536728377064,0.1548881257331428,0.12171785098330155,0.13850518141327528,0.1319472390339049,0.15913525594712666,0.14870609033202592,0.19924541542766544
9,0.1961383647871888,0.15737811567433915,0.1743331467899095,0.14626879793480796,0.14019148406521847,0.14216983938257768,0.1816884798266432,0.16915981860302054,0.2035348309887013
10,0.22841043703729047,0.14262568870757744,0.1887070352233657,0.13992583817534343,0.15695208883648035,0.14758014651530638,0.16568746393054426,0.1578936259974675,0.17960391329819914
11,0.18008014519690224,0.14602865979177293,0.15915020150431164,0.14921977157458213,0.1388152967417959,0.1496508550658402,0.16053803857035248,0.15544258546067924,0.20489356190098207
12,0.1268533277912621,0.15619872966476023,0.1405860030791296,0.1464090791916533,0.14358918326321318,0.14471793450259915,0.14434603388350525,0.1584128025323534,0.17211347622452938
13,0.10111919506515504,0.14679485148772076,0.06893094736629532,0.15333111259533327,0.1718768653608138,0.17492841269616966,0.12956257308003116,0.14607068777038923,0.1144962335079874
14,0.05470942133718218,0.15793652604249403,0.06452241864255298,0.1361663771186661,0.16236879164091256,0.1779531869058967,0.1368815371538471,0.14388147805204596,0.028960244729741805
15,0.018123482533238453,0.1608703989339399,0.022805681438256172,0.156146662199022,0.1471404496199883,0.16367136080507405,0.1778920985480699,0.17772548875865668,0.024557916566801865
16,0.02071963389793051,0.16200250279531853,0.06460466039303962,0.15507316442593216,0.1547684523347188,0.18741695742429937,0.17325911385552517,0.16017694685156625,0.03416844010511837
17,0.032434426817499945,0.1741458116506692,0.033527935462819354,0.21608418166236815,0.17629941998994103,0.1905468354419489,0.2118805943464395,0.19574855993495952,0.04930943038759021
