step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/parameter_delta_norm_step
106,1.2294950465729926e-05,1.3636007679451724e-05,8.825903933029622e-06,1.0831256076926364e-05,1.3749690879194532e-05,1.06278212115285e-05,1.1020944839401636e-05,1.3858312740921974e-05,1.6807294741738588e-05
107,1.2824401892430616e-05,1.35328846226912e-05,1.1259298844379371e-05,1.0729279892984778e-05,1.3788176147500051e-05,1.0693152944440952e-05,1.0994451258738993e-05,1.3741059774474708e-05,1.6632837287033908e-05
108,1.345359760307474e-05,6.7054616010864265e-06,1.1204486327187624e-05,1.075390991900349e-05,6.854725597804645e-06,1.0543108146521265e-05,1.0772041605378035e-05,1.3619111086882183e-05,1.1804740097431932e-05
109,1.5784380593686365e-05,6.626327376579866e-06,1.1060069482482504e-05,1.0684368135116529e-05,1.3644391401612666e-05,1.0552850653766654e-05,1.0697529432945885e-05,1.3484456758305896e-05,1.4153498341329396e-05
110,1.7614904209040105e-05,6.653742275375407e-06,1.1459146662673447e-05,1.080744004866574e-05,6.8215999817766715e-06,1.058056022884557e-05,1.0525134712224826e-05,6.685140760964714e-06,1.741497908369638e-05
111,1.7756447050487623e-05,1.346020508208312e-05,1.1273895324848128e-05,1.0886617928917984e-05,1.3572484931501094e-05,1.0600846508168615e-05,1.0389776434749363e-05,1.3548894457926508e-05,1.4513360838463996e-05
112,1.7907488654600456e-05,6.739706350344932e-06,1.145077021647012e-05,1.0909850971074777e-05,1.3799016414850485e-05,1.0599927009025125e-05,1.0448915418237448e-05,6.791125542804366e-06,1.5972520486684516e-05
113,1.9158420400344767e-05,1.347511170024518e-05,1.1512419405335096e-05,1.0880360605369788e-05,1.3861603292752989e-05,1.0580487469269428e-05,1.0531963198445736e-05,6.805826615163824e-06,8.669095223012846e-06
114,1.147219882113859e-05,1.3360076081880834e-05,1.2549722669064067e-05,1.0769035725388676e-05,1.372260885545984e-05,1.05305080069229e-05,1.052755214914214e-05,1.3776048945146613e-05,8.638019608042669e-06
115,1.534285729576368e-05,1.3368459804041777e-05,1.5128177437873092e-05,1.0835277862497604e-05,1.3855566976417322e-05,1.0541612937231548e-05,1.0457725693413522e-05,1.3878362551622558e-05,8.54428708407795e-06
116,1.311708638240816e-05,1.3248207324068062e-05,1.7318199752480723e-05,1.081689970305888e-05,1.378371689497726e-05,1.047999376169173e-05,1.0323328751837836e-05,6.806340934417676e-06,9.55054747464601e-06
117,9.137522283708677e-06,6.603156180062797e-06,1.7301694242632948e-05,1.0842870324268006e-05,1.3832844160788229e-05,1.0477697287569754e-05,1.0410097274871076e-05,6.7318287619855255e-06,1.0535592082305811e-05
118,1.0335144907003269e-05,6.5313988670823164e-06,8.746170351514593e-06,1.0866045158763882e-05,1.3749328900303226e-05,1.0592169019219e-05,1.052400784828933e-05,1.3443297575577162e-05,1.0529237442824524e-05
119,9.005963875097223e-06,6.62993079458829e-06,1.1636204362730496e-05,1.0953564014926089e-05,6.7290170591149945e-06,1.053371852322016e-05,1.044325290422421e-05,1.3322029190021569e-05,8.53596611705143e-06
120,8.973145668278448e-06,6.625624337175395e-06,1.1612472917477136e-05,1.1005143278453032e-05,1.3282231520861387e-05,1.0453432878421154e-05,1.0583272342046255e-05,6.72574697091477e-06,8.580397661717143e-06
121,8.988666195364203e-06,1.334832177235512e-05,1.1926575098186731e-05,1.0838600246643182e-05,6.7325258896744344e-06,1.0509966159588656e-05,1.0597569598758128e-05,6.783419394196244e-06,8.666162102599628e-06
122,8.959043952927459e-06,1.330694340140326e-05,1.8478385754860938e-05,1.092511502065463e-05,1.3650511391460896e-05,1.0493616173334884e-05,1.0488963198440617e-05,1.3547211892728228e-05,8.572748811275233e-06
123,9.161601155938117e-06,6.560111160069937e-06,1.8387983800494112e-05,1.0886637937801424e-05,1.3822731489199214e-05,1.0489405212865677e-05,1.0553606443863828e-05,1.3598388250102287e-05,8.526854799129069e-06
124,1.0594617378956173e-05,6.575818133569555e-06,1.960735971806571e-05,1.0774550901260229e-05,6.86158182361396e-06,1.0387201655248646e-05,1.0631191798893267e-05,1.3537433915189467e-05,8.527037607564125e-06
125,1.0677455975383054e-05,1.307753427681746e-05,8.821492883726023e-06,1.0690205272112507e-05,6.938462320249528e-06,1.0415076758363284e-05,1.0637764717102982e-05,6.776931968488498e-06,8.55841426528059e-06
126,9.193036021315493e-06,6.478990144387353e-06,1.0279304660798516e-05,1.0689243936212732e-05,1.3839317944075448e-05,1.0398620361229405e-05,1.0565537195361683e-05,1.359166344627738e-05,8.607597010268364e-06
127,1.1103545148216654e-05,1.2932290701428428e-05,1.0319614375475794e-05,1.070049256668426e-05,1.3827830116497353e-05,1.0363024557591416e-05,1.0731003385444636e-05,6.9320358306868e-06,8.600503861089237e-06
128,1.2763649465341588e-05,1.3028202374698594e-05,1.0269292033626698e-05,1.0678334547264969e-05,1.3682481039722916e-05,1.042368330672616e-05,1.0706855391617864e-05,1.394354330841452e-05,8.514069122611545e-06
129,9.125260476139374e-06,1.2987377886020113e-05,1.023444565362297e-05,1.0610243407427332e-05,1.3608216249849647e-05,1.0422955710964745e-05,1.071775386662921e-05,1.3985427358420566e-05,8.623761459602974e-06
130,1.314453038503416e-05,6.448081876442302e-06,1.104101465898566e-05,1.059971964423312e-05,1.3645499166159423e-05,1.0507270417292602e-05,1.0569646292424297e-05,1.378105935145868e-05,8.463422091153916e-06
131,1.30769394672825e-05,1.2962867913302034e-05,1.1183734386577273e-05,1.074718420568388e-05,6.844504696346121e-06,1.0567964636720715e-05,1.0579028639767785e-05,6.864486749691423e-06,1.1197658750461414e-05
132,9.114256499742623e-06,1.290142972720787e-05,1.2839385817642324e-05,1.0791831300593913e-05,6.803049927839311e-06,1.0483277947059833e-05,1.0512812878005208e-05,1.3792081517749466e-05,1.1190071745659225e-05
133,1.3020800906815566e-05,1.283954316022573e-05,1.2795247130270582e-05,1.075878299161559e-05,1.3661294360645115e-05,1.044217606249731e-05,1.0432163435325492e-05,1.360581154585816e-05,1.1253168850089423e-05
134,1.315759163844632e-05,1.2925434020871762e-05,1.2728422916552518e-05,1.0735454452515114e-05,6.8951057983213104e-06,1.0610586286929902e-05,1.0443059181852732e-05,1.3525523172575047e-05,1.5692457964178175e-05
135,1.3436972949421032e-05,6.494132321677171e-06,1.639348738535773e-05,1.0649629984982312e-05,1.3800577107758729e-05,1.067015909939073e-05,1.0454099538037552e-05,1.3494445738615468e-05,1.580894604558125e-05
136,1.3490797755366655e-05,6.512556865345687e-06,1.637360401218757e-05,1.0473782822373325e-05,1.3831692740495782e-05,1.0583579751255456e-05,1.0561172530287877e-05,1.3452185157802887e-05,1.581299329700414e-05
137,1.3499665328708945e-05,1.310163406742504e-05,1.0759877113741824e-05,1.0614008715492672e-05,1.3800010492559522e-05,1.0657751772669144e-05,1.0763494174170772e-05,6.777487669751281e-06,1.690101998974569e-05
138,1.368046741845319e-05,6.495692105090711e-06,1.352307663182728e-05,1.0509585990803316e-05,6.907059741934063e-06,1.0712258699641096e-05,1.074019201041665e-05,1.3610596397484189e-05,1.690083990979474e-05
139,1.6780833902885206e-05,1.3036165910307318e-05,1.3633371963805985e-05,1.0479006959940309e-05,6.927182312210789e-06,1.0669436960597524e-05,1.0775131158879958e-05,6.86941484673298e-06,1.7029289665515535e-05
140,1.684809467406012e-05,6.5192225520149805e-06,1.3610856512968894e-05,1.0430132533656432e-05,1.3959090210846624e-05,1.0667961760191249e-05,1.0713835763453972e-05,1.37070446726284e-05,1.109883942262968e-05
141,1.687895019131247e-05,1.316841644438682e-05,1.3609035704575945e-05,1.0472563189978246e-05,6.923009550519055e-06,1.0657648090273142e-05,1.0724831554398406e-05,1.3699568626179826e-05,1.501021961303195e-05
142,9.269964721170254e-06,1.31360357045196e-05,1.0897532774833962e-05,1.0545799341343807e-05,1.4157833902572747e-05,1.0688992006180342e-05,1.066240292857401e-05,1.3752679478784556e-05,1.3418589333014095e-05
143,1.377428270643577e-05,6.534133717650548e-06,1.231211717822589e-05,1.0572276551101822e-05,1.3996363122714683e-05,1.0459685654495844e-05,1.0493092304386664e-05,6.8515114435285795e-06,1.4116355487203691e-05
144,1.2841773241234478e-05,1.3078600204607936e-05,1.2308548321016133e-05,1.048940703185508e-05,1.3935436072642917e-05,1.0569366168056147e-05,1.0724311323428992e-05,1.3736873370362446e-05,1.641289964027237e-05
145,1.4593903870263604e-05,1.309235994995106e-05,1.318382601311896e-05,1.0462928912602363e-05,6.929165010660654e-06,1.0649563591869082e-05,1.0728058441600297e-05,1.3912496797274798e-05,1.681734102021437e-05
146,1.4202608326741029e-05,1.3100146134092938e-05,1.3236000086180866e-05,1.0479625416337512e-05,6.901719643792603e-06,1.0679688784875909e-05,1.0774661859613843e-05,1.3965153812023344e-05,9.05954402696807e-06
147,1.435861395293614e-05,6.572038728336338e-06,1.3273120202939026e-05,1.0490343811397906e-05,6.944355391169665e-06,1.0429093890707009e-05,1.069899917638395e-05,1.396486914018169e-05,1.1106685633421876e-05
148,1.4262769582273904e-05,6.572660367965e-06,1.4730719158251304e-05,1.044247346726479e-05,6.885824404889718e-06,1.0426880180602892e-05,1.082448216038756e-05,1.4155269127513748e-05,9.10601556824986e-06
149,8.969248483481351e-06,1.3220723303675186e-05,1.4515667317027692e-05,1.0389631825091785e-05,1.3641410987474956e-05,1.0437446690048093e-05,1.0803280929394532e-05,7.056255071802298e-06,9.139372195932085e-06
150,8.94568074727431e-06,1.3229787327873057e-05,8.971867828222457e-06,1.043895917973714e-05,1.3723400115850382e-05,1.04004138847813e-05,1.0703962288971525e-05,7.037467639747774e-06,9.264922482543623e-06
151,8.864434676070232e-06,1.332330793957226e-05,1.1563364751054904e-05,1.052231982612284e-05,1.3567262612923514e-05,1.0252249012410177e-05,1.0659315194061492e-05,1.4129720511846244e-05,1.212534789374331e-05
152,8.897794941731263e-06,6.6759066612576135e-06,1.1441293281677645e-05,1.049976435751887e-05,6.842295988462865e-06,1.0279140951752195e-05,1.0715640200942287e-05,7.062633812893182e-06,9.206609320244752e-06
153,1.0287818440701813e-05,6.7224000304122455e-06,1.2334594430285506e-05,1.0481159733899403e-05,1.3587679859483616e-05,1.0375670171924868e-05,1.0675614248611964e-05,1.3965568541607354e-05,9.697951099951752e-06
154,1.0216504961135796e-05,6.697773187624989e-06,1.4657193787570575e-05,1.0506312719371635e-05,1.3661697266798e-05,1.0395064236945473e-05,1.0582461982266976e-05,6.8796371124335565e-06,9.507105460215826e-06
155,1.243409042217536e-05,6.653046511928551e-06,8.928937859309372e-06,1.0585196832835209e-05,6.8796853156527504e-06,1.0375171768828295e-05,1.0688620022847315e-05,6.892611963849049e-06,1.0979426406265702e-05
156,1.2415158380463254e-05,6.653221589658642e-06,9.03782438399503e-06,1.0731929251051042e-05,1.3535663129005115e-05,1.0214912435912993e-05,1.0705239219532814e-05,1.3878451682103332e-05,1.101299039873993e-05
157,1.0108803508046549e-05,1.3193673112255055e-05,9.044819307746366e-06,1.0698610822146293e-05,1.3719886737817433e-05,1.0226777703792322e-05,1.0748000931926072e-05,1.3885469343222212e-05,1.2537573638837785e-05
158,1.133168007072527e-05,1.3148661309969611e-05,1.377083026454784e-05,1.0749356079031712e-05,6.849786586826667e-06,1.0277909495925996e-05,1.0842105439223816e-05,1.4080017535889056e-05,1.2523218174465e-05
159,1.089331999537535e-05,1.3237578968983144e-05,1.3759689863945823e-05,1.07361147456686e-05,1.390217676089378e-05,1.0415409633424131e-05,1.083000097423792e-05,7.0321757448255084e-06,9.174034858006053e-06
160,1.1918246855202597e-05,1.315142071689479e-05,1.3576917808677536e-05,1.0759955330286177e-05,6.900513199070701e-06,1.0470701454323716e-05,1.0882647984544748e-05,7.024827482382534e-06,9.224899258697404e-06
161,1.0448071407154202e-05,6.552770628331928e-06,1.3450475307763554e-05,1.072373561328277e-05,6.928598395461449e-06,1.0485419807082508e-05,1.078153400158044e-05,1.397653886670014e-05,9.269901966035832e-06
162,1.1628709216893183e-05,1.3092258996039163e-05,1.1697171430569142e-05,1.0925854439847171e-05,1.386329222441418e-05,1.0481950084795244e-05,1.0911883691733236e-05,6.9503066697507165e-06,9.354543180961628e-06
163,1.160580632131314e-05,1.3286907233123202e-05,1.2676788173848765e-05,1.0846484656212851e-05,1.373204850096954e-05,1.0386766007286496e-05,1.0816444955707992e-05,1.3670553016709164e-05,9.405649507243652e-06
164,1.36008047775249e-05,1.322856860497268e-05,1.4680116692034062e-05,1.0735325304267462e-05,6.975463747949107e-06,1.0422757441119757e-05,1.0791824934131e-05,1.3575243428931572e-05,9.449005119677167e-06
165,9.1154242909397e-06,1.3217151717981324e-05,1.7936881704372354e-05,1.0857312190637458e-05,6.977445082156919e-06,1.048150625138078e-05,1.0833245141839145e-05,6.866668172733625e-06,9.46904401644133e-06
166,9.762962690729182e-06,6.584738002857193e-06,1.783904735930264e-05,1.0787804967549164e-05,1.3914117516833358e-05,1.0532698979659472e-05,1.0714407835621388e-05,1.3601783393824007e-05,9.410011443833357e-06
167,1.0642614142852835e-05,6.633317298110342e-06,1.7913796909851953e-05,1.0821594514709432e-05,6.967901299503865e-06,1.0665252375474664e-05,1.090143541659927e-05,6.89223816152662e-06,9.452600352233276e-06
168,1.2402643733366858e-05,6.609809588553617e-06,1.7828235286287963e-05,1.0915495295193978e-05,1.3956751899968369e-05,1.0708313311624806e-05,1.0801430107676424e-05,1.3773782484349796e-05,9.503268302069046e-06
169,1.346382123301737e-05,1.3250758456706537e-05,1.8015027308138087e-05,1.0885346455324909e-05,1.384344432153739e-05,1.0678887520043643e-05,1.0866734555747826e-05,6.948381269467063e-06,1.0655931873770896e-05
170,1.3384392332227437e-05,6.550237230840139e-06,1.81845261977287e-05,1.0798429684655275e-05,1.3780832887277938e-05,1.0636633305693977e-05,1.1016999451385344e-05,1.3912640497437678e-05,9.598380529496351e-06
171,1.3343279533728492e-05,6.521519935631659e-06,1.8159775208914652e-05,1.0677866157493554e-05,6.808367288613226e-06,1.063565559888957e-05,1.0890323210333008e-05,1.374348812532844e-05,9.50174671743298e-06
172,1.434733349015005e-05,6.55305393593153e-06,1.8370676116319373e-05,1.071522547135828e-05,1.3748702258453704e-05,1.075818363460712e-05,1.0905931048910134e-05,1.37606521093403e-05,9.461611625738442e-06
173,1.4360580280481372e-05,1.3051816495135428e-05,1.8417225874145515e-05,1.0670391930034384e-05,1.3768079952569678e-05,1.0693111107684672e-05,1.0970603398163805e-05,1.3845036846760196e-05,9.489721378486138e-06
174,1.470365714340005e-05,1.306959893554449e-05,1.9040391634916887e-05,1.0681545063562226e-05,1.3802701687382068e-05,1.0684212611522526e-05,1.0944333553197794e-05,1.3649351785716137e-05,1.1195847037015484e-05
175,1.5886756955296732e-05,1.2953983059560414e-05,1.8885908502852544e-05,1.0514744644751772e-05,6.9235752562235575e-06,1.0630354154272936e-05,1.0988444955728482e-05,1.3764147297479212e-05,1.2642714864341542e-05
176,1.6020434486563317e-05,6.537685294460971e-06,1.6733341908548027e-05,1.0425092114019208e-05,6.884336016810266e-06,1.0627946721797343e-05,1.09830680230516e-05,6.872165613458492e-06,9.139502253674436e-06
177,1.6593992768321186e-05,6.531368853757158e-06,1.905038698168937e-05,1.0468134860275312e-05,1.3733352716371884e-05,1.0709581147239078e-05,1.092926504497882e-05,1.385123687214218e-05,9.064287041837815e-06
178,1.6434616554761305e-05,1.3145183402230032e-05,1.9043480278924108e-05,1.0341258530388586e-05,6.769804258510703e-06,1.0603152986732312e-05,1.0915348866546992e-05,6.928172297193669e-06,8.938183782447595e-06
179,1.633486317587085e-05,6.701858183078002e-06,1.9787185010500252e-05,1.0501147698960269e-05,6.831402060925029e-06,1.0496213690203147e-05,1.0893700164160691e-05,7.027773335721577e-06,8.936362974054646e-06
180,1.6594298358540982e-05,1.3189815035730136e-05,1.964526200026739e-05,1.0633529200276826e-05,1.3764167306362651e-05,1.071162932930747e-05,1.0751659829111304e-05,6.9885413722658996e-06,9.0161101979902e-06
181,9.042973942996468e-06,1.3208738891989924e-05,2.2682463168166574e-05,1.0649291652953252e-05,6.902105269546155e-06,1.0776001545309556e-05,1.0777560419228394e-05,6.8923695835110266e-06,8.927817361836787e-06
182,9.989083991968071e-06,6.505369583464926e-06,2.4096703782561235e-05,1.0745089639385697e-05,1.3717450201511385e-05,1.0718273188103922e-05,1.0875661246245729e-05,6.871194273116998e-06,8.922233064367902e-06
183,1.0021861271525268e-05,6.515708719234681e-06,9.169915756501725e-06,1.0735063369793352e-05,6.914915047673276e-06,1.0701273822633084e-05,1.0734307579696178e-05,6.816097538830945e-06,8.880512723408174e-06
184,8.964334483607672e-06,1.3077537005301563e-05,1.2635635357582942e-05,1.0755440598586574e-05,1.3870690054318402e-05,1.065291689883452e-05,1.0527013728278687e-05,6.806552846683189e-06,1.0074271813209634e-05
185,8.98212874744786e-06,1.3203743037593084e-05,9.467862582823727e-06,1.0642664165061431e-05,6.977909379202174e-06,1.0839880815183278e-05,1.0493092304386664e-05,6.962754468986532e-06,8.85234749148367e-06
186,8.978970981843304e-06,6.592355020984542e-06,1.099318342312472e-05,1.052816787705524e-05,1.3728204066865146e-05,1.075413547368953e-05,1.0702450708777178e-05,1.3843276065017562e-05,8.972157047537621e-06
187,8.931895536079537e-06,6.567825494130375e-06,1.0977693818858825e-05,1.04696164271445e-05,1.3565308108809404e-05,1.0741980986495037e-05,1.0812388609338086e-05,1.3806346032652073e-05,8.895388418750372e-06
188,8.875549610820599e-06,6.5747840380936395e-06,1.1070967047999147e-05,1.0575893611530772e-05,1.3643502825289032e-05,1.0854864740394987e-05,1.086786505766213e-05,1.3669060535903554e-05,8.982362487586215e-06
189,8.897289262677077e-06,1.3313456292962655e-05,9.16767203307245e-06,1.0677774298528677e-05,1.3649671018356456e-05,1.0875623047468252e-05,1.078542209143052e-05,1.3807033610646611e-05,9.008838787849529e-06
190,8.846275704854634e-06,1.332942338194698e-05,9.890994988381864e-06,1.0512646440474782e-05,6.867495358164888e-06,1.082408107322408e-05,1.0783398465719074e-05,1.3695883353648242e-05,9.046464583661871e-06
191,8.838068424665835e-06,6.709924946335377e-06,1.005227750283666e-05,1.0644424037309363e-05,1.373141731164651e-05,1.0745437975856476e-05,1.0704946362238845e-05,6.808195394114591e-06,9.060110642167274e-06
192,8.830722435959615e-06,1.3344593753572552e-05,9.99457733996678e-06,1.0569389814918397e-05,6.8794406615779735e-06,1.0617107363941614e-05,1.0701361134124454e-05,6.854968887637369e-06,9.1388683358673e-06
193,8.70409348863177e-06,1.3348697393666951e-05,1.291192074859282e-05,1.060425529431086e-05,6.858326287328964e-06,1.0652252058207525e-05,1.0706168723118026e-05,6.84835686115548e-06,9.17289980861824e-06
194,8.74636407388607e-06,6.6754819272318855e-06,1.28605597637943e-05,1.0494529306015464e-05,1.3814483281748837e-05,1.0537676644162277e-05,1.0547369129199067e-05,1.3526707334676756e-05,9.045923434314318e-06
195,8.861029527906794e-06,1.3362496247282252e-05,9.425943062524311e-06,1.0489849046280142e-05,1.3762346497969702e-05,1.0556617780821398e-05,1.0613721315166911e-05,1.3634223250846844e-05,9.03612090041861e-06
196,8.863885341270361e-06,1.3331939044292083e-05,1.0888858014368452e-05,1.0454368748469278e-05,6.844917152193375e-06,1.0615184692142066e-05,1.058883935911581e-05,6.788129212509375e-06,9.140960173681378e-06
197,8.905659342417493e-06,1.3476405911205802e-05,9.323028280050494e-06,1.0427512279420624e-05,6.886214578116778e-06,1.0717326404119376e-05,1.0701721294026356e-05,1.3541963198804297e-05,9.115776265389286e-06
198,9.009378118207678e-06,6.66793312120717e-06,9.31914837565273e-06,1.055118627846241e-05,1.3642350495501889e-05,1.072951727110194e-05,1.0623301022860687e-05,1.38339073600946e-05,9.26723350858083e-06
199,8.99210681382101e-06,6.644935183430789e-06,9.278087418351788e-06,1.04718219517963e-05,1.384024290018715e-05,1.0709406524256336e-05,1.0703639418352395e-05,1.3838885934092104e-05,9.31540307647083e-06
200,8.97700920177158e-06,6.583666618098505e-06,1.0649871001078282e-05,1.0386021131125744e-05,6.912122898938833e-06,1.053304185916204e-05,1.062589308276074e-05,6.949546332180034e-06,9.376663001603449e-06
201,8.88239901541965e-06,6.641430900344858e-06,1.0733278941188472e-05,1.0463760190759784e-05,1.3720426977670286e-05,1.0534292414376978e-05,1.089864508685423e-05,1.3994164874020498e-05,9.35264597501373e-06
202,8.874907507561147e-06,6.6089214669773355e-06,1.0770437256724108e-05,1.0424650099594146e-05,1.3725798453378957e-05,1.0595857020234687e-05,1.0991051567543764e-05,1.38995192173752e-05,9.354136636829937e-06
203,8.898063242668286e-06,1.3122248674335424e-05,1.0802241376950406e-05,1.0441116501169743e-05,6.779200248274719e-06,1.057058307196712e-05,1.099540531868115e-05,6.921114618307911e-06,9.204522029904185e-06
204,8.868626537150703e-06,6.6441002672945615e-06,9.708316611067858e-06,1.0417304110887926e-05,6.7400314947008155e-06,1.0480709534022026e-05,1.1106961210316513e-05,6.905869213369442e-06,9.171425517706666e-06
205,8.738232281757519e-06,1.2997048543184064e-05,9.728605618875008e-06,1.031400552164996e-05,1.3449289326672442e-05,1.0393468983238565e-05,1.1152317711093929e-05,1.3756100088357924e-05,9.256677913072052e-06
206,8.72488999448251e-06,1.3078572010272184e-05,9.973012311093044e-06,1.0317163287254516e-05,6.70478630127036e-06,1.0391501746198628e-05,1.1133047337352764e-05,6.853595550637692e-06,9.242968189937528e-06
207,8.749721018830314e-06,6.621098236792022e-06,9.943265467882156e-06,1.0421591468912084e-05,6.679358648398193e-06,1.0469150765857194e-05,1.1165813702973535e-05,6.834772193542449e-06,9.199427040584853e-06
208,8.715884177945554e-06,6.693108844046947e-06,9.842344297794623e-06,1.040705137711484e-05,6.7152186602470465e-06,1.046436227625236e-05,1.1410893421270885e-05,6.864555871288758e-06,9.206903087033425e-06
209,8.742228601477109e-06,6.6748452809406444e-06,9.78598382062046e-06,1.0344575457565952e-05,1.3511785255104767e-05,1.048577996698441e-05,1.1433494364609942e-05,6.970558843022445e-06,9.291065907746088e-06
210,8.745199920667801e-06,1.357137443847023e-05,9.819596925808582e-06,1.0410984032205306e-05,1.3534040590457153e-05,1.061294005921809e-05,1.141081884270534e-05,7.003587143117329e-06,9.309533197665589e-06
211,8.740030352782924e-06,1.3584613952843938e-05,9.930009582603816e-06,1.041653104039142e-05,6.735182523698313e-06,1.0464428669365589e-05,1.1379504940123296e-05,7.010136414464796e-06,9.440791473025456e-06
212,8.856746717356145e-06,6.852334536233684e-06,1.0664563887985423e-05,1.0528843631618656e-05,1.35967011374305e-05,1.057960616890341e-05,1.1360333701304626e-05,6.9502825681411196e-06,9.6558078439557e-06
213,8.75708519743057e-06,6.8137496782583185e-06,1.0800290510815104e-05,1.0435501280881e-05,1.3844053682987578e-05,1.0574067346169612e-05,1.1395174624340145e-05,6.914972345839487e-06,9.811691597860772e-06
214,8.787154001765884e-06,1.3459390174830332e-05,1.023902132146759e-05,1.0386115718574729e-05,1.3695476809516547e-05,1.0565623597358352e-05,1.1291263035673182e-05,6.8047629611101e-06,9.670996405475307e-06
215,8.849091500451323e-06,6.913915512996027e-06,1.0562304851191584e-05,1.0528025995881762e-05,1.3721877621719614e-05,1.0661167834769005e-05,1.1391393854864871e-05,1.3638752534461672e-05,9.723406037664972e-06
216,8.806360710877925e-06,1.3775840670859909e-05,1.0569486221356785e-05,1.032775890053017e-05,6.735131137247663e-06,1.0568983270786704e-05,1.154072924691718e-05,1.3684267287317198e-05,9.882127415039577e-06
217,8.80368497746531e-06,6.948040663701249e-06,1.0768009815365076e-05,1.0335639672121031e-05,1.348238674836466e-05,1.0451654816279188e-05,1.145805526903132e-05,6.7383612076810095e-06,1.0025619303632992e-05
218,8.925138899940066e-06,1.4009980077389628e-05,1.0832497537194286e-05,1.0414974894956686e-05,6.7664705056813546e-06,1.0496216418687254e-05,1.1365954378561582e-05,6.7275273067934904e-06,1.0036636012955569e-05
219,8.878978405846283e-06,1.4144951819616836e-05,1.0768779247882776e-05,1.0393227967142591e-05,1.3507977200788446e-05,1.0487664440006483e-05,1.1515923688421026e-05,1.3599000340036582e-05,1.138276911660796e-05
220,8.79166054801317e-06,6.995720923441695e-06,1.0638555067998824e-05,1.017934482661076e-05,1.3536661754187662e-05,1.0409218702989165e-05,1.1470544450276066e-05,6.734351245540893e-06,1.129088286688784e-05
221,8.759469892538618e-06,1.4246917089622002e-05,1.0668877621355932e-05,1.0106195077241864e-05,1.3455595762934536e-05,1.0246310012007598e-05,1.1415476365073118e-05,1.3454139661916996e-05,1.1499021638883278e-05
222,9.384045370097738e-06,7.154308150347788e-06,1.0831467079697177e-05,1.0135446245840283e-05,6.769794254068984e-06,1.0361742170061916e-05,1.1303299288556444e-05,6.737466719641816e-06,1.1644615369732492e-05
223,9.47221997193992e-06,7.2120105869544204e-06,1.0815567293320782e-05,1.0158982149732765e-05,1.3689391380466986e-05,1.0434904652356636e-05,1.127020914282184e-05,1.3429960745270364e-05,1.2909400538774207e-05
224,9.411536666448228e-06,1.4391594049811827e-05,1.0848519195860716e-05,1.0214780559181236e-05,6.8493368416966405e-06,1.0379655577708036e-05,1.143361714639468e-05,6.82510290062055e-06,1.3753330676991029e-05
225,9.418913577974308e-06,7.1899648901307955e-06,1.0817665497597773e-05,1.0211127118964214e-05,6.885284165036865e-06,1.0379601917520633e-05,1.1235583770030644e-05,6.8058106990065426e-06,1.3848036360286642e-05
226,1.2202266589156352e-05,7.2088178058038466e-06,1.0873408427869435e-05,1.0274639862473124e-05,6.885262791911373e-06,1.0292775186826477e-05,1.125542439694982e-05,1.3520903848984744e-05,1.4297610505309422e-05
227,1.221970160258934e-05,7.326224931603065e-06,1.1058940799557604e-05,1.0478889635123778e-05,1.3908156688557938e-05,1.0252679203404114e-05,1.1225046364415904e-05,6.854245384602109e-06,1.4370055396284442e-05
228,8.71734937391011e-06,1.4605528122046962e-05,1.0979498256347142e-05,1.0596860192890745e-05,1.3912881513533648e-05,1.0211892004008403e-05,1.1168910532433074e-05,1.3580763152276631e-05,2.02879382413812e-05
229,8.834514119371306e-06,7.357376034633489e-06,1.074565079761669e-05,1.0754838513094e-05,7.064760211505927e-06,1.0277164619765244e-05,1.1165087926201522e-05,1.3528603631129954e-05,1.5984933270374313e-05
230,8.764806807448622e-06,7.414922492898768e-06,1.062674982676981e-05,1.0755446965049488e-05,7.085150627972325e-06,1.0331782505090814e-05,1.1195937076990958e-05,1.351340233668452e-05,2.0012523236800916e-05
231,8.696027180121746e-06,7.345986887230538e-06,1.0538424248807132e-05,1.0782485333038494e-05,1.4172125702316409e-05,1.0387720067228656e-05,1.1090988664363977e-05,6.70474537400878e-06,2.4168701202142984e-05
232,8.78006721904967e-06,7.4129093263763934e-06,1.0396701327408664e-05,1.0870133337448353e-05,1.433283705409849e-05,1.041510495269904e-05,1.101839734474197e-05,1.3263330401969142e-05,1.4262540389609056e-05
