step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/parameter_delta_norm_step
26,2.9906490453868173e-05,1.7338079487672076e-05,1.5964888007147238e-05,1.417501061951043e-05,1.801861435524188e-05,1.425016307621263e-05,1.4408331480808556e-05,8.69987161422614e-06,1.118165619118372e-05
27,2.948248402390163e-05,8.68357892613858e-06,1.7800297428038903e-05,1.4144006854621692e-05,1.790703390724957e-05,1.4068633390706964e-05,1.4445759916270616e-05,1.7132060747826472e-05,1.1064101272495463e-05
28,3.2227402698481455e-05,8.598300155426841e-06,1.051646177074872e-05,1.4118910257820971e-05,1.771934148564469e-05,1.405602233717218e-05,1.4106435628491454e-05,1.7086482330341823e-05,1.0894756997004151e-05
29,1.528425855212845e-05,1.7167829355457798e-05,1.032655836752383e-05,1.3961314834887162e-05,8.858618457452394e-06,1.4112412827671506e-05,1.4026183634996414e-05,8.489969332003966e-06,1.212391180160921e-05
30,2.3823466108297e-05,1.7103169739129953e-05,1.0076243597723078e-05,1.3910082088841593e-05,1.7529055185150355e-05,1.3963536730443591e-05,1.4077760170039255e-05,1.6971358490991406e-05,1.0096108780999202e-05
31,2.3559983674203977e-05,1.6906336895772256e-05,1.0039859262178652e-05,1.3683767065231224e-05,1.7338745237793773e-05,1.3795503036817536e-05,1.3885373846278526e-05,1.687380972725805e-05,9.909250366035847e-06
32,2.3279817469301634e-05,1.6881291230674833e-05,9.932879947882611e-06,1.3570629562309476e-05,1.7185042452183552e-05,1.3583628060587216e-05,1.3668747669726145e-05,1.683348455117084e-05,9.737957952893339e-06
33,2.2838768927613273e-05,8.368086128029972e-06,9.815447810979094e-06,1.355020413029706e-05,1.7215234038303606e-05,1.3485216186381876e-05,1.3524581845558714e-05,1.661875103309285e-05,1.672401776886545e-05
34,2.273122845508624e-05,8.488173989462666e-06,9.795397090783808e-06,1.3502517504093705e-05,1.734297075017821e-05,1.3538223356590606e-05,1.342903033219045e-05,8.323376277985517e-06,2.03581166715594e-05
35,9.50013145484263e-06,1.6896927263587713e-05,9.665778634371236e-06,1.3321770893526264e-05,8.593963684688788e-06,1.3523223969968969e-05,1.3316092918103097e-05,8.328854164574295e-06,2.019695966737345e-05
36,1.482562493038131e-05,8.353893463208806e-06,9.52094796957681e-06,1.333394266112009e-05,1.716978476906661e-05,1.358980716759106e-05,1.3203453818277922e-05,8.273141247627791e-06,2.055052937066648e-05
37,1.6658679669490084e-05,8.29918008093955e-06,9.385726116306614e-06,1.327982226939639e-05,1.7085501895053312e-05,1.3536879123421386e-05,1.3243745343061164e-05,1.672964026511181e-05,2.0636292902054265e-05
38,1.64689845405519e-05,1.6748093912610784e-05,9.4406595962937e-06,1.3215931176091544e-05,1.710513788566459e-05,1.332058945990866e-05,1.333217733190395e-05,8.465154678560793e-06,2.093486546073109e-05
39,1.7849364667199552e-05,8.372415322810411e-06,9.468063581152819e-06,1.3359921467781533e-05,1.7299558749073185e-05,1.3338714779820291e-05,1.3288620721141342e-05,1.6849708117661066e-05,1.3483611837727947e-05
40,1.7839680367615074e-05,1.6687614333932288e-05,9.47869830270065e-06,1.3399164345173633e-05,8.580836038163397e-06,1.3270318959257564e-05,1.3394761481322348e-05,8.271715159935411e-06,1.7535207007313147e-05
41,1.8004016965278424e-05,1.653648905630689e-05,9.36630658543436e-06,1.3392887922236696e-05,8.619721484137699e-06,1.335828892479185e-05,1.3304746062203776e-05,1.675165731285233e-05,1.7884607586893253e-05
42,1.8153708879253827e-05,1.6521824363735504e-05,9.278431207349058e-06,1.33342045955942e-05,1.7208689314429648e-05,1.32876757561462e-05,1.3172650142223574e-05,8.311528290505521e-06,2.0579134798026644e-05
