step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/entropy_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/entropy_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/entropy_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/entropy_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/entropy_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/entropy_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/entropy_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/entropy_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/entropy_step
1,0.6537307500839233,0.6519233584403992,0.652776300907135,0.6528533101081848,0.6541194319725037,0.6536279916763306,0.674420177936554,0.6720290780067444,0.6784077286720276
2,0.6744199395179749,0.6676925420761108,0.6694098711013794,0.6656309962272644,0.6713629961013794,0.6700661778450012,0.6714232563972473,0.6753057241439819,0.6713986992835999
3,0.6779273152351379,0.6736635565757751,0.6745586395263672,0.6783410310745239,0.6745572090148926,0.675753116607666,0.6774362921714783,0.6767801642417908,0.6806291341781616
4,0.6458608508110046,0.647102415561676,0.6490314602851868,0.6422710418701172,0.6480249166488647,0.6501617431640625,0.6635209321975708,0.6629853248596191,0.6634091138839722
5,0.6840373277664185,0.660504162311554,0.6594293117523193,0.6594970226287842,0.6883697509765625,0.6829880475997925,0.6911513209342957,0.6944734454154968,0.6905102729797363
6,0.6573163270950317,0.6663631796836853,0.6569265723228455,0.6677623987197876,0.6639235019683838,0.667936384677887,0.6465795636177063,0.6374832391738892,0.651837170124054
7,0.6492627263069153,0.6342499256134033,0.6205325722694397,0.6413457989692688,0.669685959815979,0.6671124696731567,0.6582878828048706,0.6571535468101501,0.6644442677497864
8,0.6394973993301392,0.6731407642364502,0.6718571782112122,0.672059178352356,0.6703398823738098,0.6652213931083679,0.6716527938842773,0.6770902276039124,0.6863964796066284
9,0.6259872913360596,0.6589213013648987,0.6308391690254211,0.6555914878845215,0.6686223745346069,0.6646480560302734,0.6881891489028931,0.6791224479675293,0.6962242722511292
10,0.6113536357879639,0.6871930360794067,0.6438630223274231,0.6927769780158997,0.684008777141571,0.6666985750198364,0.6537100672721863,0.6498268246650696,0.6505933403968811
11,0.5817383527755737,0.6354315280914307,0.560056209564209,0.6369267702102661,0.6811192631721497,0.6655911803245544,0.6614367365837097,0.6574803590774536,0.6245488524436951
12,0.557584285736084,0.6240631341934204,0.5275247693061829,0.6285357475280762,0.6421353816986084,0.634537935256958,0.6714037656784058,0.6679813861846924,0.5863184332847595
13,0.5648570656776428,0.6649266481399536,0.5209655165672302,0.664998471736908,0.6651574373245239,0.6429941654205322,0.6146695017814636,0.6110941767692566,0.5061954855918884
14,0.5647868514060974,0.651702344417572,0.4908846914768219,0.643311083316803,0.6820172071456909,0.6611610651016235,0.6221904754638672,0.6190873384475708,0.49635225534439087
15,0.55555659532547,0.634548008441925,0.45560917258262634,0.6374103426933289,0.6369845867156982,0.6186553239822388,0.6653081178665161,0.6591494083404541,0.4745761752128601
16,0.5447894930839539,0.6585525870323181,0.4812949597835541,0.644506573677063,0.6369152665138245,0.6063689589500427,0.6439489126205444,0.6381934285163879,0.46854037046432495
17,0.562916100025177,0.6111922264099121,0.4629378318786621,0.6090690493583679,0.6661627292633057,0.6248412132263184,0.6274540424346924,0.6302369832992554,0.43113991618156433
18,0.618153989315033,0.6125217080116272,0.4715921878814697,0.6054546236991882,0.6465539932250977,0.6138713359832764,0.6074850559234619,0.5942100882530212,0.4182409644126892
19,0.6588315367698669,0.6254116296768188,0.45462626218795776,0.6170287728309631,0.6410840749740601,0.6046417951583862,0.6304343342781067,0.6137189865112305,0.409957617521286
20,0.6970924735069275,0.6334758400917053,0.4540985822677612,0.6088979244232178,0.6634799242019653,0.6131075024604797,0.6433372497558594,0.6259232759475708,0.431010365486145
21,0.689271867275238,0.6039354205131531,0.437053918838501,0.5937589406967163,0.655539870262146,0.6063083410263062,0.6350728273391724,0.6118655204772949,0.4226780831813812
22,0.7021739482879639,0.6114530563354492,0.45407748222351074,0.5937506556510925,0.6564901471138,0.6013332009315491,0.5591495633125305,0.5447392463684082,0.40929484367370605
23,0.7228973507881165,0.6080845594406128,0.44833481311798096,0.6057859659194946,0.653731644153595,0.5875190496444702,0.5882593989372253,0.5688982605934143,0.4250498712062836
