step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/g_dot_positive_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/g_dot_positive_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/g_dot_positive_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/g_dot_positive_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/g_dot_positive_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/g_dot_positive_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/g_dot_positive_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/g_dot_positive_step
156,0,0,0,1,1,1,0,1
157,1,1,0,0,1,1,0,1
158,0,1,1,0,0,0,1,1
159,1,1,0,0,1,1,0,0
160,1,1,0,1,0,0,1,0
161,1,0,0,1,0,1,1,1
162,1,1,1,0,1,0,1,0
163,0,1,0,1,1,0,0,1
164,1,1,1,1,0,1,0,1
165,1,1,1,1,0,0,1,0
166,0,0,0,0,1,0,1,1
167,1,0,0,1,0,0,0,0
168,1,0,0,0,1,1,0,1
169,1,1,0,1,1,0,0,0
170,0,0,1,1,1,1,1,1
171,0,0,0,1,0,1,0,1
172,1,0,0,1,1,0,1,1
173,0,1,0,1,1,1,0,1
174,1,1,1,0,1,1,0,1
175,1,1,0,1,0,0,1,1
176,1,0,1,0,0,0,0,0
177,1,0,1,0,1,0,1,1
178,0,1,0,1,0,0,0,0
179,0,0,1,0,0,0,1,0
180,0,1,0,0,1,1,0,0
181,1,1,1,0,0,1,1,0
182,1,0,1,0,1,0,0,0
183,0,0,1,0,0,0,0,0
184,1,1,0,1,1,1,0,0
185,1,1,1,0,0,1,1,0
186,1,0,0,1,1,0,1,1
187,1,0,0,0,1,1,1,1
188,1,0,0,0,1,1,0,1
189,0,1,1,1,1,0,1,1
190,1,1,0,1,0,1,0,1
191,1,0,0,0,1,1,0,0
192,1,1,0,0,0,0,0,0
193,0,1,1,0,0,1,0,0
194,0,0,0,0,1,1,0,1
195,1,1,1,0,1,1,1,1
196,0,1,1,1,0,1,0,0
197,1,1,1,0,0,1,0,1
198,0,0,1,1,1,1,0,1
199,1,0,1,1,1,1,1,1
200,1,0,1,0,0,0,0,0
201,1,0,0,1,1,1,1,1
202,0,0,0,0,1,1,1,1
203,0,1,0,0,0,0,1,0
204,1,0,1,0,0,1,1,0
205,0,1,0,0,1,1,1,1
206,1,1,1,0,0,1,0,0
207,1,0,0,1,0,1,0,0
208,0,0,0,1,0,0,1,0
209,0,0,1,0,1,1,1,0
210,0,1,0,0,1,1,0,0
211,1,1,1,1,0,0,1,0
212,1,0,1,0,1,0,1,0
213,0,0,0,0,1,0,1,0
214,0,1,1,0,1,1,0,0
215,1,0,0,1,1,1,1,1
216,1,1,1,1,0,1,0,1
217,1,0,1,0,1,0,0,0
218,0,1,1,1,0,1,1,0
219,0,1,1,0,1,1,1,1
220,1,0,1,1,1,0,1,0
221,0,1,0,0,1,1,0,1
222,1,0,1,0,0,0,0,0
223,0,0,0,0,1,0,0,1
224,0,1,1,1,0,0,1,0
225,0,0,0,0,0,0,0,0
226,1,0,0,0,0,0,1,1
227,0,0,0,1,1,1,0,0
228,1,1,0,1,1,1,0,1
229,0,0,1,1,0,0,1,1
230,1,0,1,1,0,1,0,1
231,1,0,1,1,1,1,0,0
232,1,0,0,0,1,0,0,1
233,1,0,0,0,0,1,0,0
234,1,1,0,0,0,1,0,1
235,1,0,1,0,1,1,1,1
236,1,1,1,0,1,1,1,1
237,0,1,0,0,0,0,0,1
238,1,1,1,0,1,1,1,1
239,1,0,1,1,1,0,0,0
240,1,1,1,0,1,1,0,1
241,1,1,1,1,1,0,0,1
242,0,1,0,1,1,0,1,1
243,1,1,0,1,1,0,0,1
244,1,1,1,0,0,0,1,1
245,1,0,1,1,0,0,0,0
246,0,1,0,0,0,0,1,1
247,1,1,1,1,1,0,1,0
248,0,1,0,0,1,0,0,1
249,1,0,1,1,1,0,0,0
250,0,0,0,1,0,0,1,1
251,1,1,1,1,0,0,1,1
252,0,0,0,1,1,1,1,1
253,0,1,1,0,0,0,1,1
254,0,1,0,0,1,0,1,0
255,1,0,0,1,0,0,1,0
256,0,1,0,0,1,0,1,0
257,1,1,1,1,1,1,0,0
258,0,0,0,0,1,0,1,1
259,0,1,1,1,0,0,0,0
260,0,0,1,0,1,1,1,0
261,1,0,1,0,1,0,0,1
262,1,0,1,0,0,0,1,0
263,1,0,0,1,1,1,1,0
264,0,1,0,0,1,0,0,0
265,0,0,1,1,1,1,0,0
266,0,1,1,1,0,1,1,1
267,1,0,0,1,0,0,0,1
268,0,0,1,1,1,0,1,1
269,1,1,1,0,1,1,0,0
270,1,1,0,0,1,1,1,1
271,0,1,0,0,0,1,0,1
272,1,1,1,1,0,1,0,0
273,0,0,1,1,1,1,1,1
274,1,0,0,0,0,0,1,1
275,0,0,0,1,0,1,1,1
276,1,1,1,1,0,1,1,1
277,0,1,1,1,1,0,0,1
278,0,1,1,0,1,1,0,1
279,0,1,1,1,0,1,1,1
280,1,0,0,0,1,1,1,1
281,0,0,0,1,0,0,0,0
282,1,1,1,1,1,1,0,0
283,1,0,1,0,0,0,0,0
284,1,1,1,0,0,1,0,1
285,0,0,0,0,0,1,1,0
286,1,0,0,0,1,0,0,1
287,0,0,1,1,1,1,1,0
288,0,1,0,0,1,1,1,1
289,1,0,0,0,0,1,1,1
290,0,1,1,1,1,0,1,0
291,1,0,1,1,0,1,0,0
292,0,0,1,1,1,0,1,0
293,0,1,1,1,0,1,0,0
294,1,1,1,0,1,1,1,0
295,0,0,1,1,0,0,0,1
296,1,1,1,1,1,0,1,1
297,1,1,1,1,0,1,0,1
298,0,1,1,1,1,1,0,0
299,0,0,0,1,0,0,1,0
300,1,1,1,1,0,0,0,0
