step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/g_A1_dot_A2_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/g_A1_dot_A2_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/g_A1_dot_A2_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/g_A1_dot_A2_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/g_A1_dot_A2_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/g_A1_dot_A2_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/g_A1_dot_A2_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/g_A1_dot_A2_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/g_A1_dot_A2_step
12,8.122254010847393e-05,-2.001291716716672e-06,-4.210627436210051e-05,0.00014422295910780647,9.145953221247385e-05,2.7778836994546243e-05,4.749769470682922e-05,7.105170088145729e-05,0.00011155234654153286
13,-0.00026001722461372256,-6.767664731169704e-05,3.592178238654494e-05,-7.165497292824814e-05,9.603291654446958e-05,-7.133089976850395e-06,1.5169804819883914e-05,0.00012333402040425948,0.0001015306686485832
14,-0.00020269250959797515,1.9171704275105123e-05,6.930605231168449e-05,9.4227756480053e-05,1.1485409643806014e-05,1.0517135601928714e-05,-1.7353831481705873e-05,0.00011085279345347042,-3.548726011322757e-05
15,0.00036730808526073,8.130647987036729e-05,1.233662919637081e-05,9.03262439795308e-05,4.9586898039345825e-05,-1.8078931098843804e-05,3.641011893402815e-05,2.7080057025729792e-05,0.0003142859670082752
16,0.00020611448214252808,3.2214716231008625e-05,9.454568925059351e-05,0.00016151753898839937,-6.636542954353956e-05,2.442725357854567e-05,-8.19961712472928e-05,0.00010287828255622684,3.6561388637995894e-06
17,0.00016780079145283191,-7.721781988358189e-05,0.00011881046162804644,9.181526399660058e-05,0.00023753635434386753,-4.237113008865849e-05,0.000192043286568623,-0.0002076881424112764,4.387302314694034e-05
18,-8.697941863334306e-05,1.2171375787003738e-05,8.391388599886258e-05,3.69084328350031e-05,-0.00013262479251674485,-7.871455233771726e-05,0.000146866112821937,0.00013762336695537426,6.991312114073468e-06
19,-5.409979056059639e-05,6.933473947894634e-05,-1.3612452003152092e-05,2.9707861873040627e-05,-4.902187246788756e-05,7.342427589486481e-05,2.1228762704013045e-05,2.9569819743959288e-05,9.072906595637432e-05
20,5.5944323901288235e-05,-2.2901847113299086e-06,3.411876232824956e-05,8.241836799776461e-05,-2.992756016956725e-05,0.0001511938947622205,0.00019989129533015343,1.263015769504634e-05,-0.0001002075305139477
21,0.0002508428287552365,-6.594595584202696e-06,0.00012339351121582704,0.0001081211514836062,-8.372918089205573e-05,0.0001365721210101973,6.383129929706e-05,-0.0001478964798548652,2.600610832634143e-05
22,0.00027206123736921265,6.941529743415192e-05,4.544355493035537e-05,0.00011389670107383316,-9.391955621952356e-05,1.2455773662080863e-05,0.0001329090004634331,6.842717705980702e-05,2.7915798500109708e-05
23,-4.552733776505058e-05,-2.3326375317887226e-05,2.0014436663381257e-05,0.00015218855324140835,5.2070232246537466e-05,-1.9887333256889235e-05,0.00012573823405952488,-1.8783026259081955e-05,9.406711015913423e-05
24,-0.00015829863626465752,-0.00022208176081776944,0.00016543428529967912,0.00014581038321813644,4.922764694993372e-05,3.555386287289487e-05,0.00016539756811038931,0.00017905885865877769,-0.0001058213863503996
25,0.00015817646660194705,6.318231727915541e-05,-8.969924389973526e-05,1.0608209018136789e-06,1.4870356080431467e-05,-1.5026152035818208e-05,7.207406163300853e-05,-0.00012774884489299252,3.833187708479882e-05
26,-7.833116468770358e-05,0.00020470059126117423,0.0001652532374772486,0.00025933096670229883,0.00017916334519766107,-0.00016421156320059065,-0.00014093867658371374,-6.138077653181145e-05,7.361832126517695e-05
27,-0.0002220904664632753,-0.00010393645605711134,0.00014037447429439442,7.012983603629821e-05,9.960569988916036e-05,-7.241439688080436e-05,2.80746213126745e-05,0.0001224645589972352,-9.991920540392267e-05
28,0.00026804005927287387,-0.00016220456924220705,1.0917490691515402e-05,0.00023827964789950744,3.233810602699491e-05,9.0197899064856e-05,-8.441897154854672e-05,8.46517280934935e-05,-2.049539171280841e-05
29,7.71969031200936e-05,9.97492289990242e-05,1.5950804564422076e-05,-0.0001827163322637385,-3.0918766157644866e-05,-0.00011580305035494614,-0.00013584705811074018,-4.0871667176108145e-05,9.20097658338248e-05
30,0.0001236726172163551,7.524291516247017e-05,3.2921520324737505e-05,5.1898844660891384e-05,2.3210182838676836e-05,-3.175056020500975e-05,-2.5366030492140995e-05,0.0001491115305956329,2.489000795230175e-05
31,-4.0134541188426286e-05,1.4130778347578849e-05,5.556790484363091e-05,-4.894297162477677e-05,6.199275503377266e-05,-1.4563036006095094e-05,-5.118107644462118e-05,1.9453211315130465e-05,4.644025427341886e-05
32,-1.9509064516972615e-05,0.000452837720533285,6.3020714137641395e-06,4.75229135646957e-05,3.271173922942299e-05,5.339674909775408e-05,-5.938889873860407e-05,0.00010114842347688908,-2.378978658721753e-05
33,-1.298301840784e-05,-0.00012856355260534443,-2.9705844536046413e-05,4.4040444170205585e-05,0.0001873736910593813,0.0001065521430897202,4.576539109295536e-05,5.259706016001415e-05,0.00030319173976964996
34,-7.562206956406675e-05,-3.4572655613708728e-06,-3.5954394031590486e-05,6.158840698091184e-05,7.258335522734822e-05,-4.3788309149910066e-05,-8.544181932666686e-06,-5.498454456729376e-05,0.00021044069964748903
35,2.995278341908042e-05,1.4307915715670172e-05,-8.568516127911718e-05,9.49233601048534e-05,-7.502030893416272e-06,1.6765250241882276e-05,2.658555144097526e-05,-4.947695786141602e-05,-0.00032073377844441046
36,-6.563448667895139e-05,-3.489379185725731e-05,-0.00010935934198839204,3.779259695329091e-05,0.00018111106781941392,-0.00017836983428215735,-0.0001618905161461051,-3.641534492435084e-05,8.910272164637056e-05
37,0.00014769297620494367,-6.0286551306319056e-05,6.246332690814052e-05,-5.965343979385306e-05,0.0001430254623013946,1.7862517050241333e-05,1.689203835125912e-05,0.00027564669951850155,-1.401434839265302e-05
38,-8.922589729269928e-05,0.0001488948402675025,-0.00012006967706045194,8.957044302107903e-06,4.4453712648194555e-05,0.00012983932020520946,0.00023151366911867567,-3.5654948685759895e-05,-0.00012896626240875743
39,0.00012099338203834936,-0.00014514901057269798,-3.909122690743865e-05,-8.932752351193972e-05,0.0001506086538826937,-0.000126415845651497,-8.644802370656262e-05,5.150392894577237e-05,4.7991199998951125e-05
40,-0.0001802353986980645,3.522787285460318e-05,-8.78991034054855e-05,-0.00012527550731261197,-0.00016911242759607998,0.00012965672412908213,9.317473351621192e-05,-0.00014301009973013726,7.537715092625292e-05
41,-0.0001521729930030431,0.0002330935281055917,1.0510702865812043e-05,1.4581374678673202e-05,-0.00019703791921520943,1.939599579111922e-06,8.473777646514847e-06,9.773672283728725e-05,8.649337244917031e-05
42,-2.8567242005237064e-05,5.848193624068092e-05,-0.00010698755873802525,7.805643937983009e-05,0.00015830575148696044,1.6372270079511478e-05,0.0001610903024567214,-7.067787403564497e-05,0.0001645400469816537
43,-3.436290118428594e-05,-0.00010369109005671,6.974611910333121e-05,0.00027964547021092285,7.196116245260479e-05,-4.328639057055463e-05,-7.323127689302105e-05,-1.5042381100369596e-05,-0.00012231865907985902
44,4.1797777044156314e-05,-3.973197838893005e-05,2.656664363347429e-05,1.2255868268500428e-05,-2.1505876866508103e-05,-0.00017430465392822916,-5.730957704537535e-05,1.8312702411706595e-05,5.651475239318796e-05
45,0.00022132874540677457,-9.020458653809044e-05,6.612705388031214e-05,-7.740347161429984e-05,-1.706711073379621e-05,6.819959264803964e-05,-2.5057332901421115e-05,-3.107006293121468e-05,4.1214960655338646e-05
46,4.881399471269716e-05,-0.00015775702373826107,-3.632138156613254e-05,-0.00011879204933357024,-0.0001941282664906004,0.0002048282570292901,-1.2825985678913171e-05,6.305287367039191e-05,1.4291839327007995e-05
47,0.00013111654530481202,5.136015844368002e-05,0.0002765227625882579,-4.336447365592729e-05,7.632801828829948e-05,4.36944150292859e-05,0.00012385865678602934,7.61497708392461e-05,-6.629990528695494e-08
48,0.00024028325679073615,1.1333858955429214e-05,-8.732897981858437e-06,8.152841580012283e-05,0.00018440790752956488,7.17345865194168e-05,-3.774809700582071e-05,-0.00021097900454613075,-0.00015806273447465912
49,7.143303156416315e-05,0.0001320539536331407,4.502405126793856e-06,-6.945530166993799e-05,-0.00021956467227706255,4.962095768061716e-05,-4.464038696755138e-05,-6.279411211159587e-05,-2.588409924876305e-05
50,-5.821907508706088e-05,2.7496158732629975e-05,-4.35916559941811e-06,-0.00013554660070372283,-7.354546196410513e-05,-8.584792375341471e-05,0.00011608187325795748,-5.485839197078005e-05,-3.468092970980169e-05
51,3.56873598147464e-05,-2.356286845261209e-05,-9.430724569259954e-05,-7.150551926594144e-05,2.1599261367358317e-06,0.00012431233680772715,-0.00015492428710910358,0.0002282383342306775,-0.00019417833783884176
52,-0.00010224632737795655,9.797724093942782e-05,0.00010354844329150838,-0.00017763362742144248,0.00013128077861698111,-1.530663087068661e-05,6.994072826901371e-05,7.601507653821333e-05,6.850423991979527e-05
53,0.00012647757868055674,0.0001634063288440214,3.594952712957453e-05,1.0517697077462351e-06,-1.8431120582006213e-05,2.4991332514173316e-05,-5.693467907295885e-05,-6.168780679087615e-06,0.00011030833099568838
54,-4.4823698033525907e-05,-1.6415823894462926e-05,-9.661341907471104e-05,5.275710963691832e-05,-8.984319253363818e-05,5.404705764658289e-05,-6.261333953027026e-05,9.358676790871988e-05,1.0763944115753536e-05
55,0.00015388034454956464,-0.00010215793032394664,6.715584624419961e-05,8.287327143524325e-06,1.026924787805161e-05,-8.917342888360693e-05,-5.2812109017687905e-05,0.00011332816405373428,-7.393999801368119e-05
56,3.15720182960762e-05,-5.8702673794807886e-05,-4.8939759490412943e-05,-5.7183521311969915e-05,2.4557647736281108e-06,-6.421359509534066e-05,0.000125809988010391,0.00016710542751499115,-2.2853798455389902e-05
57,2.007604963971489e-05,4.5971510366873245e-05,2.1510080770420943e-05,8.500069905978316e-05,-0.00014495593226721451,-9.372576067915428e-05,1.1417874432192603e-05,-8.802368870793308e-05,-3.5192044529638235e-05
58,1.3983155132136048e-05,-4.433310913111523e-05,-4.546341723557777e-05,3.8382252183505214e-06,-2.683114278418833e-05,-4.865211232495842e-05,7.310079511093886e-05,2.3941152762096308e-05,-6.259567136324478e-05
59,8.637320800512909e-05,-4.5369063204733526e-05,8.830275503549101e-07,0.00010453082078030026,2.138922316953218e-05,-4.4637498581198333e-05,-1.3919002395530788e-05,8.281732795787898e-05,5.8491982272339496e-05
60,-0.0002378896531253705,1.0959934085545343e-05,3.2189544809248093e-06,-8.886320537208801e-05,4.453631230994544e-05,-8.636203713751989e-05,-0.000188484028832932,-0.000386726682389721,2.0962894658844784e-05
61,-0.00020814471608762215,0.0001823567630759591,5.3141531163324104e-05,-2.1641333865135196e-05,-4.674334768144529e-05,-4.311892682868163e-05,3.9887808581714815e-05,-9.214573918918236e-05,9.023735208248096e-05
62,0.0001093685315354068,5.6853393654368826e-05,-6.944123019159449e-05,-1.4962914209167289e-05,-8.205547109851877e-05,-1.843018130365591e-05,-1.9905339176680916e-05,8.023213794857978e-05,-4.557802730936839e-05
63,-0.00013588843435664337,-0.00010322851548809676,-0.00011224669712592804,-9.738560392031388e-05,-3.2280644896047414e-05,0.00010488435511794336,-5.4998517389399354e-05,4.58333896814359e-05,3.716176093847421e-05
64,-2.119041846608788e-05,-0.00015942366203297822,0.00015837577268265084,-9.193548877129528e-05,2.115793926309034e-05,1.2251281730347114e-06,-0.00031640705840141575,-0.00010470809692787624,-1.0522924712710018e-06
65,-0.000207914980627027,2.3991588160084412e-05,1.0020249022688557e-06,0.0001654985664653088,-0.00014262431617390717,-3.112174245788498e-05,0.0001550036925440864,-6.16267995497282e-05,3.536210178932794e-05
66,-0.00010353931564084084,4.160071248989614e-05,-1.4998522299640794e-05,-1.622821195264837e-05,-4.7153878729715966e-05,2.5234775639694335e-05,-8.491928704810265e-05,4.734856456212953e-05,1.3583456411076356e-05
67,8.643739712095244e-05,-6.5151068218032114e-06,7.224575973825562e-05,-0.00015135579046232894,-0.00019730546871476508,-3.776907523248967e-05,1.005725020357621e-05,-7.137895730055707e-05,3.706169722909688e-05
68,3.0046123592895497e-05,0.00015879326567282397,-0.00012444347647532235,-5.856941295756364e-05,4.947725370257385e-06,5.194696255210076e-05,-0.00011816184868202224,-1.6918228483083303e-05,-2.430070657261695e-05
69,1.0105423852971754e-06,8.972094793990423e-05,4.500402455781734e-05,4.661774253667588e-05,0.00012497848982713925,0.0001231475736975002,8.764714806678772e-06,3.428301083506477e-05,-0.0001701572770921671
70,1.6482822339975936e-05,8.350130086792472e-05,7.474693307032423e-05,-4.599063300721417e-05,9.332073436503408e-05,0.0001274121207713201,-6.397933691091016e-05,8.411725428432483e-05,-6.384575569692466e-05
71,0.00013670594901776895,-9.528755923080022e-05,-0.00012553120600518157,5.228187299527305e-05,-6.197409739245013e-06,-4.539402688442381e-05,-8.500723040768694e-05,5.822836594302534e-05,9.984423986797297e-05
72,0.00015086139127417345,0.00012276769786828193,9.847910019486712e-05,4.891958662561233e-05,8.501444131059586e-05,-0.00014329552757070773,2.0446651263430401e-07,-3.8679783381670446e-05,-0.0001824055120436404
73,-1.281330270368418e-05,-0.0001886254066057527,3.486059057539286e-06,0.00010194262248417053,-8.358075138512229e-05,9.491962763028962e-05,0.00016278614757932126,0.00010293724105803164,0.00013287555299930208
74,5.113235508379297e-05,-2.677190691745872e-05,-8.683038905966475e-05,-2.6148312849585255e-05,0.00012417791427034647,2.069610528463759e-05,-0.00025430001287094227,0.00014229512801821386,-4.9290694674028896e-05
75,6.72572117235805e-05,3.0101786947641775e-05,-2.2655582377733236e-05,5.098093232231707e-05,9.758048200802716e-05,-3.1770427063093896e-05,2.2795084470059973e-05,0.00017987780240964751,6.245994265649264e-05
76,9.397387771271402e-05,3.298146656985154e-05,-9.961650753110744e-05,5.677898169841764e-05,-0.0001234820073455702,7.665365740655634e-05,6.908152067812423e-06,9.19351742541402e-05,-0.00011816238831660969
77,7.95197609464293e-05,-0.0001132447691460039,-4.539428731468638e-05,-8.817072314922353e-05,0.00016382790293372387,-7.894895445758207e-05,-0.00015532945352809068,-9.677316337183692e-07,-9.116476469941362e-05
78,7.313670209063247e-05,6.329527724687715e-05,-7.479085178929828e-05,0.0001293705376942742,-0.0001277627725361027,0.00010447015380922325,2.982036944861925e-05,-3.614094807329043e-05,0.00012060594528428877
79,7.425250575031819e-05,-3.634959747406975e-05,8.949256134875527e-05,-0.00010975780129306532,3.070010449603515e-05,2.2810092370156347e-05,9.640656220792599e-06,0.00017810345283484068,1.5430757870022055e-05
80,0.00016526446081078144,-3.541089720957306e-05,2.277429029263875e-06,-0.0002275501751919307,-0.00019219281406704825,-3.882079368425241e-05,-8.686116528668945e-06,-6.210550285895402e-05,-6.72977949825826e-06
81,2.5309577217243803e-06,8.718465384983651e-05,-0.00010687659578258733,2.4967379744486412e-05,3.420879707339173e-05,-1.7575206040401307e-05,-6.748133980740994e-05,0.00021299677679349825,2.906549797856243e-06
82,-1.3410521971609644e-05,1.045424339695797e-05,-7.551690219113963e-05,-0.0001808103619661341,-0.00016255143671199354,9.067571321788686e-05,0.0002287200759668666,5.681197629023161e-05,-1.1750775890735552e-05
83,-9.229934899275404e-05,9.40918397573951e-05,3.879203295549613e-05,-0.00018473158894729885,-4.4214471324538264e-05,5.864700006809955e-05,5.7661119508027134e-05,4.158275692425544e-05,5.8113591415505345e-05
84,-9.038540397516332e-05,-6.076503180979249e-05,5.412251686615471e-05,0.00011499339938012104,-4.42923946193236e-05,-6.738127026094915e-06,-0.0001511028587385137,-5.614299354256142e-06,-7.320851298015737e-05
85,6.547488078831619e-05,-0.00010479881671115886,3.772348360181373e-05,8.672371346413847e-05,1.9650951710758663e-05,-0.00010105875384891924,1.8914403044911965e-05,2.0161337455772475e-05,6.233270287146433e-05
86,3.455736083162176e-05,-4.585262344081483e-05,1.048863896274656e-05,-0.00015031416225964986,8.095093352557905e-05,-7.517528612934366e-05,-0.00011192766746087428,0.0001842493987285953,0.00016826502102991868
87,0.00017390545865818136,8.40122815147306e-05,0.0001922941098200093,-7.32289639528242e-05,5.966793888060272e-05,1.369955063368714e-05,-5.590327660007264e-05,8.420176709685045e-05,6.002071986103123e-05
88,-0.00012912624886645178,-2.4887006133828343e-05,-0.00013359185953511256,6.138470915991714e-05,7.328635170564356e-05,4.5244522545959366e-05,0.00012908740877210328,-3.837779373067115e-05,0.00013102024059993467
89,8.865789623210355e-05,0.0001056299574387252,0.0001934526236080081,-0.00012169414441570768,6.149445787966804e-05,-3.6816231486290824e-05,-0.00010359275497109368,1.766240386229759e-05,-6.189413488966796e-05
90,-5.9914136497608154e-05,0.0001426853477932366,-4.65029789250456e-05,-0.00011006489338743076,-3.2065675795538276e-05,0.0001159524168367659,-5.050798152079845e-06,-4.495785635463176e-05,2.937199517811062e-05
91,4.701050571270806e-05,3.143937276117391e-05,-3.3662299372531204e-05,2.769201041827656e-05,-0.00014536854583016036,2.3992588466736267e-05,4.7944048248986e-05,-5.6798017615527046e-05,3.260464791648388e-05
92,3.445981531267962e-05,-0.00018622124737905483,-2.404094424491296e-06,-0.00011954809037989992,4.118990412104831e-05,9.092571329339916e-05,0.0001877876143183791,2.3107133510486508e-05,9.636795957012268e-05
93,0.00010574412884763502,4.067325958443793e-05,-5.071934387540493e-05,3.5836548625693764e-05,-1.0110907829814073e-05,3.195611208206144e-05,-0.00012019127970634533,-0.00014858639493594422,6.174562013656215e-05
94,2.744702079882091e-05,8.392119698264135e-05,9.302962288754888e-05,-4.416217199215043e-05,-0.000200446850455087,-0.00015149615814368596,-0.00014327674425430978,1.4144891714012836e-05,-6.684737477731296e-06
95,-0.0001206520260335435,2.958979689354766e-05,2.7971920981235865e-05,-0.0001715079443866627,7.460102859541782e-05,-0.00022618751460411413,4.854591601469432e-05,0.00016986083369246213,-0.00012353731458368146
96,5.6467905723582546e-05,-4.473963798498885e-05,-9.372076387255264e-05,8.0651831637272e-05,6.817424976807554e-05,3.546694129059165e-05,5.5551997306680074e-05,6.227511705735193e-05,-6.819818802724452e-05
97,-2.4335117916296796e-05,6.20068577244795e-06,3.747525875840483e-05,6.217664785711136e-05,0.0001051182400873954,-9.589997856255996e-05,5.141703840119954e-05,,-7.104481172926191e-05
98,0.00011808962756065303,-0.00010838559812326942,-0.00011319443542860151,0.00010678566848409676,0.00011496748074227242,4.555354143655354e-05,-0.00017979887077126749,-4.6284624808653505e-05,-0.00012249119276869016
99,-4.5416625933429816e-05,-0.00010512272501545157,-5.528832008538858e-05,-0.0001419071525656216,8.787318037749696e-05,4.493900945495831e-05,-0.0001120895522141004,5.3728955431843545e-06,0.00016508217101693818
100,-0.00012992324400751032,-0.00025389948190730527,-7.846826399099011e-05,4.820411071898474e-06,-2.591652591795933e-05,-2.8898439263752668e-05,-3.010352187617596e-05,-9.142517724887412e-06,6.753571095844196e-05
101,0.0001212391962645678,4.44164064739775e-05,7.202530019936812e-05,-8.358041719768109e-05,-3.2694880642378745e-05,-7.17690761784928e-05,-2.5942457732104258e-05,-0.00014568717278335105,-4.501216348314533e-05
102,-5.838121269677803e-05,0.00015595225913136838,0.0001107372390618431,5.6526602165260506e-05,-6.522167716772123e-05,6.179996984349145e-05,3.145101753483805e-05,-5.098981074352528e-06,-6.080319514841156e-05
103,3.370601701754133e-05,-0.0001558037558081912,-4.188620810530962e-05,0.00015948957961202089,2.385116868193696e-05,-7.772245169370157e-05,4.59659981686893e-05,0.00012593571039528685,-1.9794424644576976e-06
104,-0.0001697211983317397,6.621069232524827e-05,4.571112218059256e-05,0.0001931648177609412,8.891967901914516e-05,-3.830133678229607e-05,-5.220598979692872e-05,0.00015236093639326814,-9.44911952911726e-06
105,-9.95294973277558e-05,-1.0601497268054224e-05,0.0001661770316389956,4.738895351540596e-05,-0.00017618441679442023,0.00018693125550174188,-4.775198654232351e-05,0.0001481176507494827,-3.473526316769506e-05
106,-0.00011948320967435587,0.00013398233922846787,9.523629690765755e-08,5.2179079346648165e-05,8.725222077144374e-05,-1.9427976081380287e-06,-2.079185023766007e-05,4.6328693624693185e-05,-1.792031004368752e-05
107,6.311442659094333e-05,1.8762798817644665e-05,0.0001739446364239455,3.368166541838669e-05,1.317917322216441e-05,-4.718587737836835e-05,-9.970591975309563e-06,3.493341935718918e-05,-0.00012308651158966503
108,6.933646439873235e-05,-2.3279298691354296e-05,-1.946479467669401e-05,-1.7581369776962437e-05,-9.538226884679566e-05,0.0002447806098131656,-0.00012048416156157428,8.599143974632877e-06,3.5653216033099334e-05
109,0.00012130997653653616,-0.00014217045776228083,-4.415424625913766e-05,-1.2549101620118622e-05,3.865095709456247e-05,-1.0319910709368006e-05,0.0001265529778340486,0.00011244997478804688,-6.876239288030193e-05
110,0.0001182304186270642,-0.00022722935193694507,5.3465133563113495e-05,-4.088574027249294e-05,-6.180589332706774e-05,0.0001325498996081762,-4.257693412637929e-06,-9.073438152989832e-05,0.00014567040390929187
111,-9.077529151273866e-05,5.8384944006539634e-05,4.187957963195768e-05,0.00014890588336984576,0.00016609902933838297,0.00021036399602510577,4.550854185210238e-05,0.0001048196405960714,5.312273891605177e-05
112,-9.398389194271506e-05,-1.413093830676172e-05,-0.0002141189031382276,-7.287520731302988e-05,0.00017933007715975835,4.2861490164956253e-05,0.0001014562717117942,-3.741147592418922e-05,-6.13362014072729e-05
113,0.00010616047538824656,8.941154260026939e-05,-0.00022116400547875676,5.2034861168174155e-05,0.00011229535351960788,-0.00014222896983975144,7.703387183674889e-05,-1.2967775641629765e-05,1.6902237410209488e-05
114,3.755271796527227e-05,9.770232572782084e-05,8.596685940553321e-05,-0.00010936209269898513,7.74458686014532e-05,-0.0001122474732879273,-2.6857116952869756e-05,1.0402700814811188e-05,9.65746668651219e-06
115,-6.492767208279535e-06,3.866853806216219e-05,0.000151157160789607,0.0002784506599732036,2.220119692435637e-05,0.0001670152515069126,-3.610168917355507e-05,3.5935496596491746e-05,6.767724535589703e-05
116,4.6068080570117235e-05,1.7244735357964872e-05,0.00013955686806111788,2.8168298117262523e-05,2.5563111335040483e-05,-4.684753016616463e-05,-8.843299893384371e-05,-3.4279115616900737e-06,6.034249205020901e-05
117,1.347578888205106e-05,-6.730089691132052e-05,-5.967329995128786e-05,5.903501987769958e-05,9.702482670617582e-06,-0.0001403185448643242,0.00014108579432399603,-8.041138480686854e-05,5.948390823416747e-05
118,7.555149423344847e-05,-6.742827265445792e-05,2.0274621797937737e-05,-9.325535196991818e-05,3.271644252665894e-05,-0.0001070673916271255,-3.440766656156354e-05,0.00012074878092249104,-0.00011621797336768752
119,2.064872432540869e-05,-0.00015036969305491147,-9.28669497522866e-05,6.002915873725593e-05,-4.2680224216625346e-05,-4.6986793264059346e-05,0.00011802887581002636,5.991150013089766e-05,9.24893806278208e-06
120,-1.0413168565489742e-05,-0.00014282202213883137,-1.9196693063180946e-06,-0.000241722797988141,6.969587178277816e-05,-3.8583591788100863e-05,0.000164898269106749,-9.23382743970413e-05,-1.78420287069957e-05
121,-7.916040520630276e-05,3.574308206493694e-05,5.7010588692872144e-05,5.354232436364296e-05,-9.98958919833582e-06,0.00016814877389625843,6.770229348110461e-05,-0.00013410245184662027,-6.567548283618428e-05
122,-9.732820568223996e-05,1.542383601039057e-05,0.0003046823467847114,0.0001711059401610894,0.0001393182293047173,0.00010239466530684706,4.714026636719859e-05,5.415023414094941e-06,3.7476683109020384e-05
123,-7.5395119482272065e-06,-1.8057984039725488e-05,-2.388086215736386e-05,7.781819801268893e-05,4.019199221352732e-05,0.00019026772429401052,0.0001740338741128118,1.4526918094360167e-05,-7.78519918389139e-05
124,9.886101589826784e-05,-0.000129233486636221,0.00011536285346797992,7.705436917351755e-05,-9.27589407748237e-06,-0.00025536956731730416,0.0001006611670928549,2.8674467731379436e-06,-9.976340081764072e-05
125,-3.1115002968681334e-05,7.560667804961084e-05,4.070594211800759e-06,9.747286891611384e-05,-6.60583774197663e-05,-6.163053981973225e-05,-7.53310584630168e-05,-0.00016949036728057418,4.731785638955171e-05
