step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/g_norm_A1_sq_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/g_norm_A1_sq_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/g_norm_A1_sq_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/g_norm_A1_sq_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/g_norm_A1_sq_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/g_norm_A1_sq_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/g_norm_A1_sq_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/g_norm_A1_sq_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/g_norm_A1_sq_step
1,0.001745597787748922,0.0016879623830515626,0.0016989796278918784,0.001912586057233394,0.002006090534664612,0.001964479953071577,0.001855026108951364,0.001944174595386939,0.0015833691933716248
2,0.0017550702144600609,0.0016831366889726433,0.001753482092565183,0.0018202801228164112,0.0021257839905319347,0.0020078255601113887,0.0014833047676502803,0.00149977469910789,0.0018861177570664736
3,0.002164080186162282,0.0016765712549647203,0.0017530338194531956,0.0014588442615729228,0.0018954210961112828,0.0019263902713995023,0.0016978555245205046,0.0018020842987016392,0.001680334482979114
4,0.002043442592507926,0.0021798447731497237,0.001966570958289816,0.002259898262113844,0.0018249375840541056,0.0018855212780655016,0.0017806929957177352,0.0017009008648482852,0.001989221349921607
5,0.0016433293864634253,0.001783130261193918,0.0018989607014791771,0.0022078014465452185,0.0013795056255709668,0.0017153620199866523,0.0017830382476363093,0.0021678209554679734,0.0022635071577584483
6,0.0019215774443448069,0.0015770094370440636,0.0015452962982682164,0.001608374949538234,0.0022109890070877492,0.001904772741496793,0.0015820575119814273,0.0017735721061124831,0.0018146853636258325
7,0.0022930243488455885,0.002187753614391912,0.0020310200423831097,0.001692518597454174,0.0018121673894143455,0.001837981043795802,0.0020562398858705367,0.001964014875601217,0.00199978020673152
8,0.0018339601172704448,0.0017444183683792871,0.0021729282521963213,0.002155189874017007,0.0015649100702380563,0.001884328607889555,0.001973944200859578,0.002139114361947452,0.0033133706557646487
9,0.0028896897063057205,0.0018279773180136369,0.0028695943787786886,0.0017615820238778936,0.0018130621194012695,0.0017222765704714535,0.0019641240726272894,0.0022417610040623005,0.003246111206673277
10,0.003283188762869263,0.0016475977703678717,0.003167090441460206,0.0015552041813713226,0.001860231070461403,0.0019303695928148184,0.002083614309112157,0.0019152526151227395,0.003173225913897683
11,0.00365158153807728,0.001849743598553088,0.004084303821421095,0.002032810875449773,0.0020698733327512413,0.002130467514932185,0.0018781277507284489,0.0018076208410884584,0.0035957045430033393
12,0.004563594321262887,0.0017927319759833762,0.005334966038408737,0.001780638096172678,0.001804264927611614,0.0016880554740686883,0.001867539727708441,0.0018896939512121117,0.004606110411304243
13,0.004432082102196602,0.002324973409532397,0.00446873495293037,0.0023812522394866696,0.0020700507299343815,0.0021065960381615244,0.001741217163742711,0.0020205893726723437,0.00442996029040875
14,0.004232146107208921,0.0026197229835248767,0.00421037274374127,0.00255938586463934,0.0022215482113214736,0.0021167755068453023,0.0016262080221756772,0.0019463256897378788,0.00400058183337579
15,0.004981763256499447,0.0019154665227286824,0.003986203967219185,0.001921953481787973,0.002111157567774995,0.002359537367223132,0.0021110306380391734,0.002187846875807146,0.0039324243130016276
16,0.004571990684172666,0.002184310633489224,0.0041989359042697285,0.002319462368186941,0.0022344760116610736,0.002500525632415824,0.002083940041293801,0.0022691442444105975,0.004570579079214744
17,0.004898296494377748,0.002902643533722182,0.005661525635727444,0.0034027099920306923,0.0024724532484125747,0.002710532422170825,0.003053311167839942,0.003080970592198873,0.004459949348760871
18,0.00521005175794978,0.002679762146371066,0.0043918353103053025,0.002487494584637339,0.003093219472346325,0.0026373218951345964,0.0028805529306094595,0.003089106977268728,0.00435800281681463
19,0.0034366873837916655,0.0023370189404534657,0.004203494424993328,0.002198854346842397,0.002335629061723717,0.0027721945479837464,0.002536020890000277,0.0031454471463446985,0.003950566257219289
20,0.004573622062220613,0.003218046159717093,0.004853166941673171,0.002687362376211336,0.002767895189141224,0.0032562788178723194,0.0027436711723622872,0.0029524061988936705,0.002630101300132247
21,0.005441622679262164,0.0027395989650179295,0.00366289492449179,0.002923149950478192,0.0032953594465990103,0.003127445948481083,0.00323379637096174,0.003231201518192727,0.0033376621810363226
22,0.004988334883185324,0.0032643539032855984,0.003928562498882617,0.0032286980656190635,0.00317486946596807,0.003049335499429257,0.003087711387687074,0.0033465431735085756,0.0034305103437071347
23,0.00418230986458704,0.0032357708003530883,0.0036441289298247753,0.003328094474932792,0.0029216289979640316,0.002907257720280083,0.0035179293051032364,0.002876477880095436,0.0040547844497992765
24,0.005379884865850009,0.003566933309192651,0.004429577343473266,0.003500168012458619,0.002955822348643629,0.0028421984541003014,0.004244312728388044,0.003400371728490256,0.004055269648768827
25,0.004060237542762294,0.002987720559474743,0.003744021316240669,0.0035105048730971426,0.0030748244593814867,0.003376693190344918,0.0037515340407428687,0.0035953284720640936,0.002915223603674205
26,0.004155243172320115,0.003659852421779307,0.00393667589503118,0.003938247654800442,0.003449395268119172,0.004226391486879877,0.0038170921699186506,0.003210705632805585,0.003209357104381194
27,0.004972391763142357,0.003936077384080319,0.004079606789836497,0.0034700871030978863,0.003994506446133332,0.0035190748069821895,0.003865022371168313,0.002837299970600459,0.0034140275120649976
28,0.004592540878537741,0.0037186984992320935,0.003922128997465076,0.004431119859875013,0.0035072433966984325,0.0037990209163070174,0.003440905641713273,0.0037085282664293417,0.003834301046323411
29,0.005117410964589649,0.0034954806008045264,0.0035926132162846618,0.003956891042675811,0.004108055482382149,0.004128000884907614,0.004080767470437086,0.0034589326209836704,0.0039966154560523255
30,0.00392456479006501,0.004003484446494438,0.0030057967433197532,0.003664780425523626,0.0029410542505657897,0.003203438109883396,0.004344687434985785,0.0036945083407776023,0.0033349786031585367
31,0.004444101333666095,0.003323085718620586,0.004215332865509678,0.003162054036911805,0.0032258850292552696,0.003629725934401539,0.003597700610748711,0.0030678941769067994,0.0030747659271342254
32,0.0042795905760424045,0.004126555927816379,0.003712589363651696,0.004022628669039654,0.003848103208475075,0.0032528163661091503,0.003379087980256594,0.0035007483091154343,0.003079873728543465
33,0.0036662558567392687,0.003938337681556151,0.0034814429426244025,0.004289429597981912,0.0037451596085449896,0.0037191635176667343,0.004081530143580625,0.0037606889842669777,0.0033045348485011604
34,0.004311470864558738,0.003510945807978485,0.0034225517781945806,0.0035700865741618137,0.004671265819933462,0.003735323154033144,0.004162181847903393,0.004324132432125928,0.004191129412144284
35,0.0036131345364080417,0.003739736659529701,0.0031131021480334956,0.003491747937539561,0.004067463673255131,0.003868969682049837,0.004106253508577611,0.003762916133432284,0.0037897487354177977
36,0.004374182384228847,0.0035752611838438093,0.002832516743576428,0.0038581956722957824,0.004514047310028315,0.004049106072049296,0.003999555988701169,0.004280577559749799,0.0033338536835894363
37,0.004780766406369814,0.003708569297964248,0.003806051083216579,0.0038327321245389023,0.0038848127054927103,0.003889276037731957,0.003901533659646022,0.004186714505651702,0.0035185070608865147
38,0.004086735327651653,0.004194177102822976,0.004226926093167155,0.004729048549605925,0.0043042792574816005,0.003741299918954608,0.004629951531682205,0.0043799959715690355,0.004834774500848378
39,0.0035545979301098156,0.004267329544108477,0.004000886269666482,0.004527987976880569,0.005333712113232158,0.004017873119670084,0.003832658236063735,0.004310566158952686,0.003785470729746449
40,0.00399177265272189,0.004263649673235846,0.004194312711627767,0.0047148438127602495,0.004418244713675044,0.0034797216118495227,0.004081519542844938,0.004611884762644983,0.0031851655162772313
41,0.004203018488708302,0.004217464896099047,0.0036562633252953986,0.004495311648629398,0.004563409057550307,0.0038229964953594383,0.004118960866610625,0.00459979344884429,0.003941288218456839
42,0.005136901561373961,0.004445604902858805,0.0032022196148831757,0.0046318083142512815,0.0038389662808672705,0.004402487294371701,0.004258449103445423,0.003923095626678589,0.0029921482927721447
43,0.004140582340358163,0.004628711281600625,0.004120463805850552,0.004549977153800128,0.004601612873469002,0.00438172023364168,0.0037516196846219415,0.003809167107845218,0.003219403810571659
44,0.00389355629479315,0.003804864603435287,0.002835330284598553,0.004338043523824187,0.003630477042616233,0.003687557863733295,0.0035002501841811234,0.0043929324547901105,0.003141427623107082
45,0.004044970027444836,0.0035611000169757886,0.003849714812661985,0.003878784815695246,0.0035912378379623373,0.004154494282069652,0.0035476000209127626,0.0039455576051511485,0.003713810856194517
46,0.003502676548236395,0.004345714427789706,0.003726424004250557,0.003617973558750174,0.004010010486868334,0.003931722348261259,0.004208201225261134,0.003980296649760001,0.003342256626216441
47,0.0036778596087120585,0.005008014078337097,0.0036885362884733833,0.004308529565391057,0.0035667714748173584,0.004066069729425276,0.0035703642743850957,0.003326329608789714,0.003570569090859439
48,0.003687359897499993,0.0041626106760518635,0.0036751849565065096,0.004272019678583212,0.0036312708409078714,0.003002380353081682,0.004591151886824348,0.003265589071627102,0.003868370260188717
49,0.00411071895179572,0.003672373948597729,0.0035066459299430194,0.003765201021614925,0.0033441825641531663,0.0037670321908498255,0.003034275932332366,0.003342935155851004,0.0028323966715946536
50,0.003488179852967945,0.0032606788792870407,0.003100667918690051,0.004187379725990191,0.0037743480133812296,0.003692781674821888,0.003893577637436044,0.0027546488827362788,0.0030786243524392144
51,0.003323077655526208,0.0030017896501992013,0.003220338812137294,0.0039005020571054633,0.003705333171201285,0.003840337076305379,0.00398276514440215,0.003761672838598016,0.003753274203370634
52,0.004041820741070837,0.003812557029602066,0.004158217506699794,0.0042496353526260775,0.003969944999412302,0.0046612719131509835,0.003831610400281993,0.003800865665629607,0.003272098398825957
