step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/grad_norm_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/grad_norm_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/grad_norm_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/grad_norm_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/grad_norm_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/grad_norm_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/grad_norm_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/grad_norm_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/grad_norm_step
1,0.03197859227657318,0.03260229155421257,0.03089313767850399,0.03144281357526779,0.03176063671708107,0.03148416429758072,0.030688609927892685,0.03185340762138367,0.03012063354253769
2,0.03124776855111122,0.030573995783925056,0.03150710463523865,0.031476959586143494,0.032282110303640366,0.03345939517021179,0.03051615320146084,0.028014464303851128,0.02858299575746059
3,0.034224554896354675,0.028598185628652573,0.03007018193602562,0.028694935142993927,0.03152376040816307,0.03008732944726944,0.030501702800393105,0.03014664351940155,0.0305684357881546
4,0.03130190446972847,0.031917206943035126,0.03212438151240349,0.030518369749188423,0.03023955784738064,0.03135145828127861,0.029273731634020805,0.02899208664894104,0.030558262020349503
5,0.03053765557706356,0.031110137701034542,0.03197689726948738,0.03153563290834427,0.02865169383585453,0.03033911995589733,0.03130028769373894,0.03395600616931915,0.03139090538024902
6,0.03251958265900612,0.02805454470217228,0.03192261978983879,0.030428484082221985,0.03283294290304184,0.031848274171352386,0.02929789014160633,0.030004525557160378,0.03015904873609543
7,0.03326175734400749,0.03234580531716347,0.032763876020908356,0.031190374866127968,0.030292188748717308,0.02939527668058872,0.03118000365793705,0.030860578641295433,0.03096659854054451
8,0.031488969922065735,0.030890392139554024,0.03518424555659294,0.03159752115607262,0.028874611482024193,0.029787186533212665,0.032866500318050385,0.032486461102962494,0.037369243800640106
9,0.04194580763578415,0.030533134937286377,0.038557469844818115,0.02944314293563366,0.03098123148083687,0.030412770807743073,0.03315193951129913,0.0343925841152668,0.041270919144153595
10,0.03988094627857208,0.02945447340607643,0.04096552729606629,0.029822539538145065,0.03074195608496666,0.03127361834049225,0.03383573144674301,0.03264084830880165,0.03988653048872948
11,0.04536372423171997,0.029667843133211136,0.04492083191871643,0.03168973699212074,0.03223298117518425,0.032430168241262436,0.030978236347436905,0.03040856122970581,0.04176043719053269
12,0.04709723964333534,0.030490275472402573,0.048453740775585175,0.032112278044223785,0.03132539987564087,0.03130100294947624,0.03142359107732773,0.032200686633586884,0.04491797834634781
13,0.04606437683105469,0.03409579396247864,0.04463180899620056,0.03307574987411499,0.0333087183535099,0.03253704309463501,0.03062320314347744,0.03243778645992279,0.0460650809109211
14,0.04768422991037369,0.03402089700102806,0.04605286195874214,0.03433351591229439,0.032132748514413834,0.03261241689324379,0.030548205599188805,0.032908134162425995,0.045699592679739
15,0.0510774627327919,0.032063379883766174,0.04633565619587898,0.03285813704133034,0.03293644264340401,0.03190955892205238,0.03210359439253807,0.033136188983917236,0.05131109803915024
16,0.05154945328831673,0.033211853355169296,0.047413408756256104,0.03524389490485191,0.033302225172519684,0.03491111099720001,0.03191833570599556,0.03431690111756325,0.04984467849135399
17,0.052122510969638824,0.03768182545900345,0.05494348704814911,0.03999054804444313,0.038263995200395584,0.03699130192399025,0.039071232080459595,0.03743378445506096,0.04713202267885208
