step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/lr_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/lr_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/lr_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/lr_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/lr_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/lr_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/lr_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/lr_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/lr_step
28,7.914082272614906e-06,1.8549999999999998e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.6309364601441576e-06
29,3.7662781534195296e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.969368544646434e-06
30,5.9279347489412966e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
31,5.9279347489412966e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
32,5.9279347489412966e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
33,5.9279347489412966e-06,1.8549999999999998e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,4.312790679740314e-06
34,5.9279347489412966e-06,1.8549999999999998e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,5.2443250457061655e-06
35,2.4999999999999998e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,5.2443250457061655e-06
36,3.889647415059818e-06,1.8549999999999998e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,5.3708905980776895e-06
37,4.369987031069468e-06,1.8549999999999998e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,5.3708905980776895e-06
