step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/ppo_kl_mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/ppo_kl_mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/ppo_kl_mean_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/ppo_kl_mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/ppo_kl_mean_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/ppo_kl_mean_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/ppo_kl_mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/ppo_kl_mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/ppo_kl_mean_step
1,0.0004129123117309064,0.0004512724408414215,0.0004472632717806846,0.000431203399784863,0.00041340774623677135,0.00042145224870182574,0.0004319807630963623,0.0004191182379145175,0.0004479640629142523
2,0.0004429722612258047,0.00044505950063467026,0.0004540522932074964,0.0004267707117833197,0.0004222822026349604,0.0004381673352327198,0.0004414097056724131,0.0004563918919302523,0.0004383988853078335
3,0.00043220818042755127,0.0004433784633874893,0.000458116497611627,0.000415069778682664,0.0004324649344198406,0.00046062664478085935,0.0004387297958601266,0.00044574588537216187,0.0004274348320905119
4,0.00043592267320491374,0.0004331888922024518,0.0004229081387165934,0.00042773853056132793,0.0004115922783967107,0.0004202767158858478,0.00044687805348075926,0.0004363430489320308,0.00046430478687398136
5,0.000454011867986992,0.0004247092583682388,0.0004430265398696065,0.0004543058748822659,0.0004578079970087856,0.00042505282908678055,0.00044029869604855776,0.0004687161708716303,0.00042986206244677305
6,0.0004373423289507627,0.0004399588506203145,0.0004400807083584368,0.00044528808211907744,0.0004270874196663499,0.0004366976791061461,0.0004312345408834517,0.0004339108127169311,0.00042429144377820194
7,0.0004582349502015859,0.0004486498655751347,0.0004284438909962774,0.0004449899715837091,0.00046827824553474784,0.0004616929218173027,0.00044510207953862846,0.0004542114329524338,0.00046260975068435073
8,0.0004540039226412773,0.000449540966656059,0.0004441854252945632,0.0004439493641257286,0.000450652587460354,0.0004390881513245404,0.0004364231426734478,0.0004246729949954897,0.0004423639620654285
9,0.0004381166072562337,0.000439315743278712,0.0004067150002811104,0.0004583817208185792,0.0004459242045413702,0.0004303751338738948,0.0004285142058506608,0.0004624384455382824,0.00045396736823022366
10,0.0004314378893468529,0.0004529392172116786,0.00044485085527412593,0.0004529238503891974,0.0004669855406973511,0.00043945349170826375,0.0004367768124211579,0.0004592389741446823,0.0004237148095853626
11,0.0004156067734584212,0.00043378048576414585,0.00039622432086616755,0.00042579343426041305,0.00043797839316539466,0.0004377966397441923,0.000441746786236763,0.00044293078826740384,0.0004071048460900783
12,0.0004253213119227439,0.00043069609091617167,0.0003845945175271482,0.0004389773821458221,0.0004297287669032812,0.00043314616777934134,0.00043629732681438327,0.0004396612639538944,0.0004255868552718311
13,0.00038985515129752457,0.0004340941086411476,0.00037832275847904384,0.000418627227190882,0.000431718974141404,0.0004172778280917555,0.0004279898712411523,0.0004177524533588439,0.00035991272307001054
14,0.0004389958921819926,0.0004422025813255459,0.0003809981280937791,0.0004489551647566259,0.0004579699016176164,0.0004417193704284728,0.000413547910284251,0.0004314985126256943,0.00041166105074808
15,0.0004255111853126437,0.0004075290635228157,0.0003614200686570257,0.0004361410974524915,0.0004497320915106684,0.0004409329267218709,0.0004349455703049898,0.0004505841352511198,0.0004068274283781648
16,0.0004048878327012062,0.00045484869042411447,0.00040445986087433994,0.0004550228186417371,0.0004374860145617277,0.0004330058582127094,0.00043405022006481886,0.00044615150545723736,0.0004369815578684211
17,0.0004391784314066171,0.0004405165091156959,0.0003877142153214663,0.0004338522849138826,0.0004327597271185368,0.0004206312878523022,0.00042717697215266526,0.0004564838018268347,0.000388939370168373
18,0.000458249996881932,0.0004046960093546659,0.00042773253517225385,0.0004280979046598077,0.0004557642678264529,0.0004324796609580517,0.00044077401980757713,0.0004085009277332574,0.0003463798784650862
19,0.0004836183506995439,0.00042369632865302265,0.00037784932646900415,0.00043702672701328993,0.0004214734653942287,0.00042075052624568343,0.00043855595868080854,0.00040942514897324145,0.0003617594775278121
20,0.00047732918756082654,0.0004311941156629473,0.0003648950369097293,0.000422487617470324,0.0004544044204521924,0.00043146705138497055,0.000451274449005723,0.00045605917694047093,0.000394030095776543
21,0.0004820463946089149,0.00042024251888506114,0.0003722121473401785,0.00040890529635362327,0.00044831438572146,0.000417677394580096,0.0004176081856712699,0.0004200338735245168,0.0003862270095851272
22,0.0004918273189105093,0.0004402498889248818,0.000370965397451073,0.0004229429468978197,0.0004516471817623824,0.0004283314920030534,0.00043336363160051405,0.00041105240234173834,0.0003962953924201429
23,0.0004923694068565965,0.00040876338607631624,0.00040346194873563945,0.0004056639154441654,0.0004530654405243695,0.0004254058003425598,0.0004250221827533096,0.00042350299190729856,0.0003989413380622864
24,0.0005045696161687374,0.000428525177994743,0.000390107772545889,0.0004092884191777557,0.00043117490713484585,0.000424459227360785,0.00039468807517550886,0.0004266468749847263,0.0003625303506851196
25,0.0004599516105372458,0.00043269290472380817,0.0003658717905636877,0.0004189804894849658,0.00041972825420089066,0.00040775464731268585,0.0003824713348876685,0.000380855577532202,0.00036745896795764565
26,0.0004512113519012928,0.0004242948198225349,0.00035748720983974636,0.0004362251202110201,0.0004142017860431224,0.0004277343978174031,0.0003853482485283166,0.0004047084075864405,0.0003758856328204274
27,0.00047350709792226553,0.0004476475296542049,0.0004182111588306725,0.00045551182120107114,0.0004481693031266332,0.0004242655704729259,0.00039131802623160183,0.0003737591905519366,0.00039134445250965655
28,0.0004558025684673339,0.00042205234058201313,0.0003945650823879987,0.0004511725273914635,0.0004007799143437296,0.0003835267561953515,0.00040080855251289904,0.0004112443129997701,0.0003672646125778556
29,0.0004565034178085625,0.0004376182332634926,0.0003855663235299289,0.0004153268528170884,0.00040891749085858464,0.00039802512037567794,0.00039070440107025206,0.0003972090198658407,0.0003277162613812834
30,0.0004271699872333557,0.0004075659380760044,0.00038988006417639554,0.0004422551719471812,0.00040265158168040216,0.0003852201625704766,0.0003904620243702084,0.000371332629583776,0.00038440045318566263
31,0.0004480255302041769,0.00041647214675322175,0.0003698983637150377,0.0004202678974252194,0.0003966210060752928,0.00039462221320718527,0.00041681400034576654,0.0004103772225789726,0.000372616748791188
32,0.00046997173922136426,0.0004332823446020484,0.00038345527718774974,0.00040295958751812577,0.00041605622391216457,0.00040755473310127854,0.0004091521550435573,0.0004217452369630337,0.000362802209565416
33,0.0004495138127822429,0.0003904697368852794,0.0003717446234077215,0.0004238983674440533,0.000417891307733953,0.0003759834507945925,0.000423246732680127,0.0003957595326937735,0.00038708694046363235
34,0.00044873589649796486,0.0004239808768033982,0.0003785502631217242,0.0004295863618608564,0.00041230831993743777,0.0003893490065820515,0.0004123594844713807,0.0004266579344402998,0.00036792096216231585
35,0.0004573792975861579,0.00043693347834050655,0.0004212896747048944,0.00040366643224842846,0.000451873813290149,0.0004035501042380929,0.0003970950201619417,0.00038720923475921154,0.00036581806489266455
36,0.00046392332296818495,0.0004264895396772772,0.0003971446130890399,0.0004339089209679514,0.0004200464754831046,0.0003761713742278516,0.000397244788473472,0.0004434301517903805,0.00034781431895680726
37,0.00045819635852240026,0.0004096954653505236,0.000378303462639451,0.0004000604385510087,0.00040781701682135463,0.0004177452938165516,0.00039414045750163496,0.000395030016079545,0.0003712528559844941
38,0.000449438113719225,0.0004293089150451124,0.0004160608514212072,0.000434054818470031,0.0004262639849912375,0.0003848244377877563,0.00037254649214446545,0.0003910172672476619,0.00034527998650446534
39,0.0004637293168343603,0.0004103368555661291,0.000378497556084767,0.0003961582260672003,0.0004115643969271332,0.0004170566680841148,0.0004277190892025829,0.0003793844080064446,0.0003731004544533789
40,0.0004782351606991142,0.0003846250183414668,0.0003712772740982473,0.00039867140003480017,0.0004443380457814783,0.0003824743034783751,0.00039365520933642983,0.0004118863726034761,0.0003724732086993754
41,0.00046885377378202975,0.0003816168464254588,0.00042422092519700527,0.00042280732304789126,0.00039247176027856767,0.0003829500346910209,0.0004078022320754826,0.0004174509958829731,0.0004118709766771645
42,0.00044640389387495816,0.0003760994004551321,0.00039119471330195665,0.0003972051199525594,0.00036275212187319994,0.0004059340863022954,0.0003734691126737744,0.0003680433146655559,0.0003986582742072642
43,0.0004285835602786392,0.0004096892080269754,0.0004210036422591656,0.0004035413439851254,0.0003831663925666362,0.0003860737779177726,0.0003825385356321931,0.0003782506100833416,0.0003590786946006119
44,0.0004109092988073826,0.0003765984729398042,0.0003977384767495096,0.0003728068550117314,0.0004309783107601106,0.0003680333029478789,0.0004210439801681787,0.0004004523216281086,0.0003704541886691004
45,0.0004200077964924276,0.00043126646778546274,0.0004000885528512299,0.0003808116016443819,0.0003851435321848839,0.0003901371674146503,0.00037377956323325634,0.0003994941071141511,0.0003944779455196112
46,0.0004347519134171307,0.0003751039912458509,0.0004163089324720204,0.0003689766745083034,0.0003869658394251019,0.00040411303052678704,0.00036208739038556814,0.0003781095438171178,0.0003650568542070687
47,0.0004151805187575519,0.0004086174303665757,0.0003982959024142474,0.00040686759166419506,0.0003975848958361894,0.0003882970195263624,0.0003848322085104882,0.0003626645484473556,0.00036267118412069976
48,0.0003963848575949669,0.00039367561112158,0.0004094237519893795,0.0003963464987464249,0.00038581082480959594,0.0003771802003029734,0.0004099237557966262,0.0004227147728670389,0.0003982206981163472
