step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/g_rms_ema_step
118,9.642093050822145e-07,9.563125638111041e-07,9.75075775398491e-07,9.764846426810489e-07,9.697989583280286e-07,9.519726924216765e-07,9.647852550037583e-07,9.622874675897186e-07,9.104700523112342e-07
119,9.593019479581383e-07,9.587367992991242e-07,9.774844937539444e-07,9.789108162466877e-07,9.642904245713483e-07,9.483955259836271e-07,9.62546027741285e-07,9.599451875401282e-07,9.086908845714743e-07
120,9.57426532492174e-07,9.582814606652009e-07,9.761187863423013e-07,9.790847612889182e-07,9.5969239028675e-07,9.477235037489375e-07,9.653623077146348e-07,9.583731547037739e-07,9.075725842767564e-07
121,9.555495746541344e-07,9.585147005362993e-07,9.790498112479624e-07,9.742337390404757e-07,9.603017987400594e-07,9.485529853431616e-07,9.65078045767771e-07,9.577770164458123e-07,9.068867640177116e-07
122,9.5249879353767e-07,9.603027118516268e-07,9.81749299133301e-07,9.76460884215614e-07,9.612454566715162e-07,9.482249842640296e-07,9.62673952536659e-07,9.560124946123631e-07,9.032784522588476e-07
123,9.539953272344102e-07,9.571551994487419e-07,9.801546324279449e-07,9.75142125740612e-07,9.61193522760319e-07,9.492325920569035e-07,9.650324493581261e-07,9.553256663832895e-07,8.998039703511169e-07
124,9.557367956101769e-07,9.578950717088819e-07,9.805700142566453e-07,9.733159165030272e-07,9.583316062537049e-07,9.448334496954307e-07,9.654408686987796e-07,9.528504684691654e-07,8.975992508607993e-07
125,9.566800645391117e-07,9.58836381741092e-07,9.80039757588612e-07,9.726247351562732e-07,9.596235774950255e-07,9.423012039615055e-07,9.640447767707532e-07,9.516609065026136e-07,8.958708720015959e-07
126,9.548101826289309e-07,9.545242927839414e-07,9.793899264240245e-07,9.732464261431597e-07,9.585321689244486e-07,9.408971087070596e-07,9.628603502556471e-07,9.55034558869469e-07,8.959857458745873e-07
127,9.525958170483335e-07,9.515292421110817e-07,9.785416397598474e-07,9.70935458478994e-07,9.588341701150083e-07,9.406221747834523e-07,9.65375241421543e-07,9.57542485753496e-07,8.950932005613115e-07
128,9.52166451343424e-07,9.528191866712689e-07,9.76774538600069e-07,9.67352486261529e-07,9.564923904994098e-07,9.401652867974078e-07,9.638626515154044e-07,9.594735759188019e-07,8.933606870953864e-07
129,9.499478224371239e-07,9.50349552463132e-07,9.749488579550604e-07,9.665326345560479e-07,9.54741311847313e-07,9.412425470827872e-07,9.617024432426812e-07,9.581067121758976e-07,8.915527621378423e-07
130,9.521767131693681e-07,9.474403178940545e-07,9.76047461315284e-07,9.65781642121804e-07,9.533544405567344e-07,9.434948630708047e-07,9.581415346770263e-07,9.552269939216309e-07,8.898511500306647e-07
131,9.520243485998303e-07,9.485166068733336e-07,9.783047658588252e-07,9.66266616506155e-07,9.54631790979408e-07,9.445575279587908e-07,9.578029310473537e-07,9.52550684860993e-07,8.886289595555373e-07
132,9.480029440312923e-07,9.465115257423088e-07,9.786559345210272e-07,9.709924879860788e-07,9.51108087354784e-07,9.423488177988808e-07,9.557648867119904e-07,9.551467166425118e-07,8.869004390375967e-07
133,9.490931705133401e-07,9.451607962503668e-07,9.765000283219343e-07,9.70019420644781e-07,9.51093197348908e-07,9.413900328357014e-07,9.536984899664178e-07,9.52241026856173e-07,8.843774676842267e-07
134,9.500506369074235e-07,9.448703194690331e-07,9.74866777159083e-07,9.717214498853876e-07,9.503924132078019e-07,9.430565068938724e-07,9.514550121831364e-07,9.501521032094069e-07,8.85370566925458e-07
135,9.497548660124446e-07,9.429592712566336e-07,9.78355793646604e-07,9.680598304604383e-07,9.497127589653099e-07,9.442636968291212e-07,9.476681161906212e-07,9.485107793502251e-07,8.855979190006549e-07
136,9.489576959798963e-07,9.411449943176064e-07,9.764155229802709e-07,9.641661643488718e-07,9.512919460709068e-07,9.437673584218629e-07,9.472903664456101e-07,9.475369131114621e-07,8.850968156324585e-07
137,9.475587253490456e-07,9.40768268921968e-07,9.76128921110292e-07,9.670274293552629e-07,9.48468187051288e-07,9.450655674462095e-07,9.487750804359249e-07,9.473462786547219e-07,8.85285859666164e-07
138,9.482713368864276e-07,9.386689359826891e-07,9.735718922461835e-07,9.631261031774018e-07,9.481272397340203e-07,9.467521026103575e-07,9.458437779338316e-07,9.479251980467468e-07,8.842886713505417e-07
139,9.49228839114895e-07,9.373617438014939e-07,9.758359671357e-07,9.62627129434126e-07,9.465483325871686e-07,9.469071148067885e-07,9.444985924723221e-07,9.47774125143952e-07,8.835141517452301e-07
140,9.494267552137099e-07,9.371186430039827e-07,9.767975788962689e-07,9.600012740473393e-07,9.465156455556563e-07,9.492688728699009e-07,9.413369263075936e-07,9.471754470277906e-07,8.838295895141359e-07
141,9.480576869286175e-07,9.371539169100111e-07,9.757168319720567e-07,9.603396998432506e-07,9.439795125438303e-07,9.466754147759347e-07,9.394905593844743e-07,9.46408583996291e-07,8.829294745278798e-07
142,9.461179371920728e-07,9.365481677971767e-07,9.770618297899464e-07,9.608783191265554e-07,9.468347975908978e-07,9.453752824249104e-07,9.367761340692992e-07,9.471177927849616e-07,8.799310378479292e-07
143,9.48531353951054e-07,9.347756315573813e-07,9.765233021061704e-07,9.61421857216737e-07,9.440916633856344e-07,9.41104942565102e-07,9.319366696719539e-07,9.431748188423034e-07,8.761541484927631e-07
144,9.491331327409216e-07,9.339913689281852e-07,9.77840266271858e-07,9.590790683911657e-07,9.473770962928537e-07,9.417340559591007e-07,9.35592933001838e-07,9.42598312256902e-07,8.787509470912779e-07
145,9.483242077149727e-07,9.327142967419017e-07,9.773250846391858e-07,9.560276641447853e-07,9.468724887287448e-07,9.410549863575779e-07,9.336090942187374e-07,9.447772756118979e-07,8.808003589219872e-07
146,9.406760550565488e-07,9.300281698881433e-07,9.777464890971055e-07,9.547066266108724e-07,9.464896199132813e-07,9.390247841298388e-07,9.333737826439922e-07,9.475025784300301e-07,8.828208329518304e-07
147,9.408664366578767e-07,9.317978381473804e-07,9.76897913219893e-07,9.55590557089765e-07,9.475714560498719e-07,9.346236237380848e-07,9.321385199998472e-07,9.49062695101329e-07,8.833307135471979e-07
148,9.3996106592234e-07,9.315267676068514e-07,9.795936285279636e-07,9.546594874210597e-07,9.451972283481408e-07,9.345122492951336e-07,9.318412426820534e-07,9.525132293377941e-07,8.832598618509007e-07
149,9.374466238089739e-07,9.33262543201496e-07,9.765185519392445e-07,9.532734517076449e-07,9.438104974883126e-07,9.35288518723809e-07,9.307732506601916e-07,9.515317089343007e-07,8.831635714238159e-07
150,9.365834933888111e-07,9.355146461845306e-07,9.770621431105166e-07,9.517184827097372e-07,9.463875231066526e-07,9.370242755785692e-07,9.274661939771055e-07,9.496223661653214e-07,8.868442888609555e-07
151,9.33970931414566e-07,9.393834192648384e-07,9.799870600799769e-07,9.533024428257286e-07,9.432374250659793e-07,9.33921266425072e-07,9.242669168020064e-07,9.507088860814387e-07,8.875754672601354e-07
152,9.341476056447531e-07,9.395553090917508e-07,9.788401233183178e-07,9.525462895882975e-07,9.452689291565879e-07,9.352941593892395e-07,9.248660111049931e-07,9.488647172528052e-07,8.866324962777226e-07
153,9.366133810246045e-07,9.413707011485179e-07,9.804230861305609e-07,9.513226708014926e-07,9.437887295195654e-07,9.3857031525652e-07,9.213155734036643e-07,9.47711635902286e-07,8.888749820302603e-07
154,9.333821746464354e-07,9.411469521223443e-07,9.790505871295203e-07,9.503342239473891e-07,9.4344919077914e-07,9.394752872315406e-07,9.198725216288609e-07,9.437557346446256e-07,8.852212219876857e-07
155,9.338996581931935e-07,9.415267424786176e-07,9.80636951273029e-07,9.535246815157819e-07,9.444525963993692e-07,9.378775981295936e-07,9.187344531008832e-07,9.435898651319666e-07,8.868480543137259e-07
156,9.326471728557772e-07,9.451476078964924e-07,9.835317773625061e-07,9.587269050322196e-07,9.414250337526247e-07,9.358691760684411e-07,9.174200000175067e-07,9.468135275870644e-07,8.877485855444724e-07
157,9.32375664606996e-07,9.449555330491884e-07,9.83144839074095e-07,9.580845489659376e-07,9.450726944932272e-07,9.349066303161404e-07,9.178272387632112e-07,9.489781559281091e-07,8.8939025141438e-07
158,9.302314283298612e-07,9.450752434802819e-07,9.865394499570456e-07,9.577386820690955e-07,9.441597648125252e-07,9.330784013827376e-07,9.184007847616333e-07,9.523034046007612e-07,8.897989024907163e-07
159,9.308667993661915e-07,9.4437090038666e-07,9.863438955425901e-07,9.56022461313075e-07,9.474161919744857e-07,9.358696484047804e-07,9.169679626714737e-07,9.504318519380719e-07,8.893011746393948e-07
160,9.319910556810459e-07,9.418121011332228e-07,9.812118245763093e-07,9.583985235576662e-07,9.466422410686944e-07,9.359987430820349e-07,9.18297833853212e-07,9.488211480102067e-07,8.896610304991799e-07
161,9.321005234203235e-07,9.382612691853903e-07,9.779489333580609e-07,9.581246504764438e-07,9.469690615447719e-07,9.370257965672203e-07,9.154243181498035e-07,9.504281271913216e-07,8.905906092117758e-07
162,9.330106244711352e-07,9.380272053167821e-07,9.823597877337845e-07,9.603400509543899e-07,9.468072813444578e-07,9.36428043649264e-07,9.170144133377483e-07,9.497296721389382e-07,8.926355972107796e-07
163,9.319554102603233e-07,9.423048748816086e-07,9.837931579928724e-07,9.597338418504278e-07,9.439036379899578e-07,9.332626076765241e-07,9.13331746010469e-07,9.478715908652228e-07,8.936814402799673e-07
164,9.349625931498891e-07,9.427182021704262e-07,9.847436555012065e-07,9.579074730521174e-07,9.468790715143324e-07,9.344607653901536e-07,9.113969025732316e-07,9.474467471441576e-07,8.952667316714116e-07
165,9.356793851738881e-07,9.423952221343567e-07,9.876360699434896e-07,9.616039655347204e-07,9.48619980494176e-07,9.329601458343885e-07,9.11000089987194e-07,9.490725455265255e-07,8.977558453736574e-07
166,9.349608154520511e-07,9.40812135281242e-07,9.857684936290498e-07,9.579698275049596e-07,9.465950540224982e-07,9.326310544720568e-07,9.075527580392938e-07,9.466195449504209e-07,8.974829990853841e-07
167,9.347489544067384e-07,9.417481755233659e-07,9.88405783164087e-07,9.57201844741693e-07,9.466009552492498e-07,9.335000245883799e-07,9.09263394493988e-07,9.48550167105125e-07,8.975342193367036e-07
168,9.357067638985915e-07,9.391341412977e-07,9.861916405757185e-07,9.584538806773682e-07,9.494302784148462e-07,9.348233792167192e-07,9.070295975077588e-07,9.490958314755287e-07,9.003958257013735e-07
169,9.360124859088139e-07,9.389106007623871e-07,9.860876248793008e-07,9.585613709431998e-07,9.482095024395951e-07,9.317942930765028e-07,9.064055923791544e-07,9.495005273312219e-07,9.038856603513717e-07
170,9.327828100489426e-07,9.355046784704379e-07,9.88708867037166e-07,9.593229018676894e-07,9.462034283699427e-07,9.301000139475969e-07,9.08559880131644e-07,9.49872985435247e-07,9.060261567495631e-07
171,9.307877775989543e-07,9.34217224365612e-07,9.872176968489564e-07,9.565652460535537e-07,9.428985696103772e-07,9.323416639845403e-07,9.052777271549883e-07,9.460737943881964e-07,9.034187115489448e-07
172,9.304035585468827e-07,9.337137358869586e-07,9.87534710543075e-07,9.573231100708311e-07,9.438697232316936e-07,9.340809742968868e-07,9.060132649776708e-07,9.449811047227191e-07,9.009838976316905e-07
173,9.297582863060531e-07,9.319442670916863e-07,9.887060914118102e-07,9.565014941111517e-07,9.45166432483305e-07,9.335606792139415e-07,9.046810085357802e-07,9.429852629744998e-07,9.01415287675554e-07
174,9.286276498728932e-07,9.301761127814234e-07,9.908271709057008e-07,9.554818840859314e-07,9.450981132651476e-07,9.348114975137868e-07,9.032819588561228e-07,9.413768816953702e-07,9.014306843414626e-07
175,9.309662037933491e-07,9.301437554733519e-07,9.88498014498416e-07,9.5085849689428e-07,9.456352284946767e-07,9.330082464876731e-07,9.027922764778645e-07,9.411517430789319e-07,9.024969137966856e-07
176,9.268359995208182e-07,9.29264140750312e-07,9.855331958251598e-07,9.473899194554672e-07,9.441918454956945e-07,9.324198249670646e-07,9.029410349682663e-07,9.396428743375302e-07,9.013968838157557e-07
177,9.267509204565112e-07,9.27494932683788e-07,9.853209992101236e-07,9.46346124731251e-07,9.440702847018659e-07,9.323331719255041e-07,9.045119648203071e-07,9.389234818810843e-07,9.008334927598922e-07
178,9.236933877286464e-07,9.282511842453448e-07,9.832623773281194e-07,9.44142842445728e-07,9.407151531210315e-07,9.290304110068703e-07,9.072557858069739e-07,9.368582410817825e-07,8.981482064198295e-07
179,9.213595207710367e-07,9.2976720494111e-07,9.846031176118623e-07,9.461871766198055e-07,9.42451391007556e-07,9.273513005975015e-07,9.066597726772059e-07,9.373139735567107e-07,8.982092434038559e-07
180,9.239146460391607e-07,9.264341884544996e-07,9.811762428149169e-07,9.455520943319079e-07,9.452167118805636e-07,9.330574433613874e-07,9.049231795447411e-07,9.361866970663063e-07,9.003413030824837e-07
181,9.247265490873424e-07,9.277016695141803e-07,9.8371097060257e-07,9.442078115319752e-07,9.4724929481255e-07,9.346823603861725e-07,9.054806072779871e-07,9.365153039103283e-07,8.994131457203838e-07
182,9.247357365252636e-07,9.237647884003424e-07,9.839836512207939e-07,9.453316421801898e-07,9.465239597850519e-07,9.346582628403828e-07,9.068910438240727e-07,9.365100036694746e-07,8.984656238457784e-07
183,9.25302374750432e-07,9.217190354480748e-07,9.81304067471926e-07,9.470803136132676e-07,9.47633938673672e-07,9.357772695583884e-07,9.047728946156622e-07,9.331910551357191e-07,8.974745356459784e-07
184,9.236728887496422e-07,9.216338447845984e-07,9.813335803115682e-07,9.484305516885015e-07,9.477512992869611e-07,9.355182862490174e-07,9.016062581175335e-07,9.302111001076119e-07,8.983858577832302e-07
185,9.240309469395496e-07,9.223629881134215e-07,9.849861552972626e-07,9.451334463563052e-07,9.504637424696e-07,9.392670235922313e-07,9.013870420549448e-07,9.329230295850935e-07,8.970032054679854e-07
186,9.223820991339584e-07,9.217813924565707e-07,9.821973760530572e-07,9.432812859842131e-07,9.474798492681607e-07,9.38863895968915e-07,9.040002925317699e-07,9.350442522248048e-07,8.989012939496344e-07
187,9.216913891522184e-07,9.196519580356297e-07,9.817714681285632e-07,9.42345117561824e-07,9.468933466890912e-07,9.378786460103867e-07,9.072022401313256e-07,9.349077143614772e-07,8.978655326787672e-07
188,9.201700763124666e-07,9.194511978953025e-07,9.827957459737068e-07,9.444723360958985e-07,9.485813494047114e-07,9.417577021732862e-07,9.086407737437703e-07,9.34205034315482e-07,8.984406946001623e-07
189,9.191560796943285e-07,9.20096994322486e-07,9.822739674315311e-07,9.474628810696981e-07,9.470323094145147e-07,9.419204586139546e-07,9.081594844784294e-07,9.370516568914324e-07,8.988795353894666e-07
190,9.172340983822232e-07,9.203019541455608e-07,9.820328934755792e-07,9.457863029688635e-07,9.464624855369458e-07,9.419912727512526e-07,9.064653136802638e-07,9.371379254246695e-07,8.995401754259756e-07
191,9.164875881428775e-07,9.197585450077391e-07,9.84724098321273e-07,9.464004692680589e-07,9.477313398242919e-07,9.4119247595512e-07,9.04240600405042e-07,9.353525458516763e-07,8.986184593088796e-07
192,9.147991950940993e-07,9.196586922948107e-07,9.827607298941825e-07,9.438702062521306e-07,9.445673650121252e-07,9.391039034779045e-07,9.028055710907571e-07,9.352346126487631e-07,8.992365372020144e-07
193,9.106719197716019e-07,9.199030848246053e-07,9.83166666677555e-07,9.426562441573036e-07,9.438968798678627e-07,9.385332928349756e-07,9.034872160385594e-07,9.370073250146676e-07,8.998709726578912e-07
194,9.111790735212251e-07,9.181099752853219e-07,9.821796441744445e-07,9.387801901736331e-07,9.444784662748576e-07,9.384129633258776e-07,9.01108329586742e-07,9.356198588742995e-07,8.960597109428412e-07
195,9.127311443986222e-07,9.198471974467708e-07,9.825828172577396e-07,9.374156951255082e-07,9.447068295970065e-07,9.392005555343439e-07,9.01418400799934e-07,9.364287321922264e-07,8.961620728461042e-07
196,9.114151268293813e-07,9.18937273119894e-07,9.800967027729077e-07,9.35865302066168e-07,9.441427074264527e-07,9.396983398114483e-07,8.995093464981941e-07,9.342441981586059e-07,8.984497556082582e-07
197,9.119814361247933e-07,9.197685711944844e-07,9.788647394845504e-07,9.363518759097498e-07,9.469286125928231e-07,9.429397565252304e-07,8.997151820052878e-07,9.333985123382907e-07,8.974135653099796e-07
198,9.118398449853671e-07,9.194703647690502e-07,9.789399363028423e-07,9.400498140614715e-07,9.465112556060967e-07,9.428448025158372e-07,8.981187438538185e-07,9.395755534813108e-07,9.00119894693868e-07
199,9.112877882029988e-07,9.173421814854055e-07,9.79773716401776e-07,9.396186794782881e-07,9.514181458526195e-07,9.417653911993586e-07,8.970887620890167e-07,9.405866790726843e-07,9.021503972295566e-07
200,9.10767180344387e-07,9.140866247127849e-07,9.815312748929294e-07,9.380944663704908e-07,9.53846769864104e-07,9.393108652022798e-07,8.967579305712373e-07,9.402292530686931e-07,9.032028684057788e-07
201,9.081881740280534e-07,9.151439347578579e-07,9.805599416348237e-07,9.375287074743528e-07,9.534827454239441e-07,9.385439135580627e-07,8.989243724195721e-07,9.413757854579955e-07,9.023241684383446e-07
202,9.053393974996284e-07,9.123931585617532e-07,9.801363349676808e-07,9.376465280499109e-07,9.552465585713702e-07,9.38792771733498e-07,9.001354874133272e-07,9.429760728681211e-07,9.038350091677688e-07
203,9.045145717167779e-07,9.137972248706063e-07,9.795001704280416e-07,9.37328419700793e-07,9.519958746882231e-07,9.378177132508719e-07,9.003130985783535e-07,9.40474495679874e-07,8.994038392990758e-07
204,9.044477957574603e-07,9.133789645162952e-07,9.797408932332465e-07,9.356996633258498e-07,9.503090620462171e-07,9.358606574529055e-07,9.031971596425032e-07,9.410400713999992e-07,8.993837812127434e-07
205,8.995660381168411e-07,9.085015381467508e-07,9.793534163534799e-07,9.345159425999988e-07,9.498547764962554e-07,9.35831863782683e-07,9.040530763928908e-07,9.402743514316115e-07,9.003810126979196e-07
206,8.991048147064564e-07,9.093773312526294e-07,9.845844063582319e-07,9.334482763764203e-07,9.48965586926065e-07,9.362488136989528e-07,9.027815325460384e-07,9.384588739602044e-07,8.966307683584414e-07
207,8.999804408483805e-07,9.095757473039508e-07,9.830849936668147e-07,9.350680595916976e-07,9.478761203156743e-07,9.38457797084586e-07,9.042391418579047e-07,9.361463655116909e-07,8.953102746174433e-07
208,8.981301329054269e-07,9.129696732510108e-07,9.835995410869845e-07,9.350035748733947e-07,9.482233314057504e-07,9.371713372548437e-07,9.094806541597792e-07,9.349806913820742e-07,8.965962723204667e-07
209,8.968525860782849e-07,9.115404626435888e-07,9.808891711839794e-07,9.346133678937388e-07,9.493113219437752e-07,9.397449004463e-07,9.093544207997448e-07,9.370161997410164e-07,8.970973921047763e-07
210,8.957225304502459e-07,9.152190562986748e-07,9.79799926441602e-07,9.351338163258075e-07,9.493694076573998e-07,9.432204226901854e-07,9.098054668849428e-07,9.373351273223731e-07,8.958726033246052e-07
211,8.943852864059085e-07,9.149579746975409e-07,9.820238365020478e-07,9.350085653341269e-07,9.466165308918791e-07,9.397549186862203e-07,9.101073208918986e-07,9.372515945280173e-07,8.959425596118378e-07
212,8.96254184087323e-07,9.158163319345744e-07,9.85721279844001e-07,9.373018433790513e-07,9.481795223022789e-07,9.416570765746483e-07,9.114481116554698e-07,9.349652954291304e-07,8.991983495426264e-07
213,8.926401115290475e-07,9.146384218498408e-07,9.87866772076976e-07,9.349463734094495e-07,9.507228291777044e-07,9.396451455507895e-07,9.123802560993617e-07,9.326599199329028e-07,9.003403806284606e-07
214,8.912954262402145e-07,9.112632631122007e-07,9.865533565850882e-07,9.329206430086076e-07,9.48192473397286e-07,9.368971009321352e-07,9.09638295537354e-07,9.27145707406622e-07,9.021114209210935e-07
215,8.926929687129436e-07,9.138194118391936e-07,9.913680118777149e-07,9.348589646672259e-07,9.499324892849129e-07,9.39174207443491e-07,9.137469366577229e-07,9.288262825868812e-07,9.02917988405428e-07
216,8.925677366254962e-07,9.134840402659572e-07,9.93155048783599e-07,9.29056714907017e-07,9.469304769089747e-07,9.369087005393959e-07,9.157919552110524e-07,9.295687324428799e-07,9.048266307272535e-07
217,8.923002512025056e-07,9.120766418438129e-07,9.96332218204612e-07,9.267002215635455e-07,9.460638688379027e-07,9.342578737915587e-07,9.147829475668144e-07,9.251947822329489e-07,9.076532161622689e-07
218,8.936782813605779e-07,9.116590876457612e-07,9.957162281400764e-07,9.276610235558784e-07,9.449868493239071e-07,9.340178529536924e-07,9.135354209190312e-07,9.230942942581252e-07,9.082006767089924e-07
219,8.918108645739741e-07,9.122317585005663e-07,9.966188607187351e-07,9.249630433919811e-07,9.4489107720791e-07,9.343696641262251e-07,9.158109697273964e-07,9.244072864671573e-07,9.128556521785407e-07
220,8.910665538887006e-07,9.084449209161525e-07,9.925681228870902e-07,9.20304036313342e-07,9.430675610854276e-07,9.308676604054936e-07,9.156300991794575e-07,9.227490836351046e-07,9.169307414630713e-07
221,8.897955333259149e-07,9.096374154329719e-07,9.912057474056086e-07,9.169426604802575e-07,9.401073286551964e-07,9.267240762533868e-07,9.153281779678771e-07,9.217003414777927e-07,9.193827012700204e-07
222,8.908361034018819e-07,9.105441358673555e-07,9.961353904314772e-07,9.146918461207587e-07,9.384903732283951e-07,9.260706503154007e-07,9.136236614078704e-07,9.220416827561878e-07,9.212271876551785e-07
223,8.920580192109451e-07,9.10044235526278e-07,9.968312946777476e-07,9.132802552957458e-07,9.40883710557364e-07,9.252191658074175e-07,9.126176095258152e-07,9.200023830697279e-07,9.297757329706224e-07
224,8.913834383652503e-07,9.104704780389264e-07,9.972177753492871e-07,9.149306420874996e-07,9.407934207686825e-07,9.226507636752739e-07,9.150070599953382e-07,9.228622948261287e-07,9.433351071433226e-07
225,8.907419913844144e-07,9.093403857537463e-07,9.95473538978329e-07,9.136591460061435e-07,9.410136198584169e-07,9.216198722107408e-07,9.134603798780107e-07,9.218261676313985e-07,9.49580053903407e-07
226,8.924589947594268e-07,9.094164648762552e-07,9.974491912236218e-07,9.127282552177213e-07,9.416453289694023e-07,9.20179862897456e-07,9.140942223473297e-07,9.199173764717455e-07,9.58529649422347e-07
227,8.926041537424769e-07,9.118442603625814e-07,1.001447820941112e-06,9.143227676060908e-07,9.437754090249445e-07,9.186577323500488e-07,9.132756806930295e-07,9.208361247581363e-07,9.718629976564303e-07
228,8.893219638105497e-07,9.125928480932147e-07,9.994302715223238e-07,9.158479147317673e-07,9.441608597648246e-07,9.185776810768559e-07,9.098149423709939e-07,9.189582622012306e-07,9.891626072823917e-07
229,8.907222329296381e-07,9.133296644991235e-07,9.978683297537397e-07,9.186047601371636e-07,9.489640816299944e-07,9.175008830298226e-07,9.110547372026108e-07,9.179486867183723e-07,1.0044305112120228e-06
230,8.878385274241708e-07,9.151705506272962e-07,9.961483965258468e-07,9.184605736965121e-07,9.50174208837543e-07,9.193639582424489e-07,9.096051088200738e-07,9.16929807529127e-07,1.0194359964047723e-06
231,8.857994900861177e-07,9.13756397496412e-07,9.950016893404919e-07,9.194331428916213e-07,9.5061154860271e-07,9.204407520833919e-07,9.065406644490182e-07,9.149545050123439e-07,1.0354292100272405e-06
232,8.871159084036765e-07,9.124233223020235e-07,9.931498943931739e-07,9.194936822004427e-07,9.534528024614894e-07,9.191334116905183e-07,9.038170082509328e-07,9.116295177119873e-07,1.0496359148515312e-06
233,8.852413646858661e-07,9.101548421785523e-07,9.909307034975944e-07,9.170869098338387e-07,9.514316872705976e-07,9.158317649947447e-07,9.048656256017929e-07,9.125091672318665e-07,1.059877481263111e-06
234,8.850843061694264e-07,9.093830797710275e-07,9.891401344332278e-07,9.16305833784606e-07,9.493477613688463e-07,9.172346046605204e-07,9.050285941869466e-07,9.131664661769132e-07,1.0652872656559883e-06
235,8.84319108292254e-07,9.106911315133599e-07,9.875938640515649e-07,9.172398399700476e-07,9.485023092842663e-07,9.173249573229739e-07,9.050310842597903e-07,9.150247019825879e-07,1.0716138863857524e-06
236,8.854422212327896e-07,9.106344881269967e-07,9.817923280379979e-07,9.160060008557147e-07,9.509206934204488e-07,9.150935122287284e-07,9.039583853090512e-07,9.157395487688104e-07,1.077783437907108e-06
237,8.802102981599596e-07,9.113035364258028e-07,9.790326768281634e-07,9.136753123264835e-07,9.513458625704243e-07,9.130218528306203e-07,9.006811546950324e-07,9.190219455377498e-07,1.0818286764201525e-06
238,8.804605677553796e-07,9.137549161344059e-07,9.799283431880586e-07,9.17419622597758e-07,9.538103480953824e-07,9.162944332589599e-07,9.014162603307603e-07,9.199040325867839e-07,1.0875875063847969e-06
239,8.785927336218416e-07,9.139831659445661e-07,9.759282167838696e-07,9.177238500737254e-07,9.509975311004064e-07,9.138488150187608e-07,8.980241237415256e-07,9.156003466585789e-07,1.0859735844392596e-06
240,8.77114401757021e-07,9.144718568130756e-07,9.75627981326796e-07,9.160887664974023e-07,9.525582981965248e-07,9.132653576308822e-07,8.992067150584035e-07,9.180152588632001e-07,1.08753762137561e-06
241,8.771079559370326e-07,9.177943119289596e-07,9.746410204769171e-07,9.198352809666474e-07,9.527663005744868e-07,9.105587427466157e-07,8.972321290050043e-07,9.154333850065748e-07,1.0838668525330573e-06
242,8.754066198413879e-07,9.131920368772564e-07,9.708141014709748e-07,9.201164943345933e-07,9.543995021075173e-07,9.103100238781644e-07,8.969189342755768e-07,9.122302855836706e-07,1.0818035884966123e-06
243,8.768610966824184e-07,9.134572561581976e-07,9.68193929836228e-07,9.185726274195993e-07,9.540374643753462e-07,9.107769512043244e-07,8.954560329505565e-07,9.116773368507597e-07,1.0817205612188882e-06
244,8.758394257598393e-07,9.175792587855003e-07,9.675794480043254e-07,9.18718109086088e-07,9.523102384799366e-07,9.088073417929092e-07,8.935801559675132e-07,9.072504649417665e-07,1.0774475151368017e-06
245,8.747673092022486e-07,9.139420754133544e-07,9.627682685538465e-07,9.185552174918599e-07,9.51951508187305e-07,9.095882894324635e-07,8.921550733799304e-07,9.076231720481063e-07,1.0738178338020909e-06
246,8.747539439899174e-07,9.155268462345027e-07,9.603792133449582e-07,9.181390234445439e-07,9.523536214360495e-07,9.070227788918586e-07,8.874647222915597e-07,9.050423664405083e-07,1.0683522722249079e-06
247,8.713192801776694e-07,9.170105666679021e-07,9.590533318609752e-07,9.180567759450048e-07,9.537238932052628e-07,9.067530474909333e-07,8.861707409659695e-07,9.037949897953735e-07,1.0644726878916162e-06
248,8.733942135699162e-07,9.209682887360729e-07,9.577576620648219e-07,9.19104037019626e-07,9.548409107022641e-07,9.0829159795458e-07,8.855104496296911e-07,9.029530170249038e-07,1.0574409717690114e-06
249,8.730463043772136e-07,9.223623759673478e-07,9.561323925721066e-07,9.179980381795768e-07,9.560951669172228e-07,9.061254318442406e-07,8.836270792048063e-07,9.019462353796631e-07,1.0557704444991166e-06
250,8.730893851429636e-07,9.281296707943567e-07,9.530367781598687e-07,9.183162910989816e-07,9.562996208031937e-07,9.052074091735761e-07,8.809973043388957e-07,9.038103637515164e-07,1.0503350916242161e-06
