step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/g_rms_ema_step
28,1.0025296113641207e-06,8.409570876898369e-07,9.603521349769883e-07,8.544806068069437e-07,8.361588262176662e-07,8.464907428474605e-07,8.455583049050913e-07,8.473039556044001e-07,9.237267817147648e-07
29,1.0128900177978063e-06,8.503645778912133e-07,9.645458829384236e-07,8.63124299502645e-07,8.480422039001194e-07,8.571541739718156e-07,8.538709988795165e-07,8.547609431651007e-07,9.300240062584052e-07
30,1.0199027914783092e-06,8.604351624133716e-07,9.641436385382978e-07,8.736615000470867e-07,8.534731956666769e-07,8.644330966879062e-07,8.639355524336869e-07,8.652921752009496e-07,9.339709105731351e-07
31,1.0231134308693269e-06,8.668744257352283e-07,9.680609706504406e-07,8.782439773017019e-07,8.635374925793792e-07,8.706639783866555e-07,8.688706841754667e-07,8.700660726189401e-07,9.350888814551959e-07
32,1.0270970143995849e-06,8.794127279079224e-07,9.702877817789106e-07,8.847688017874512e-07,8.724580149354384e-07,8.783651296805953e-07,8.745809997175607e-07,8.761474755365844e-07,9.34458933327158e-07
33,1.0273924286694522e-06,8.839607485504256e-07,9.714984261778322e-07,8.946850458332678e-07,8.812448926942426e-07,8.844504676864325e-07,8.845242493913664e-07,8.821310149805761e-07,9.403968577266989e-07
34,1.0307298185879862e-06,8.932357965095949e-07,9.72784227901476e-07,9.021205885314621e-07,8.930303345080945e-07,8.931276500810094e-07,8.944977015071957e-07,8.944981122225781e-07,9.468880161440069e-07
35,1.0327293166380849e-06,8.997843156247636e-07,9.743268137654138e-07,9.092985570952679e-07,9.029092587116867e-07,9.015310153116864e-07,9.01548305231055e-07,9.028326202647173e-07,9.487065204364084e-07
36,1.0365483376688389e-06,9.066337964133473e-07,9.7265778716804e-07,9.154462794050807e-07,9.148532918124892e-07,9.116431085423828e-07,9.081600364132483e-07,9.113223502512028e-07,9.509656921846007e-07
37,1.0403224712821131e-06,9.128901442730702e-07,9.740539491971116e-07,9.20408517663416e-07,9.23810022523839e-07,9.180000422457398e-07,9.147147429128536e-07,9.221010105866245e-07,9.550523060477252e-07
38,1.0390940077548185e-06,9.212930450334568e-07,9.792479464443092e-07,9.289565740116759e-07,9.327970622297199e-07,9.234316571399153e-07,9.273537592513523e-07,9.310325109984486e-07,9.613961169329942e-07
39,1.0383568552907629e-06,9.28013521682552e-07,9.827497729751258e-07,9.367247749828855e-07,9.474420213360841e-07,9.317464231940787e-07,9.344435714723916e-07,9.392361883351627e-07,9.627665645153295e-07
40,1.0381414833298415e-06,9.376727108408804e-07,9.842765272848137e-07,9.449849354802639e-07,9.568394725160609e-07,9.377009416273763e-07,9.44812401206784e-07,9.437159247893751e-07,9.624616026831382e-07
41,1.0391888367755284e-06,9.433558401041722e-07,9.83797441922548e-07,9.541555831941372e-07,9.64534042724068e-07,9.451931057501811e-07,9.503609211176023e-07,9.510201068841983e-07,9.650916116211365e-07
42,1.0439962363499328e-06,9.499548833541332e-07,9.826702799519293e-07,9.59868845300368e-07,9.69743808375903e-07,9.507039514225635e-07,9.569850103058504e-07,9.558684499163489e-07,9.666582847979788e-07
43,1.0441237209122167e-06,9.567642357274851e-07,9.853558538273157e-07,9.682298694224479e-07,9.78185955559964e-07,9.578695681696454e-07,9.63215142050911e-07,9.589547648243457e-07,9.667606760251989e-07
44,1.0453109821305464e-06,9.587612755464462e-07,9.834914473553439e-07,9.721956705768518e-07,9.79621296511032e-07,9.604644685561638e-07,9.658909968913026e-07,9.638196680221319e-07,9.679012311665936e-07
45,1.044851982310303e-06,9.615088696187363e-07,9.837503890447705e-07,9.781154271097358e-07,9.816485464436894e-07,9.650815999400545e-07,9.654317321847769e-07,9.650437074781625e-07,9.690089927926617e-07
46,1.0459612723944854e-06,9.645821210943718e-07,9.83075268853708e-07,9.804439873059838e-07,9.87064251759614e-07,9.713649785462098e-07,9.687421676470217e-07,9.68426500743001e-07,9.67442145477799e-07
47,1.0465112262844789e-06,9.716381103760993e-07,9.881102714736087e-07,9.867861123581745e-07,9.921332664576203e-07,9.775617107867657e-07,9.762396614762145e-07,9.714409341656809e-07,9.697094824268522e-07
48,1.0484225292397803e-06,9.795146389615739e-07,9.8994609496831e-07,9.93407914580286e-07,9.95009132636892e-07,9.802102217147688e-07,9.821570051176674e-07,9.705929742493292e-07,9.691154448066658e-07
49,1.048535491490928e-06,9.83351158739795e-07,9.91237437283354e-07,9.961668908583049e-07,9.977290114489015e-07,9.814623304527713e-07,9.811841630283452e-07,9.712880215990126e-07,9.639123762335835e-07
50,1.044846749895975e-06,9.84239307124358e-07,9.90965886532961e-07,9.975817281992717e-07,1.0004704237133338e-06,9.81175294581021e-07,9.874286475077292e-07,9.6882062333089e-07,9.622715436483585e-07
