step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/r_ctrl_step
50,0.02026467050811403,0.05,0.01,0.05,0.025,0.05,0.05,0.025,0.01009403340067604
51,0.01001713006200862,0.025,0.01,0.05,0.05,0.05,0.05,0.05,0.01009403340067604
52,0.015140900285061324,0.05,0.01,0.05,0.05,0.05,0.05,0.05,0.011048679276274807
53,0.016692608343745894,0.05,0.01,0.05,0.025,0.05,0.05,0.025,0.013068595673521808
54,0.016692608343745894,0.025,0.01,0.05,0.025,0.05,0.05,0.05,0.01
55,0.01898590093677978,0.025,0.010905070998339667,0.05,0.05,0.05,0.05,0.05,0.01
56,0.01,0.025,0.010905070998339667,0.05,0.05,0.05,0.05,0.05,0.01
57,0.01,0.05,0.01,0.05,0.025,0.05,0.05,0.025,0.01
58,0.01,0.025,0.01,0.05,0.025,0.05,0.05,0.05,0.01
59,0.01,0.025,0.01,0.05,0.05,0.05,0.05,0.05,0.01
60,0.01,0.05,0.01,0.05,0.05,0.05,0.05,0.025,0.01
61,0.01,0.05,0.01,0.05,0.025,0.05,0.05,0.025,0.0103465420829829
62,0.01053076220708918,0.05,0.01,0.05,0.025,0.05,0.05,0.05,0.0103465420829829
63,0.01053076220708918,0.025,0.01,0.05,0.025,0.05,0.05,0.05,0.010378450196168612
64,0.01053076220708918,0.025,0.01,0.05,0.05,0.05,0.05,0.025,0.010378450196168612
65,0.01053076220708918,0.05,0.01,0.05,0.025,0.05,0.05,0.025,0.01
66,0.01053076220708918,0.05,0.01,0.05,0.025,0.05,0.05,0.05,0.01
67,0.012119139459883294,0.025,0.01,0.05,0.025,0.05,0.05,0.025,0.01
68,0.01,0.05,0.01,0.05,0.05,0.05,0.05,0.025,0.01
69,0.01,0.05,0.01,0.05,0.05,0.05,0.05,0.05,0.01
70,0.01,0.05,0.01,0.05,0.05,0.05,0.05,0.05,0.01
71,0.01,0.025,0.01,0.05,0.025,0.05,0.05,0.05,0.01025175834027544
72,0.010711101784807131,0.05,0.010465997298766228,0.05,0.05,0.05,0.05,0.025,0.01025175834027544
73,0.010711101784807131,0.025,0.01,0.05,0.025,0.05,0.05,0.05,0.01279223728402915
74,0.011025663882721156,0.025,0.01,0.05,0.05,0.05,0.05,0.05,0.01279223728402915
75,0.012136130848395424,0.05,0.01,0.05,0.05,0.05,0.05,0.05,0.01333772652489922
76,0.013823306713824524,0.05,0.01,0.05,0.025,0.05,0.05,0.05,0.01333772652489922
77,0.015059414526893891,0.025,0.01,0.05,0.05,0.05,0.05,0.025,0.01333772652489922
78,0.015493069694533226,0.05,0.01,0.05,0.025,0.05,0.05,0.025,0.015560900440978251
79,0.01576952935958418,0.025,0.01,0.05,0.05,0.05,0.05,0.05,0.01
80,0.018992789800941844,0.025,0.01,0.05,0.025,0.05,0.05,0.025,0.01
81,0.01,0.05,0.01,0.05,0.05,0.05,0.05,0.05,0.01
82,0.01,0.05,0.01,0.05,0.025,0.05,0.05,0.05,0.01
83,0.01,0.05,0.01,0.05,0.025,0.05,0.05,0.05,0.01
84,0.01,0.025,0.01,0.05,0.025,0.05,0.05,0.025,0.01
85,0.010881974996371602,0.025,0.01,0.05,0.05,0.05,0.05,0.05,0.01
86,0.01,0.025,0.01,0.05,0.05,0.05,0.05,0.05,0.012777517167641094
87,0.01401291011090509,0.05,0.010435837264805674,0.05,0.05,0.05,0.05,0.05,0.01350262863369752
88,0.01401291011090509,0.025,0.010435837264805674,0.05,0.05,0.05,0.05,0.025,0.01632810905002974
89,0.015752591184739935,0.05,0.015030943979032272,0.05,0.05,0.05,0.05,0.05,0.01632810905002974
90,0.015752591184739935,0.05,0.015030943979032272,0.05,0.025,0.05,0.05,0.025,0.01009129230105476
91,0.013926993169792488,0.05,0.015030943979032272,0.05,0.025,0.05,0.05,0.025,0.010379809072373625
92,0.0106438376232268,0.025,0.015030943979032272,0.05,0.05,0.05,0.05,0.05,0.014365586625398157
93,0.014961840763418097,0.05,0.015030943979032272,0.05,0.025,0.05,0.05,0.025,0.014864451596773765
94,0.01,0.05,0.016175263333232274,0.05,0.025,0.05,0.05,0.05,0.014864451596773765
95,0.011493109101553984,0.05,0.01,0.05,0.05,0.05,0.05,0.05,0.014864451596773765
96,0.012185173298918548,0.025,0.01245515776049732,0.05,0.05,0.05,0.05,0.05,0.014864451596773765
97,0.012185173298918548,0.05,0.01208625456940808,0.05,0.05,0.05,,,0.014864451596773765
98,0.014452570074851822,0.025,0.0122707061649527,0.05,0.05,0.05,,,0.014864451596773765
99,0.014452570074851822,0.025,0.0122707061649527,0.05,0.05,0.05,,,0.018613299727776
100,0.014452570074851822,0.025,0.0122707061649527,0.05,0.025,0.05,0.05,0.025,0.019000047746679863
101,0.01665516659827479,0.05,0.013074171292138788,0.05,0.025,0.05,0.05,0.025,0.019000047746679863
102,0.01665516659827479,0.05,0.014901242594301868,0.05,0.025,0.05,0.05,0.025,0.019000047746679863
103,0.011126456560687514,0.025,0.014901242594301868,0.05,0.05,0.05,0.05,0.05,0.019000047746679863
104,0.013890811579481152,0.05,0.014110342647087827,0.05,0.05,0.05,0.05,0.05,0.019000047746679863
105,0.013890811579481152,0.025,0.017633796559562424,0.05,0.025,0.05,0.05,0.05,0.019000047746679863
106,0.013890811579481152,0.05,0.01,0.05,0.05,0.05,0.05,0.05,0.019000047746679863
107,0.014273615368087677,0.05,0.012698938773595007,0.05,0.05,0.05,0.05,0.05,0.019000047746679863
108,0.015188865892364272,0.025,0.012698938773595007,0.05,0.025,0.05,0.05,0.05,0.013613549950232604
109,0.017918570186223937,0.025,0.012698938773595007,0.05,0.05,0.05,0.05,0.05,0.016306798848456237
110,0.019962700570793974,0.025,0.01305937550912967,0.05,0.025,0.05,0.05,0.025,0.02027763844100846
111,0.019962700570793974,0.05,0.012833542833137071,0.05,0.05,0.05,0.05,0.05,0.01673900021883415
112,0.019962700570793974,0.025,0.012946459171133372,0.05,0.05,0.05,0.05,0.025,0.018508319329921304
113,0.02104706978703001,0.05,0.012946459171133372,0.05,0.05,0.05,0.05,0.025,0.01
114,0.012628892884290296,0.05,0.014028472246116714,0.05,0.05,0.05,0.05,0.05,0.01
115,0.01683798133566015,0.05,0.01692424610027831,0.05,0.05,0.05,0.05,0.05,0.01
116,0.014376034757696608,0.05,0.019436681830399347,0.05,0.05,0.05,0.05,0.025,0.011315544082616496
117,0.01,0.025,0.019436681830399347,0.05,0.05,0.05,0.05,0.025,0.01235323032167053
118,0.011292513660846788,0.025,0.01,0.05,0.05,0.05,0.05,0.05,0.01235323032167053
119,0.01,0.025,0.01315741289895681,0.05,0.025,0.05,0.05,0.05,0.01
120,0.01,0.025,0.01315741289895681,0.05,0.05,0.05,0.05,0.025,0.01
121,0.01,0.05,0.013362605413681942,0.05,0.025,0.05,0.05,0.025,0.01
122,0.01,0.05,0.020760926879359327,0.05,0.05,0.05,0.05,0.05,0.01
123,0.01,0.025,0.020760926879359327,0.05,0.05,0.05,0.05,0.05,0.01
124,0.011522437434832836,0.025,0.022121042196650884,0.05,0.025,0.05,0.05,0.05,0.01
125,0.011522437434832836,0.05,0.01,0.05,0.025,0.05,0.05,0.025,0.01
126,0.01,0.025,0.011669925871246224,0.05,0.05,0.05,0.05,0.05,0.01
127,0.012181573681282825,0.05,0.011669925871246224,0.05,0.05,0.05,0.05,0.025,0.01
128,0.013926925200111727,0.05,0.011669925871246224,0.05,0.05,0.05,0.05,0.05,0.01
129,0.01,0.05,0.011669925871246224,0.05,0.05,0.05,0.05,0.05,0.01019568434627989
130,0.01428465735925258,0.025,0.012529587023814442,0.05,0.05,0.05,0.05,0.05,0.01
131,0.01428465735925258,0.05,0.012529587023814442,0.05,0.025,0.05,0.05,0.025,0.01333886062293485
132,0.01007612987825437,0.05,0.014381436825538245,0.05,0.025,0.05,0.05,0.05,0.01333886062293485
133,0.01431666077939037,0.05,0.014381436825538245,0.05,0.05,0.05,0.05,0.05,0.01333886062293485
134,0.01434115979025735,0.05,0.014381436825538245,0.05,0.025,0.05,0.05,0.05,0.018554956720568266
135,0.01464134904964232,0.025,0.018456879131898,0.05,0.05,0.05,0.05,0.05,0.018554956720568266
136,0.01464134904964232,0.025,0.018456879131898,0.05,0.05,0.05,0.05,0.05,0.018554956720568266
137,0.01464134904964232,0.05,0.012155060133146291,0.05,0.05,0.05,0.05,0.025,0.019648963404926265
138,0.014765944944823629,0.025,0.015305969632522148,0.05,0.025,0.05,0.05,0.05,0.019648963404926265
139,0.018084776660982405,0.05,0.015305969632522148,0.05,0.025,0.05,0.05,0.025,0.019648963404926265
140,0.018084776660982405,0.025,0.015305969632522148,0.05,0.05,0.05,0.05,0.05,0.012770127938429285
141,0.018084776660982405,0.05,0.015305969632522148,0.05,0.025,0.05,0.05,0.05,0.017239212533125423
142,0.01,0.05,0.01221127230280058,0.05,0.05,0.05,0.05,0.05,0.015492590681126472
143,0.01487853828644022,0.025,0.013758620967661363,0.05,0.05,0.05,0.05,0.025,0.01636590160712595
144,0.013826319642571082,0.05,0.013758620967661363,0.05,0.05,0.05,0.05,0.05,0.018725389272022323
145,0.015772420058739474,0.05,0.014758935846577304,0.05,0.025,0.05,0.05,0.05,0.018757771570184923
146,0.015772420058739474,0.05,0.014758935846577304,0.05,0.025,0.05,0.05,0.05,0.01
147,0.015772420058739474,0.025,0.014758935846577304,0.05,0.025,0.05,0.05,0.05,0.012222902579612652
148,0.015772420058739474,0.025,0.016275396705373767,0.05,0.025,0.05,0.05,0.05,0.01
149,0.01,0.05,0.016297450637320958,0.05,0.05,0.05,0.05,0.025,0.01
150,0.01,0.05,0.01,0.05,0.05,0.05,0.05,0.025,0.01
151,0.01,0.05,0.012765870312248791,0.05,0.05,0.05,0.05,0.05,0.013152315577380492
152,0.01,0.025,0.012765870312248791,0.05,0.025,0.05,0.05,0.025,0.01
153,0.011552361562298144,0.025,0.013667391973290447,0.05,0.05,0.05,0.05,0.05,0.010401709842162123
154,0.011552361562298144,0.025,0.016470694336483797,0.05,0.05,0.05,0.05,0.025,0.010401709842162123
155,0.014007551865916464,0.025,0.01,0.05,0.025,0.05,0.05,0.025,0.011930740070301208
156,0.014007551865916464,0.025,0.01,0.05,0.05,0.05,0.05,0.05,0.011930740070301208
157,0.011329770013794664,0.05,0.01,0.05,0.05,0.05,0.05,0.05,0.013602020706935612
158,0.012668660939855563,0.05,0.015257977009380225,0.05,0.025,0.05,0.05,0.05,0.013602020706935612
159,0.012135834957310864,0.05,0.015257977009380225,0.05,0.05,0.05,0.05,0.025,0.01
160,0.013220427931137644,0.05,0.015257977009380225,0.05,0.025,0.05,0.05,0.025,0.01
161,0.011589701216987018,0.025,0.015257977009380225,0.05,0.025,0.05,0.05,0.05,0.01
162,0.012915281334344804,0.05,0.013009780891258631,0.05,0.05,0.05,0.05,0.025,0.01
163,0.012915281334344804,0.05,0.014133878950319428,0.05,0.05,0.05,0.05,0.05,0.01
164,0.01498506340021636,0.05,0.016386651528766023,0.05,0.025,0.05,0.05,0.05,0.01
165,0.01,0.05,0.019943517595889748,0.05,0.025,0.05,0.05,0.025,0.01
166,0.010697496757673338,0.025,0.019943517595889748,0.05,0.05,0.05,0.05,0.05,0.01
167,0.011675317346148672,0.025,0.019943517595889748,0.05,0.025,0.05,0.05,0.025,0.01
168,0.01357972452917994,0.025,0.019943517595889748,0.05,0.05,0.05,0.05,0.05,0.01
169,0.01480479935255811,0.05,0.019943517595889748,0.05,0.05,0.05,0.05,0.025,0.011116138473451258
170,0.01480479935255811,0.025,0.02003682393452839,0.05,0.05,0.05,0.05,0.05,0.01
171,0.01480479935255811,0.025,0.02003682393452839,0.05,0.025,0.05,0.05,0.05,0.010003394732205895
172,0.015907821512221722,0.025,0.02003682393452839,0.05,0.05,0.05,0.05,0.05,0.010065821633990803
173,0.015907821512221722,0.05,0.02003682393452839,0.05,0.05,0.05,0.05,0.05,0.010065821633990803
174,0.01641699639841423,0.05,0.02057301916455809,0.05,0.05,0.05,0.05,0.05,0.012060388967580623
175,0.017561461139600755,0.05,0.02057301916455809,0.05,0.025,0.05,0.05,0.05,0.013699389837398553
176,0.018035730512268137,0.025,0.01841874449366578,0.05,0.025,0.05,0.05,0.025,0.01
177,0.01854482298400953,0.025,0.02075743562927529,0.05,0.05,0.05,0.05,0.05,0.01
178,0.01854482298400953,0.05,0.02075743562927529,0.05,0.025,0.05,0.05,0.025,0.01
179,0.01854482298400953,0.025,0.021277932301715572,0.05,0.025,0.05,0.05,0.025,0.01
180,0.01854482298400953,0.05,0.021277932301715572,0.05,0.05,0.05,0.05,0.025,0.01
181,0.01,0.05,0.024147488727780612,0.05,0.025,0.05,0.05,0.025,0.01
182,0.011099917698186409,0.025,0.026025787307858823,0.05,0.05,0.05,0.05,0.025,0.01
183,0.011099917698186409,0.025,0.01,0.05,0.025,0.05,0.05,0.025,0.01
184,0.01,0.05,0.013744709377277056,0.05,0.05,0.05,0.05,0.025,0.011378766807806154
185,0.01,0.05,0.010225164496130205,0.05,0.025,0.05,0.05,0.025,0.01
186,0.01,0.025,0.01198493693670363,0.05,0.05,0.05,0.05,0.05,0.01
187,0.01,0.025,0.01198493693670363,0.05,0.05,0.05,0.05,0.05,0.01
188,0.01,0.025,0.01198493693670363,0.05,0.05,0.05,0.05,0.05,0.01
189,0.01,0.05,0.01,0.05,0.05,0.05,0.05,0.05,0.01
190,0.01,0.05,0.010853200110928468,0.05,0.025,0.05,0.05,0.05,0.01
191,0.01,0.025,0.010853200110928468,0.05,0.05,0.05,0.05,0.025,0.01
192,0.01,0.05,0.010853200110928468,0.05,0.025,0.05,0.05,0.025,0.01
193,0.01,0.05,0.013859874256962943,0.05,0.025,0.05,0.05,0.025,0.01
194,0.01,0.025,0.013859874256962943,0.05,0.05,0.05,0.05,0.05,0.01
195,0.01,0.05,0.01,0.05,0.05,0.05,0.05,0.05,0.01
196,0.01,0.05,0.011541219562933596,0.05,0.025,0.05,0.05,0.025,0.01
197,0.01,0.05,0.01,0.05,0.025,0.05,0.05,0.05,0.01
198,0.01,0.025,0.01,0.05,0.05,0.05,0.05,0.05,0.01
199,0.01,0.025,0.01,0.05,0.05,0.05,0.05,0.05,0.01
200,0.01,0.025,0.011331679445854894,0.05,0.025,0.05,0.05,0.025,0.01
201,0.01,0.025,0.011331679445854894,0.05,0.05,0.05,0.05,0.05,0.01
202,0.01,0.025,0.011331679445854894,0.05,0.05,0.05,0.05,0.05,0.01
203,0.01,0.05,0.011331679445854894,0.05,0.025,0.05,0.05,0.025,0.01
204,0.01,0.025,0.01,0.05,0.025,0.05,0.05,0.025,0.01
205,0.01,0.05,0.01,0.05,0.05,0.05,0.05,0.05,0.01
206,0.01,0.05,0.01,0.05,0.025,0.05,0.05,0.025,0.01
207,0.01,0.025,0.01,0.05,0.025,0.05,0.05,0.025,0.01
208,0.01,0.025,0.01,0.05,0.025,0.05,0.05,0.025,0.01
209,0.01,0.025,0.01,0.05,0.05,0.05,0.05,0.025,0.01
210,0.01,0.05,0.01,0.05,0.05,0.05,0.05,0.025,0.01
211,0.01,0.05,0.01,0.05,0.025,0.05,0.05,0.025,0.01
212,0.01,0.025,0.010537302246869863,0.05,0.05,0.05,0.05,0.025,0.01
213,0.01,0.025,0.010537302246869863,0.05,0.05,0.05,0.05,0.025,0.01
214,0.01,0.05,0.01,0.05,0.05,0.05,0.05,0.025,0.01
215,0.01,0.025,0.01,0.05,0.05,0.05,0.05,0.05,0.01
216,0.01,0.05,0.01,0.05,0.025,0.05,0.05,0.05,0.01
217,0.01,0.025,0.01,0.05,0.05,0.05,0.05,0.025,0.01
218,0.01,0.05,0.01,0.05,0.025,0.05,0.05,0.025,0.01
219,0.01,0.05,0.01,0.05,0.05,0.05,0.05,0.05,0.010914491552645086
220,0.01,0.025,0.01,0.05,0.05,0.05,0.05,0.025,0.010914491552645086
221,0.01,0.05,0.01,0.05,0.05,0.05,0.05,0.05,0.010914491552645086
222,0.010581332030452646,0.025,0.01,0.05,0.025,0.05,0.05,0.025,0.010914491552645086
223,0.010581332030452646,0.025,0.01,0.05,0.05,0.05,0.05,0.05,0.011490890118284806
224,0.010581332030452646,0.05,0.01,0.05,0.025,0.05,0.05,0.025,0.011490890118284806
225,0.010581332030452646,0.025,0.01,0.05,0.025,0.05,0.05,0.025,0.011490890118284806
226,0.013801283596767596,0.025,0.01,0.05,0.025,0.05,0.05,0.05,0.011490890118284806
227,0.013801283596767596,0.025,0.01,0.05,0.05,0.05,0.05,0.025,0.01117350837847604
228,0.01,0.05,0.01,0.05,0.05,0.05,0.05,0.05,0.01570465422343454
229,0.01,0.025,0.01,0.05,0.025,0.05,0.05,0.05,0.011907570609328962
230,0.01,0.025,0.01,0.05,0.025,0.05,0.05,0.05,0.0145356137634688
231,0.01,0.025,0.01,0.05,0.05,0.05,0.05,0.025,0.017255238866204947
232,0.01,0.025,0.01,0.05,0.05,0.05,0.05,0.05,0.01
233,0.01,0.025,0.01,0.05,0.025,0.05,0.05,0.025,0.010938504505135367
234,0.01,0.05,0.01,0.05,0.025,0.05,0.05,0.05,0.01130487197725914
235,0.01,0.025,0.01,0.05,0.05,0.05,0.05,0.05,0.01
236,0.01,0.05,0.01,0.05,0.05,0.05,0.05,0.05,0.01
237,0.01,0.05,0.01,0.05,0.025,0.05,0.05,0.05,0.01
238,0.01,0.05,0.01,0.05,0.05,0.05,0.05,0.05,0.01
239,0.01,0.025,0.01,0.05,0.05,0.05,0.05,0.025,0.01
240,0.01,0.05,0.01,0.05,0.05,0.05,0.05,0.05,0.01
241,0.01,0.05,0.01,0.05,0.05,0.05,0.05,0.05,0.01
242,0.01,0.05,0.01,0.05,0.05,0.05,0.05,0.05,0.01
243,0.01,0.05,0.01,0.05,0.05,0.05,0.05,0.05,0.01
244,0.01,0.05,0.01,0.05,0.025,0.05,0.05,0.05,0.01
245,0.01,0.025,0.01,0.05,0.025,0.05,0.05,0.025,0.01
246,0.01,0.05,0.01,0.05,0.025,0.05,0.05,0.05,0.01
247,0.010193039076770884,0.05,0.010916887729278069,0.05,0.05,0.05,0.05,0.025,0.01
248,0.010193039076770884,0.05,0.010916887729278069,0.05,0.05,0.05,0.05,0.05,0.0103164498914005
249,0.01,0.025,0.01,0.05,0.05,0.05,0.05,0.025,0.0103164498914005
250,0.01,0.025,0.010325095520274106,0.05,0.025,0.05,0.05,0.05,0.01
251,0.01,0.05,0.01,0.05,0.025,0.05,0.05,0.05,0.01
252,0.01,0.025,0.01,0.05,0.05,0.05,0.05,0.05,0.01
253,0.01,0.05,0.01,0.05,0.025,0.05,0.05,0.05,0.011384088672826306
254,0.01,0.05,0.01,0.05,0.05,0.05,0.05,0.025,0.011384088672826306
255,0.012390380720831602,0.025,0.01,0.05,0.025,0.05,0.05,0.025,0.011384088672826306
256,0.012390380720831602,0.05,0.01,0.05,0.05,0.05,0.05,0.025,0.013056113007396656
