step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/r_ctrl_step
11,0.03777437100804736,0.04162536702854552,0.041606617468959994,0.027456731190783,0.03379813311903089,0.03380301055058266,0.0489856158895601,0.03415292435618513,0.018291062591314917
12,0.018650078034831423,0.025,0.041606617468959994,0.05,0.05,0.05,0.05,0.05,0.019304997459995844
13,0.028212224521439393,0.025,0.01,0.05,0.05,0.05,0.05,0.05,0.01982547694574356
14,0.028212224521439393,0.05,0.016610493271950154,0.05,0.05,0.05,0.05,0.05,0.01982547694574356
15,0.032963573203969206,0.05,0.01,0.05,0.05,0.05,0.05,0.05,0.024190381812561872
16,0.03370189055399651,0.05,0.012886294034818576,0.05,0.025,0.05,0.05,0.05,0.01
17,0.031866689122660816,0.025,0.01360501730915527,0.05,0.05,0.05,0.05,0.025,0.01
18,0.032784289838328665,0.05,0.014080842330945172,0.05,0.025,0.05,0.05,0.05,0.01
19,0.032784289838328665,0.05,0.014080842330945172,0.05,0.025,0.05,0.05,0.05,0.01
20,0.012060640048396907,0.025,0.01,0.05,0.025,0.05,0.05,0.05,0.01
21,0.02520181579034121,0.025,0.012854197558770094,0.05,0.025,0.05,0.05,0.025,0.01
22,0.02803086689977917,0.05,0.01193275975446376,0.05,0.025,0.05,0.05,0.05,0.01
23,0.02803086689977917,0.025,0.01,0.05,0.05,0.05,0.05,0.025,0.01
24,0.02803086689977917,0.025,0.011939436925993334,0.05,0.05,0.05,0.05,0.05,0.01
25,0.028706164172443756,0.05,0.011939436925993334,0.05,0.05,0.05,0.05,0.025,0.01
26,0.028706164172443756,0.05,0.014644349540834533,0.05,0.05,0.05,0.05,0.025,0.01052374584057663
27,0.028706164172443756,0.025,0.016423559165611324,0.05,0.05,0.05,0.05,0.05,0.01052374584057663
28,0.03165632909045962,0.025,0.01,0.05,0.05,0.05,0.05,0.05,0.01052374584057663
29,0.015065112613678116,0.05,0.01,0.05,0.025,0.05,0.05,0.025,0.011877474178585735
30,0.02371173899576519,0.05,0.01,0.05,0.05,0.05,0.05,0.05,0.01
31,0.02371173899576519,0.05,0.01,0.05,0.05,0.05,0.05,0.05,0.01
32,0.02371173899576519,0.05,0.01,0.05,0.05,0.05,0.05,0.05,0.01
33,0.02371173899576519,0.025,0.01,0.05,0.05,0.05,0.05,0.05,0.017251162718961256
34,0.02371173899576519,0.025,0.01,0.05,0.05,0.05,0.05,0.025,0.020977300182824662
35,0.01,0.05,0.01,0.05,0.025,0.05,0.05,0.025,0.020977300182824662
36,0.01555858966023927,0.025,0.01,0.05,0.05,0.05,0.05,0.025,0.02148356239231076
37,0.017479948124277875,0.025,0.01,0.05,0.05,0.05,0.05,0.05,0.02148356239231076
38,0.017479948124277875,0.05,0.01,0.05,0.05,0.05,0.05,0.025,0.02148356239231076
39,0.01908507023163058,0.025,0.01,0.05,0.05,0.05,0.05,0.05,0.014003635930530172
