step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/g_rms_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/g_rms_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/g_rms_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/g_rms_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/g_rms_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/g_rms_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/g_rms_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/g_rms_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/g_rms_step
28,1.1709146042306298e-06,9.596417901472254e-07,9.909578332542365e-07,1.1076096240227422e-06,1.0143206284833941e-06,1.0137463826777384e-06,9.973389597016124e-07,9.979486426892318e-07,9.877637128136664e-07
29,1.2097377400378346e-06,1.0291068917173631e-06,1.0442270942056947e-06,1.0273544607209693e-06,1.0738263798667342e-06,1.0597593653345633e-06,1.0118121843935929e-06,9.964437068184111e-07,1.049671272587572e-06
30,1.1531454914078652e-06,1.0517762683343789e-06,9.56500994935911e-07,1.073868310391477e-06,9.566620392312677e-07,1.0027326282936245e-06,1.0551620699629261e-06,1.0653855838820771e-06,1.008962092553007e-06
31,1.0841155792986617e-06,9.892204288505091e-07,1.042490280781156e-06,9.653110451393924e-07,1.0547591339207258e-06,9.890507306628926e-07,9.626381872692856e-07,9.60770123560762e-07,9.563303282143476e-07
32,1.102785101474489e-06,1.117640469189113e-06,1.0125971932198363e-06,1.0087404670166892e-06,1.0419479397005645e-06,1.0246870042654533e-06,9.830769950173505e-07,9.91694130971825e-07,9.224899188944419e-07
33,1.0330052997969347e-06,9.703731407579827e-07,9.94500669757343e-07,1.0830936827037808e-06,1.0481955701115231e-06,1.0000718897973436e-06,1.0734459931936722e-06,9.958182644164218e-07,1.0532174213179742e-06
34,1.0941402270401368e-06,1.069461707733816e-06,9.972144606507175e-07,1.043395899797157e-06,1.1169537289712776e-06,1.0579941155779719e-06,1.0839932917079536e-06,1.1294729598206157e-06,1.0702200260728594e-06
35,1.0707197795899549e-06,1.024206178812969e-06,1.0036359451802307e-06,1.045679959807582e-06,1.090608818579943e-06,1.0611949546945486e-06,1.035509775984379e-06,1.0611882730653658e-06,9.832581019920394e-07
36,1.109109737253168e-06,1.0367739313964427e-06,9.409462818179372e-07,1.032253003291522e-06,1.1417899207277359e-06,1.1037728799256163e-06,1.0337829288749241e-06,1.0726272199944267e-06,9.938899554002557e-07
37,1.112031009934317e-06,1.031760753607804e-06,1.0005810277494688e-06,1.014691044571786e-06,1.0939879060394887e-06,1.0387817826095216e-06,1.0392541664053484e-06,1.126895556959639e-06,1.0326979694470915e-06
38,1.0157532007362206e-06,1.0809481594808007e-06,1.0779338941410649e-06,1.0913696446286133e-06,1.1035508166414534e-06,1.0266323401292524e-06,1.167495069682833e-06,1.1007310188231049e-06,1.0819285237531048e-06
