step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/r_hat_raw_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/r_hat_raw_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/r_hat_raw_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/r_hat_raw_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/r_hat_raw_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/r_hat_raw_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/r_hat_raw_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/r_hat_raw_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/r_hat_raw_step
1,0.05029486333180545,0.07070260555577197,-0.015436779680271632,0.05446339653204165,0.054018477312046,0.07966845726079823,0.08597898374158669,0.09925128264405624,0.025701102521481112
2,0.010463908458781274,0.05009958366628583,0.08765968140463386,0.05118217983879752,0.06602569831126916,0.053352902958045824,0.07815646329318245,0.018014719782318302,-0.01746577614185292
3,0.08370305164365816,0.02155817028890636,0.008614408762653533,0.029927500622522554,0.054800963635165824,-0.007500058258320725,-0.0003933279754096318,0.0005477223707040856,0.05275516135417629
4,0.017780265292831415,0.06874446548893882,0.03727692707242255,-0.004142884213587083,0.0573735921680856,0.0948315476055503,-0.0022994646235848667,0.0028003335996344275,0.010582419996974126
5,0.03673962216504008,0.04313562411002081,0.04634248988035392,0.0056445607693921315,0.018797834171029877,0.06713698059487418,0.011376159176913326,0.03704778252372499,0.01259682836443555
6,0.055897997218350925,-0.004078346792262873,0.07259152859190325,0.03462231977681364,0.05234592048307101,0.0460307019247161,0.032385792135322215,0.03692021483508504,-0.009856625693425406
7,-0.04438045419826075,0.04064387851353649,0.012966817767952905,0.05231163686228194,0.05358513338105962,0.0016195596473639422,0.05517234431175099,0.06505908280435749,-0.01939591959411774
8,0.018334952074732663,0.035878450726370574,0.04017643963477595,0.04483868765220171,0.0618302760775667,0.027320822633456768,0.06668835477879721,0.04217953683344133,-0.00941097332467827
9,0.0770663325743625,0.02774353716058132,0.023420122936087855,-0.007214394642285516,0.0397459855155014,0.015522928213144565,-0.006449979490395999,0.038115713300210255,0.0037373150665677823
10,0.015255938576040452,0.048435031568251824,0.04087487451066555,0.02762884890936602,0.012789172487699634,0.03706242901420373,0.07547940866861112,-0.02447420886179447,-0.03802162166258002
11,0.03526222394855938,-0.007621613032697557,0.052242171049687425,0.005405573657370363,0.02377965316145238,0.034923584728299505,0.023276802088013956,0.01896153447920318,0.011957606924993695
12,0.018650078034831423,-0.0010752030410442254,-0.00888761120539241,0.07518764162611598,0.048880032447039104,0.014380312363438234,0.0246435770608615,0.035477655570853514,0.028430411278124196
