step,deepseek1.5b_fa_partial_lr1e-6-actor/pg_clipfrac_lower_step,deepseek1.5b_fa_partial_lr1e-5-actor/pg_clipfrac_lower_step,deepseek1.5b_sync_lr1e-5-actor/pg_clipfrac_lower_step,deepseek1.5b_sync_lr1e-6-actor/pg_clipfrac_lower_step
205,0,0,3.508594504224179e-07,0
206,0,0,0,0
207,0,0,0,0
208,0,8.767736395990746e-07,0,0
209,0,1.5134490131854166e-06,1.0447344762228157e-06,4.420804002989285e-07
210,0,1.2794068788934965e-06,0,0
211,0,0,3.549805362788241e-07,0
212,0,0,0,0
213,0,0,3.2043393124088954e-07,0
214,0,0,0,0
215,0,0,0,0
216,0,0,0,0
217,0,0,0,0
218,0,0,0,0
219,0,7.30823194317054e-07,0,0
220,0,0,0,3.462220320216147e-07
221,0,0,3.09798565467645e-07,0
222,0,0,0,0
223,0,0,3.1659195277219017e-07,0
224,0,0,0,0
225,0,0,0,0
226,0,1.9256679993502427e-06,0,0
227,0,2.717769499819649e-07,0,0
228,0,1.290878033622592e-06,0,0
229,0,3.0691415986439097e-07,0,0
230,0,0,0,0
231,0,0,0,0
232,0,0,0,7.329144625002396e-07
233,0,0,0,0
234,0,8.328669436094868e-07,0,0
235,0,0,0,4.470608282166434e-07
236,0,0,0,0
237,0,6.862927958453919e-07,0,0
238,0,6.917236780943561e-07,0,0
239,0,3.326095750145171e-07,0,0
240,0,0,8.855660856473454e-07,0
241,0,0,2.870000410920886e-07,0
242,0,7.206272130133584e-07,6.214628047018776e-07,0
243,0,0,0,0
244,0,0,0,0
245,0,0,0,0
246,0,0,0,0
247,0,0,0,0
248,0,0,2.8194300774395316e-07,0
249,0,0,0,0
250,0,0,0,0
251,0,0,0,0
252,0,0,0,0
253,0,0,0,0
254,0,0,0,0
255,0,0,0,0
256,0,0,5.245452922719307e-07,0
257,0,7.421921509376262e-07,2.679804075106168e-07,0
258,0,0,2.6610125671679807e-07,0
259,0,0,2.6759948923427146e-07,0
260,0,0,2.780583050686269e-07,4.2385525173611103e-07
261,0,1.0754749422156477e-06,0,0
262,0,1.5151661500567569e-06,2.753861980846313e-07,0
263,0,8.579743532916633e-07,0,0
264,0,2.721201029919978e-07,0,0
265,0,1.4644930629539443e-06,0,0
266,0,1.1129753329441881e-06,0,0
267,0,0,0,0
268,0,0,0,0
269,0,0,2.73606791830938e-07,0
270,0,0,0,0
271,0,0,2.566028982713491e-07,0
272,0,0,5.653058871998065e-07,0
273,0,8.648125407893935e-07,0,0
274,0,0,2.612952677602017e-07,0
275,0,0,0,0
276,0,1.9707016918989873e-06,0,0
277,0,4.774310734016278e-06,0,0
278,0,2.2899412973250337e-06,2.718094415371834e-07,0
279,3.0517578125e-07,2.113963619194692e-06,2.8190995110960034e-07,0
280,0,0,2.545430780392727e-07,0
281,0,0,0,0
