step,deepseek1.5b_fa_partial_lr1e-6-val-core/AIME/acc/mean@16_step,deepseek1.5b_fa_partial_lr1e-5-val-core/AIME/acc/mean@16_step,deepseek1.5b_sync_lr1e-5-val-core/AIME/acc/mean@16_step,deepseek1.5b_sync_lr1e-6-val-core/AIME/acc/mean@16_step
0,0.20208333333333336,0.2,0.2,0.20625
10,0.2125,0.23958333333333337,0.22916666666666663,0.19166666666666668
20,0.225,0.2375,0.28125,0.22708333333333333
30,0.22083333333333333,0.225,0.24375,0.22083333333333333
40,0.23125,0.23125,0.25416666666666665,0.25416666666666665
50,0.24791666666666667,0.2520833333333333,0.2625,0.23541666666666664
60,0.26875,0.25,0.26666666666666666,0.22916666666666663
70,0.26458333333333334,0.24166666666666667,0.28125,0.24166666666666667
80,0.2604166666666667,0.23125,0.25833333333333336,0.22708333333333333
90,0.2916666666666667,0.20625,0.25416666666666665,0.2604166666666667
100,0.25625,0.23125,0.2520833333333333,0.24791666666666667
110,0.25,0.2375,0.27708333333333335,0.24791666666666667
120,0.225,0.2125,0.26666666666666666,0.25833333333333336
130,0.27291666666666664,0.21041666666666667,0.24166666666666667,0.26458333333333334
140,0.25833333333333336,0.21666666666666667,0.25625,0.28125
150,0.275,0.2,0.20208333333333336,0.29791666666666666
160,0.28125,0.24166666666666667,0.22916666666666663,0.27708333333333335
170,0.2520833333333333,0.2625,0.21666666666666667,0.27291666666666664
180,0.26666666666666666,0.19791666666666663,0.19791666666666663,0.25833333333333336
190,0.28125,0.18125,0.2,0.2875
200,0.27708333333333335,0.15,0.20416666666666664,0.28541666666666665
210,0.275,0.17916666666666667,0.21041666666666667,0.2833333333333333
220,0.2708333333333333,0.1625,0.2125,0.29583333333333334
230,0.28958333333333336,0.15,0.22291666666666668,0.275
240,0.2916666666666667,0.11666666666666668,0.20208333333333336,0.275
250,0.26875,0.14166666666666666,0.22083333333333333,0.28125
260,0.29583333333333334,0.12916666666666668,0.1875,0.2833333333333333
270,0.27708333333333335,0.12916666666666668,0.2,0.26458333333333334
280,0.2791666666666667,0.07916666666666666,0.18125,0.32083333333333336
290,0.2916666666666667,0.09375,0.175,0.3020833333333333
300,0.31875,0.07916666666666666,0.18333333333333332,0.28125
