step,deepseek1.5b_fa_partial_lr1e-6-actor/ppo_kl_mean_step,deepseek1.5b_fa_partial_lr1e-5-actor/ppo_kl_mean_step
2,0.00043263430407785365,0.00041306133326940464
3,0.0004206400803348489,0.00040828852777836905
4,0.0004181200360921608,0.00044662697578270593
5,0.0004576266599681337,0.0005042894575042982
6,0.000428064036040868,0.0005631716163645054
7,0.0004553072817732196,0.0005978107143411889
8,0.0004361123666495037,0.0006333706647300786
9,0.00043839155311815913,0.0006178837704487191
10,0.000454535997511852,0.0007673089340128863
11,0.0004372916400013955,0.0007613912331412632
12,0.00047646430503632667,0.0010713947829972415
13,0.0004284416812354652,0.001011834705692102
14,0.00043688409886957736,0.0010784763489542098
15,0.0004535204491899533,0.0010473503803069698
16,0.00045437472785861047,0.001107121701504888
17,0.0009262234608555716,0.0014277052963679482
18,0.0004686411203170803,0.0010259235078786148
19,0.000433140666268737,0.0014240157743429162
20,0.0004684341518173715,0.0016283940338553292
21,0.000453539141849693,0.00238959005760222
22,0.0004418191477406426,0.0024782908974553034
23,0.0004315051513323593,0.0044608898394623495
24,0.00042291595275313143,0.005712012536159053
25,0.00046186275387662785,0.003426381102074601
26,0.0005504758215154008,0.0018627858879561837
27,0.0004932425476862043,0.0013421700520417463
28,0.0004536088091181038,0.0014696098815931487
29,0.00042647219468626755,0.0010133085226690193
30,0.0004760984164619127,0.0008300207876406927
31,0.00047263723086719736,0.0007559661493223306
32,0.00047628192662886565,0.0007475677243401639
33,0.00047020932896349893,0.0006026812252032643
34,0.0004449115687990002,0.0006400481367639004
35,0.0004469728070437907,0.0006475434896789438
36,0.0004445363393731188,0.0007057888427019218
37,0.00044839376343106506,0.0006699588170671379
38,0.0010910922268489451,0.001184533153717604
39,0.00043065877846462257,0.0007206794729924488
40,0.0004050896079283375,0.0006485577144700119
41,0.00043083263542145105,0.0007081949926444672
42,0.0004419042990993421,0.0007332860968193447
43,0.0004281342722239729,0.0006571193946395197
44,0.00049497389472766,0.0007835597393906459
45,0.00046858608943263816,0.0007745127755103769
46,0.0004352007502292436,0.0006865396473708788
47,0.00044771877079265165,0.0007282582322254215
48,0.0005247140827547226,0.0007080325428213081
49,0.0004468082324969265,0.0006925999701478029
50,0.0004659776226554267,0.0007706868541932491
51,0.0004250646293073047,0.0007954200783608747
52,0.0013500078612985649,0.0015010600562707405
53,0.0004368647465130462,0.0007634522173943499
54,0.00045232413584395006,0.0007285221551065982
55,0.0004122404324885258,0.0006606019597752926
56,0.000456272046465737,0.0006779281687578566
57,0.0003982337436322528,0.000786874783016824
58,0.0004395570466208667,0.000764731634992207
59,0.00039570146701038423,0.0007652142853089572
60,0.0004174607253067828,0.0007414671183816306
61,0.0004145939096557115,0.0007145421412228613
62,0.0004216744964070704,0.0007316034459410221
63,0.001565791723150816,0.001781095377635738
64,0.0004285803336343137,0.0007585340860403753
65,0.00044595940799247314,0.000730248139494923
66,0.00046692439764891934,0.0007347739566796463
67,0.000443588185122511,0.000700627757846443
68,0.0004375057120405819,0.0008315309966343421
69,0.0004239642447373626,0.0007218558246169001
70,0.0004340532581268078,0.0006850035989643289
71,0.00041450893557825545,0.0006868053792524146
72,0.000427715155462404,0.0006789198113476512
73,0.0004091370648541179,0.0006306035404253407
74,0.00044433092094523137,0.0007452800996100942
75,0.00045889745644175353,0.0007579734089366778
76,0.0004602844421275208,0.0007319167774090141
77,0.00041327396731707906,0.0007243841910333041
78,0.0004204990138630065,0.0008129779352847922
79,0.0004183723644342433,0.0008371412481740965
80,0.0004118849601918183,0.0007462852594832073
81,0.0003897509697503884,0.0008006601441842612
82,0.0003732850088531122,0.0007310639241408213
83,0.0011703774479653142,0.001672307933942544
84,0.000421699711729774,0.0007125171655727714
85,0.0004512423687639184,0.0007800257707155603
86,0.0004084285918511268,0.0007934106135420594
87,0.00044468428975428446,0.0008876354998446818
88,0.000380421800379267,0.000850876721832492
89,0.00040021251407034065,0.000811741193906812
90,0.0004175397821722743,0.0009358125244034454
91,0.0004100690198498569,0.0008250931005265836
92,0.0004095837442719539,0.0008877885519303583
93,0.0003936801282031665,0.0007535809663971141
94,0.00041795620000522666,0.0007585513698295733
95,0.0010575423987216415,0.0014565748116339703
96,0.0004243945890654348,0.0006797338423180358
97,0.00042436347649642183,0.0007685378940891496
98,0.0003988552038881063,0.0007663599200201843
99,0.0004258783531729303,0.0007979842849732239
100,0.0003725108731187118,0.0008430937646429963
101,0.0004220074653126261,0.0009183592758644356
102,0.0004146451180888676,0.0008752836864187184
103,0.00040535392466495534,0.0008857997761756072
104,0.0004196110702597885,0.0008834491126397273
105,0.00039535729912919585,0.0011628658615378147
106,0.0003706079358238412,0.0014173907457881376
107,0.00043009521083436,0.0018814024663394472
108,0.0004662776307395688,0.0035472682459658247
109,0.00046127021248663734,0.0023601243865764097
110,0.0004247567036907185,0.0034046624852696068
111,0.000442678008013786,0.003875588021781788
112,0.0004317350380228883,0.004815982071349651
113,0.00039027439795888495,0.007215961484524252
114,0.0004080905634460982,0.005074346202624535
115,0.00044914561516549154,0.002850614285375831
116,0.0004022175592230813,0.001982118119290135
117,0.0004225673594280721,0.0019133635383578817
118,0.00040086091059396086,0.002117780966194308
119,0.0004105333744652667,0.0032377740523458847
120,0.0004205758681437288,0.0029782259719589397
121,0.000399216514859891,0.002484648091476927
122,0.0004327276366503021,0.0015740316802066443
123,0.0004166536254393269,0.0011419670050599015
124,0.0012784052849497368,0.0015531233148940503
125,0.0003942492988037808,0.000984565634307363
126,0.001448048627565778,0.0020487842638718407
127,0.001249232294811949,0.0017664116669668427
128,0.0004131697641720204,0.00091465056937044
129,0.0004328307212917728,0.0008397338635898895
130,0.00044613160341810953,0.000986335871613858
131,0.0004044968934337331,0.0009695693948918916
132,0.0004005840593543986,0.0008345664950345129
133,0.00038911457773803615,0.0007680979183674601
134,0.00038891329209240176,0.000817917924470583
135,0.0004198469442869426,0.0008283468921767204
136,0.0004389192100012796,0.0008327462931342336
137,0.0004206124548384575,0.0015892384474104715
138,0.0014914790587654864,0.0008356459852701861
139,0.00044524179398981446,0.000831890362583465
140,0.0003927436560140052,0.000746906784964807
141,0.0004250004706606067,0.0007244500102780538
142,0.00039917164534374066,0.0007922729489704757
143,0.00044295998089846904,0.0009141485594117916
144,0.00038979443438654816,0.000989654687898565
145,0.0004334060127877384,0.0009167967784738226
146,0.0004412186331017883,0.0009833782672920494
147,0.00039161511265398894,0.0010484188507157996
148,0.0003984697768261663,0.0010725595312522694
149,0.0014330710510797712,0.0019736583965039665
150,0.0003897431751168121,0.0009936075080490396
151,0.0004010655172808326,0.0008976370334177119
152,0.000405731370833258,0.0010903421413485583
153,0.0004269040780941048,0.0010661408991586886
154,0.0004002149704632529,0.0010453541697993769
155,0.00042994363880110166,0.0012269666474777042
156,0.0003862448710703366,0.0011122147393201557
157,0.0003472825324188238,0.0013832133660760823
158,0.0004548176976752332,0.0013601545688837807
159,0.0004364288285501061,0.001165864225373904
160,0.0004422492010904457,0.0011549468804003902
161,0.00042507775816443254,0.0010380899676685354
162,0.00042705549345368657,0.00123824028882819
163,0.00038603529324205966,0.0012052776203722087
164,0.0003991478139403047,0.0015270419055930992
165,0.00043269684691361513,0.0014148397155048975
166,0.0004315564015848852,0.0018714005730468368
167,0.0004225964513457308,0.0028543646149709425
168,0.0017522931070183868,0.002793692454633017
169,0.0003826855608690015,0.0018090393230114168
170,0.0004170607676077159,0.0023386809639684243
171,0.0004137302768744826,0.001641248100949283
172,0.00045415626981197777,0.0017612502833191518
173,0.00040614515608607154,0.001485353279129027
174,0.0004194825914197509,0.0016871149466267934
175,0.0004274801040174939,0.0017556655765292816
176,0.00038629216778763914,0.001669832777144455
177,0.0003689791040661324,0.0018709236045693755
178,0.0004014749627147111,0.0019508523502232175
179,0.0004065901983105767,0.002123506812192015
180,0.0004238368407373608,0.0022623086257281652
181,0.0004277577869707243,0.0019840593615992057
182,0.000392712476163474,0.0018300606799220983
183,0.0004417960418708535,0.001328175854617152
184,0.0004401948365838848,0.001081247555342288
185,0.00040226829280458554,0.0010675470590547794
186,0.00038848856880954166,0.0011533830517742847
187,0.00040621921576303063,0.001595762045109647
188,0.00039768079863987296,0.0018441131392561753
189,0.0004073424019129135,0.0024582125006714782
190,0.0004323292178744964,0.0034646154520389526
191,0.0004063096415487087,0.0027621824709630305
192,0.0004054227857432424,0.003338598491148635
193,0.0004346344312482325,0.0034761566521469773
194,0.0004137855912347277,0.00204524067001013
195,0.00039886265465321975,0.0014371141189927134
196,0.000430342126729554,0.0011710907378397733
197,0.00043513813219201814,0.001841860522653557
198,0.0014178835161848843,0.0015556627319222634
199,0.0003931987240989862,0.0021768773077322076
200,0.0004236126029407973,0.0024433237663548935
201,0.00043905844357285866,0.003348618237412831
202,0.0004223637687194504,0.0034232151712103587
203,0.0003918506455352005,0.004405863665799454
204,0.0008994089240491877,0.00297123351868757
205,0.00040019408796674704,0.0016396738067841609
206,0.0013208847978685252,0.0021214848326587305
207,0.000371847627182144,0.0018200263111509685
208,0.00036810765088691,0.0027505215906469026
209,0.00037479086741574726,0.004653664762147224
210,0.00035572114601864534,0.006628917583412575
211,0.0003856803102564109,0.002797078882005215
212,0.000393245303711763,0.0019044788083940984
213,0.0004087041514361107,0.001520013846718691
214,0.0004127692997926147,0.0015054625614603558
215,0.0003982808459424114,0.001629907180068071
216,0.001351778874802157,0.002803169533075086
217,0.00042189726526765904,0.002357057426647891
218,0.0004295724882753706,0.0024185610764897833
219,0.00040729128883497064,0.0016383673451305944
220,0.0003946180989625366,0.001513807495387188
221,0.0004244659066381428,0.0014806576340284348
222,0.0004384253039906601,0.001581263395745369
223,0.00039918923371696336,0.0016543951894673024
224,0.0003863487545116554,0.0018231616562823785
225,0.00044263629594907297,0.0021609255535287794
226,0.0003932261239805257,0.0035839943784875053
227,0.0003844845386645564,0.003465152200584326
228,0.00039379412159235017,0.004281825438706428
229,0.0004391053096266735,0.003983696234475549
230,0.0003865026153658308,0.0028355325621154458
231,0.000419016037498033,0.002242573685765345
232,0.0004412822492325574,0.0018295393130315597
233,0.00042570718820969994,0.0014072321230955028
234,0.0004016074087452609,0.001393993940953866
235,0.0003836086951576011,0.0014358259833229868
236,0.0003792620563484414,0.0016981095335024583
237,0.0003988700844985989,0.0017369746272389752
238,0.00036965996414954595,0.001908307657017896
239,0.00035259488373909603,0.0021905942744307964
240,0.0004134815320569909,0.0029982041776369936
241,0.000365004434521467,0.003072837011309098
242,0.0004511885523570177,0.002508151530332725
243,0.0004136945811523511,0.0026750824484960984
244,0.00040549797859253806,0.0019183951308839437
245,0.0003948533000728751,0.001952039970099519
246,0.0003578694590161119,0.001979495478221709
247,0.0003555192796761601,0.0017148983557981777
248,0.00039204972574516714,0.001404090588540194
249,0.0003750732695745608,0.001440342496844887
250,0.0003874677614344699,0.0016199226681049505
251,0.0003963468801158703,0.0014023103790270046
252,0.0004072268811987975,0.0012925275365868554
253,0.0024727425672551816,0.003229778489863776
254,0.00039582277811648096,0.0011483428284159562
255,0.0003758507212741643,0.0013527319248716094
256,0.0003896373113688393,0.0015674713498237283
257,0.00038353469745743495,0.0017648541264703534
258,0.0004509661562584864,0.0015265112673749912
259,0.000416398322238985,0.0018721623262764537
260,0.0003966836997300133,0.0020416188269723533
261,0.0004396460884561293,0.0023783613800333115
262,0.0003609453692871293,0.0024602376343682408
263,0.00036965286022562645,0.003677105453803845
264,0.00043911025532255817,0.003969052483858867
265,0.0003787711100300347,0.0036191585326019434
266,0.00042287001100428754,0.003194086697597527
267,0.0003764724007468496,0.0020061009736572124
268,0.00039871515960132945,0.001573590086454399
269,0.0010714444655397974,0.0019651602795723493
270,0.00041716786033214567,0.001242353417366612
271,0.0003808694261502389,0.0014193521654967997
272,0.000360701432869684,0.0013969563076575405
273,0.0004051431196053248,0.0018574855800104408
274,0.00038333720520850793,0.0018427981181916137
275,0.000432312646370292,0.0021761839082742335
276,0.000353707303848712,0.003214938072117619
277,0.00038551579298741245,0.004139383943686919
278,0.0003756513072346781,0.005813486255473912
279,0.0004175128161691077,0.003900120246253209
280,0.00037382391205277945,0.0030088285647620764
281,0.0003824140974023232,0.0025973938276365512
282,0.0003821917842569512,0.003389286849559482
283,0.00038486036281260754,0.005033791935574934
284,0.0003388252035849022,0.004748010244382008
285,0.0003740870543803928,0.004440507071677553
286,0.00040697033734484866,0.004369800605163619
287,0.0004048809825335936,0.003762994208705095
288,0.0004153056385131252,0.003576352619884274
289,0.00044102609259836486,0.002663288722582242
290,0.0003953557498941378,0.0020015385159776024
291,0.0004039219443943664,0.0024577897110025096
292,0.00035152473255780866,0.0029540253074213096
293,0.00039810801236874545,0.0033454059323909735
294,0.0003664792203817639,0.005662791327661883
295,0.00039979517401562086,0.006325112472186447
296,0.0003976136574741684,0.002730453338984064
297,0.00040136230196841766,0.0024189386835782247
298,0.00035615095402960153,0.0023494261885067163
299,0.0003742590390805618,0.0024775613200176357
300,0.0003747675996611902,0.003343723840283204
