step,deepseek1.5b_sync_lr1e-5-rollout_corr/kl_step,deepseek1.5b_sync_lr1e-6-rollout_corr/kl_step
1,0.0004420763763932072,0.0004426116479726067
2,0.0004348817847291552,0.00043349302603943343
3,0.0004474345720781672,0.00044025049810924287
4,0.0004913359870988908,0.0004457674263070903
5,0.000557540269112522,0.000465035201307828
6,0.0004893277714685951,0.00045626246383802835
7,0.0005802252149740283,0.00043843141721965
8,0.0004921279325955652,0.0004408160160158552
9,0.0005384971641632818,0.00045557843904493034
10,0.0005527174195995498,0.0004319385473123231
11,0.0006716642337948997,0.00044518444070749263
12,0.0005669560333132566,0.00044696472620760414
13,0.0006303387818499468,0.0004349673617639382
14,0.0005495198978320559,0.0004592120235372477
15,0.000597514173181401,0.0004540117697110367
16,0.0006408999850887911,0.0004605400639456101
17,0.0006365285100493813,0.0004486013749077469
18,0.0005642450464831707,0.0004287239683625255
19,0.0005844821839003897,0.0004482251815315334
20,0.000543462944020708,0.0004457786395658116
21,0.0005357261822814237,0.00045177366737090906
22,0.0006740402777293128,0.000439816296627831
23,0.0005739897174715287,0.00046298306676665864
24,0.0005227420800899552,0.0004502871518523577
25,0.0004596983755710938,0.00044852774411627695
26,0.0005372981958253411,0.00041742817185339465
27,0.0004916364907261016,0.0004435590163577022
28,0.0004800199801900063,0.0004287994260650617
29,0.0005610944964463806,0.00042762172056234985
30,0.0005477642672501229,0.0004146517216454435
31,0.000623089366133911,0.0004237443103498606
32,0.0005865896147486724,0.0004271783236169391
33,0.0005732623057760642,0.000414878325245005
34,0.0005268263326602538,0.0004404291549216547
35,0.0005411254573085731,0.0004175273946468419
36,0.0005254492190655993,0.0004414957908277186
37,0.0006547699822386963,0.0004200072131488661
38,0.0005351133670854791,0.0004166888057535691
39,0.0004957932251149266,0.0004121513795109049
40,0.000468647479980693,0.00039255138888506737
41,0.000537761222155436,0.0004501853459029427
42,0.000547777663758184,0.0004211123313600987
43,0.00046219314700936465,0.0003806877876277016
44,0.0005956850690592626,0.00040812191839705166
45,0.0004577995638105076,0.0003870383010057505
46,0.000623386009754275,0.0004008253740987633
47,0.0005380672665128692,0.00037718773174456936
48,0.0005009620983775992,0.0004131071026603668
49,0.0005090671656017234,0.0003785270526167472
50,0.0005870580133660042,0.0004153701852114076
51,0.0005736400521541895,0.00036681140679617225
52,0.00044236105581383354,0.00034839867367043485
53,0.0005004891802526361,0.0003915260726918229
54,0.0004963847487813734,0.000411781852188274
55,0.0005858460778175153,0.0004030533643886073
56,0.0005259054969022665,0.0004066509385561782
57,0.0005519665272415973,0.000382187376898887
58,0.0005013897763313304,0.0003965424510637632
59,0.0005853155841791466,0.0003686605567001222
60,0.0005301262851595823,0.0004285728631776564
61,0.0006531903920747679,0.00040081492031731616
62,0.0005057262125680902,0.0003960109237490794
63,0.0005265665869958722,0.0003804710695046832
64,0.0005918012804540597,0.0004020799790680485
65,0.00047486458149137434,0.00039310391130291985
66,0.0004725884445547091,0.00039705093677925066
67,0.0005835334604232536,0.0003849695665267982
68,0.0005013588228782359,0.0003786540431099448
69,0.0006371531716619453,0.0003749375351638016
70,0.0005964987231181876,0.0003866691470999856
71,0.0005594171138793278,0.0004090440650288724
72,0.000483651539730496,0.00043868717037298666
73,0.0005934372593685566,0.0003894191776211989
74,0.0005546545354247558,0.000397757187104532
75,0.00045365131550041617,0.0004019092395964901
76,0.0005601790777707445,0.0004209522520369546
77,0.0004947641340058746,0.000385271894568104
78,0.0006496868033660045,0.0003759049934270057
79,0.0005875001343075123,0.0003992485883677383
80,0.0006592616193804209,0.0003685108976205542
81,0.0007050694582130204,0.0003883517678808684
82,0.000689082457939961,0.0004109415920705573
83,0.0007601218755449882,0.0003744094871761586
84,0.0006092616562349511,0.00038021039655520753
85,0.0006363396484400399,0.0003792516653112173
86,0.0006280194021766896,0.00038157425846468024
87,0.0005495683509162666,0.00035909790894684526
88,0.0006021386373645111,0.000412051430372351
89,0.0005733512620723131,0.0003612043287329838
90,0.0005953679545803235,0.0003659879094795672
91,0.0005775137914188885,0.0003716431033466231
92,0.0006362284722104297,0.0003485323552638758
93,0.0005921258578712782,0.0003866786142294275
94,0.0005885789687883944,0.0003965699077966178
95,0.0005853769416626996,0.0003749960756768535
96,0.0005178541466323493,0.0003306569114251255
97,0.0006112480904248297,0.00039942461299583937
98,0.000605018407703656,0.0004005873184133279
99,0.000647081856803717,0.0003768305183775526
100,0.0007100285307787756,0.00036995669913153506
101,0.0006508265417686232,0.00038314665752264566
102,0.0006378340069496906,0.0003774638326899684
103,0.0005889532925700471,0.00035108844736541646
104,0.0006832560174548654,0.00037899614555038223
105,0.0006429333419571917,0.0004097403989896541
106,0.0006763404747270366,0.00035488085951468085
107,0.0006407018771510494,0.0003882576102117783
108,0.0006326409495111579,0.00033739846814313524
109,0.0006571042645029073,0.0003425297306923388
110,0.0005823792219625071,0.00037374430680157743
111,0.0006177663901415339,0.0003798844850879776
112,0.0005824552668838935,0.00033347243716895666
113,0.0005968415459753503,0.00037108171904954017
114,0.000751037746762963,0.00035174974958752687
115,0.0007087088594488478,0.00033928021485364395
116,0.0006112062075149339,0.0003674151569062663
117,0.0005287708225199026,0.0003226231583240049
118,0.0007004332327840795,0.0003633213227821841
119,0.0005760564327557758,0.00034724998189906113
120,0.0006327449551129067,0.00035448459597713365
121,0.0006904966979791858,0.0003814916185554296
122,0.000634772629433926,0.0003843916952823478
123,0.000606932247257865,0.0003546128225938073
124,0.0007547646760005219,0.0003462289354594361
125,0.0005922583907856837,0.00035015934542502095
126,0.0006013329231380608,0.0003427647952245132
127,0.0006110047046712046,0.0003560398162913917
128,0.0006871882324276157,0.0003551599947627437
129,0.0006095078240919282,0.0003641478415082978
130,0.0007255779376060268,0.00034164436235246785
131,0.0006424066580399246,0.00034842756436965773
132,0.0006581499208905609,0.00032522498920483343
133,0.000612556738115121,0.00032172563607975216
134,0.0006914622482435503,0.000329913356833195
135,0.0006435131001617957,0.0003256312923711313
136,0.0006611027685868484,0.00035308350348591726
137,0.000591545107546356,0.00028325142629443854
138,0.0007277407527323329,0.0003266243078717442
139,0.0006776058146036641,0.00034535958784053455
140,0.0007638518203886438,0.0003665329072861356
141,0.000693374848010887,0.00033136883586381817
142,0.0007618720959066021,0.00031836008229019544
143,0.000736385526331203,0.00032464945653868304
144,0.0007442696612191791,0.00034528429745334425
145,0.0007407714298405413,0.00030362971974647843
146,0.0007979944983597544,0.00033289038283266956
147,0.0008786346297294723,0.0003237675948585891
148,0.0010566942458679076,0.00036869906536113
149,0.000752426217562039,0.00031573399225791413
150,0.0010962127233511137,0.0003813991311356885
151,0.0008368294270028155,0.00036679705223980664
152,0.0008515818819974151,0.0003437328963940654
