step,deepseek1.5b_fa_partial_lr1e-6-actor/pg_clipfrac_step,deepseek1.5b_fa_partial_lr1e-5-actor/pg_clipfrac_step,deepseek1.5b_sync_lr1e-5-actor/pg_clipfrac_step,deepseek1.5b_sync_lr1e-6-actor/pg_clipfrac_step
1,,,0,0
2,0.00023345970453218337,0.0002445894263930826,0.00013138831443259503,0.00012322709283450552
3,0.0002210547965267161,0.00022487741463141705,0.00012325876635562358,0.0001189648796203623
4,0.0002240830192358686,0.00022186358336181332,0.00024951608562798016,0.00013693140957339695
5,0.00023680932301082213,0.0004530142004669735,0.0005252711469097449,0.00014277697920722236
6,0.0002117211638724493,0.0008080762385729067,0.0002788521064303495,0.00013404625078692334
7,0.0002077751030494625,0.00078126723163046,0.0006593749897319867,0.00011572305578698474
8,0.0002591675739493704,0.000949564129067654,0.00043614169926797786,0.0001504827529411652
9,0.00021092385704065097,0.0010154507280402958,0.0007436380430686098,0.00014926685063495291
10,0.0002146114033134218,0.0020836784991514665,0.0007608201931361691,0.0001361464637850032
11,0.0002542019776165975,0.001482596893749695,0.0013454025762257517,0.0001335137481214338
12,0.00026694747599279327,0.0042054909075731695,0.0010489896891091052,0.00014493926498509045
13,0.00022875154117179536,0.003413036559115408,0.0014049485462911198,0.00013805206374801107
14,0.0003578745344390721,0.003764276614499623,0.0010246380339776805,0.00015386358303430824
15,0.00031872239141667567,0.00359468195960829,0.0010495085352886235,0.00016631593762998998
16,0.00033331533459738934,0.004059840531549963,0.001263372092993946,0.00018824590894682175
17,0.0012396450031352051,0.0036490539066025207,0.0012839778910760783,0.00020356105272568176
18,0.0003250812495715157,0.003214461491215356,0.0010081333396365789,0.00018989586754508531
19,0.00029849374356952186,0.005889906745125593,0.0009737017463824788,0.00017559547093417047
20,0.0003298764279386685,0.006257331926341672,0.0008529026707909301,0.00018500717425539684
21,0.0003214664898183718,0.0096759571690806,0.0009416806816868,0.00021445187460683105
22,0.00032773041048568736,0.00958705854663911,0.0013954994562326891,0.00023279902466778624
23,0.0003256518465707582,0.0195388826550546,0.0010809348235315238,0.0002074085625645239
