step,deepseek1.5b_sync_lr1e-5-rollout_corr/k3_kl_step,deepseek1.5b_sync_lr1e-6-rollout_corr/k3_kl_step
1,0.0004387624105073956,0.0004337712132382876
2,0.00044540013998182706,0.0004460573290798693
3,0.0004465652752009596,0.0004428964232399696
4,0.0004903563822153956,0.0004519540181329861
5,0.0005587247039784415,0.0004505044759043369
6,0.00046859061280883906,0.00044023833320857696
7,0.0005731167330395692,0.00045264214008216934
8,0.0004994987349959956,0.0004492743131098006
9,0.0005664627845506306,0.00044373716809786856
10,0.00054327734450713,0.0004394686597950612
11,0.0006566446022437352,0.0004401238484406149
12,0.0005749041474363939,0.00045017518530731575
13,0.0006278975592134952,0.0004347945511172464
14,0.0005756421568730729,0.0004344516680248489
15,0.0005925916004502062,0.0004495955984083717
16,0.0006365321010393513,0.00045455690180860094
17,0.0006337647068076793,0.000441831964436508
18,0.0005362909921745467,0.0004295039698017472
19,0.0005662790116427156,0.0004331290882150941
20,0.0005436302630338711,0.0004522324814771357
21,0.000546275781051095,0.00045265002123155034
22,0.0006241836579248207,0.0004300344813340677
23,0.0005779619407555649,0.0004399997292784974
24,0.0005151081571057147,0.00043517339189358086
25,0.0004805057389603462,0.00042416359103685176
26,0.0005360672368671005,0.00042567534992078655
27,0.0005047496095011454,0.0004353491803288177
28,0.0005266001055707946,0.0004319285821485905
29,0.0005582026298927505,0.00041961398889520015
30,0.0005868627753156225,0.0004182811661779012
31,0.0006173946965645882,0.0004354648629032454
32,0.0005955646933043248,0.000416232823511109
33,0.0005435223755761754,0.0004302456835603152
34,0.0005202014384562254,0.00042963924098936935
35,0.0005375355368701811,0.0004174038593255478
36,0.0005408215353626718,0.00043051367233062394
37,0.0006401309045893294,0.00040662650962985936
38,0.000523245105058949,0.0004109721078818368
39,0.0005350323098809895,0.0004192686919164119
40,0.0004858997007232108,0.0004149169600350433
41,0.0005586960455080511,0.0004283007972089591
42,0.0005336719557037993,0.00041083995116563386
43,0.0005001301303872467,0.0003960500802559881
44,0.000549182553408084,0.000395287571243861
45,0.0005109949647400451,0.0004040983327357418
46,0.0005945123768599712,0.0003990091411632169
47,0.0005298305032262025,0.0003882769715346512
48,0.0005513858858449101,0.0003971293094006494
49,0.0005019241243644501,0.00038822891239128103
50,0.0005983167301565117,0.00039864729329896033
51,0.0005384073996083316,0.000382997685462922
52,0.0004630522179922991,0.0003798042532707768
53,0.0005205082164761016,0.0003880154944536943
54,0.00048499075024838455,0.0004016681542334086
55,0.0005631632479673412,0.00039388907822760064
56,0.0005258785757264594,0.00040572980162525914
57,0.0005325372514517967,0.00039714529364488934
58,0.0005103178882159733,0.0003915514603713931
59,0.0005400308190114312,0.0003800682554712061
60,0.0005571295823756373,0.00041162019821664825
61,0.0006517544427918873,0.0003990532886139894
62,0.0005055206994646662,0.0004007639765859494
63,0.0005160410662690331,0.0003802796882568642
64,0.0005803499287659568,0.0003965599464663683
65,0.0005107375597314482,0.0003859896865140486
66,0.0004890564701955078,0.0003874051680488561
67,0.0005437990167982727,0.0003918695900760805
68,0.0004848300071075972,0.0003735641196747798
69,0.0006174525622208464,0.0003717648596234953
70,0.0005832216817040273,0.00038155483436935885
71,0.000564079207140908,0.000398449028147124
72,0.0004963276491946003,0.00040498008699311566
73,0.0005860214027629033,0.000391663559417882
74,0.0005633117839135507,0.000386091567528384
75,0.000492088128686148,0.00038746516585844095
76,0.0005549286976774299,0.0003952693241444649
77,0.0005105430901018,0.00037405902126660555
78,0.0006648097250512191,0.00038638655509462945
79,0.0005556765978932768,0.0003980062904572281
80,0.0006249164883099313,0.0003826449919391675
81,0.0007261525272822057,0.000384566100256918
82,0.0007073791539580778,0.0004027968835089269
83,0.0007227781474111474,0.0003856569757389432
84,0.0006275847376422288,0.0003872247297725775
85,0.0005939608563080997,0.00038567443152714986
86,0.0006226368570553729,0.0003851208167783093
87,0.0005474289410115087,0.0003732299400348338
88,0.0005793488560682038,0.00038417940340877975
89,0.0005633642423493835,0.0003717863015654508
90,0.0006162797155919306,0.0003750735412116531
91,0.0005847166183100074,0.0003778538825244117
92,0.0006246941397085207,0.000375173849360657
93,0.0006146873590859329,0.0003920255036830081
94,0.0006119642296090163,0.00038728472341063023
95,0.0005685423431448104,0.0003828544707888599
96,0.0005508096863715244,0.00035898800107916456
97,0.0005758112817732451,0.0003837161800616648
98,0.0006445744512304719,0.0003829713513834754
99,0.0006112746106217466,0.000370806833035563
100,0.0007031799493363776,0.0003688415001653041
101,0.000609086595866095,0.000371675561902001
102,0.0006769914216853241,0.00038068733149321775
103,0.0006016891186184446,0.0003626063227074621
104,0.0006849343855633162,0.0003731930610481666
105,0.0006309741948999068,0.0003828757100766072
106,0.0006847149964515766,0.00037050019511211544
107,0.0006249060236215249,0.00037717594469064526
108,0.0006350129807224433,0.0003604861113217339
109,0.0006359775072182639,0.00035468249108730346
110,0.0005919998670126208,0.00038048359982938216
111,0.000596382306845217,0.0003723313089367144
112,0.0005753949730465788,0.00035881427217848087
113,0.0006301670366817482,0.00036610716814743126
114,0.0007407051861740737,0.0003602983863227284
115,0.0007062589679879325,0.000349878006856766
