step,deepseek1.5b_fa_partial_lr1e-6-actor/grad_norm_step,deepseek1.5b_fa_partial_lr1e-5-actor/grad_norm_step,deepseek1.5b_sync_lr1e-5-actor/grad_norm_step,deepseek1.5b_sync_lr1e-6-actor/grad_norm_step
1,,,0.06410793587565422,0.06058458145707846
2,0.06848814338445663,0.06813238188624382,0.05986172053962946,0.0619106818921864
3,0.06314863730221987,0.06371264113113284,0.06171882897615433,0.05623596906661987
4,0.06228427030146122,0.06031844625249505,0.06226261705160141,0.06201416626572609
5,0.06561944354325533,0.06804603151977062,0.06971658114343882,0.06662503443658352
6,0.06122314790263772,0.06041089817881584,0.06902728788554668,0.05949456756934523
7,0.0590108260512352,0.06476595532149076,0.07150227017700672,0.058595805428922176
8,0.06810780242085457,0.0726303681731224,0.07830499857664108,0.06796326395124197
9,0.06464769225567579,0.07623603101819754,0.0822841078042984,0.06997604295611382
10,0.05721343960613012,0.07939887512475252,0.08457077480852604,0.06765403505414724
11,0.0620507481507957,0.08245803881436586,0.07976122386753559,0.05898080579936504
12,0.05951607692986727,0.10597202554345132,0.08301475457847118,0.06269082240760326
13,0.05765074770897627,0.07959922961890697,0.08074398711323738,0.058687301352620125
14,0.06966064032167196,0.08240431640297174,0.07776811346411705,0.06908313930034637
15,0.0626325597986579,0.09108955040574074,0.08238755166530609,0.06936446856707335
16,0.06775117199867964,0.08903261832892895,0.08643261156976223,0.07221977319568396
17,0.06576620228588581,0.0840948736295104,0.0832265205681324,0.07469274941831827
18,0.06862511392682791,0.08246979862451553,0.08066388219594955,0.07330549135804176
19,0.06990719959139824,0.09549519792199136,0.08115729503333569,0.07039953768253326
20,0.06898760888725519,0.10626243986189364,0.07792116887867451,0.07487653754651546
21,0.07236339151859283,0.11553564108908176,0.07712341658771038,0.0779418982565403
22,0.06775749288499355,0.1395781673491001,0.08139823749661446,0.07721490040421486
23,0.07338542398065329,0.17853537388145924,0.08441931754350662,0.0751091418787837
24,0.07060996070504189,0.20148876681923863,0.0730866901576519,0.07636538613587618
25,0.06831359677016735,0.19582814536988735,0.07446812093257904,0.07734772842377424
26,0.07299552671611309,0.14203145541250706,0.07642023451626301,0.07601643167436123
27,0.07572085596621037,0.1185081247240305,0.07514006644487381,0.0745170209556818
28,0.07634678855538368,0.12797837890684605,0.07151000574231148,0.07637732289731503
29,0.06933516543358564,0.1096217166632414,0.07698811404407024,0.08058893494307995
30,0.07305915467441082,0.07771443575620651,0.07824539206922054,0.07660518679767847
31,0.07211487460881472,0.07991122081875801,0.06632192712277174,0.07700725086033344
32,0.0738695003092289,0.07414454035460949,0.0752926841378212,0.07780945673584938
33,0.07447724416851997,0.07617163844406605,0.07192642986774445,0.079466019757092
