step,deepseek1.5b_fa_partial_lr1e-6-critic/rewards/mean_step,deepseek1.5b_fa_partial_lr1e-5-critic/rewards/mean_step,deepseek1.5b_sync_lr1e-5-critic/rewards/mean_step,deepseek1.5b_sync_lr1e-6-critic/rewards/mean_step
1,,,-1.020261526107788,-1.0041110515594482
2,-0.9788854122161864,-1.018247365951538,-1.1654400825500488,-1.162700653076172
3,-1.075263261795044,-1.077181339263916,-1.0677530765533447,-1.1452665328979492
4,-1.1070406436920166,-1.129030704498291,-1.079404354095459,-1.151559591293335
5,-1.0380465984344482,-1.016963243484497,-0.8312828540802002,-0.973780632019043
6,-1.0720345973968506,-1.0469317436218262,-0.8383450508117676,-1.0929193496704102
7,-1.2552807331085205,-1.095168113708496,-0.8016765117645264,-1.1654980182647705
8,-1.0270562171936035,-0.8494873046875,-0.388638973236084,-0.9730355739593506
9,-1.0558712482452393,-0.8040387630462646,-0.24097251892089844,-0.8969972133636475
10,-1.1266536712646484,-0.7112653255462646,-0.22688674926757812,-0.960956335067749
11,-1.0578463077545166,-0.6068365573883057,-0.3877894878387451,-1.1226696968078609
12,-1.1163225173950195,-0.7240488529205322,-0.24488449096679688,-0.9948134422302246
13,-1.0828025341033936,-0.40749263763427734,-0.2915022373199463,-0.9379503726959229
14,-0.8178246021270752,-0.2337937355041504,-0.24164462089538577,-0.8774464130401611
15,-0.9826009273529052,-0.3832364082336426,-0.09784197807312012,-0.8814620971679688
16,-0.8508560657501221,-0.2682642936706543,-0.12458944320678712,-0.8781900405883789
17,-0.8794784545898438,-0.3594791889190674,0.028760671615600582,-0.639854907989502
18,-0.8691506385803223,-0.3000304698944092,0.01801609992980957,-0.6819612979888916
19,-0.7254674434661865,-0.15476012229919434,-0.1236441135406494,-0.8253111839294434
20,-0.9094505310058594,-0.2281327247619629,-0.2162570953369141,-0.7021677494049072
21,-0.72517991065979,-0.15885615348815918,0.012843847274780272,-0.5841946601867676
22,-0.9055657386779784,-0.38967418670654297,-0.0018568038940429688,-0.5777692794799805
23,-0.5746650695800781,-0.1232917308807373,-0.09070658683776855,-0.6934604644775391
24,-0.7307803630828857,-0.2673487663269043,-0.04698801040649414,-0.5804731845855713
25,-0.8455319404602051,-0.29738807678222656,-0.013574838638305664,-0.4841976165771485
26,-0.4321601390838623,-0.020183086395263672,-0.048483848571777344,-0.48499059677124023
27,-0.4722299575805664,-0.1913857460021973,-0.0863652229309082,-0.5497019290924072
28,-0.5961127281188965,-0.1399693489074707,-0.12060856819152832,-0.473567247390747
29,-0.5827412605285645,-0.133392333984375,0.008358955383300781,-0.3619718551635742
30,-0.69207763671875,-0.22518610954284668,0.02239513397216797,-0.43740391731262207
31,-0.5363080501556396,-0.1294703483581543,-0.09175252914428712,-0.4696867465972901
32,-0.642662525177002,-0.22835898399353027,-0.12915325164794922,-0.4932317733764648
33,-0.4099555015563965,-0.09698796272277832,-0.11127471923828124,-0.5134382247924805
34,-0.4980313777923584,-0.20275115966796875,-0.02322077751159668,-0.3815169334411621
35,-0.4502434730529785,-0.10382628440856934,-0.04197406768798828,-0.3797025680541992
36,-0.34580230712890625,0.02440786361694336,-0.08582282066345215,-0.4394237995147705
37,-0.2975442409515381,-0.025983095169067383,0.004883766174316406,-0.2950446605682373
38,-0.5644500255584717,-0.2719764709472656,0.054576873779296875,-0.2606010437011719
39,-0.30298376083374023,-0.046877384185791016,-0.02346205711364746,-0.2807433605194092
40,-0.3138539791107178,0.01233530044555664,0.0304567813873291,-0.23203539848327637
41,-0.547119140625,-0.15733718872070312,-0.08901691436767578,-0.3589050769805908
42,-0.41512608528137207,-0.1341991424560547,-0.020389080047607425,-0.2278749942779541
43,-0.2825796604156494,-0.04129171371459961,0.038907527923583984,-0.25067901611328125
44,-0.3459484577178955,-0.019673585891723633,0.02729153633117676,-0.2759881019592285
45,-0.3125154972076416,-0.07709527015686035,-0.096480131149292,-0.33663105964660645
46,-0.47120070457458496,-0.1838533878326416,-0.03721737861633301,-0.28618812561035156
47,-0.39411091804504395,-0.14780426025390625,0.04904651641845703,-0.188279390335083
48,-0.4521200656890869,-0.11737585067749023,0.007348537445068359,-0.22844243049621585
49,-0.2064304351806641,-0.03469967842102051,-0.013840675354003906,-0.2412874698638916
50,-0.33599424362182617,-0.1110067367553711,0.0413670539855957,-0.20204615592956543
51,-0.3037121295928955,-0.03366684913635254,0.1865842342376709,-0.034532785415649414
52,-0.3834555149078369,-0.14239740371704102,0.121337890625,-0.10377812385559082
53,-0.1007215976715088,0.03255939483642578,0.10789179801940918,-0.1574568748474121
54,-0.23990821838378903,-0.06062126159667969,-0.01829218864440918,-0.22008562088012695
55,-0.1942760944366455,-0.023609638214111328,-0.06890153884887695,-0.2815711498260498
56,-0.4113447666168213,-0.2059030532836914,-0.07926082611083984,-0.26413583755493164
57,-0.26090550422668457,-0.05674171447753906,0.1282174587249756,-0.09930992126464844
58,-0.18886542320251465,0.03130364418029785,-0.08906412124633789,-0.3084597587585449
59,-0.11097288131713869,0.0060842037200927734,0.02656888961791992,-0.12385249137878418
60,-0.29557156562805176,0.00749659538269043,-0.09675168991088869,-0.272244930267334
61,-0.133894681930542,-0.1220555305480957,-0.08379125595092773,-0.2118840217590332
62,-0.27885937690734863,-0.04395461082458496,0.028450489044189453,-0.14286375045776367
