step,deepseek1.5b_fa_partial_lr1e-6-actor/entropy_step,deepseek1.5b_fa_partial_lr1e-5-actor/entropy_step,deepseek1.5b_sync_lr1e-5-actor/entropy_step,deepseek1.5b_sync_lr1e-6-actor/entropy_step
1,,,0.6767533421516418,0.6742796897888184
2,0.6809728741645813,0.6843172311782837,0.6710342168807983,0.6768369674682617
3,0.660111129283905,0.6570291519165039,0.6857251524925232,0.6812381148338318
4,0.6671752333641052,0.6678362488746643,0.6633748412132263,0.6672302484512329
5,0.6897472143173218,0.6841915249824524,0.6689273715019226,0.6888188719749451
6,0.6394097805023193,0.6279946565628052,0.6128280162811279,0.6464506983757019
7,0.6989009976387024,0.6796173453330994,0.6190820336341858,0.6637741327285767
8,0.6509827971458435,0.6262003779411316,0.6052282452583313,0.673979640007019
9,0.6906022429466248,0.655690610408783,0.5942760109901428,0.6861631870269775
10,0.6867084503173828,0.6415258049964905,0.538553774356842,0.6600788235664368
11,0.6869701147079468,0.6518040895462036,0.5271108150482178,0.6638740301132202
12,0.7198968529701233,0.6504016518592834,0.5202596187591553,0.6644777059555054
13,0.6394191384315491,0.6033774614334106,0.49271324276924133,0.610430896282196
14,0.6378868222236633,0.5677285194396973,0.4903949499130249,0.6266951560974121
15,0.6374953985214233,0.584616482257843,0.4863191246986389,0.6554287672042847
16,0.647983193397522,0.5760058164596558,0.489526629447937,0.649925172328949
17,0.6368629336357117,0.5877066254615784,0.47551605105400085,0.6357526183128357
18,0.655364990234375,0.5672758221626282,0.45310351252555847,0.6050736308097839
19,0.616317629814148,0.5541714429855347,0.4760867655277252,0.6320509314537048
20,0.642268180847168,0.545525312423706,0.476461261510849,0.6576676368713379
21,0.6525729298591614,0.6105329990386963,0.472739040851593,0.6518266797065735
22,0.6198071837425232,0.5407155156135559,0.4160642623901367,0.5904058814048767
23,0.6241330504417419,0.6061422824859619,0.4585677981376648,0.6205952167510986
24,0.6285080313682556,0.5600202679634094,0.4277559220790863,0.6109815239906311
25,0.6402713060379028,0.609302282333374,0.39117175340652466,0.5693325400352478
26,0.6016078591346741,0.5699183344841003,0.3917386531829834,0.5769062042236328
27,0.5947355031967163,0.5693268775939941,0.400414764881134,0.6057898998260498
28,0.6353918313980103,0.6011704802513123,0.3750082850456238,0.5971689820289612
29,0.608837366104126,0.5630483627319336,0.3605931103229522,0.5758752226829529
30,0.6402152180671692,0.5914270281791687,0.35858315229415894,0.5412008762359619
31,0.5753320455551147,0.5503195524215698,0.3706815242767334,0.5675458908081055
32,0.6180636286735535,0.5566487312316895,0.3301084637641907,0.5589937567710876
33,0.6169919371604919,0.5595038533210754,0.3506849706172943,0.5549735426902771
34,0.5779872536659241,0.5762602686882019,0.3428536355495453,0.5467654466629028
35,0.593916654586792,0.5376039147377014,0.3233063817024231,0.5426963567733765
36,0.5563727617263794,0.522772490978241,0.3332132399082184,0.5448501110076904
37,0.5760648846626282,0.5243586897850037,0.3130636513233185,0.5070177316665649
38,0.5818443894386292,0.5417259931564331,0.3267708718776703,0.5341444611549377
39,0.5754148960113525,0.5220512747764587,0.3238498568534851,0.5324174165725708
40,0.5571414232254028,0.5138649940490723,0.3071254789829254,0.5125487446784973
41,0.5845634341239929,0.5309513211250305,0.3262102007865906,0.5298706889152527
42,0.5675982236862183,0.5183719396591187,0.3000373840332031,0.49258705973625183
43,0.5887466073036194,0.5205907225608826,0.28954464197158813,0.4795666038990021
44,0.5884291529655457,0.53525710105896,0.2894722521305084,0.4717687368392944
45,0.5914134979248047,0.5110920071601868,0.2943164110183716,0.4866221249103546
46,0.5426707863807678,0.5088300108909607,0.26964735984802246,0.4814755320549011
47,0.5483981370925903,0.5106061100959778,0.2720180153846741,0.4675793945789337
48,0.5320950746536255,0.4746776521205902,0.2756884694099426,0.47703638672828674
49,0.5259221196174622,0.486581951379776,0.2567760944366455,0.4647915065288544
50,0.5569332838058472,0.5149069428443909,0.2503221035003662,0.4652249217033386
51,0.5322001576423645,0.4932398796081543,0.2508738934993744,0.4388807713985443
52,0.5558433532714844,0.5043866038322449,0.2397087961435318,0.4359629452228546
53,0.5017452836036682,0.4786010682582855,0.2464773505926132,0.4538637399673462
54,0.5282479524612427,0.4958729445934296,0.2564500570297241,0.4691300690174103
55,0.5088739395141602,0.4635103642940521,0.262154221534729,0.4516614079475403
56,0.5223038792610168,0.470799058675766,0.2545906901359558,0.4680236876010895
57,0.4958099722862244,0.4728939235210418,0.25218111276626587,0.4607136845588684
58,0.5221238732337952,0.4836016297340393,0.24420931935310364,0.4509621858596802
59,0.4925817549228668,0.4452790319919586,0.23285862803459167,0.42971158027648926
60,0.515985369682312,0.4653704762458801,0.2574881315231323,0.47075000405311584
61,0.4815605878829956,0.44629937410354614,0.2500627338886261,0.4460327923297882
62,0.503354012966156,0.44841906428337097,0.2354346215724945,0.4454841017723083
63,0.4826133847236634,0.45539993047714233,0.2306189090013504,0.4214909076690674
64,0.503985583782196,0.4430265724658966,0.24258042871952057,0.4468412101268768
65,0.4934666156768799,0.4406367838382721,0.2237589806318283,0.41654786467552185
66,0.4884099960327149,0.4466264545917511,0.21381381154060364,0.41802823543548584
67,0.4787704348564148,0.4156781733036041,0.2243176102638245,0.4340672492980957
68,0.4839371740818024,0.44005143642425537,0.1918792575597763,0.39859849214553833
69,0.4621986150741577,0.4129054546356201,0.1966744065284729,0.4037773311138153
70,0.46194735169410706,0.4075290262699127,0.19803132116794583,0.4122801423072815
71,0.4502361118793487,0.40623366832733154,0.21320705115795135,0.42992451786994934
72,0.4603005051612854,0.4128629267215729,0.2185174971818924,0.44024407863616943
73,0.48856237530708313,0.4293973445892334,0.19693970680236816,0.4131548106670379
74,0.4728782176971435,0.43492135405540466,0.19576632976531985,0.4035441875457764
75,0.494588166475296,0.4327164888381958,0.198811799287796,0.39955031871795654
76,0.4534105658531189,0.41682955622673035,0.20305214822292328,0.4215649366378784
77,0.4556465148925781,0.4135122001171112,0.1842583417892456,0.3906001150608063
78,0.4669244587421417,0.4234920144081116,0.18443317711353305,0.40435680747032166
79,0.46031999588012695,0.4204317629337311,0.18865519762039185,0.40888339281082153
80,0.4514886736869812,0.39898350834846497,0.17712324857711792,0.3937312960624695
81,0.45402148365974426,0.39629387855529785,0.17715395987033844,0.3905996084213257
82,0.4248170852661133,0.37044790387153625,0.18178506195545197,0.40162354707717896
83,0.46557363867759705,0.4129171371459961,0.1845497339963913,0.39107975363731384
84,0.457485169172287,0.4012430608272553,0.17031700909137726,0.38792169094085693
85,0.4343871474266052,0.3668040931224823,0.1747615784406662,0.3868795335292816
86,0.4354594647884369,0.38839542865753174,0.17634329199790957,0.3844226598739624
87,0.446209192276001,0.3931533098220825,0.16874781250953674,0.37069472670555115
88,0.4501951038837433,0.3935653865337372,0.1673021912574768,0.3717766404151917
89,0.4352621138095856,0.3923085629940033,0.16377496719360352,0.36757341027259827
90,0.4359871447086334,0.3806037306785583,0.15671515464782715,0.356905072927475
91,0.4362948834896088,0.3909835517406464,0.1625792235136032,0.3677775263786316
92,0.4256844818592071,0.36264902353286743,0.16033408045768738,0.363199770450592
93,0.4144120514392853,0.3586244285106659,0.17145660519599917,0.3742074966430664
94,0.4319379329681397,0.36058446764945984,0.16805711388587952,0.3720463216304779
95,0.4158957004547119,0.3531874716281891,0.15460537374019623,0.35498523712158203
96,0.43498945236206055,0.35200485587120056,0.154554083943367,0.3413742184638977
97,0.4291698932647705,0.34687939286231995,0.16217586398124695,0.3638596534729004
98,0.4164544045925141,0.35674208402633667,0.15446488559246063,0.3660513162612915
99,0.4272889196872711,0.35272881388664246,0.15003973245620728,0.35032811760902405
100,0.40894556045532227,0.3469817042350769,0.1473713517189026,0.34791919589042664
101,0.4244149625301361,0.3552003502845764,0.15059667825698853,0.3466051518917084
