step,deepseek1.5b_fa_partial_lr1e-6-actor/ppo_kl_step,deepseek1.5b_fa_partial_lr1e-5-actor/ppo_kl_step,deepseek1.5b_sync_lr1e-5-actor/ppo_kl_step,deepseek1.5b_sync_lr1e-6-actor/ppo_kl_step
1,,,0,0
2,0.0004326343031023154,0.0004130613333411492,-1.399328656324352e-05,-3.910987185115835e-06
3,0.0004206400796569455,0.00040828852886545634,-8.270302213494082e-06,-1.8076836509665523e-05
4,0.0004181200381718249,0.0004466269762973973,4.5091917321000504e-05,-4.222104401766925e-06
5,0.0004576266600563462,0.0005042894558921115,9.759553455523928e-05,1.3634830837099156e-05
6,0.0004280640378830377,0.0005631716192141791,4.5472089770726146e-05,1.8140249203055543e-05
7,0.00045530728197049975,0.0005978107128718488,0.00013362204057116857,6.1598680848159595e-06
8,0.0004361123673279833,0.0006333706638121902,5.6315634057169106e-05,3.226545252765376e-06
9,0.0004383915484374126,0.0006178837670633703,0.0001170892216754675,6.887351638979588e-06
10,0.0004545359995774685,0.0007673089330107975,0.0001511934183555346,1.2618809913737173e-05
11,0.00043729164123061664,0.0007613912341999869,0.0002621516541858308,-3.020089519068691e-06
12,0.0004764643032548314,0.0010713947837153411,0.00014783082513476816,1.7696447986788146e-05
13,0.00042844168041120063,0.001011834707823593,0.00023822391001985204,5.7249874442156995e-06
14,0.0004368840951094582,0.0010784763454726592,0.00019029102763965967,2.419055177149687e-05
15,0.0004535204518524685,0.0010473503732304976,0.0002096758000538888,8.753577447422416e-06
16,0.0004543747269151104,0.0011071216892992273,0.00023485018545868735,2.1326966812118545e-05
17,0.0009262234575308894,0.0014277052802147711,0.00023859974688052304,8.25617663157667e-06
18,0.00046864111999964407,0.0010259235056887897,0.0001630732559630331,1.2893915126326377e-05
19,0.0004331406669047821,0.001424015782314146,0.00015706669891939223,1.2536235910778403e-05
20,0.0004684341508443188,0.0016283940328776223,0.00014476024194109982,6.314295464598648e-06
21,0.0004535391433015159,0.002389590047631884,0.00015173260535610616,1.1738209164389803e-05
22,0.00044181914843866927,0.0024782909028707757,0.00029417099153301976,1.1529916957085465e-05
23,0.0004315051531377509,0.0044608898401747865,0.00021338125679839305,3.395154878376161e-05
24,0.0004229159559871568,0.005712012527283983,0.00015255695054250396,1.5901756796665723e-05
25,0.0004618627505851723,0.0034263811076283776,0.00010051952041028044,1.6190669077377777e-05
26,0.0005504758250430087,0.0018627858830646952,0.00015114129615826735,-1.1412968713195926e-05
27,0.0004932425504609121,0.0013421700537066547,0.00013449032284386573,2.323473444678013e-05
28,0.0004536088055673165,0.0014696098835789372,0.0001344211919235692,4.998719625206986e-06
29,0.0004264721928658361,0.0010133085198325326,0.00019957447720441045,8.013399558825355e-06
30,0.0004760984216436171,0.0008300207945235217,0.0002168899240033717,5.531792096145584e-06
31,0.0004726372304763673,0.0007559661469374483,0.00023717080475300635,9.20301742812768e-06
32,0.0004762819245580125,0.0007475677269151707,0.00021620992949676423,7.809865383179293e-06
33,0.0004702093274710896,0.000602681223420212,0.00019961733811019313,7.660963113220731e-06
34,0.0004449115723611877,0.0006400481407942182,0.0001770033663901961,2.1379412881117333e-05
35,0.0004469728072087978,0.0006475434918467567,0.00019613831135395209,-3.57617325195398e-06
36,0.000444536342561403,0.0007057888397452225,0.00017666420267214988,1.903606464450496e-05
37,0.000448393762757918,0.0006699588102716378,0.0003043039138915267,7.606737755819855e-06
38,0.001091092201640013,0.0011845331508020165,0.00017306796446649587,2.938629167067356e-05
39,0.0004306587794266015,0.0007206794690484904,0.00016953406161128725,5.541946527817234e-06
40,0.000405089609595443,0.0006485577195740741,0.00011627361188940507,1.056123961845401e-05
41,0.0004308326347438404,0.0007081950023447841,0.00017585810536679958,3.721703028923891e-05
42,0.0004419042962730039,0.0007332860995436987,0.0001725731329629065,2.3053376505817352e-05
43,0.00042813427491984713,0.0006571193872645432,0.00015500632096632216,1.2173900217067494e-05
44,0.000494973889319955,0.0007835597349552997,0.00025283801133260875,-1.784416863232281e-05
45,0.0004685860879693944,0.0007745127676912489,0.00014040111560600365,-3.5198360906213313e-06
46,0.00043520075169808616,0.000686539648894468,0.0002846137449762206,1.1591048164630597e-05
47,0.0004477187728790192,0.0007282582297275059,0.0002235394647373466,4.030786664830173e-06
