step,deepseek1.5b_sync_8gpu_advvar_ent_lr1e-5-response_length/mean_step,deepseek1.5b_sync_8gpu_ent0.1_lr1e-5-response_length/mean_step,deepseek1.5b_sync_8gpu_ent0.001_lr1e-5-response_length/mean_step,deepseek1.5b_sync_8gpu_cosine_floor_lr1e-5-response_length/mean_step,deepseek1.5b_sync_8gpu_cosine_ent0.01_lr1e-5-response_length/mean_step
78,2826.4873046875,4245.6748046875,3071.0830078125,2636.91796875,4136.9599609375
79,2972.138671875,4335.181640625,3109.4970703125,2691.4130859375,3937.6875
80,2849.64453125,4267.7958984375,3045.2607421875,2541.9970703125,4063.9501953125
81,3049.8525390625,4412.4130859375,3061.8232421875,2716.048828125,4361.89453125
82,2842.1650390625,4609.3046875,3071.2001953125,2596.0263671875,4143.748046875
83,2896.69140625,4526.5478515625,3006.07421875,2648.3876953125,4060.4990234375
84,2772.162109375,4587.880859375,2921.9599609375,2547.189453125,4149.84765625
85,3034.2490234375,4544.7890625,3208.28515625,2875.5537109375,4398.20703125
86,2774.830078125,4422.048828125,3013.693359375,2758.662109375,4520.416015625
87,2857.951171875,4502.0419921875,3029.5537109375,2843.609375,4294.2783203125
88,2842.763671875,4516.404296875,3080.634765625,2763.0078125,4185.169921875
89,2918.42578125,4468.595703125,3232.064453125,2986.9951171875,4415.0087890625
90,2819.3369140625,4509.8798828125,3201.9833984375,2856.421875,4588.6435546875
91,2734.8173828125,4561.455078125,3044.8447265625,2706.9169921875,4377.248046875
92,2915.1513671875,4691.86328125,3241.8017578125,2968.7001953125,4290.79296875
93,2703.884765625,4718.5595703125,3023.23046875,2768.1259765625,4483.8916015625
94,2830.818359375,4682.861328125,3126.3525390625,2808.8701171875,4666.92578125
95,2636.021484375,4731.744140625,3018.48046875,2698.3603515625,4579.2763671875
96,2791.50390625,4672.3466796875,3085.1376953125,2835.7314453125,4505.7548828125
97,2705.7080078125,4861.2783203125,3139.5947265625,2740.173828125,4560.90234375
98,2777.4921875,4830.4794921875,3191.5625,2959.02734375,4719.37109375
99,2794.1162109375,4724.314453125,3263.3818359375,2874.3193359375,4848.2177734375
100,2723.8251953125,4548.5146484375,3153.9794921875,2774.935546875,4651.287109375
101,2751.4677734375,4551.888671875,3164.955078125,2845.412109375,4807.5927734375
102,2760.845703125,4605.787109375,3088.7109375,2825.970703125,3798.72265625
103,2785.3701171875,4606.1005859375,3224.607421875,2846.568359375,2415.2685546875
104,2675.6103515625,4808.361328125,2942.572265625,2712.1640625,1550.2568359375
105,2544.37109375,4856.341796875,2890.5107421875,2582.6220703125,1398.19140625
106,2911.8095703125,4785.34765625,3142.0244140625,2795.345703125,1709.7197265625
107,2903.2939453125,4510.9189453125,3238.7841796875,2961.59765625,2163.96875
108,2794.1337890625,4504.541015625,3167.955078125,2800.4111328125,2692.4755859375
109,2797.0302734375,4551.2607421875,3112.8857421875,2765.6376953125,3140.4052734375
110,2784.615234375,4707.0888671875,3102.962890625,2810.46875,3068.2275390625
111,2790.86328125,4580.7822265625,3135.1318359375,2746.5556640625,2832.5517578125
112,2723.8876953125,4781.9375,2966.4306640625,2595.65234375,2787.6962890625
113,2996.7861328125,4545.83203125,3151.689453125,2878.07421875,2994.0322265625
114,2770.3837890625,4599.564453125,3027.5009765625,2624.470703125,3360.4287109375
115,2779.5947265625,4920.783203125,3036.357421875,2694.92578125,3534.033203125
116,3015.12109375,4941.2158203125,3150.0234375,2820.74609375,3454.87109375
117,2781.3095703125,4887.37890625,3082.35546875,2668.29296875,3437.5859375
118,2841.0380859375,5097.0537109375,3093.0361328125,2652.7177734375,3612.2919921875
119,3073.396484375,5008.2802734375,3301.15234375,2829.4267578125,3747.5283203125
120,2940.486328125,4866.630859375,3255.857421875,2731.38671875,3805.0185546875
121,2859.1669921875,4755.2490234375,3117.1640625,2695.2607421875,3872.2578125
122,2806.40234375,4603.078125,3062.052734375,2594.9697265625,3936.759765625
123,2791.66015625,4869.7607421875,3070.34375,2538.0947265625,4088.1796875
124,3041.6708984375,4640.6884765625,3187.529296875,2763.0087890625,4242.591796875
125,2845.548828125,4841.5419921875,3035.6845703125,2630.4208984375,4268.89453125
126,2939.9404296875,4871.1904296875,3089.8662109375,2701.5849609375,4132.24609375
127,2725.748046875,4728.3291015625,2875.8173828125,2457.6162109375,4000.4482421875
128,2653.1328125,4334.337890625,2849.3291015625,2463.98828125,4089.8642578125
129,2803.4248046875,4617.7451171875,3041.3251953125,2586.4736328125,4219.232421875
130,3057.6220703125,4292.828125,3122.5654296875,2790.4736328125,4362.3447265625
131,2926.8955078125,4227.9208984375,2944.869140625,2655.8583984375,4494.1416015625
132,2784.0888671875,4026.5341796875,3006.1748046875,2592.4716796875,4500.00390625
133,2906.4638671875,4218.107421875,2977.5546875,2668.4736328125,4309.146484375
134,2730.3037109375,4416.5595703125,2907.482421875,2601.1064453125,4263.1533203125
135,2981.1064453125,4184.197265625,3018.765625,2870.4521484375,4325.1669921875
136,2879.4521484375,3991.5400390625,3005.8154296875,2829.3994140625,4505.4150390625
137,2746.4345703125,3978.6865234375,2964.09375,2683.8818359375,4672.3134765625
138,2607.7783203125,3901.1806640625,2859.2724609375,2453.189453125,4674.3701171875
139,2734.265625,3876.822265625,3008.3173828125,2615.8818359375,4483.6005859375
140,2771.0478515625,3948.013671875,3139.61328125,2736.458984375,4315.6640625
141,2677.697265625,4235.595703125,2963.767578125,2599.12890625,4420.4013671875
142,2707.4443359375,4656.779296875,2907.322265625,2512.4501953125,4588.388671875
143,2699.4931640625,5112.06640625,2957.595703125,2571.8828125,4690.4599609375
144,2769.7431640625,5223.916015625,3015.2138671875,2619.927734375,4786.6728515625
145,2656.634765625,5296.67578125,2908.419921875,2621.8876953125,4699.6318359375
146,2825.8974609375,5167.775390625,3087.3759765625,2826.810546875,4617.0693359375
147,2938.0390625,5159.9453125,3110.423828125,2815.9794921875,4671.974609375
148,2745.4560546875,5069.125,2997.423828125,2662.3681640625,4747.142578125
149,2857.955078125,5067.6337890625,2941.6142578125,2692.4384765625,4740.4892578125
150,2767.3115234375,4903.4287109375,2831.69140625,2603.7548828125,4620.455078125
151,2966.3046875,4917.5390625,3008.88671875,2848.3125,4653.060546875
152,2777.890625,4966.984375,2827.2900390625,2648.8134765625,4696.123046875
153,2969.03515625,4979.6025390625,2913.640625,2786.5048828125,4775.3896484375
154,2990.6484375,4899.3466796875,2860.548828125,2764.4580078125,4848.3759765625
155,2919.3671875,4762.548828125,2947.568359375,2711.419921875,4815.7470703125
156,2903.3564453125,4873.1005859375,2823.1279296875,2673.064453125,4786.2763671875
157,2973.611328125,4685.83203125,2977.16015625,2726.7119140625,4796.669921875
158,2999.7451171875,4670.9423828125,2846.44921875,2739.96875,4818.26953125
159,2911.0537109375,5154.759765625,2831.1650390625,2656.5625,4855.33203125
160,2982.7314453125,5293,2932.3193359375,2723.765625,4858.9755859375
161,2954.66015625,5364.310546875,2881.3037109375,2730.58984375,4758.634765625
162,2950.328125,5428.8310546875,2877.1943359375,2680.0751953125,4723.7451171875
163,2855.703125,5514.4921875,2900.5859375,2693.21484375,4782.4169921875
164,2949.5966796875,5339.5458984375,2830.5146484375,2687.2060546875,4854.4541015625
165,2878.8037109375,5465.62890625,2831.55859375,2620.271484375,4912.890625
166,2995.837890625,5223.9970703125,2913.8388671875,2687.6455078125,4829.3310546875
167,2955.4033203125,5130.7109375,2879.3427734375,2707.541015625,4752.96875
168,3022.720703125,4933.73046875,2920.337890625,2844.005859375,4778.421875
169,2848.669921875,5007.3544921875,2774.544921875,2715.3603515625,4790.1689453125
170,3087.3720703125,4900.408203125,2839.6015625,2773.1826171875,4878.759765625
171,3024.9580078125,4614.869140625,2881.87890625,2752.203125,4869.166015625
172,3155.232421875,4318.228515625,2967.287109375,2921.7451171875,4842.5703125
173,3023.6015625,4455.275390625,2844.591796875,2694.7158203125,4836.958984375
174,3094.30078125,4321.205078125,2897.490234375,2723.015625,4860.630859375
175,3016.7060546875,4419.625,2885.9013671875,2703.15625,4849.6103515625
176,3054.8505859375,4220.5166015625,2864.181640625,2783.7265625,4821.7998046875
177,2905.064453125,4449.3564453125,2933.0986328125,2719.0908203125,4799.6025390625
178,3271.8173828125,4380.3095703125,3117.9609375,2887.5087890625,4864.3076171875
179,3141.1474609375,4505.9482421875,3002.126953125,2824.9794921875,4872.564453125
180,3050.12109375,4696.6298828125,2890.24609375,2755.9111328125,4779.4443359375
181,3055.0859375,4682.052734375,2978.1357421875,2767.2529296875,4782.1962890625
182,3204.7705078125,4679.9375,3069.8349609375,2879.25,4844.8671875
183,3128.51171875,4785.8505859375,3127.14453125,2827.5498046875,4886.076171875
184,3012.8447265625,4649.640625,3026.0673828125,2710.36328125,4871.7353515625
185,3128.60546875,4795.8203125,3119.1298828125,2798.6953125,4889.314453125
186,3039.0205078125,4969.3623046875,3049.4638671875,2763.388671875,4879.8505859375
187,3105.421875,5042.8017578125,3124.8037109375,2706.0634765625,4895.310546875
188,3309.125,5142.9873046875,3166.5966796875,2944.9453125,4919.9453125
189,3093.5546875,5118.8486328125,3117.46484375,2863.919921875,4863.109375
190,3261.857421875,5250.75390625,3157.0322265625,2886.375,4858.63671875
191,3185.65234375,5044.888671875,3185.283203125,2939.181640625,4889.6904296875
192,3197.69921875,5153.400390625,3174.896484375,2933.693359375,4894.38671875
193,3185.0986328125,5123.111328125,3151.5869140625,2830.9345703125,4874.82421875
194,3226.173828125,5045.5537109375,3253.2724609375,3053.408203125,4853.63671875
195,3168.083984375,4927.59375,3134.873046875,2800.1875,4881.015625
196,3123.796875,5051.9296875,3088.74609375,2803.92578125,4836.1923828125
197,3075.05859375,5113.1748046875,3147.490234375,2761.19921875,4911.1015625
198,3222.994140625,5115.0673828125,3253.689453125,2877.505859375,4907.013671875
199,3061.8623046875,5085.55078125,3064.822265625,2746.9560546875,4875.6640625
200,3055.4052734375,5193.734375,3151.15625,2823.9033203125,4869.861328125
201,3156.7607421875,5282.5087890625,3183.783203125,2890.958984375,4862.87109375
202,3127.3447265625,4879.3173828125,3216.1005859375,2947.6650390625,4836.4462890625
203,3112.4716796875,4699.5869140625,3158.8701171875,2941.1650390625,4829.7763671875
204,3217.9814453125,4298.5537109375,3271.8369140625,2896.58984375,4803.55078125
205,3064.1142578125,3968.6181640625,3188.8388671875,2828.1318359375,4858.908203125
206,3040.4443359375,3689.9013671875,3197.7275390625,2885.103515625,4806.705078125
207,2985.46484375,3568.9296875,3211.4453125,2733.255859375,4831.3369140625
208,3138.814453125,3566.5458984375,3308.5322265625,2923.3271484375,4848.90234375
209,3057.1806640625,3770.3935546875,3243.9140625,2904.224609375,4869.93359375
210,3175.1171875,4331.087890625,3306.3544921875,2911.5400390625,4869.431640625
211,3071.224609375,4674.212890625,3220.7265625,2829.5078125,4893.140625
212,3162.8544921875,4593.4013671875,3233.52734375,2861.859375,4849.177734375
213,3226.4150390625,4702.212890625,3358.15234375,2904.0478515625,4864.171875
214,3185.6083984375,4777.720703125,3230.6884765625,2820.732421875,4894.0966796875
215,3071.4345703125,4853.337890625,3188.6396484375,2795.2626953125,4874.5048828125
216,3099.1552734375,4942.39453125,3223.68359375,2824.1513671875,4843.39453125
217,3155.0693359375,4927.1220703125,3201.6708984375,2811.4619140625,4883.32421875
218,3242.1767578125,4814.3837890625,3308.6328125,2966.6494140625,4881.7373046875
219,3158.5419921875,4842.158203125,3148.080078125,2840.7451171875,4910.1044921875
220,3259.48046875,4751.3408203125,3172.0537109375,2834.677734375,4918.2919921875
221,3158.0869140625,4646.224609375,3304.201171875,2807.77734375,4883.537109375
222,3208.1298828125,4529.0400390625,3264.3193359375,2824.36328125,4917.6123046875
223,3120.16796875,4757.6767578125,3262.9365234375,2809.5263671875,4903.322265625
224,3058.1630859375,4220.2744140625,3145.185546875,2666.943359375,4869.0634765625
225,3280.931640625,4115.037109375,3315.375,2839.36328125,4799.875
226,3187.154296875,4331.4375,3349.7265625,2783.4453125,4875.216796875
227,3123.783203125,4332.658203125,3332.1923828125,2738.1669921875,4865.3935546875
228,3257.673828125,4486.37890625,3362.119140625,2929.8466796875,4851.9296875
229,3343.61328125,4501.33203125,3349.2021484375,2923.013671875,4862.18359375
230,3344.6494140625,4383.8408203125,3391.1298828125,2943.9970703125,4873.259765625
231,3294.1142578125,4391.943359375,3324.701171875,2876.0751953125,4910.607421875
232,3339.78515625,4316.181640625,3361.99609375,2970.1806640625,4870.208984375
233,3227.75,4328.076171875,3242.5234375,2837.0361328125,4922.564453125
234,3208.9384765625,4435.3134765625,3311.998046875,2818.8671875,4912.326171875
235,3202.3837890625,4315.185546875,3375.4130859375,2809.14453125,4949.884765625
236,3179.201171875,4209.5419921875,3318.224609375,2726.5673828125,4930.494140625
237,3271.765625,4306.87890625,3267.2333984375,2835.267578125,4927.087890625
238,3250.0625,4230.51953125,3175.302734375,2783.224609375,4918.7861328125
239,3325.5693359375,4192.1220703125,3273.9853515625,2948.703125,4909.466796875
240,3274.478515625,4381.7841796875,3256.220703125,2810.46484375,4900.8759765625
241,3299.8154296875,4678.2958984375,3239.4306640625,2903.2861328125,4865.552734375
242,3296.150390625,3842.099609375,3187.865234375,2843.751953125,4897.83203125
243,3306.1533203125,5908.03125,3353.6748046875,2933.8955078125,4892.75390625
244,3114.53515625,5426.67578125,3206.8525390625,2799.9990234375,4906.2900390625
245,3269.7119140625,4965.51171875,3376.7998046875,2927.6787109375,4903.3515625
246,3332.6767578125,4121.7333984375,3414.12890625,3028.1259765625,4892.224609375
247,3166.8349609375,3969.357421875,3353.134765625,2857.87109375,4917.8525390625
248,3193.4990234375,3763.0869140625,3411.7294921875,2854.1328125,4890.708984375
249,3242.0732421875,3593.7841796875,3473.296875,2911.3798828125,4906.013671875
250,3293.416015625,3816.4462890625,3344.54296875,3037.75,4907.49609375
251,3148.673828125,4193.84765625,3223.716796875,2857.9853515625,4896.01171875
252,3338.2421875,4457.451171875,3336.7373046875,3013.00390625,4882.7802734375
253,3252.2353515625,4556.7587890625,3317.7607421875,2873.57421875,4901.765625
254,3115.8115234375,4941.9375,3189.22265625,2881.70703125,4911.3681640625
255,3245.2275390625,5073.0810546875,3278.033203125,2932.802734375,4886.2724609375
256,3317.501953125,5136.25,3318.7021484375,2854.5341796875,4908.3125
257,3322.9296875,4957.2939453125,3174.7734375,2919.1748046875,4883.0849609375
258,3278.728515625,5266.4765625,3204.7314453125,2910.2421875,4944.2421875
259,3211.87890625,4709.623046875,3206.5234375,2985.8408203125,4936.6728515625
260,3337.2392578125,4193.1162109375,3222.509765625,2953.529296875,4904.5859375
261,3313.6826171875,3981.162109375,3187.357421875,2956.4384765625,4914.943359375
262,3221.7001953125,3998.759765625,3142.8037109375,2914.537109375,4906.8935546875
263,3354.916015625,4086.0888671875,3241.767578125,2969.7197265625,4923.8369140625
264,3309.265625,3603.5732421875,3115.3349609375,3017.65234375,4926.3125
265,3405.0771484375,4478.0869140625,3154.8974609375,3004.1162109375,4928.998046875
266,3333.9169921875,4083.37109375,3185.3076171875,3025.7646484375,4906.2841796875
267,3204.0029296875,4646.75390625,3167.8173828125,2929.3544921875,4921.654296875
268,3127.5693359375,4845.123046875,3131.0478515625,2874.8115234375,4951.8544921875
269,3256.5546875,4894.86328125,3032.57421875,2876.6123046875,4937.64453125
270,3213.5302734375,4873.8857421875,3133.0966796875,3021.09765625,4944.400390625
271,3402.2314453125,4770.974609375,3255.2353515625,3108.150390625,4942.662109375
272,3322.357421875,4687.5244140625,3250.734375,3037.2734375,4917.427734375
273,3317.0283203125,4684.083984375,3106.8115234375,2950.90234375,4891.1484375
274,3373.6435546875,4701.173828125,3252.37109375,3004.5234375,4883.3212890625
275,3326.59375,4554.154296875,3189.669921875,3037.7001953125,4945.0380859375
276,3282.412109375,4704.759765625,3229.8984375,3035.1396484375,4881.8662109375
277,3278.509765625,4724.697265625,3377.685546875,3162.544921875,4874.0478515625
278,3361.2490234375,4784.97265625,3294.6904296875,3034.40625,4899.9775390625
279,3211,4868.1259765625,3195.3154296875,2886.7216796875,4943.5927734375
280,3365.75390625,4875.458984375,3410.33984375,3135.7158203125,4914.576171875
281,3339,4857.6201171875,3285.841796875,2939.4990234375,4894.4970703125
282,3158.0380859375,4874.0947265625,3224.58203125,2886.8203125,4882.34765625
283,3367.875,4881.091796875,3367.330078125,3072.0712890625,4887.7734375
284,3262.8056640625,4908.76953125,3279.5263671875,3032.67578125,4927.05859375
285,3138.734375,4883.23828125,3163.697265625,2842.9658203125,4906.404296875
286,3508.4072265625,4894.6220703125,3408.1025390625,3199.39453125,4919.20703125
287,3487.0888671875,4858.66015625,3356.3994140625,3087.083984375,4941.9921875
288,3274.64453125,4867.462890625,3225.359375,2935.2841796875,4923.4404296875
289,3428.765625,4878.962890625,3280.2080078125,3097.115234375,4916.9384765625
290,3258.7177734375,4892.4384765625,3210.36328125,2953.7822265625,4925.4013671875
291,3339.8681640625,4835.4013671875,3185.783203125,2966.9375,4911.7998046875
292,3254.1748046875,4891.71484375,3190.611328125,2883.564453125,4891.3837890625
293,3300.986328125,4877.796875,3304.5302734375,2978.412109375,4892.67578125
294,3375.3759765625,4845.806640625,3405.787109375,3099.1455078125,4899.3408203125
295,3241.2880859375,4914.966796875,3213.27734375,2925.138671875,4929.236328125
296,3425.9296875,4896.9794921875,3359.4423828125,3044.4716796875,4918.591796875
297,3469.1259765625,4880.1611328125,3486.140625,3018.8349609375,4883.9287109375
298,3353.7890625,4955.408203125,3458.3662109375,2974.3486328125,4939.986328125
299,3377.9365234375,4936.0263671875,3373.1767578125,2969.5517578125,4898.5888671875
300,3375.0078125,4939.3720703125,3339.388671875,2991.1826171875,4943.2705078125
