step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-response_length/clip_ratio_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-response_length/clip_ratio_step
232,0.033203125,0.001953125
233,0.064453125,0
234,0.03515625,0
235,0.02734375,0.0009765625
236,0.037109375,0
237,0.03515625,0
238,0.0439453125,0
239,0.0498046875,0
240,0.0546875,0
241,0.0341796875,0
242,0.0537109375,0.0009765625
243,0.044921875,0
244,0.0361328125,0
245,0.0439453125,0.0009765625
246,0.05859375,0.0009765625
247,0.0302734375,0
248,0.02734375,0
249,0.0302734375,0
250,0.0322265625,0
251,0.0390625,0
252,0.029296875,0.0009765625
253,0.0341796875,0
254,0.03125,0
255,0.0380859375,0
256,0.0263671875,0
257,0.0263671875,0.0009765625
258,0.0205078125,0
259,0.037109375,0
260,0.029296875,0
261,0.0185546875,0
262,0.02734375,0
263,0.033203125,0
264,0.04296875,0.0009765625
265,0.029296875,0
266,0.0380859375,0
267,0.0302734375,0
268,0.01953125,0
269,0.0361328125,0.0009765625
270,0.0205078125,0
271,0.0244140625,0.0009765625
272,0.03515625,0.0009765625
273,0.017578125,0
274,0.0166015625,0
275,0.025390625,0.001953125
276,0.0263671875,0.0029296875
277,0.044921875,0
278,0.0263671875,0.0009765625
279,0.0166015625,0
280,0.0146484375,0
281,0.0244140625,0.0009765625
282,0.0244140625,0
283,0.03515625,0
284,0.0380859375,0.00390625
285,0.021484375,0
286,0.02734375,0.0009765625
287,0.0322265625,0.0009765625
288,0.025390625,0
289,0.02734375,0
290,0.025390625,0
291,0.025390625,0
292,0.0185546875,0
293,0.0166015625,0
294,0.0146484375,0
295,0.013671875,0
296,0.0322265625,0
297,0.033203125,0
298,0.02734375,0
299,0.013671875,0
300,0.01953125,0
