step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-actor/g_A1_dot_A2_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-actor/g_A1_dot_A2_step
220,-7.919722499349245e-05,-7.562158530375638e-05
221,-0.0001807820002293628,-5.735380670211417e-06
222,5.37889566361599e-05,0.00010965727263862324
223,4.28226383868805e-06,-8.874568183567182e-06
224,0.00012490130561373732,-2.008944214190608e-06
225,5.532475515478007e-05,0.00012821069186522805
226,-0.00036384530245147257,-1.9241555593937716e-06
227,2.5892363272405384e-05,8.056142135720435e-05
228,-0.00010640338731486336,-2.2314308767893984e-06
229,-1.583815197764694e-05,0.00013441450551978962
230,7.51948278916846e-05,3.9718327826105456e-05
231,6.3799176769047e-05,-0.00010220366798987164
232,4.506090220020933e-05,-7.710855773464691e-05
233,-0.0001778035134133294,0.0001348038067029288
234,6.863729646956241e-05,-7.305729589709054e-05
235,-0.00010315222916578789,-0.00013551433438899766
236,-0.00014930120164150654,8.1216388289523e-05
237,3.1935968269244994e-05,5.827315088984229e-05
238,-0.00013570136707713183,-1.978173482211423e-05
239,9.568739149407457e-05,8.301952073773062e-05
240,0.00028586847640749727,-1.0949182458020916e-05
241,1.1148759665097702e-06,8.85046068987038e-05
242,-3.1446028809332514e-06,-5.588719248097996e-05
243,-1.0589358904724411e-05,4.72244128044748e-05
244,3.843599827722431e-05,-4.355765815458193e-06
245,9.424922103830898e-05,-4.099554310701431e-06
246,0.0001713981943469924,-9.836381589177032e-05
247,-0.00015684207050683532,-0.00011066062210978654
248,7.206949866017021e-05,2.5157655877382895e-05
249,-0.00019713996325660177,-2.8472731505907664e-05
250,2.3387432089208e-05,0.000121184137350561
251,-0.00010569986302466492,-9.436436366666954e-05
252,6.732341039450671e-05,-0.00010000170775100836
253,6.014052422946632e-05,7.233312557511153e-05
254,9.872253122002354e-05,7.744059766942452e-05
255,-4.793657110504945e-05,0.00013045088127194696
256,2.4098686007104216e-05,8.723510120714244e-05
257,1.839274233841097e-06,9.791088921679674e-05
258,0.0001285061773886023,0.00010298018704419798
259,8.391407367642104e-05,-5.163058083370782e-05
260,-0.0002206570730950836,0.00017021671349181684
261,-8.463923269108354e-05,-0.00014443369560277616
262,1.5858582797569992e-05,-8.622300058263453e-05
263,-1.6763190689179005e-05,-2.3230252770620207e-05
264,-4.429020091623004e-05,6.647152026659023e-05
265,-4.505985657805637e-05,-6.8287319853984805e-06
266,-0.00011497659682203415,-2.694598636064253e-05
267,-9.785538059588988e-06,5.000403960511554e-05
268,-8.62301622117535e-05,-1.9527279076087087e-05
269,-9.896034147889704e-05,6.77485917388871e-06
270,6.713282898453716e-05,5.696880708923669e-05
271,8.845413809269904e-05,-2.0479166949965393e-05
272,-6.588292528437907e-06,4.082786691248885e-05
273,9.971815773358976e-05,0.0001028826938208226
274,-0.0001251087694560454,-7.811649002006104e-05
275,2.0727250667732888e-05,-1.951720172814108e-05
276,-0.0001975231137898952,0.00015753461243402838
277,-1.605082157471577e-05,-3.283312132192523e-05
278,-4.412916214481882e-05,8.271947645434386e-06
279,-4.180895336196304e-05,-0.00022738828497408044
280,-3.1055095899479235e-05,2.0830721710226455e-05
281,-2.9388612539526135e-05,0.00011459900470654396
282,-5.584945361377009e-05,-3.1869861812725116e-05
283,0.0001338595800463442,-1.2344360920818604e-05
284,-8.405683428490283e-06,7.146296569163849e-05
285,-0.00037221355670312607,5.901697932728492e-05
286,-2.6431799116865905e-05,-7.59280486678395e-06
287,0.0001566954181381763,2.779639271111171e-05
288,1.529485427475178e-05,-3.941366567797657e-05
289,0.0001965070808385705,2.191498587686452e-05
290,5.7401572333150655e-05,3.363081898421336e-05
291,-0.00031407033941245626,3.2651778682471865e-05
292,-2.452056536314985e-05,-6.521226048720856e-05
293,-2.4692680766233936e-05,-0.00011443250916622598
294,1.6429668846760198e-05,-2.210379122175584e-05
295,9.53775445840942e-05,-9.08468090953137e-05
296,-5.92937357707567e-05,5.4103337847293585e-05
297,6.833863285331178e-05,0.00018281068293196875
298,-1.7752577128921844e-05,6.292805527333477e-05
299,-0.00011593173316388258,-1.003943048251851e-05
300,0.00013946575889706446,0.00013790144619286898
