step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-actor/alpha_t_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-actor/alpha_t_step
136,2.9072548904328847e-07,2.561498436270448e-06
137,4.2762440289133695e-07,2.561498436270448e-06
138,4.2762440289133695e-07,2.561498436270448e-06
139,4.249518354026806e-07,2.9578695898000207e-06
140,4.843982599420061e-07,2.9578695898000207e-06
141,3.4710887742632957e-07,2.9578695898000207e-06
142,2.970416295036802e-07,2.0000000000000003e-06
143,2.0421695463768428e-07,2.507104224364514e-06
144,2.8030727686580406e-07,3.2159000282314857e-06
145,2.81845350725057e-07,3.199393073818089e-06
146,4.649541002276418e-07,3.803622264645673e-06
147,5.5345882731303e-07,3.803622264645673e-06
148,5.592978441261793e-07,2.0000000000000003e-06
149,2e-07,2.3824762603766822e-06
150,2.528749834155697e-07,2.0000000000000003e-06
151,2.9932923182219565e-07,2.0000000000000003e-06
152,2.9932923182219565e-07,2.0000000000000003e-06
153,3.1433756184059564e-07,2.0570482984727236e-06
154,3.1433756184059564e-07,2.0570482984727236e-06
155,3.1433756184059564e-07,2.9895256842981953e-06
156,2e-07,2.0000000000000003e-06
157,2.3975436042269877e-07,2.0000000000000003e-06
158,2e-07,2.0000000000000003e-06
159,2e-07,2.0000000000000003e-06
160,2.035539035119664e-07,2.0000000000000003e-06
161,2.2426647952062062e-07,2.0000000000000003e-06
162,2.2426647952062062e-07,2.0000000000000003e-06
163,2.1078291711508793e-07,2.0000000000000003e-06
164,2.828719909086607e-07,2.0000000000000003e-06
165,2e-07,2.0000000000000003e-06
166,2.136530170181254e-07,2.0000000000000003e-06
167,3.35693888453962e-07,2.0000000000000003e-06
168,3.576506914767798e-07,2.0000000000000003e-06
169,2e-07,2.0000000000000003e-06
170,2.15525399179476e-07,2.0000000000000003e-06
171,2e-07,2.0000000000000003e-06
172,2e-07,2.0000000000000003e-06
173,2e-07,2.0000000000000003e-06
174,2e-07,2.0000000000000003e-06
175,2e-07,2.0000000000000003e-06
176,2e-07,2.0000000000000003e-06
177,2e-07,2.0000000000000003e-06
178,2e-07,2.0000000000000003e-06
179,2e-07,2.0000000000000003e-06
180,2e-07,2.0000000000000003e-06
181,2e-07,2.0000000000000003e-06
182,2.023022658024931e-07,2.0343265100359777e-06
183,2.023022658024931e-07,2.0343265100359777e-06
184,2.023022658024931e-07,2.0343265100359777e-06
185,2.1230932792655666e-07,2.0343265100359777e-06
186,2.1230932792655666e-07,2.0343265100359777e-06
187,2.1230932792655666e-07,2.0343265100359777e-06
188,2.1230932792655666e-07,2.0343265100359777e-06
189,2.1230932792655666e-07,2.0343265100359777e-06
190,2.536348574673255e-07,2.0000000000000003e-06
191,2.6433375892652467e-07,2.0000000000000003e-06
192,2e-07,2.0000000000000003e-06
193,2e-07,2.0000000000000003e-06
194,2.1004407424295806e-07,2.0000000000000003e-06
195,2.2971634743936415e-07,2.0122041298548934e-06
196,2.5251774762133585e-07,2.0000000000000003e-06
197,2.981059669440448e-07,2.0000000000000003e-06
198,3.01464208480394e-07,2.0000000000000003e-06
199,3.179642208838115e-07,2.0000000000000003e-06
200,3.179642208838115e-07,2.0000000000000003e-06
201,4.349603602765197e-07,2.0000000000000003e-06
202,4.788490524728641e-07,2.0000000000000003e-06
203,4.788490524728641e-07,2.0000000000000003e-06
204,4.788490524728641e-07,2.0000000000000003e-06
205,2.1149236918588783e-07,2.0000000000000003e-06
206,3.45170710829376e-07,2.0000000000000003e-06
207,3.083797665311344e-07,2.0000000000000003e-06
208,3.267752386802552e-07,2.0000000000000003e-06
209,3.6193944068988833e-07,2.0000000000000003e-06
210,2e-07,2.0000000000000003e-06
211,2e-07,2.0000000000000003e-06
212,2.3337373906776646e-07,2.0000000000000003e-06
213,2.543434259440311e-07,2.0000000000000003e-06
214,2.543434259440311e-07,2.0000000000000003e-06
215,2.543434259440311e-07,2.1682223244804997e-06
216,3.0775252090933526e-07,2.1682223244804997e-06
217,3.0775252090933526e-07,2.1682223244804997e-06
218,2.5247452122554727e-07,2.1027855102933184e-06
219,2.2672153591972382e-07,2.664547962354613e-06
220,2.534175284935826e-07,2.664547962354613e-06
221,2.534175284935826e-07,2.664547962354613e-06
222,2.611672268976662e-07,3.09481431393527e-06
223,2e-07,3.09481431393527e-06
224,2e-07,3.09481431393527e-06
225,2.0167971602349393e-07,3.5067562912740266e-06
226,2.0167971602349393e-07,3.5067562912740266e-06
227,2e-07,3.703834019495862e-06
228,2e-07,3.703834019495862e-06
229,2e-07,4.0506304328087895e-06
230,2e-07,2.5352094413129195e-06
231,2.042003019228891e-07,3.292919937060854e-06
232,2.108543843594255e-07,3.292919937060854e-06
233,2.108543843594255e-07,3.7116115831195697e-06
234,2.2705593842507888e-07,3.7116115831195697e-06
235,2.2705593842507888e-07,3.7116115831195697e-06
236,2.2705593842507888e-07,3.7922011224735087e-06
237,2e-07,3.5857193323757117e-06
238,2.0288510013543143e-07,3.688960227424611e-06
239,2.3579631326192255e-07,3.811305263801549e-06
240,3.599756085172082e-07,3.811305263801549e-06
241,2e-07,3.872600434045231e-06
242,2e-07,3.872600434045231e-06
243,2e-07,2.943324422953316e-06
244,2e-07,3.4079624284992737e-06
245,2.164497149905987e-07,3.4079624284992737e-06
246,2.741075835012638e-07,3.4079624284992737e-06
247,2.741075835012638e-07,3.4079624284992737e-06
248,2.9085450507879394e-07,2.0000000000000003e-06
249,2.9085450507879394e-07,2.5697584472545297e-06
250,2e-07,3.0457656841723045e-06
251,2.102394122608708e-07,3.0457656841723045e-06
252,2.2739269709187027e-07,3.0457656841723045e-06
253,2.3845308831254187e-07,3.1566391157309277e-06
254,2.6506476667440705e-07,3.2749167711733226e-06
255,2.6506476667440705e-07,3.805080652049061e-06
256,2e-07,3.87663580281906e-06
257,2e-07,4.1247595783363055e-06
258,2e-07,4.42466033343069e-06
259,2e-07,4.42466033343069e-06
260,2e-07,5.224178599693154e-06
261,2e-07,5.224178599693154e-06
262,2e-07,5.224178599693154e-06
263,2e-07,5.224178599693154e-06
264,2e-07,3.6921891028839806e-06
265,2e-07,4.458183851288566e-06
266,2e-07,4.458183851288566e-06
267,2e-07,3.527225857270987e-06
268,2e-07,3.9927048542797775e-06
269,2e-07,2.0000000000000003e-06
270,2e-07,2.341630687428263e-06
271,2e-07,2.341630687428263e-06
272,2e-07,2.3878439574731267e-06
273,2.198399257792812e-07,2.764034291513051e-06
274,2.198399257792812e-07,2.764034291513051e-06
275,2e-07,2.764034291513051e-06
276,2e-07,3.3758670150770457e-06
277,2e-07,3.3758670150770457e-06
278,2e-07,2.0000000000000003e-06
279,2e-07,2.0000000000000003e-06
280,2e-07,2.0000000000000003e-06
281,2e-07,2.1132385749993417e-06
282,2e-07,2.1132385749993417e-06
283,2.316329253715744e-07,2.1132385749993417e-06
284,2.316329253715744e-07,2.355883346553814e-06
285,2.316329253715744e-07,2.513923174377509e-06
286,2.316329253715744e-07,2.513923174377509e-06
287,2.9603371260902326e-07,2.0000000000000003e-06
288,2e-07,2.111591124469007e-06
289,2.836530373506076e-07,2.0000000000000003e-06
290,2.888963813154147e-07,2.0000000000000003e-06
291,2.888963813154147e-07,2.0000000000000003e-06
292,2.888963813154147e-07,2.0000000000000003e-06
293,2.888963813154147e-07,2.0000000000000003e-06
294,2e-07,2.0000000000000003e-06
295,2.1924689573118957e-07,2.0000000000000003e-06
296,2.1924689573118957e-07,2.0000000000000003e-06
297,2.319674301103133e-07,2.7591130372907527e-06
298,2.319674301103133e-07,2.873055880049895e-06
299,2.319674301103133e-07,2.873055880049895e-06
300,2.829303076024485e-07,3.4975729830838577e-06
