step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-actor/grad_norm_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-actor/grad_norm_step
1,0.032503992319107056,0.03429020941257477
2,0.02765820175409317,0.028320463374257088
3,0.029169071465730667,0.030083518475294113
4,0.029399974271655083,0.03168068826198578
5,0.032061245292425156,0.032886531203985214
6,0.031132958829402924,0.03235948830842972
7,0.03103507310152054,0.030542323365807533
8,0.03153377026319504,0.03424711897969246
9,0.033072929829359055,0.039599012583494186
10,0.031502027064561844,0.03975369408726692
11,0.03277575969696045,0.041846830397844315
12,0.029889769852161407,0.04534163326025009
13,0.0288856104016304,0.04282006621360779
14,0.03099031932651997,0.044880133122205734
15,0.031003573909401897,0.0438062846660614
16,0.031869076192379,0.054448626935482025
17,0.033109232783317566,0.051527880132198334
18,0.029954958707094193,0.0522829033434391
19,0.029590843245387077,0.04826592653989792
20,0.03190376237034798,0.04243235662579536
21,0.034969594329595566,0.05331601947546005
22,0.032278988510370255,0.04503106698393822
23,0.03024013713002205,0.04494200274348259
24,0.032416343688964844,0.04612288624048233
25,0.035480182617902756,0.04105756804347038
26,0.03324685990810394,0.051266882568597794
27,0.029742266982793808,0.04095657169818878
28,0.029800204560160637,0.04304999485611915
29,0.03298605978488922,0.04370476305484772
30,0.03060140833258629,0.04271575435996056
31,0.03413594141602516,0.04886041581630707
32,0.031891848891973495,0.04035000503063202
33,0.03288372606039047,0.04309092462062836
34,0.03211354464292526,0.04562380537390709
35,0.032556816935539246,0.04370078444480896
36,0.03457646071910858,0.04788612201809883
37,0.03171864151954651,0.04499806463718414
38,0.03344191238284111,0.04776427522301674
39,0.03330677002668381,0.045597270131111145
40,0.031477734446525574,0.0433637797832489
41,0.03457486629486084,0.04518723115324974
42,0.032510243356227875,0.043221622705459595
43,0.031080657616257668,0.04290133714675903
44,0.034000325947999954,0.04122626781463623
45,0.032108891755342484,0.04264986142516136
46,0.0358421765267849,0.0496012307703495
47,0.03448227420449257,0.04361551254987717
48,0.030575865879654884,0.04192517325282097
49,0.03237909451127052,0.04076199606060982
50,0.03259454667568207,0.04364241659641266
51,0.04010934755206108,0.051083434373140335
52,0.0349368155002594,0.04170173034071922
53,0.0338907316327095,0.043701186776161194
54,0.03694569692015648,0.04274498671293259
55,0.034330204129219055,0.04090481251478195
56,0.03617057576775551,0.04471608251333237
57,0.03595816716551781,0.047524064779281616
58,0.03169838711619377,0.03979023173451424
59,0.03306110203266144,0.040084511041641235
60,0.033012498170137405,0.04069117084145546
61,0.037589531391859055,0.045557040721178055
62,0.03666922450065613,0.04150994494557381
63,0.033977724611759186,0.041290707886219025
64,0.03594916686415672,0.041466426104307175
65,0.033668555319309235,0.04002496972680092
66,0.03987586498260498,0.044782355427742
67,0.033860184252262115,0.04272443801164627
68,0.03658568114042282,0.04304894804954529
69,0.03460642695426941,0.040547046810388565
70,0.034440163522958755,0.039490535855293274
71,0.03944428637623787,0.04726210981607437
72,0.036501795053482056,0.04023059085011482
73,0.03674234449863434,0.04236951842904091
74,0.03368857130408287,0.0411432571709156
75,0.03786885738372803,0.040265634655952454
76,0.04591764882206917,0.05082692950963974
77,0.035902440547943115,0.04234591871500015
78,0.036527249962091446,0.040460992604494095
79,0.03704836592078209,0.04218505322933197
80,0.040864575654268265,0.04452633112668991
81,0.042158059775829315,0.05220136418938637
82,0.03819761052727699,0.042752038687467575
83,0.03789874166250229,0.04090794548392296
84,0.038637928664684296,0.0434374175965786
85,0.03616535663604736,0.03928247466683388
86,0.04236569628119469,0.047806113958358765
87,0.03622225672006607,0.03956833481788635
88,0.03617384284734726,0.04417223483324051
89,0.036020711064338684,0.042145565152168274
90,0.03824033588171005,0.04106704518198967
91,0.04089364409446716,0.047856733202934265
92,0.036689989268779755,0.03664068505167961
93,0.03964502736926079,0.04154388979077339
94,0.0383480079472065,0.041036635637283325
95,0.04030945524573326,0.04555169865489006
96,0.04368322342634201,0.046786341816186905
97,0.03842409700155258,0.040674857795238495
98,0.03908712789416313,0.04045867919921875
99,0.0365912951529026,0.04165029525756836
100,0.03725847974419594,0.04142799973487854
101,0.04277538508176803,0.04578351974487305
102,0.038724374026060104,0.04149553552269936
103,0.03732040151953697,0.041239235550165176
104,0.040690548717975616,0.04427967965602875
105,0.04112594574689865,0.04487486928701401
106,0.04446680098772049,0.04565433785319328
107,0.03906913846731186,0.040561433881521225
108,0.039930809289216995,0.03931324928998947
109,0.03756770119071007,0.04074149206280708
110,0.03826843947172165,0.040652450174093246
111,0.04363730922341347,0.04672077298164368
112,0.0392475500702858,0.0422394797205925
113,0.03891701251268387,0.03947414085268974
114,0.04031280428171158,0.042021285742521286
