step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-actor/g_rms_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-actor/g_rms_step
1,7.710494404064105e-07,8.134215156278787e-07
2,6.560991488653026e-07,6.718090542185133e-07
3,6.919395217612087e-07,7.136317521948017e-07
4,6.97416994859733e-07,7.515193190414907e-07
5,7.605468260904459e-07,7.801239447354667e-07
6,7.38526263408977e-07,7.676216056258318e-07
7,7.362041941559423e-07,7.245153887885156e-07
8,7.480341165323285e-07,8.123993839974776e-07
9,7.84545613955381e-07,9.39355326081456e-07
10,7.472811290589213e-07,9.430245497142098e-07
11,7.77496194099919e-07,9.92677323729373e-07
12,7.090356886795082e-07,1.0755799412878285e-06
13,6.852153148419983e-07,1.0157641580525028e-06
14,7.351425831310937e-07,1.0646323406166344e-06
15,7.354570323660379e-07,1.0391588865689161e-06
16,7.559881428153224e-07,1.2916131791350909e-06
17,7.854067888931139e-07,1.222328097496102e-06
18,7.105820244012017e-07,1.2402385331494561e-06
19,7.019446242869277e-07,1.1449491226883044e-06
20,7.56811008342667e-07,1.0065670272956735e-06
21,8.295377125051169e-07,1.2647458125982779e-06
22,7.657119755586436e-07,1.0682128436430224e-06
23,7.173469981546464e-07,1.0661000350226938e-06
24,7.689702755685661e-07,1.0941124846729194e-06
25,8.416496556785209e-07,9.739547230019913e-07
26,7.886714963472216e-07,1.2161368285753502e-06
27,7.055366569832028e-07,9.715588492147972e-07
28,7.069110551923256e-07,1.0212184340564624e-06
29,7.82484932616724e-07,1.0367506339347205e-06
30,7.25917021070211e-07,1.0132897221903589e-06
31,8.097620182991484e-07,1.1590513641322894e-06
32,7.565283798626761e-07,9.571701174419645e-07
33,7.800574171298194e-07,1.0221893604057405e-06
34,7.617873829852324e-07,1.082273487420112e-06
35,7.723025099582649e-07,1.036656235793573e-06
36,8.202119310477812e-07,1.1359395253611112e-06
37,7.524196627587434e-07,1.0674298717232069e-06
38,7.932984826475178e-07,1.1330490872469858e-06
39,7.900927726364646e-07,1.0816440753660428e-06
40,7.467049157792731e-07,1.0286619593153342e-06
41,8.201740863429309e-07,1.0719173135954109e-06
42,7.711977598720086e-07,1.0252897625641649e-06
43,7.37285562352193e-07,1.0176919533562489e-06
44,8.065449722401054e-07,9.779564666227029e-07
45,7.616770299357593e-07,1.011726583966474e-06
46,8.502368816667155e-07,1.176624804783696e-06
47,8.179776150377839e-07,1.0346334950231959e-06
48,7.253110531653854e-07,9.945357740576424e-07
49,7.680866590940661e-07,9.669432617268353e-07
50,7.73197531912977e-07,1.0352716853603136e-06
51,9.514613301452143e-07,1.2117851606639294e-06
52,8.287601443361574e-07,9.892352918288582e-07
53,8.039452819925311e-07,1.0366657779700253e-06
54,8.764141843686449e-07,1.0139830585910982e-06
55,8.143702507952483e-07,9.703311125049952e-07
56,8.580270152084366e-07,1.0607407456286566e-06
57,8.529883271232236e-07,1.1273509792094657e-06
58,7.519391408030428e-07,9.438913498481195e-07
59,7.842650368431115e-07,9.508721200341231e-07
60,7.831120650896324e-07,9.652631620572934e-07
61,8.91686985466303e-07,1.08068979022008e-06
62,8.698558244899016e-07,9.846858382313924e-07
63,8.060088851184664e-07,9.794851791254208e-07
64,8.527748507917334e-07,9.836535078391856e-07
65,7.986748780705791e-07,9.494597763658214e-07
66,9.459226895673456e-07,1.0623129769250538e-06
67,8.03220641360687e-07,1.0134956837507465e-06
68,8.678739320298294e-07,1.021193574889834e-06
69,8.209228201570768e-07,9.618442956955332e-07
70,8.169786287835208e-07,9.367821156547029e-07
71,9.356848946007492e-07,1.12113694165318e-06
72,8.658841273731015e-07,9.543374010901575e-07
73,8.715903067686815e-07,1.0050763386455129e-06
74,7.99149708800483e-07,9.759874511545326e-07
75,8.983131330012867e-07,9.551686863363054e-07
