step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-actor/ratio_mean_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-actor/ratio_mean_step
1,0.9999963641166688,0.9999983310699464
2,1.000011324882507,0.9999947547912598
3,0.9999719858169556,0.9999898672103882
4,0.9999991059303284,1.0000056028366089
5,0.9999850392341614,1.0000061988830566
6,0.9999940395355223,0.999992311000824
7,0.999995231628418,1.0000077486038208
8,0.9999817609786988,0.9999932646751404
9,0.999998152256012,0.9999972581863404
10,0.9999939203262328,0.9999905824661256
11,0.9999853372573853,1.0000172853469849
12,0.9999772906303406,0.9999964833259584
13,0.999975323677063,0.999999701976776
14,0.9999805092811584,1.0000007152557373
15,1.000001311302185,1.0000215768814087
16,1.000001072883606,0.999998927116394
17,0.9999996423721312,0.9999895095825196
18,0.9999885559082032,0.9999626278877258
19,1.0000030994415283,1.000007152557373
20,0.999992311000824,0.9999656677246094
21,1.0000112056732178,1.0000202655792236
22,1.00001323223114,1.0000126361846924
23,1.000007390975952,1.0000077486038208
24,1.0000137090682983,1.0000121593475342
25,1.0000135898590088,1.0000087022781372
26,0.9999856352806092,0.9999860525131226
27,0.999994456768036,0.9999842643737792
28,1.0000015497207642,1.000024914741516
29,1.000023365020752,0.99999737739563
30,1.000006079673767,0.9999986886978148
31,1.0000033378601074,1.0000145435333252
32,0.9999915957450868,0.99998140335083
33,1.0000027418136597,0.9999923706054688
34,0.9999852180480956,1
35,1.0000054836273191,0.9999918937683104
36,1.0000191926956177,0.999985694885254
37,1.000009536743164,1.000009059906006
38,0.9999918937683104,0.9999954700469972
39,0.9999877214431764,0.9999841451644896
40,0.9999979734420776,0.9999853372573853
41,0.999992311000824,1.0000081062316897
42,1.0000145435333252,1.000016212463379
43,1.0000203847885132,1.0000160932540894
44,0.9999898672103882,0.9999932646751404
45,1.000023603439331,1.0000231266021729
46,0.9999868869781494,1.000006914138794
47,1.000005841255188,1.0000126361846924
48,1.000016212463379,1.0000039339065552
49,1.0000048875808716,1.000011324882507
50,1.0000241994857788,0.999977171421051
51,0.999985933303833,1.0000189542770386
52,1.0000053644180298,1.0000107288360596
53,1.0000061988830566,1.0000348091125488
54,1.0000035762786863,1.0000083446502686
55,1.0000004768371582,1.0000017881393433
56,0.9999889731407166,0.9999687671661376
57,0.9999953508377076,0.9999921917915344
58,0.9999912977218628,0.999975323677063
59,1.0000114440917969,0.999984622001648
60,0.999988853931427,1.0000118017196655
61,1.0000009536743164,0.9999845623970032
62,0.999989092350006,0.9999937415122986
63,0.9999881386756896,1.0000152587890625
64,1.0000108480453491,0.9999918937683104
65,1.0000040531158447,1.0000009536743164
66,0.99999737739563,0.9999933242797852
67,1.0000065565109253,1.0000203847885132
68,1.0000027418136597,1.0000063180923462
69,0.9999939799308776,0.9999954700469972
70,0.9999966621398926,1.0000394582748413
71,0.999994158744812,0.999996304512024
72,0.999999701976776,0.999950647354126
73,1.0000091791152954,1.0000150203704834
74,0.9999955296516418,0.9999827146530152
75,1.000010967254639,1.0000104904174805
76,1.0000102519989014,1.000017762184143
77,0.99998539686203,0.9999769926071168
78,1.000010967254639,1.000020146369934
79,1.0000083446502686,1.0000108480453491
80,0.9999943971633912,0.999990701675415
81,1.0000191926956177,1.000020146369934
82,1.0000088214874268,0.9999985694885254
83,0.9999779462814332,1.0000104904174805
84,1.0000017881393433,1.0000027418136597
85,0.9999959468841552,1.0000380277633667
86,0.9999898672103882,1.0000182390213013
87,1.0000041723251345,0.9999997615814208
88,1.0000053644180298,1.0000174045562744
89,0.9999994039535522,0.9999899864196776
90,1.0000114440917969,1.0000258684158323
91,0.9999951124191284,1.0000169277191162
92,0.999974489212036,0.9999969005584716
93,0.9999971389770508,1.000014066696167
94,0.9999779462814332,0.9999839067459106
95,0.9999909996986388,1
96,1.0000063180923462,1.0000145435333252
97,1.000006914138794,0.999962031841278
98,1.0000078678131104,0.99999338388443
99,1.000001311302185,1.000031352043152
100,0.9999752640724182,0.9999991059303284
101,1.0000014305114746,1.0000139474868774
102,0.9999991655349731,0.999968647956848
103,1.0000123977661133,0.999975562095642
104,1.000014066696167,0.999994695186615
105,1.0000075101852417,1.0000193119049072
106,0.999998927116394,0.9999982714653016
107,1.0000176429748535,0.9999793171882628
108,1.0000213384628296,0.9999581575393676
109,1.0000081062316897,1.0000205039978027
110,0.9999783039093018,0.9999898076057434
111,1.000022292137146,1.0000150203704834
112,1.0000016689300537,1.0000029802322388
113,0.99998939037323,0.9999589323997498
114,0.999995768070221,0.9999923706054688
115,1.0000075101852417,1.00002121925354
116,0.9999966621398926,0.9999961256980896
117,0.9999989867210388,0.9999942183494568
118,1.0000035762786863,0.9999867081642152
119,1.0000038146972656,0.9999759793281556
120,0.9999744296073914,0.9999694228172302
121,0.9999982714653016,1.000011920928955
122,0.9999960660934448,0.9999778270721436
123,1.0000152587890625,0.9999921917915344
124,1.0000137090682983,1.00001859664917
125,0.9999895095825196,1.0000067949295044
126,1.000013828277588,0.9999890327453612
127,0.999993085861206,1.0000128746032717
128,1.0000040531158447,0.9999898076057434
129,1.0000063180923462,1.0000101327896118
130,0.9999959468841552,1.0000298023223877
131,0.9999778270721436,0.9999943971633912
132,0.9999898672103882,1.0000187158584597
133,0.9999997615814208,0.999978482723236
134,0.9999825954437256,1.0000245571136477
135,1.000002384185791,0.9999843835830688
136,1.0000041723251345,0.9999815821647644
137,1.0000115633010864,0.9999816417694092
138,1.0000172853469849,0.9999837875366212
139,0.9999977350234984,0.9999763369560242
140,1.000013828277588,0.9999907612800598
141,0.9999837875366212,1.0000252723693848
142,1.000011324882507,1.0000289678573608
143,0.9999984502792358,1.000007390975952
144,0.9999935030937196,0.9999707341194152
145,1.000005125999451,0.9999746680259703
146,1.0000039339065552,0.9999950528144836
147,1.0000098943710327,1.000049352645874
148,1.000006914138794,0.9999743700027466
149,1.0000169277191162,0.9999890327453612
150,0.999989092350006,0.9999954700469972
151,1.000011682510376,1.0000120401382446
152,0.999991238117218,0.9999831914901732
153,0.9999995231628418,0.9999786019325256
154,0.9999868273735046,1.0000097751617432
155,1.000002384185791,1.0000063180923462
156,0.9999858736991882,1.00003182888031
157,0.9999948143959044,0.999983549118042
158,0.999995231628418,0.9999869465827942
159,0.9999953508377076,0.9999745488166808
160,1.0000197887420654,1.0000011920928955
161,0.9999895691871644,1.0000027418136597
162,1.0000120401382446,0.999987542629242
163,0.9999918937683104,1.0000481605529783
164,1.000003457069397,0.9999541640281676
165,1.0000079870224,1.0000042915344238
166,1.0000348091125488,1.0000035762786863
167,0.99997740983963,0.9999714493751526
168,1.0000075101852417,1.0000004768371582
169,0.99999737739563,0.999987542629242
170,0.9999896287918092,0.999983847141266
171,0.9999894499778748,1.0000205039978027
172,0.999999225139618,0.999994933605194
173,1.0000181198120115,0.9999918937683104
174,1.0000290870666504,1.0000402927398682
175,0.9999849796295166,1.0000097751617432
176,0.9999887347221376,1.0000133514404297
177,0.9999924898147584,0.9999898672103882
178,0.9999929666519164,0.9999936819076538
179,0.9999874234199524,1.000013828277588
180,1.000026822090149,1.000012755393982
181,1.0000059604644775,0.9999961256980896
182,1.000017523765564,1.0000015497207642
183,0.9999906420707704,0.9999986290931702
184,0.999992847442627,0.9999893307685852
185,1.0000038146972656,0.999998152256012
186,1.0000383853912354,1.000008225440979
187,1.0000007152557373,0.9999985098838806
188,0.999972939491272,0.999996781349182
189,0.9999855756759644,1.0000070333480835
190,1.000011682510376,0.9999713897705078
191,1.000008463859558,1.0000159740447998
192,1.000002145767212,0.99999737739563
193,1.0000114440917969,0.9999871850013732
194,0.9999977350234984,1.0000005960464478
195,0.9999679327011108,1.000017762184143
196,1.0000265836715698,1.0000149011611938
197,1.0000020265579224,0.9999530911445618
198,1.0000004768371582,0.9999821782112122
199,0.9999921321868896,0.9999966621398926
200,0.999993860721588,1.0000560283660889
201,1.000011920928955,0.999994158744812
202,1.000005841255188,0.9999943971633912
203,1.0000001192092896,0.9999706745147704
204,1.0000029802322388,0.9999709725379944
205,0.999979853630066,1.000004529953003
206,1.0000293254852295,1.0000159740447998
207,0.9999804496765136,0.9999900460243224
208,0.9999894499778748,1.0000054836273191
209,1.0000213384628296,0.9999887347221376
210,0.999987244606018,1.000007152557373
211,0.9999873638153076,0.9999873638153076
212,0.9999943375587464,1.000013828277588
213,1.0000214576721191,1.0000066757202148
214,0.9999828934669496,0.9999783635139464
215,0.9999893307685852,0.999998152256012
216,1.0000065565109253,0.9999815225601196
217,0.999989688396454,0.9999550580978394
218,0.9999847412109376,1.0000065565109253
219,1.0000008344650269,1.0000325441360474
220,0.999982476234436,0.9999775290489196
221,1.0000135898590088,1.000002145767212
222,0.9999911189079284,1.0000015497207642
223,1.0000180006027222,0.9999968409538268
224,1.000006079673767,0.9999962449073792
225,0.999994695186615,0.9999855160713196
226,0.99998939037323,1.0000141859054563
227,0.9999788403511048,1.0000077486038208
228,1.000006914138794,0.9999657273292542
229,0.9999960660934448,0.9999889135360718
230,0.9999905228614808,0.9999929666519164
231,1.0000029802322388,1.0000048875808716
232,0.9999950528144836,0.9999929666519164
233,1.0000158548355105,1.0000402927398682
234,1.0000170469284058,1.0000183582305908
235,1.000007152557373,1.0000044107437134
236,0.9999995231628418,0.9999799728393556
237,1.0000170469284058,0.9999887943267822
238,1.0000165700912476,0.9999942779541016
239,0.9999791383743286,0.9999956488609314
240,0.999990701675415,1.0000211000442505
241,0.9999968409538268,1.0000321865081787
242,0.9999919533729552,0.9999933242797852
243,1.0000147819519043,0.9999955296516418
244,0.9999950528144836,1.0000195503234863
245,1.0000134706497192,0.9999871850013732
246,1.0000041723251345,0.9999947547912598
247,1.000002145767212,1.000020980834961
248,1.0000022649765017,1.0000128746032717
249,1.000025749206543,1.0000193119049072
250,0.9999722242355348,0.999994695186615
251,1.0000003576278689,1.0000014305114746
252,1.0000003576278689,1.0000299215316772
253,1.0000001192092896,1.0000348091125488
254,1.0000085830688477,1.0000038146972656
255,1.0000020265579224,0.9999840259552002
256,0.9999822974205016,1.0000053644180298
257,0.9999747276306152,0.9999775290489196
258,0.9999980926513672,1.000007390975952
259,1.000000238418579,1.000005841255188
260,1.0000035762786863,1.0000232458114624
261,1.000023603439331,0.999976634979248
262,0.9999979734420776,0.9999956488609314
263,0.9999744296073914,1.0000182390213013
264,0.9999939799308776,1.000005125999451
265,1.0000085830688477,1.0000110864639282
266,0.9999874830245972,1.000025749206543
267,1.0000008344650269,1.0000097751617432
268,0.9999781250953674,0.9999849796295166
269,1.00000262260437,0.9999807476997375
270,1.0000464916229248,0.9999841451644896
271,1.0000009536743164,1.0000098943710327
272,1.0000065565109253,1.000007390975952
273,1.0000215768814087,1.000009536743164
274,1.0000022649765017,1.0000017881393433
275,0.9999940991401672,1.0000075101852417
276,1.0000003576278689,1.000014305114746
277,1.0000097751617432,1.0000275373458862
278,1.0000195503234863,0.9999794363975524
279,1.00001323223114,0.9999695420265198
280,1.0000042915344238,0.9999806880950928
281,1.0000027418136597,1.0000333786010742
282,1.0000041723251345,0.9999910593032836
