step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-actor/c_t_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-actor/c_t_step
1,1e-06,1e-05
2,1e-06,1e-05
3,1e-06,1e-05
4,1e-06,1e-05
5,1e-06,1e-05
6,1e-06,1e-05
7,1e-06,1e-05
8,1e-06,1e-05
9,1e-06,1e-05
10,1e-06,1e-05
11,1e-06,1e-05
12,2e-05,0.0002
13,2e-05,0.0002
14,2e-05,0.0002
15,2e-05,0.0002
16,2e-05,0.0002
17,2e-05,0.0002
18,2e-05,0.0002
19,2e-05,0.0002
20,2e-05,0.0002
21,2e-05,0.0002
22,2e-05,0.0002
23,2e-05,0.0002
24,2e-05,0.0002
25,2e-05,0.0002
26,2e-05,0.0002
27,2e-05,0.0002
28,2e-05,0.0002
29,2e-05,0.0002
30,2e-05,0.0002
31,2e-05,0.0002
32,2e-05,0.0002
33,2e-05,0.0002
34,2e-05,0.0002
35,2e-05,0.0002
36,2e-05,0.0002
37,2e-05,0.0002
38,2e-05,0.0002
39,2e-05,0.0002
40,2e-05,0.0002
41,2e-05,0.0002
42,2e-05,0.0002
43,2e-05,0.0002
44,2e-05,0.0002
45,2e-05,0.0002
46,2e-05,0.0002
47,2e-05,0.0002
48,2e-05,0.0002
49,2e-05,0.0002
50,2e-05,0.0002
51,2e-05,0.0002
52,2e-05,0.0002
53,2e-05,0.0002
54,2e-05,0.0002
55,2e-05,0.0002
56,2e-05,0.0002
57,2e-05,0.0002
58,2e-05,0.0002
59,2e-05,0.0002
60,2e-05,0.0002
61,2e-05,0.0002
62,2e-05,0.0002
63,2e-05,0.0002
64,2e-05,0.0002
65,2e-05,0.0002
66,2e-05,0.0002
67,2e-05,0.0002
68,2e-05,0.0002
69,2e-05,0.0002
70,2e-05,0.0002
71,2e-05,0.0002
72,2e-05,0.0002
73,2e-05,0.0002
74,2e-05,0.0002
75,2e-05,0.0002
76,2e-05,0.0002
77,2e-05,0.0002
78,2e-05,0.0002
79,2e-05,0.0002
80,2e-05,0.0002
81,2e-05,0.0002
82,2e-05,0.0002
83,2e-05,0.0002
84,2e-05,0.0002
85,2e-05,0.0002
86,2e-05,0.0002
87,2e-05,0.0002
88,2e-05,0.0002
89,2e-05,0.0002
90,2e-05,0.0002
91,2e-05,0.0002
92,2e-05,0.0002
93,2e-05,0.0002
94,2e-05,0.0002
95,2e-05,0.0002
96,2e-05,0.0002
97,2e-05,0.0002
98,2e-05,0.0002
99,2e-05,0.0002
100,2e-05,0.0002
101,2e-05,0.0002
102,2e-05,0.0002
103,2e-05,0.0002
104,2e-05,0.0002
105,2e-05,0.0002
106,2e-05,0.0002
107,2e-05,0.0002
108,2e-05,0.0002
109,2e-05,0.0002
110,2e-05,0.0002
111,2e-05,0.0002
112,2e-05,0.0002
113,2e-05,0.0002
114,2e-05,0.0002
115,2e-05,0.0002
116,2e-05,0.0002
117,2e-05,0.0002
118,2e-05,0.0002
119,2e-05,0.0002
120,2e-05,0.0002
121,2e-05,0.0002
122,2e-05,0.0002
123,2e-05,0.0002
124,2e-05,0.0002
125,2e-05,0.0002
126,2e-05,0.0002
127,2e-05,0.0002
128,2e-05,0.0002
129,2e-05,0.0002
130,2e-05,0.0002
131,2e-05,0.0002
132,2e-05,0.0002
133,2e-05,0.0002
134,2e-05,0.0002
135,2e-05,0.0002
136,2e-05,0.0002
137,2e-05,0.0002
138,2e-05,0.0002
139,2e-05,0.0002
140,2e-05,0.0002
141,2e-05,0.0002
142,2e-05,0.0002
143,2e-05,0.0002
144,2e-05,0.0002
145,2e-05,0.0002
146,2e-05,0.0002
147,2e-05,0.0002
148,2e-05,0.0002
149,2e-05,0.0002
150,2e-05,0.0002
151,2e-05,0.0002
152,2e-05,0.0002
153,2e-05,0.0002
154,2e-05,0.0002
155,2e-05,0.0002
156,2e-05,0.0002
157,2e-05,0.0002
158,2e-05,0.0002
159,2e-05,0.0002
160,2e-05,0.0002
161,2e-05,0.0002
162,2e-05,0.0002
163,2e-05,0.0002
164,2e-05,0.0002
165,2e-05,0.0002
166,2e-05,0.0002
167,2e-05,0.0002
168,2e-05,0.0002
169,2e-05,0.0002
170,2e-05,0.0002
171,2e-05,0.0002
172,2e-05,0.0002
173,2e-05,0.0002
174,2e-05,0.0002
175,2e-05,0.0002
176,2e-05,0.0002
177,2e-05,0.0002
178,2e-05,0.0002
179,2e-05,0.0002
180,2e-05,0.0002
181,2e-05,0.0002
182,2e-05,0.0002
183,2e-05,0.0002
184,2e-05,0.0002
185,2e-05,0.0002
186,2e-05,0.0002
187,2e-05,0.0002
188,2e-05,0.0002
189,2e-05,0.0002
190,2e-05,0.0002
191,2e-05,0.0002
192,2e-05,0.0002
193,2e-05,0.0002
194,2e-05,0.0002
195,2e-05,0.0002
196,2e-05,0.0002
197,2e-05,0.0002
198,2e-05,0.0002
199,2e-05,0.0002
200,2e-05,0.0002
201,2e-05,0.0002
202,2e-05,0.0002
203,2e-05,0.0002
204,2e-05,0.0002
205,2e-05,0.0002
206,2e-05,0.0002
207,2e-05,0.0002
208,2e-05,0.0002
209,2e-05,0.0002
210,2e-05,0.0002
211,2e-05,0.0002
212,2e-05,0.0002
213,2e-05,0.0002
214,2e-05,0.0002
215,2e-05,0.0002
216,2e-05,0.0002
217,2e-05,0.0002
218,2e-05,0.0002
219,2e-05,0.0002
220,2e-05,0.0002
221,2e-05,0.0002
222,2e-05,0.0002
223,2e-05,0.0002
224,2e-05,0.0002
225,2e-05,0.0002
226,2e-05,0.0002
227,2e-05,0.0002
228,2e-05,0.0002
229,2e-05,0.0002
230,2e-05,0.0002
231,2e-05,0.0002
232,2e-05,0.0002
233,2e-05,0.0002
234,2e-05,0.0002
235,2e-05,0.0002
236,2e-05,0.0002
237,2e-05,0.0002
238,2e-05,0.0002
239,2e-05,0.0002
240,2e-05,0.0002
241,2e-05,0.0002
242,2e-05,0.0002
243,2e-05,0.0002
