step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-actor/g_norm_A1_sq_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-actor/g_norm_A1_sq_step
1,0.003538949319562748,0.003949645187376326
2,0.0014762640462241336,0.0014464659946313075
3,0.0014981197987264225,0.0016759397833585586
4,0.0015947969670827246,0.002037138841846816
5,0.0020965155789747112,0.0019300390255188424
6,0.0030207900225259843,0.003268931968814861
7,0.0020517743376399895,0.0018242796476563743
8,0.0017347165304898182,0.0019919914227861497
9,0.002237107275171642,0.003672404681885396
10,0.0020782443226108355,0.0030500369180730346
11,0.003607204592761824,0.005009001235975908
12,0.0020243633003985467,0.005116051731710048
13,0.0015950387718943798,0.0033658900569974648
14,0.002120770254820654,0.004399252164498995
15,0.0016700481449306653,0.003977841767438476
16,0.003334457072410893,0.008258545188124623
17,0.002125381755885174,0.004862699051052946
18,0.0016417420414090607,0.005671050414078199
19,0.0018685738671252007,0.004774801725162793
20,0.0020448664424295025,0.0033986756949342728
21,0.003974756829673107,0.007596680341961842
22,0.0018873811041794251,0.0035381050590608957
23,0.0019544913927164215,0.004113080428232077
24,0.0019538808397094425,0.0040685033068270475
25,0.002292213316711118,0.00315068057293127
26,0.003285356306110385,0.0066860922129652195
27,0.0016808504258979935,0.003272904529428004
28,0.001837208926447346,0.0033874044214543923
29,0.0022834336669488326,0.003697051004453781
30,0.0019903862113091076,0.003693216060067874
31,0.003885121982717051,0.006743174648146988
32,0.0016289110223417585,0.002876756753813641
33,0.0020349881976856133,0.003232657677177501
34,0.0018484542806472097,0.004737250893358962
35,0.0020289677539142184,0.004220946870742414
36,0.003699995539275609,0.005839312231179554
37,0.002054812146835481,0.003938275892879328
38,0.002749594700575501,0.003921871481921533
39,0.0022260851430928267,0.003610623204466964
40,0.0019943296433618373,0.003532847497374276
41,0.004004966759165926,0.005198513458439414
42,0.002124548424101683,0.003439314355936123
43,0.001858572308463939,0.0034907274540431727
44,0.0021427764019251285,0.003184775503531511
45,0.001981116810595495,0.003945600990690186
46,0.0037328786466720673,0.006248021329051551
47,0.002208183248401315,0.0035665872838518153
48,0.0019849034380892074,0.003620763409477931
49,0.0018263419982828748,0.00322904807497115
50,0.0018846518957502504,0.003919421425176841
51,0.005083550524646666,0.007062309597607496
52,0.002310312246574727,0.003799324536154259
53,0.002289117210635176,0.004029139081326604
54,0.002282695038485833,0.003754077502436112
55,0.0018907090660171544,0.003536486087674353
56,0.00449498552331321,0.005164422114478163
57,0.0027368656843779135,0.005000644583281615
58,0.0020573658650451855,0.0026447092485570502
59,0.002171262667901818,0.0033116829286412575
60,0.0023154730276534773,0.003894377305687723
61,0.004305448963423045,0.005427840789937543
62,0.0024869860836092086,0.003870195112204292
63,0.0025745795094578665,0.00372069177157752
64,0.002611269679233584,0.003376107371728688
65,0.002306069226275755,0.00324035381911331
66,0.0044708647858876524,0.004561606909907016
67,0.00213386081727936,0.0035785823148293755
68,0.002996563567680214,0.003952181878507354
69,0.002205646143514966,0.0028835944352048025
70,0.0022393824256139155,0.0030371491790566253
71,0.0044476655222007045,0.005586457448014025
72,0.0022365493901058604,0.003466408714355368
73,0.0026402126276329537,0.003497854313498497
74,0.0020929815061471635,0.0033261118933847872
75,0.0026290561408827415,0.00334117399699209
76,0.0059044623246512894,0.006646582801105345
77,0.0025600085667977033,0.0033233760889252893
78,0.002900171652027288,0.0029441161171297166
79,0.002605352807373798,0.003633271979417939
80,0.0031520617685214937,0.004140181929884274
81,0.005474601525375678,0.007657980663312657
82,0.0030051051712319944,0.003665214414957072
83,0.003177471834510329,0.003372069205005503
84,0.0029443384197693073,0.003502934550901937
85,0.0025867957679404016,0.003238405893153112
86,0.005000669230602901,0.006163206104577415
87,0.0027480700643031197,0.0036094254095386134
88,0.0026417624254667423,0.004400192630665833
89,0.0025859438246350567,0.003552140073414653
90,0.003182785465592215,0.003381926323696034
91,0.005067548710736078,0.006088970207294473
92,0.002414286562995484,0.0025244529237452946
93,0.00318866749772269,0.003824954993378184
94,0.002661559753398111,0.0035127166781716824
95,0.0029328105751555015,0.003895111325693316
96,0.005575175611106594,0.005682786683747089
97,0.0031592979171557417,0.0030869359607131196
98,0.0029170411342695412,0.003244826762227805
99,0.002658837999374511,0.0033056409466365295
100,0.002535001492070586,0.0031971835433250075
101,0.0051586443284212,0.0048674315430459174
102,0.003397571163710098,0.0034753990342860424
103,0.002718709382561752,0.0033426638706476153
104,0.003531500553114571,0.0032607956602159283
105,0.003473113267345285,0.003738946300583848
106,0.005699382603445448,0.005548693607174126
107,0.003121553748740964,0.003354755448430165
108,0.003368073882706119,0.003199356176768077
109,0.002702933006791112,0.003390461920457702
110,0.0027240500126791186,0.0032007387694615507
111,0.004949914073666614,0.0056755114599868605
112,0.00324221029214798,0.003548303486875927
113,0.0030215062538855295,0.0029785751687161676
114,0.003763579613433746,0.003285827986919697
115,0.003518474371932949,0.0031682043930208563
116,0.005056564520097969,0.004107065869770444
117,0.0029942070756989723,0.003105979384495735
118,0.0032004809912524806,0.003513993637396548
119,0.0028170265193706344,0.004011655450103372
120,0.003210659122469577,0.0034843915587854666
121,0.0056514569208585,0.005442537239891921
122,0.0031779149784775594,0.0029826926705219534
123,0.0029303236552817684,0.0032240445918111267
124,0.003296103468783171,0.002835975469021622
125,0.0030370174721875863,0.0036420365923336166
126,0.005413559218049297,0.006349093242950443
127,0.003892384442153548,0.003319270252471773
128,0.003789402137565089,0.003192447094176788
129,0.0030897039233760367,0.003582183747964586
130,0.002743823139965822,0.0027938380811524644
131,0.005579665793799505,0.0054953404516165415
132,0.003077167795134743,0.0036016561412315832
