step,deepseek1.5b_sync_8gpu_lr3e-6-rollout_corr/kl_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-rollout_corr/kl_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-rollout_corr/kl_step,deepseek1.5b_sync_8gpu_lr5e-6-rollout_corr/kl_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-rollout_corr/kl_step,deepseek1.5b_sync_lr1e-5-rollout_corr/kl_step,deepseek1.5b_sync_lr1e-6-rollout_corr/kl_step
1,0.0004266364154392669,0.00044780086636158793,0.0004393748868607688,0.00043913611727309696,,0.0004420763763932072,0.0004426116479726067
2,0.0004577298101731517,0.0004277489573873392,0.0004446439768194218,0.0004463936061601511,0.0004693695680757528,0.0004348817847291552,0.00043349302603943343
3,0.0004222684354988675,0.00043963515914223895,0.0004755038175659678,,,0.0004474345720781672,0.00044025049810924287
4,0.00045353376711272577,0.0004584963065985648,0.0004724862852662038,0.0004376743477113688,0.0006147932351315906,0.0004913359870988908,0.0004457674263070903
5,0.0004397388277938182,0.0004750755599595444,0.0005029260567022131,0.0004491907844513988,,0.000557540269112522,0.000465035201307828
6,,0.00045613758982368394,,0.0004783162447482801,,0.0004893277714685951,0.00045626246383802835
7,0.0004646155962481242,0.0004733619835401252,0.0005762529219178747,0.00047213168207607936,0.0010453396574406685,0.0005802252149740283,0.00043843141721965
8,0.0004846063978922047,,,0.0004911365318424475,0.000797019855014014,0.0004921279325955652,0.0004408160160158552
9,0.000493148471073337,0.0005401359330296569,,0.0005463045776947314,0.0009899215960913084,0.0005384971641632818,0.00045557843904493034
10,,,0.0005885654323571592,,0.0006788114497540262,0.0005527174195995498,0.0004319385473123231
11,0.00047543835812801624,0.0006537593357926688,0.000605086216689088,,,0.0006716642337948997,0.00044518444070749263
12,0.00051930308902075,0.0006586331657658591,,0.0005940529341012449,0.0010049020233798894,0.0005669560333132566,0.00044696472620760414
13,,0.0006372641038273889,,,,0.0006303387818499468,0.0004349673617639382
14,0.0004298976474691093,0.0006485396069341018,0.0006031214723007084,0.0004520133705417277,0.0010004928591923895,0.0005495198978320559,0.0004592120235372477
15,0.00043224961631502023,0.0005840558278160134,0.000646016109640163,0.00048716845302326165,0.00345253434841923,0.000597514173181401,0.0004540117697110367
16,0.0004869433400304027,,,,,0.0006408999850887911,0.0004605400639456101
17,0.0003954907875656101,0.000559376673899159,0.0005322524738123193,0.0004745310547664501,,0.0006365285100493813,0.0004486013749077469
18,0.0004172536154571232,0.0005297120045606452,0.0005232050716071648,0.00040854412789721143,,0.0005642450464831707,0.0004287239683625255
19,0.00041260623648575745,0.0005232848932001326,0.0006018511890564913,,0.008043206763346689,0.0005844821839003897,0.0004482251815315334
20,,0.0005100515016462186,0.0005851883919756435,0.0004394719963856502,0.0030838586811884083,0.000543462944020708,0.0004457786395658116
21,0.0004272194918432486,0.0005305272820673205,0.0005804731494906835,0.0004456311666116461,0.010098908478799526,0.0005357261822814237,0.00045177366737090906
22,,0.0004806048584824904,0.0004902492810084042,0.0004314921219230965,0.0039131361403493565,0.0006740402777293128,0.000439816296627831
23,,0.0005170016050457097,0.0005644381722785142,0.00045429770344303694,0.01055836037602813,0.0005739897174715287,0.00046298306676665864
24,0.00038615233324321705,0.0004731155550501372,0.0005796843022650185,0.00047103796972311,0.004150187361422771,0.0005227420800899552,0.0004502871518523577
25,0.00042764735553717513,0.0005025571660352999,0.0005684070058119773,,0.005435826359854008,0.0004596983755710938,0.00044852774411627695
26,0.0004371240330900299,0.00047565223691247506,0.0005161279957210496,,0.003981572135391896,0.0005372981958253411,0.00041742817185339465
27,0.0004285929523511811,0.0004935767239584739,,,,0.0004916364907261016,0.0004435590163577022
28,0.00043419053521157974,,0.0005674554293158862,0.0004382788411126177,0.002423878227394501,0.0004800199801900063,0.0004287994260650617
29,0.0004069833121288216,0.00048626156027708177,0.0005991792736524889,0.00040601917112887147,0.0027266357590079956,0.0005610944964463806,0.00042762172056234985
30,0.00038889963074086454,0.0004992341540558593,0.0005232366642330458,,0.0021574255316173315,0.0005477642672501229,0.0004146517216454435
31,,,0.0006381763651561192,0.0003899499379983988,0.0022962058428674936,0.000623089366133911,0.0004237443103498606
32,0.0004033465777508738,0.0005259620710628749,0.0005835716288339099,0.0004160270366078405,0.002420921237596,0.0005865896147486724,0.0004271783236169391
33,0.0004410218810431133,0.0005449724347046552,0.0006613353726891092,0.00038451866677597106,0.002501944758114405,0.0005732623057760642,0.000414878325245005
34,0.0004315505703132771,0.0004820398761475203,0.0005501903894270299,0.0004063737891429827,,0.0005268263326602538,0.0004404291549216547
35,,,0.0005156320925884472,0.0003904501417976217,0.0020136344350508545,0.0005411254573085731,0.0004175273946468419
36,0.0004331757560009919,0.000516056944189033,0.0004992092779671998,,,0.0005254492190655993,0.0004414957908277186
37,0.0004046737682088519,0.00046450229786295435,0.0005475390946849913,0.0004249646038838244,,0.0006547699822386963,0.0004200072131488661
38,0.0004105674146311047,0.0004620637236314451,0.0005392010328873049,0.0004270784231058803,0.0021590364345077735,0.0005351133670854791,0.0004166888057535691
39,0.0004020136296257105,0.00048317889428517447,0.0004864205156394518,0.00042970498986723743,0.0020333894589666984,0.0004957932251149266,0.0004121513795109049
40,0.0003773885630147187,0.0004819973975763826,0.0004982976801908005,,,0.000468647479980693,0.00039255138888506737
41,0.00041288410763566473,0.0004833824009299225,0.0006284010054198319,0.0004263793352299936,,0.000537761222155436,0.0004501853459029427
42,0.0004510395395713155,0.0005176593727153684,0.0005083298881561946,0.0004266976323621174,0.0020934488298065077,0.000547777663758184,0.0004211123313600987
43,0.0004056349772300548,0.0004872216262686408,,0.0004073396559308982,0.002180668837498065,0.00046219314700936465,0.0003806877876277016
44,0.00045186701142831966,0.0005332807812917139,0.0005165591748888822,0.0004121346537025212,0.002263738650733351,0.0005956850690592626,0.00040812191839705166
45,0.0004197652440359989,0.0004760381755578242,0.0004970049260573353,0.0005080896115736601,0.002143447041817126,0.0004577995638105076,0.0003870383010057505
46,0.00040197955145899686,0.0005177876630227729,0.0005342971219137315,0.0004940866355049487,0.002122018092450162,0.000623386009754275,0.0004008253740987633
47,0.0004062767977735091,0.000512907911721709,,0.0004926186661088192,,0.0005380672665128692,0.00037718773174456936
48,0.00038415173406838627,0.0005196253044143109,0.0005255094220283733,0.0004173965239175459,0.002040878699565502,0.0005009620983775992,0.0004131071026603668
49,0.0004323687069417378,0.00046828232772930906,0.000436462231615478,,0.002202729923263415,0.0005090671656017234,0.0003785270526167472
50,0.0004066925674265523,0.0005180435640514958,0.0005585371171529611,0.0003995767328212202,0.002299367426135375,0.0005870580133660042,0.0004153701852114076
51,0.0004310305140941345,0.0004262804866097157,0.0004919606951276023,0.0004321735697921643,0.0024367449867505847,0.0005736400521541895,0.00036681140679617225
52,0.00037537671548716986,0.00047572306815197863,0.0005809639748836395,0.0004126785586135527,0.002400122446401621,0.00044236105581383354,0.00034839867367043485
53,0.0003983709380220047,0.0004551418140584573,0.0004986990879304262,0.000432884464390183,0.0024580192209965467,0.0005004891802526361,0.0003915260726918229
54,0.00040698161233638353,0.0004871357114305882,0.00046624997229861,0.0003930207992652868,0.002069796094684324,0.0004963847487813734,0.000411781852188274
55,0.00044097593955045184,0.0005209941228299585,0.0004786003738021042,0.0004196157783374139,0.002337017447224263,0.0005858460778175153,0.0004030533643886073
56,0.0004075514346103167,0.0004860745923693344,0.0004946649717777935,0.0004606543960673475,0.001952769292074663,0.0005259054969022665,0.0004066509385561782
57,0.0004228382873499844,0.0004604216474570415,0.0004959869153635198,0.0005155788829589213,0.002193240014513811,0.0005519665272415973,0.000382187376898887
58,0.00038196360741592016,0.0004624726085155761,0.0005584201773584399,0.00046833745798429457,0.00240644715035032,0.0005013897763313304,0.0003965424510637632
59,0.0003569965421511715,0.0004915514186535575,0.0005239500614019713,0.0004784469357263431,0.0032758749439381063,0.0005853155841791466,0.0003686605567001222
60,0.0004183199230100497,0.000517019789261008,0.00047727310511245233,0.0004379525312074861,,0.0005301262851595823,0.0004285728631776564
61,0.0003950821665354753,0.0005386805396573514,0.0005420678679787339,0.0004803454576102153,0.0022378663750989188,0.0006531903920747679,0.00040081492031731616
62,0.0004448174880972526,0.0005102088521721869,0.000539457335599991,0.00041690857491589057,0.0021552416026303224,0.0005057262125680902,0.0003960109237490794
63,0.00042233137734857146,0.0004796087774296281,0.0005454556167148617,0.0005173348236411357,0.0021789012291641295,0.0005265665869958722,0.0003804710695046832
64,0.00039322433586461456,0.0004927747264628722,0.0005480810900254395,0.00048306363579717624,0.0021971177125773727,0.0005918012804540597,0.0004020799790680485
65,0.0004459430642567453,0.0004541179776685947,0.0005184942403589991,0.000454215399553196,0.00194202728568504,0.00047486458149137434,0.00039310391130291985
66,0.0003628608514501335,0.0004804085399662483,0.0004720457335224638,0.0004148588113775783,0.0022079946861124663,0.0004725884445547091,0.00039705093677925066
67,0.0004036927422156304,0.0006902757651935668,0.00046878439531212736,0.0004045188570019979,0.0020956614075814664,0.0005835334604232536,0.0003849695665267982
68,0.0003564113622858874,0.0006122332881539861,0.0006188255545953763,0.0003744416105513291,0.0021630251401347778,0.0005013588228782359,0.0003786540431099448
69,0.0003521061547091351,0.0006938228247883252,0.0005484503106437444,0.00038385479420221266,0.0020622839382086256,0.0006371531716619453,0.0003749375351638016
70,0.0003846723856956619,0.0005328391884488251,0.0005552820975075569,0.0004233497914528109,0.0020184569938768012,0.0005964987231181876,0.0003866691470999856
71,0.0003662628076297223,0.0006094110449997683,0.0005588423236833233,0.0004198715919763174,0.0020051218218155083,0.0005594171138793278,0.0004090440650288724
72,0.0004020663511082508,0.0005731920242156793,0.0005592063132291095,0.00040781895291226126,0.0022708226723375073,0.000483651539730496,0.00043868717037298666
73,0.00046769551852321456,0.0004796634990041962,0.0005665896303877528,0.0003821035516559399,0.0022639552344116964,0.0005934372593685566,0.0003894191776211989
74,0.00038654651744284794,0.0005303212552267047,0.0005276496052736571,0.0004311495359392733,0.0031916014471361823,0.0005546545354247558,0.000397757187104532
75,0.000443091006017952,0.0005267089241182308,0.0005390982406280587,0.0003727405493191505,0.002692977312964264,0.00045365131550041617,0.0004019092395964901
76,0.00041436672860584167,0.0005546815440674714,0.0006344902112178524,0.0003992505592705351,0.0030154108623486704,0.0005601790777707445,0.0004209522520369546
77,0.00045835302291296,0.0005040086172107593,0.0004925193503382275,0.0004798490867924123,0.0032254454472422367,0.0004947641340058746,0.000385271894568104
78,0.0004287573895922492,0.000609278242086936,0.0005619258044719632,0.00039088286479227463,0.00225948008155683,0.0006496868033660045,0.0003759049934270057
79,0.000437785353072415,0.000556807289229174,0.0006510185715019156,0.0004360625516250409,0.002451493845993272,0.0005875001343075123,0.0003992485883677383
80,0.0003348464860704799,0.0005552121673559895,0.000725671690276699,0.0003839653135012477,0.002326329169071479,0.0006592616193804209,0.0003685108976205542
81,0.00039160942585883687,0.0005593103013055156,0.0005835476206871569,0.00050054055578944,0.0019636391306823283,0.0007050694582130204,0.0003883517678808684
82,0.0003839356020584141,0.00060562799335075,0.00046563067328282416,0.0004405692271508149,0.0018760906624687248,0.000689082457939961,0.0004109415920705573
83,0.0004006601414564022,0.0006753582626613264,0.0005324412980388199,0.0004800277250012641,0.0019495855930195512,0.0007601218755449882,0.0003744094871761586
84,0.00036500401215700575,0.0006942292416984192,0.0005359437908057502,0.0003828608039654569,0.002214588717007163,0.0006092616562349511,0.00038021039655520753
85,0.0004215386698291468,0.000676229063711126,0.0004767782968194636,0.0004582401327291093,0.002068485042974843,0.0006363396484400399,0.0003792516653112173
86,0.0003667010079856195,0.0006035656330709571,0.00045622228124976,0.0004272028146291838,0.002110787611551738,0.0006280194021766896,0.00038157425846468024
87,0.00045858211118596665,0.0005366671026028993,0.0005510942027626697,0.0004514121470062391,0.002022591855267011,0.0005495683509162666,0.00035909790894684526
88,0.00036363499017582127,0.0006091057877950801,0.0005663100691502378,0.00041096247341450835,0.0019375523017515664,0.0006021386373645111,0.000412051430372351
89,0.0003670965348066458,0.0005583905707913578,0.0005213501651380369,0.0004541213345160858,0.0019596170287431132,0.0005733512620723131,0.0003612043287329838
90,0.0003781991994659198,0.0006194508307349846,0.0005265715862751787,0.00042212017221842426,0.0019470499204404545,0.0005953679545803235,0.0003659879094795672
91,0.00039856243816274473,0.0005797244248595702,0.0005463617333259386,0.000528658637920244,0.0019625716313899865,0.0005775137914188885,0.0003716431033466231
92,0.0003433865683113541,0.0006346073793066042,0.0005428827235545798,0.0005296963100210984,0.0019805908299598807,0.0006362284722104297,0.0003485323552638758
93,0.00042187188647508104,0.0005889284492154522,0.0006431355990063372,0.0004986251919376627,0.0019774438424738708,0.0005921258578712782,0.0003866786142294275
94,0.00040284792144674206,0.0006858614610215731,0.0005904250314898718,0.0004923512965338735,0.0019315921675185496,0.0005885789687883944,0.0003965699077966178
95,0.0003864334550562158,0.0006790006618943147,0.0006002730628802638,0.0004417601202250765,0.001905001163700121,0.0005853769416626996,0.0003749960756768535
96,0.0003586326590515317,0.0007910081964383913,0.0005569251286262703,0.0004187972547228816,0.0018733258092888045,0.0005178541466323493,0.0003306569114251255
97,0.0004087196136879356,0.0007723376507838889,0.0005721676534643315,0.00041875542841726096,0.0018578893489983128,0.0006112480904248297,0.00039942461299583937
98,0.0003661701348429341,0.0006959212221996975,0.0005247985499070682,0.0003994283500860494,0.0018726188006296168,0.000605018407703656,0.0004005873184133279
99,0.0004205537660856486,0.0007613906792136348,0.0006062804761065841,0.0003817339961927618,0.00189725633721206,0.000647081856803717,0.0003768305183775526
100,0.0003761596538064775,0.0006889201502761696,0.0006078579504433217,0.0003929203341865417,0.0019238714714823611,0.0007100285307787756,0.00036995669913153506
101,0.0003970232159595355,0.0007670933603842394,0.00056184769347567,0.00044260707136142434,0.001912447302796257,0.0006508265417686232,0.00038314665752264566
102,0.0003285689683904226,0.0006859926692156574,0.0006279179576681924,0.0004124785684031694,0.0019347456866398716,0.0006378340069496906,0.0003774638326899684
103,0.0003865061687294613,0.0006017938337820576,0.0005576165467434804,0.00041935239248301414,0.0019695559487938564,0.0005889532925700471,0.00035108844736541646
104,0.0003872526744712028,0.0007404384789758885,0.0005855800194130947,0.0004290851297638891,0.001919572191971903,0.0006832560174548654,0.00037899614555038223
105,0.0003999711339119855,0.0007154892582172031,0.0005634948558466135,0.0004149220362406643,0.0019345891043485608,0.0006429333419571917,0.0004097403989896541
106,0.0003861428839278721,0.0006633387111933533,0.0005032028343034004,0.00041908623002298454,0.0019435386960638776,0.0006763404747270366,0.00035488085951468085
107,0.0003899588822083696,0.0008400878323225482,0.0005385265094365163,0.0003994667930904618,0.0019546798262815696,0.0006407018771510494,0.0003882576102117783
