step,deepseek1.5b_sync_8gpu_lr3e-6-rollout_corr/ppl_ratio_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-rollout_corr/ppl_ratio_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-rollout_corr/ppl_ratio_step,deepseek1.5b_sync_8gpu_lr5e-6-rollout_corr/ppl_ratio_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-rollout_corr/ppl_ratio_step,deepseek1.5b_sync_lr1e-5-rollout_corr/ppl_ratio_step,deepseek1.5b_sync_lr1e-6-rollout_corr/ppl_ratio_step
43,1.000402666450966,1.0004863488547346,,1.0003985127522832,1.0021815550954718,1.0004714276819002,1.000379967861451
44,1.000446810759604,1.000544537638509,1.0005219435053212,1.0004155916117488,1.0022158022179748,1.000598445534706,1.0004050149297228
45,1.000416658091836,1.0004815639037152,1.00050135130106,1.0005052717195615,1.0021571312099695,1.0004695039656428,1.0003838632621018
46,1.0004071450314007,1.0005112221464514,1.0005351278398718,1.0004889434430655,1.002142462879419,1.000622413520302,1.0003971292617473
47,1.0004086621307038,1.0005075266448462,,1.0004892074281262,,1.0005412397994882,1.0003702219413677
48,1.000375491806439,1.000527262687683,1.000530080917554,1.00041891541332,1.002097809393155,1.0005022251024478,1.0004145201916497
49,1.000427212566137,1.0004716469418435,1.0004438828854334,,1.0022049176952113,1.0005181891222794,1.0003725687122864
50,1.0004174196294375,1.0005255177617074,1.000573106874258,1.0003948537884533,1.0022967703964398,1.000593289732933,1.0004186721687969
51,1.0004297256469727,1.0004253967142689,1.0004943011328578,1.0004298330137604,1.0024092076789766,1.000582174398005,1.0003688039051162
52,1.00037542808997,1.0004662333056331,1.0005886182188988,1.000413485851727,1.0024172383404912,1.0004411393776536,1.000343318520622
53,1.00040317608698,1.0004606604576112,1.0004983726692829,1.0004357248544693,1.00248852274988,1.0005061716625565,1.0003932179375128
54,1.0004084804436055,1.0004816124352014,1.000464536781822,1.0003901391457288,1.0020454288102114,1.0005013476170244,1.0004089686857618
55,1.0004409765585875,1.0005257180551204,1.0004779934519674,1.000418042273898,1.0023291420478089,1.0005906744017488,1.000398300588131
56,1.0004030282680805,1.000484653748572,1.0004902472946702,1.0004640626601684,1.001956647572418,1.0005380999119509,1.000408494141367
57,1.0004119133870852,1.0004609960474466,1.0005038547280587,1.0005161087763936,1.002193562686443,1.0005595805804903,1.0003757703789444
58,1.0003890278083938,1.0004634436752116,1.000561472536488,1.0004727421771913,1.002373030049759,1.0004951808187696,1.0003915185831032
59,1.0003557902361666,1.000497336871922,1.0005239617256891,1.0004786762098472,1.003262241275943,1.0005790133808934,1.0003725045725056
60,1.0004246133778776,1.0005196551127091,1.0004813941195607,1.0004453068333012,,1.0005283563990484,1.0004191986906033
61,1.0003973316205177,1.0005398590753718,1.0005504592237149,1.0004860686049577,1.0022208680802922,1.0006572079399358,1.0004006061289046
62,1.000447488286429,1.0005164252300012,1.0005497649312018,1.0004251906887078,1.0021491811193268,1.000508871461664,1.0004076113924385
63,1.0004146320647316,1.0004843887992394,1.0005561942007484,1.0005146923164527,1.0021772400058548,1.0005283955145965,1.0003815499896354
64,1.0004046002609863,1.0005035649396872,1.0005612556750958,1.0004868626594543,1.002187364202525,1.0005975931528068,1.000403843447566
65,1.000450218851502,1.0004559000463862,1.0005265930440368,1.0004559528260004,1.001943138909751,1.0004781798592637,1.000389661462534
66,1.000369434823861,1.0004937812685966,1.000468438304961,1.0004172151287396,1.002226941030601,1.0004799174410957,1.00040431389975
67,1.00040531379951,1.0006952030878318,1.0004737915471196,1.0004117866841755,1.0020898899127697,1.000580526533581,1.0003801518401434
68,1.0003678413728874,1.0006100280504475,1.000620001210616,1.0003789378664432,1.002159935887903,1.0005060712851228,1.0003862956235574
69,1.0003532628352578,1.00068822904275,1.0005511589348317,1.0003814637297537,1.0020633325225017,1.0006316447896615,1.00037428652021
70,1.0003883043253743,1.0005469531997253,1.000551289601906,1.000419829518367,1.0020289222399394,1.0006093161050664,1.000382496347261
71,1.0003720873759852,1.0006238784837096,1.0005689232777326,1.0004192508757117,1.0020053194415184,1.000559001451447,1.0004042010931742
72,1.0003961415754423,1.0005787579636825,1.000559617884648,1.0004118932854562,1.002272345247816,1.0004818879422688,1.0004345994620096
73,1.0004647109243603,1.0004882839949507,1.0005746808003737,1.0003888098205007,1.0022474064026028,1.0005979308994806,1.0003904772967829
74,1.0003814695251954,1.0005381443561652,1.0005280526452942,1.0004336917545738,1.0031765605158665,1.0005468546989418,1.000408164983572
75,1.0004566876838603,1.000529566681699,1.000545363395642,1.00037659201771,1.002608019639464,1.0004516463904154,1.0004007563721844
76,1.000417918794685,1.0005648599730597,1.0006359935198958,1.0003994775981435,1.0028795099189116,1.0005617917674343,1.0004214707762005
77,1.0004606888090308,1.0005000982629626,1.0004972899332645,1.0004879372815292,1.0031292146692674,1.0005013579059214,1.0003785338430178
78,1.0004279210760787,1.000617826105775,1.0005717102438212,1.000384341107636,1.0022865206003189,1.0006725788116455,1.000377798186881
79,1.0004380991732753,1.0005637103397595,1.0006702460348609,1.000439307341973,1.0025625018910929,1.000590239961942,1.0004066303372383
80,1.0003315864337816,1.0005545847722002,1.000720206950162,1.0003876095501387,1.0024284943938255,1.0006847594465529,1.0003726198092888
81,1.0003984329339706,1.000570308024946,1.0005912702708015,1.0005156364114511,1.0020479717675377,1.0007037484929675,1.0003854114384878
82,1.0003822868740238,1.000607890714156,1.000469532236457,1.0004341589604937,1.0018858896886431,1.0006969827552177,1.0004249213263392
83,1.000397536511484,1.000684057941308,1.0005452767377947,1.0004826869815588,1.0019484395566194,1.0007796484444822,1.0003735372110416
84,1.000362889186756,1.0007057522197027,1.000542785685796,1.0003817200660703,1.0022094449536367,1.0006198652443432,1.000384345650673
85,1.000415563583374,1.0006761870494014,1.000476240579571,1.000452452794064,1.0020479501078003,1.00064556656236,1.0003861559643632
86,1.0003656778288514,1.0006093525638182,1.000453148491499,1.0004316550635155,1.00211739498708,1.0006355061417531,1.0003809013017797
87,1.0004610140856944,1.000552622503356,1.0005601522762602,1.0004497620948525,1.0020202009214296,1.000549733985302,1.0003597307495955
88,1.0003716732199128,1.0006148613787986,1.0005705020413167,1.0004179306155028,1.0019498251378536,1.0006144247239543,1.000418703071773
89,1.000378957312358,1.000570082546849,1.000527974478034,1.0004488495601849,1.0019769472154705,1.0005800102583386,1.0003628012325083
90,1.0003786595856272,1.0006353227715743,1.0005243131447406,1.0004352958396423,1.001955471932888,1.000612932928773,1.0003697921832402
91,1.0004007347712391,1.0005953183045255,1.0005541814536585,1.0005337786747188,1.001974879851881,1.0005792993165197,1.0003797192222033
92,1.0003430827387745,1.000650918013171,1.000547470968394,1.0005352876403115,1.0019789440212423,1.000652231923912,1.0003453356524308
93,1.0004194357285374,1.0006018822660316,1.000637150536745,1.0005004854872823,1.0019739209501832,1.000602232380992,1.0003901971013922
94,1.0004062295744294,1.000701330602169,1.000595623627305,1.0004914740011803,1.0019327642825933,1.000602013653233,1.0003990972414614
95,1.0003839176562097,1.00068897050288,1.00059991559157,1.0004490341991186,1.0019119272254549,1.0005918236040487,1.000375566047591
96,1.0003613210038136,1.0007982989282984,1.0005607359656474,1.000420321596832,1.0018874431649845,1.0005161992850755,1.0003277181192889
97,1.0004124139484607,1.0007773994615203,1.0005757334392245,1.000423624765041,1.001864904473568,1.0006069523238,1.0003985191384952
98,1.0003651617781113,1.0007015638467338,1.0005251303678606,1.0004006109611934,1.0018760143664844,1.0006214307532424,1.0003964564785726
99,1.0004293840469385,1.0007823388043202,1.0006074275644052,1.0003876382874888,1.0018989221616226,1.000648171419189,1.000379352722057
100,1.000387729360507,1.0007017470292143,1.0006128704469457,1.000399313867092,1.0019271807937786,1.0007208507685434,1.000360585749149
101,1.0004022365435958,1.0007803069525645,1.000572724179143,1.000445459924993,1.001914672056834,1.000650580972433,1.0003803438019183
102,1.0003305713717754,1.0007035783246945,1.0006283645828564,1.000407137340162,1.0019348999485371,1.0006465223573504,1.000372523708003
103,1.000389830581844,1.0006149191605418,1.0005726436289346,1.0004310522760664,1.0019635817004462,1.0005997829139233,1.000338726109121
104,1.00038282867325,1.0007460873354883,1.0005871208482666,1.000432005104346,1.0019179340451956,1.0006874629429408,1.000387238131629
105,1.0004006777260754,1.000738278688753,1.0005671309354978,1.000428664449014,1.0019316931565605,1.0006565801089715,1.0004144499285357
106,1.0003895638954072,1.000679326621262,1.0005131546585333,1.0004252551921775,1.0019426828911226,1.0006802380084991,1.0003510559243816
107,1.00038894744856,1.000870353689319,1.0005555748939514,1.000397826121612,1.0019537752324883,1.0006482029414696,1.000397934445313
108,1.000387508326616,1.0007198207281731,1.0005124251290065,1.0004046036019212,1.0020451408720783,1.000639011520286,1.000329483486712
109,1.000423458404839,1.0008487922972755,1.0005335610892092,1.0004082484993824,1.0019052492514733,1.0006639561837627,1.0003540709259964
110,1.000382376698459,1.001391892762561,1.0005291585878628,1.0004018914368418,1.0019148925784975,1.0005808295475112,1.000376536910023
111,1.000380713492632,1.0009525563265826,1.0004961458700043,1.0004110866310922,1.001902509367827,1.000622522085905,1.0003751254663236
112,1.0003584380212582,1.0009638509580068,1.0006532300359163,1.0004329950344273,1.0022132536813395,1.0005884486294927,1.0003316276189351
113,1.0003855938003177,1.0010481017331283,1.00058704208244,1.0004330284216187,1.0019053658170085,1.000606815923344,1.0003787598958829
114,1.0003748753745303,1.0008127722475264,1.0005913240517057,1.0004053804136457,1.0020028197812656,1.0007610443447317,1.0003495346277187
115,1.0003423343755695,1.0008970732904143,1.0005593487038844,1.0004195947022665,1.0019905131423112,1.0007225322936262,1.0003448193402666
116,1.000355989273105,1.0008510643322217,1.0005405137146062,1.00043619175752,1.0019624022876514,1.0006207347262737,1.000370627180451
117,1.0003711314871908,1.000797100365162,1.000530760826134,1.0005034632271244,1.0021404389511137,1.000539598897809,1.0003238862027992
118,1.0003524461761115,1.0008384742446848,1.000526813653911,1.0004554479604677,1.0018869485048687,1.000710930402686,1.0003654977306724
119,1.0003804354505106,1.0007055945694447,1.0005263197753165,1.0004380932924422,1.0020151725586723,1.000575828883383,1.0003446893290031
120,1.000403876638129,1.0008029432312862,1.0005361022935673,1.000479086878754,1.0020110157952793,1.0006448796817236,1.000362521968782
121,1.0004148437153726,1.0008873772379514,1.0005285592580384,1.0005434951966716,1.0037076786160468,1.000688236916349,1.000374533422291
122,1.000410978610699,1.0010241160376203,1.000500086517561,1.0004231531172991,1.0031728862474365,1.0006409592571712,1.0003805036999678
123,1.000388709971538,1.0008434957514207,1.000546514429152,1.0003943879157304,1.0028243803007657,1.000610258339382,1.0003587851250493
124,1.0004029914381958,1.0009741071611642,1.0005342559042305,1.0004767394343088,1.0028418330130753,1.0007786825299263,1.0003497311845422
125,1.000356760512038,1.001326892620478,1.0005661603063345,1.0004755139350892,1.0023057719835868,1.0005959223278544,1.0003535831837278
126,1.0003533764527397,1.0018381202593445,1.0005319097212382,1.0004990136250853,1.002208705060184,1.0006044439294122,1.000354615873412
127,1.0004244619930112,1.0023113909440162,1.0006079956889151,1.0005618173629045,1.002124619980653,1.0006189764965148,1.0003587403467724
128,1.0003707740041945,1.0027131182261002,1.0006938092410564,1.000535568365684,1.0020530507678078,1.0006982665508986,1.0003560658012118
129,1.0004580173837512,1.002054449729621,1.000528918352069,1.000481546856463,1.0020908109843731,1.0006201659284888,1.00036075187696
130,1.0003950104472183,1.0009828865528108,1.000545706261288,1.000467064479987,1.002185392947424,1.000737288263109,1.0003416040321675
131,1.000430118684706,1.0013456249084227,1.0005657271277617,1.0005833506584167,1.002173289656639,1.0006630954354307,1.000357894226909
132,1.0003472556801218,1.0012812578143218,1.0005046185560342,1.0004636533558369,1.002080278005451,1.000666926420012,1.0003306021293004
133,1.0003380383818576,1.001347297243774,1.0004608076883523,1.0004972653463482,1.00204575728429,1.0006177012215962,1.000321259865394
134,1.0003627987626271,1.001275958159031,1.0005579732540175,1.000444712303579,1.0020552274099617,1.00069806915383,1.0003363505790108
135,1.0003735829322111,1.0023380697537692,1.0005421300613604,1.0004354900745458,1.0020048645766158,1.0006503764054049,1.0003318956121805
136,1.0003780213495097,1.0010526125274954,1.0006040444766933,1.0005292970509756,1.0018700089524777,1.0006632366114192,1.0003505238355734
137,1.0003516525030136,1.0007267015054822,1.0005120301530477,1.0004876861121597,1.0019806348718705,1.000609503330096,1.0002765376598408
138,1.0004470908158534,1.0007424411412915,1.0005669731360216,1.000502918620367,1.002040502003261,1.0007283567655376,1.000321355337898
139,1.00041663646698,1.0009498268757997,1.0005884839267265,1.0006025564379808,1.0020061570562817,1.000688539551837,1.0003310160056964
140,1.0003998754989534,1.0008212429912466,1.00053556121531,1.0006264402043252,1.0019998681687174,1.0007675760203885,1.0003642872781366
141,1.0004167536773332,1.000868167823706,1.0005366129889377,1.0005454900009292,1.0019968709220055,1.0007016797150885,1.0003362712827888
142,1.0004207243522008,1.0008971497024362,1.0004827716365092,1.000568241607852,1.0019935793850734,1.0007881264956224,1.0003137669580824
143,1.0003710713237524,1.0007470402962122,1.0005652425544602,1.0005391956102558,1.0019880022321428,1.0007489353071812,1.0003339054391664
144,1.0004206623293852,1.0008893558069278,1.0004873169586062,1.0005406068637968,1.001979960873723,1.0007533306299254,1.000342507572735
145,1.0004158784181645,1.0007549057665623,1.0004886681213976,1.0005784066393972,1.001937748491764,1.0007525356042952,1.0003077121395054
146,1.0003756996850637,1.0009048020467162,1.000509313529446,1.0005788576117782,1.0019475343552502,1.0008117451292018,1.0003317203876134
147,1.0003670057789846,1.001248518323026,1.000508430635645,1.0006007610687189,1.0019853792112807,1.0009146131748377,1.0003241749631393
148,1.0003491153204165,1.001695949129942,1.0005015786737204,1.000586047041707,1.0019603297114372,1.0010719576547311,1.0003683109055548
149,1.0003506829115478,1.0019103533455305,1.0004854553512164,1.0005598533444289,1.0019850844144822,1.000769798776933,1.0003200534950285
150,1.000398878825874,1.000918143428862,1.0005638536352377,1.0006062643602491,1.0019427778368646,1.0011059599809158,1.0003836295183968
151,1.0004169098205036,1.0010122459914004,1.0005283802747726,1.0006220924922011,1.0019161335446618,1.0008433740586042,1.0003664873932536
152,1.0005174989883716,1.0009254695847631,1.0005040757358077,1.0006307933479548,1.001922065561468,1.0008652024879687,1.000342159805929
153,1.000374425462512,1.0009485027264982,1.000493540814737,1.0005305670201778,1.0019132145680487,1.0006808599626476,1.000361530208274
154,1.000402652791568,1.0013172935162271,1.0005112677449133,1.0005192050621623,1.0019677092834396,1.000797692079877,1.000359955979021
155,1.000410236595642,1.0010173202651302,1.000512192584574,1.0006158070229902,1.00196010648058,1.0008733466614124,1.0003468986186717
156,1.000379662251189,1.001016255654395,1.0005218671634792,1.0005476707365455,1.001953410414549,1.000803654569955,1.000292663315409
157,1.0003692676268874,1.0011211090335033,1.000470553152263,1.0004982033913783,1.001919209670562,1.000948921523311,1.0003713349762715
158,1.0004470729756922,1.0013615919685943,1.0005755249410868,1.000540360635103,1.0019101211611106,1.0007512494921684,1.0003549962027654
159,1.000457435668934,1.0017073636963254,1.000479232519865,1.0005642090524949,1.0019902876363351,1.0008851388512656,1.0003542704017538
160,1.0003878512354785,1.0015601761093953,1.0005266944446214,1.0005002170801165,1.0019961984621153,1.0009553613649174,1.000356531652965
161,1.0003910965862728,1.0012275058598743,1.0004719141870737,1.0005435961342992,1.0019917115569117,1.000763408162377,1.0003458549709696
162,1.000409762446697,1.001372057589747,1.0004887224027983,1.0005804373040086,1.0019621186786227,1.0009839625230856,1.0003536558326551
163,1.000383196664708,1.001409494572065,1.0005514521787806,1.000590969764051,1.0019112825393677,1.000990882693302,1.0003400761634111
164,1.0004539168798006,1.0016821583902291,1.0005144020052332,1.0005245048825333,1.001933510548302,1.0009563917463475,1.0003107652068135
165,1.0004947412955134,1.001537311822176,1.0005579921039376,1.0005403377115727,1.0019383039967766,1.0009462294930762,1.000347100198269
166,1.0004423155290325,1.001607596874237,1.0005123956423057,1.0005680322647097,1.0019446941713492,1.0008654150773175,1.0003052619951112
167,1.000418867738474,1.0014681252448454,1.000508925662591,1.0005443570288746,1.0019584404925506,1.0007835094665372,1.0003537906182778
168,1.000439129769802,1.0017421662490418,1.0004560329020022,1.0005279344252564,1.0019205716749031,1.0008481470651405,1.0003268363836564
169,1.0004336700627678,1.0038958517834544,1.0005199154083793,1.000549349116116,1.0019076314934514,1.0007843857719785,1.0003145337104795
170,1.0004430079743976,1.0010114335950384,1.0005399553877552,1.000543720842827,1.0019045189023017,1.0007305991318491,1.0003450073905893
171,1.000392912576596,1.0009181946516037,1.0004647264257074,1.0005341710692102,1.0019236776617266,1.0006348927353703,1.0003277019069
172,1.0004151866194748,1.001307525057742,1.0004945443943143,1.0005284781041353,1.0019069749575396,1.0006467120155045,1.0003361782353175
173,1.0004515789630937,1.0014623367088906,1.0004689021036028,1.0006038255469745,1.0019878553170147,1.000621118148168,1.000330380692675
174,1.000420610996939,1.0013910800529022,1.000513675489596,1.0005821545676488,1.00188832754089,1.000670976612879,1.0003452555913674
175,1.0004562813697793,1.0008728567590104,1.000538745522499,1.0005554707632178,1.0019360751402182,1.0007122084498403,1.0003523055996213
176,1.000423913378091,1.0006848910513024,1.0005034361034633,1.0005246729013466,1.0019678598450077,1.0007462095883155,1.0003448048153438
177,1.0004943265784076,1.000739575700557,1.0005573550095923,1.0005336011804284,1.0019159941002729,1.000768004288507,1.000328651684172
178,1.000415394421328,1.000766427665949,1.0005415880254336,1.0005310460586438,1.0018999096172958,1.000705593953962,1.000340231718161
179,1.0004294163414411,1.0008797137998044,1.0004678850993514,1.0005212576890534,1.0018972530961037,1.0006653779082828,1.0003123836297738
180,1.000424901240094,1.000955651551485,1.0005300438031557,1.0005447402959915,1.0019455672729582,1.000624885863584,1.0002798621143614
181,1.0004320600557894,1.001171154230833,1.0005109813064337,1.0005664007692805,1.0018915442689773,1.0006755444666613,1.000358970584096
182,1.0004280768334866,1.0006128877401352,1.0004912242293358,1.0005442631386576,1.0018819606020335,1.0006733374751131,1.0003513548719256
183,1.0004244042294366,1.0007536999881268,1.0004919826984406,1.0005244695666162,1.0018765991835883,1.000744554058959,1.0003678774511493
184,1.0004284947020252,1.0006707549095153,1.0004359744489193,1.000559667079914,1.0018844379862744,1.0007014951922677,1.0003346155087154
185,1.000434087145896,1.000686664879322,1.0004168033599854,1.0005910209402806,1.001971812636563,1.0007015466690063,1.0003057395418484
186,1.0004311521493254,1.000582520365715,1.00049579013139,1.0005845589245237,1.0019019027240574,1.0006920317808787,1.0003583560533382
187,1.0004732873113382,1.0007307557206528,1.0004745688289405,1.0005754682989347,1.0019087571261531,1.0007060907133247,1.0003216893722613
188,1.0005190822967265,1.0004562579241454,1.000482215122743,1.000553685663776,1.0018831889575988,1.0007478947130342,1.0003606745679128
189,1.0004529028776146,1.0004616582393646,1.000482606213717,1.0005217716097832,1.0018728184787666,1.0006798702351591,1.0003154158994958
190,1.0004847136636574,1.000432770103216,1.0004695636175929,1.0006474761123008,1.0018645018777426,1.0007455958984792,1.0003601481785644
191,1.0004461375730378,1.0004564805328846,1.0004358693230442,1.0005983147356243,1.001847270989057,1.000824069089078,1.0003598053988658
192,1.000479040624097,1.0003802374005315,1.0004731489434129,1.000564934382605,1.0019399465033505,1.0007610255852342,1.0003104111865948
193,1.0004699566378823,1.0004447865486146,1.000460539190542,1.000586730174043,1.0019060390837051,1.0006222631385986,1.0003593779496245
194,1.000468329780481,1.0004095889627933,1.000459801583063,1.000543109903281,1.0019294748849727,1.0007016833158249,1.000317707657814
195,1.0004595714371378,1.000404122121194,1.0004667945206165,1.0004818122833967,1.001945076566754,1.0007873211541902,1.000349092725161
196,1.0004395782584097,1.000420736185476,1.0004661635654728,1.0005835011940112,1.0018385960297151,1.000663727356328,1.0003521946924074
197,1.0004559732973577,1.0004252813897043,1.0004543857648969,1.0005739301789638,1.0018704555817504,1.000791765072129,1.0003234986748015
198,1.0004195758984202,1.000383887991861,1.0004861826697986,1.000545778057792,1.001840312472161,1.0008679558946327,1.0003320929643356
199,1.000402205782693,1.0003712824373334,1.0004460419096597,1.0005670435181475,1.001913715592202,1.0006869840012356,1.0003374454540177
200,1.0004492731764911,1.0003760325220914,1.000459774056586,1.0005643149329857,1.0019697346450651,1.0006522258574313,1.0003260556194518
201,1.000449076294899,1.000395516830462,1.0004320394779955,1.0005475467313891,1.0019380546667995,1.0008209121037035,1.0003108523595028
202,1.000472332040469,1.0004129393233194,1.000441156500994,1.000617714598775,1.0019095540046692,1.000760599322941,1.0003447465789623
203,1.0004523974798976,1.0003890974654093,1.000479251328038,1.0006259839202083,1.0020188148532594,1.0007485806603322,1.000322288937039
204,1.0004661803444226,1.0004813106799568,1.000465553963468,1.0005317682569677,1.0018330512239653,1.0006956019155355,1.0003472790122032
205,1.0005212813252355,1.0003893986620285,1.0004267389220851,1.0005814606367156,1.001905158162117,1.000778365033594,1.0003905182606296
206,1.0004691407084465,1.0004485104646947,1.0004491484383258,1.0005554724484682,1.0019533554281013,1.0007467481561685,1.0003640379168486
207,1.0004568287195303,1.0003857395991131,1.0004543162337165,1.0006147873837774,1.0020533553191593,1.0007225769487291,1.0003797543900357
208,1.0004345485497088,1.0003949445154932,1.0004857581022173,1.0005938375199384,1.0019653691526722,1.000703989951448,1.0003612624147
209,1.0004638873040677,1.0004719443343304,1.0004483887127469,1.000598904761401,1.0019352159955923,1.0006940259852193,1.0003526816899713
210,1.0004667080938816,1.000405068424615,1.0004296769698462,1.0006169319491496,1.0018759720465715,1.000687613067302,1.0003335872074453
211,1.000449917837977,1.0003472434149847,1.0004315163408006,1.0006294880401003,1.0022223591804504,1.0007716816934673,1.0003884820953797
212,1.000520937689921,1.0003911074664855,1.0004662795081023,1.0006560762836174,1.0019560469424025,1.0007334488698028,1.000358445904194
213,1.0004864109768754,1.000394134471814,1.0004323202777992,1.0005227190188386,1.001891648506417,1.0006636073812842,1.0003420807421208
214,1.000452941692457,1.0003393999554897,1.000463816760616,1.0005911255991735,1.0018911677248337,1.0006380729715934,1.0003807172179222
215,1.000429998447255,1.0003601474066577,1.0004533567400866,1.0005687761374495,1.0018721852790229,1.0005989938297055,1.0003725788310955
216,1.0004717382865074,1.000336342525703,1.000492387973681,1.0006394301142012,1.0018814284067887,1.0006468644873665,1.0003794366983991
217,1.0005112450297289,1.0003846315322098,1.0004493367265572,1.0005829789957337,1.0018936023116112,1.0006885049825018,1.000321839396891
218,1.000514913882528,1.0004007464481726,1.0004722038904823,1.0006226375699043,1.0018835454734405,1.0007074777968228,1.0003725074049905
