step,deepseek1.5b_sync_8gpu_lr3e-6-rollout_corr/training_ppl_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-rollout_corr/training_ppl_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-rollout_corr/training_ppl_step,deepseek1.5b_sync_8gpu_lr5e-6-rollout_corr/training_ppl_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-rollout_corr/training_ppl_step,deepseek1.5b_sync_lr1e-5-rollout_corr/training_ppl_step,deepseek1.5b_sync_lr1e-6-rollout_corr/training_ppl_step
54,1.4806505510719812,1.437964348531351,1.31996437055724,1.4092420763694322,147921.73063777044,1.2971872105484916,1.6110180214695309
55,1.480697784286279,1.4447892446343489,1.3231275310603583,1.4163891869155985,148136.3215519832,1.3015935836093766,1.5815116484528002
56,1.4783113633210845,1.4294375073164702,1.3295802910153458,1.4215180850945983,148120.54833984375,1.294225967356137,1.610923362440533
57,1.4496776751781766,1.4111366491568715,1.3108214790883816,1.3935444704011868,148246.77848933294,1.28952317703061,1.602559162780296
58,1.4359237761014985,1.4201032728666352,1.3031139780174603,1.3968658539510908,148364.0562294408,1.2789346446593604,1.5775584274408772
59,1.4134417073357672,1.3931567545980217,1.2995789955769266,1.377333009526843,148063.7418885523,1.2681600624738738,1.5546593244956888
60,1.4503493553825788,1.4336790240236692,1.3177252665162087,1.416415926246416,,1.2980000308968804,1.6160707737629612
61,1.4265178704732342,1.429413252850858,1.3091118410229683,1.3781288918994723,148330.23470666274,1.2867630286061245,1.5714201284779443
62,1.4174354585508506,1.4036772482489284,1.3014397479593751,1.3620898322417183,148602.8189991918,1.2669005280449277,1.5721705477684735
63,1.3873950380243754,1.3941047191619873,1.2841969764814145,1.3241287253442264,148625.90587957975,1.2629763880236582,1.533151636408134
64,1.4145302379296885,1.4050886799630369,1.3092725227276485,1.3581369169056416,148753.2664969308,1.2771745022563707,1.569505237415433
65,1.3735977648883253,1.3822013476961537,1.2774357853866205,1.3348456848235355,148753.54583108836,1.2551211001617568,1.5255870577834902
66,1.3618311531640388,1.375906053930521,1.269298616051674,1.3277994926486696,148810.42096578664,1.2398435892093749,1.5201879743226738
67,1.3858430647366755,1.3469303438537998,1.2785344801843166,1.3356557117729653,148829.63602842134,1.2538445400340217,1.5515879915897235
68,1.3395790780584018,1.3134699620698629,1.2562375366687777,1.2945856604820642,148959.42239379883,1.2117212354427291,1.4938683135564936
69,1.357632917729584,1.323403822305875,1.2559213768690825,1.2994496102740123,149078.09467853484,1.2184452801233243,1.4989245859059421
70,1.3551993349919451,1.3512549741487754,1.244307140240798,1.2965188160156589,149064.19314778646,1.2214196518410083,1.5167381059984828
71,1.3668888695538044,1.3855151224293207,1.2578119895397089,1.3120683368295432,149214.85093245967,1.2411909940696897,1.5460950228429975
72,1.3885185863408778,1.3862996822909306,1.2690600661131053,1.3123020270750636,149322.9602651127,1.2465586548759824,1.5646453492698216
73,1.3555202165411575,1.3349050644196965,1.2372780828862575,1.294312810389007,149317.55151367188,1.218785327745647,1.5209055328514518
74,1.3391676311557357,1.374570039984507,1.230254318761198,1.2870271591151632,149453.51772173712,1.2188924568749608,1.5048635979724485
75,1.3411145876679156,1.3589843770391064,1.2360183218350778,1.2829958245158195,149199.4153550092,1.2240923540223212,1.5003748307140865
76,1.3623838387429714,1.3561023494435682,1.2401677922982919,1.2994164435601816,148646.49109738372,1.2272960805311437,1.5294143524020911
77,1.3221129724069645,1.337235170367517,1.2173584889620543,1.2721950582095556,148159.54451497397,1.2059494352766449,1.4870462814966838
78,1.3262395834600604,1.3502254856599345,1.2189642049372196,1.2701807679926478,146848.62353515625,1.2054985367826052,1.5032319444276037
79,1.338280411185445,1.3951317236611718,1.2280925683677195,1.2714791673989525,147470.26704545456,1.209766468121892,1.514851298005808
80,1.317622288233704,1.4139992981343656,1.211511988494847,1.2584055709402735,148429.74797712054,1.1962412656063126,1.4898646246445806
81,1.3156411930134422,1.386360438638612,1.217902561383588,1.2586485480978375,148741.36667049633,1.1964166544023014,1.4862582623249008
82,1.332128541292371,1.3747997354519994,1.2206456661224363,1.2729989988047905,149054.34827553353,1.200885117747063,1.5033027186989785
83,1.3253693270840143,1.3859181102063205,1.2200125928332166,1.257111793383956,149099.55995244565,1.204888057850656,1.4897348912138688
84,1.3055784702301023,1.3430457892450127,1.2023809471955669,1.2534116797149182,149283.4490855824,1.186009084539754,1.479687717400099
85,1.3100617431104182,1.345159422410162,1.2153936769990694,1.24269277134607,149024.41714638157,1.1906407336619766,1.478843978118329
86,1.3060729844789756,1.32562576358517,1.2075923673990296,1.2512201517820358,149077.86954752603,1.194399717308226,1.4720274631570025
87,1.302336878290302,1.347063013205403,1.211457553069766,1.2469369127999903,149133.72992621528,1.185561406404473,1.4546700116337798
88,1.2888145213191573,1.360237820325671,1.2014327358181884,1.23473717688128,149316.3009765625,1.183882631716274,1.4584759082645178
89,1.2787754449405169,1.3461889910854792,1.1978087584639705,1.2250945151529529,149567.302512429,1.179601009257815,1.4486015861233077
90,1.2844886296406024,1.3166370082058405,1.19425028385151,1.2268305559491002,149742.62154447116,1.171320140015247,1.4373203139929545
91,1.288631532145174,1.3293410728912096,1.1994039074676792,1.2278961535634063,149678.71954230542,1.1784186561902363,1.4516460372087283
92,1.2803811054854166,1.3170824497938156,1.1940617955156736,1.2184764387255365,149753.36346209492,1.1740796167565428,1.4426388960509071
93,1.2891674402513005,1.3212857161824767,1.1882017186054816,1.2247531618922949,149776.96853298612,1.188357032480694,1.4639979604827729
94,1.2906869791055982,1.3050070574154724,1.1949125956743956,1.2209274527572451,149821.69651442306,1.1848062702587672,1.4572440929710866
95,1.2686912305653095,1.324532291955418,1.1804856604490526,1.2110348541289568,149915.4397110849,1.1674647727390617,1.4381036198622472
96,1.2472907406719107,1.3061340000284345,1.1799761482128284,1.1951788994597226,149871.89181857638,1.1655308983865238,1.410348288888155
97,1.2726400745542426,1.3217130895507962,1.1914068823907429,1.2073947711046351,149965.6754445043,1.1768832770841462,1.4396597399161413
98,1.2823566845373104,1.3002937589254644,1.1853014503310366,1.209403035599132,149951.74722450657,1.1688463812073069,1.4462518274057201
99,1.2486537836673783,1.3114241420438415,1.1778335596124332,1.1940662874731909,150060.5494318182,1.1634935367675054,1.4245224903489269
100,1.257363036656991,1.3401292707469012,1.1799085183363212,1.193816064298153,150082.4299905711,1.1599866946538289,1.4172866028689204
101,1.2548370700329543,1.3042065540426655,1.1799005472234316,1.1900827739210356,150089.3869140625,1.1635000990195707,1.417936069269975
102,1.26185876589555,1.3319923234613318,1.177817600114005,1.195121491464173,150149.13302612305,1.1634269243194943,1.434171610999675
103,1.2463879983872177,1.3054828600663888,1.1651348816912348,1.1750884130597117,150071.79379634533,1.1534193818542091,1.395751151369839
104,1.255847613670324,1.2762635113561855,1.1781611513150363,1.1943151687200253,150163.55388532366,1.1551329287744705,1.4202661977873907
105,1.253157769506042,1.2886954432024675,1.1789821535348892,1.194340081983491,150154.65791015624,1.1570001620621908,1.418288877854745
106,1.2402494617161297,1.3320445124361966,1.170814152274813,1.191561716653052,150120.13145791332,1.1588143199682237,1.3997802007056417
107,1.2497338585200763,1.3029874073047387,1.1758699981229646,1.1949318501759658,150241.47605942236,1.1603538776221485,1.4049411682145936
108,1.235828187221136,1.305100064019899,1.1615012306265715,1.1797496193931216,150265.2880859375,1.14816010136937,1.3762848258018494
109,1.2290989957749845,1.3266133595454066,1.1559993252158165,1.1706046805132266,150189.3611391129,1.1447736663477759,1.3678950340974898
110,1.2322386514122894,1.3170876722586782,1.1617068423003685,1.1763246069351831,150142.8630065918,1.1551401366790135,1.381185029943784
111,1.239068060329086,1.317053206869074,1.16483838253078,1.1816306408833377,150149.04224372632,1.1540591660000028,1.3753290797879056
112,1.2291184683379377,1.2716752086366927,1.1573589058258595,1.1691549798337424,150316.08028218284,1.1479027384803409,1.3553310939007337
113,1.237398848647163,1.3009584484001,1.159401556646282,1.1788660938089544,150189.06936743952,1.157784288241105,1.3655216417661526
114,1.218020803049991,1.2660599855913055,1.1457804136159944,1.1629082957903545,150191.97296626985,1.1408691839093257,1.3557855632060614
115,1.2166915790815105,1.2814424145552847,1.1524628219081134,1.1656831694500789,150178.00553385416,1.1440323310948552,1.3484784647038108
116,1.2172781200636,1.3094236239006645,1.152317182922905,1.171251532766554,150266.4010512408,1.1503859058369037,1.3652202405390286
117,1.2079022090882063,1.2813380199174087,1.1413346376360916,1.1517855897545817,150349.93692555148,1.1415414739222751,1.335601714011785
118,1.215889423713088,1.3237398572870205,1.1526450772837895,1.164711435990674,150296.42850988053,1.1517244657365286,1.3552332546561956
119,1.220054466277361,1.3061773423105478,1.1488294773631629,1.1584093889052218,150285.75089039523,1.1485132926040225,1.3424849537915962
120,1.206674901502473,1.2888176767407238,1.148054613647136,1.152238129859879,150271.08378623187,1.1490952262566203,1.3380327232182023
121,1.2161998308840252,1.2626912771044552,1.158200644295324,1.1583977884479932,150637.60460379464,1.1508117630368186,1.3473657812923192
122,1.1941397560712619,1.2654491439461708,1.143783009478024,1.1511750791221858,150454.107421875,1.1359894552401133,1.3179008850925846
123,1.2009411725478294,1.251079571743806,1.139831431955099,1.1551709175109863,150193.06906340842,1.142264972372753,1.3364239677384089
124,1.188986531325749,1.2492553774267434,1.137196651913903,1.1464662797922311,150180.7710021219,1.1289464662020856,1.3198381181806331
125,1.1975244705269976,1.2461495093810253,1.1383826546370983,1.1480735380202531,149591.81579026443,1.1331738673827865,1.3324335574319488
126,1.1923680225243936,1.2613101247698069,1.1381574361806823,1.1521917756646871,149475.6883138021,1.1389431601220912,1.3313337674266414
127,1.1795594458644454,1.235270728667577,1.133360617980361,1.1384755671024325,149010.23196614583,1.1283512438337011,1.3180534882204873
128,1.1808073644836743,1.2185724484614835,1.126408601179719,1.1364273715477724,148523.94838169642,1.12822642698884,1.3121027393000466
129,1.1720411761810905,1.2661657225340606,1.1337792059270346,1.1425045743584632,148496.8734375,1.1301062763446854,1.3042240118658222
130,1.1778733034928641,1.2842465531080962,1.1339588585225018,1.1382291515668232,148687.65671502976,1.1343673441145157,1.3151429637176235
131,1.189155498225438,1.281064021663788,1.1304987131095514,1.142348355636364,149133.82744891828,1.140024029584818,1.3198110420256852
132,1.1683231039266837,1.2720618461951232,1.1267859234315594,1.1325780607759952,149412.1417236328,1.132832735083824,1.3113894095787637
133,1.1684214021915045,1.3023149229586124,1.1251480230470985,1.1274896595627069,149754.23864103618,1.1361088502136143,1.290295870640339
134,1.1690970487319503,1.2968058165831444,1.1211536980983687,1.1365186747163534,149910.94435864827,1.130604807720628,1.2914766053620137
135,1.1764141640492851,1.2971999538250458,1.1252513018458388,1.1327576159044754,149982.06918174343,1.135662338979866,1.3025970216840506
136,1.1793954716551869,1.3790362044459297,1.1257721175524322,1.1332057384507996,149753.48759191178,1.1396008216672473,1.3099090548662038
137,1.1544553996660771,1.2951393291354178,1.1162300248231207,1.1179947486010993,149607.67767333984,1.1229082553283027,1.2628403527614398
138,1.1591203490624558,1.2701352979791791,1.118302956223488,1.1220792080904989,149821.22271205357,1.121459705437102,1.2624581009149551
139,1.177829540310762,1.313349629703321,1.1262222684738112,1.132840171092894,150013.42727179275,1.1281957647630148,1.2978647749971701
140,1.1691467914552915,1.2994445178069567,1.1228263470388593,1.1278922802635605,150078.9716796875,1.1325482967354,1.2865037438837257
141,1.156966605201,1.319520966364787,1.1164251860408556,1.117416402058942,150034.4677946671,1.1231580475966136,1.2596979721172437
142,1.1607059247982807,1.3202445475678697,1.1164363738967151,1.1194013746046438,150077.5495923913,1.1180947011425382,1.2558748239980024
143,1.1554217770695687,1.293851131047958,1.1167792706262498,1.1216914446615591,150056.70219494047,1.1241508743097617,1.2700915161301107
144,1.1695435913769825,1.271938491416605,1.1211877547204494,1.1252909921109675,150246.03623046874,1.130077024531919,1.2756891557398964
145,1.151343122124672,1.2720875332230015,1.1126758206635714,1.1147585686296224,150008.96450195313,1.1258449199653806,1.250201433445468
146,1.163596831435381,1.318268663063645,1.1193528466281435,1.1187952126181402,150316.12557705966,1.1247872587131418,1.2686438705470109
147,1.1538954326374964,1.2930083885425474,1.117448460842882,1.1164403082359404,150317.56886888586,1.1249243987854136,1.2550677173846476
148,1.1465404217326365,1.281818835837085,1.109714188799262,1.106855019200139,150304.52494140624,1.1194928250340528,1.2424532714135506
149,1.1410847878591581,1.2984556523816926,1.1050912656244778,1.1046537120894688,150344.66880859376,1.1147856542042325,1.2311354152419989
150,1.1537969646657384,1.2685386516153812,1.1117887863746057,1.1115477345883846,150240.0965909091,1.1154531206075962,1.2468204651685322
151,1.1513462762037914,1.3026454196799369,1.113873541718576,1.1121383790265431,150421.23197798294,1.1264164793220433,1.2475134781316708
152,1.1363153537878623,1.2740418013185262,1.1045421794056889,1.1032613553106785,150362.14861505682,1.1109145301871184,1.234493442756288
153,1.1429351682579794,1.3237923351781709,1.1092376214701956,1.1069252047510374,150341.41632080078,1.1152826584875584,1.2284146261058355
154,1.1460526706207366,1.289723328536465,1.104126265136207,1.106334269401573,150337.96685666454,1.1150116244720858,1.227976979393708
155,1.146252462906497,1.2624027685421269,1.10810675509274,1.1096523952920263,150537.9309269832,1.1155130014170047,1.2289742964009445
156,1.1398247100767636,1.2959477450698609,1.1025914628058673,1.104147573796714,150545.60092397837,1.1104596941953613,1.2166569727031809
157,1.1439871493549574,1.3169847981231968,1.1062238667160271,1.10649884627624,150343.17345252403,1.113071522252126,1.2277801581903507
158,1.1404743737408094,1.3195722710068634,1.104681283608079,1.1058396797540575,150472.526825574,1.1044209713852682,1.2182779561828925
159,1.1538244989656268,1.3620498361332076,1.1115210134536029,1.1135524617774146,150565.54668719953,1.1136519094539243,1.2350708520726157
160,1.1337322655112243,1.3711141133453788,1.1054463982582092,1.1032176851516675,150558.95281756367,1.107264877720313,1.2061743328445835
161,1.1368257066323644,1.3484274670481682,1.1012736197561026,1.1050437674635931,150501.1801252694,1.105870041318915,1.210179346172433
162,1.1378148473226106,1.3839664831757543,1.1072215975115174,1.1120599582791328,150520.52511935763,1.1053431115689731,1.2105925144518124
163,1.1347558061991418,1.3767224529927429,1.107669217920885,1.1016904733010702,150625.81181278935,1.1033745099391257,1.1992966077393956
164,1.135131455002687,1.381109493361278,1.10406294465065,1.104628078094343,150654.29799107142,1.10810382461006,1.2078146938766752
165,1.1331728336058164,1.3988127285106615,1.103754843006263,1.1064720012247562,150661.4555158944,1.1130714582448655,1.2026855954352549
166,1.1263404157830448,1.373962694609707,1.1028196545023667,1.09971119286049,150719.4607747396,1.105993814766407,1.191829749090331
167,1.131068276507514,1.3882841830668242,1.1065792345847838,1.101954913952134,150630.35970052084,1.1079312348088552,1.203246934993847
168,1.125512998728525,1.433505967893499,1.1000198367983105,1.097183017229492,150597.68333333332,1.1111243128083472,1.1862668191131789
169,1.1214504190965702,1.3683759306247036,1.0961416726176805,1.097894458872516,150423.27321477522,1.1052245235159284,1.1730778770787376
170,1.1240279805802165,1.386075864446924,1.1030522792077646,1.0996385482805116,150658.84404296876,1.1117779026428858,1.1880953170963235
171,1.1176147837014423,1.4405701202542889,1.0981009718030692,1.0960369055921382,150747.68746849798,1.104804281925046,1.174405015400938
172,1.1191245856739225,1.4438569498188951,1.100258770957589,1.095006837145142,150744.75751201922,1.1094746136147042,1.1764638800370066
173,1.1187666607339208,1.4151729408730849,1.097103624045849,1.0964005055815675,150770.62523674243,1.100645633538564,1.1754968371745702
174,1.1129916799919946,1.478902146841089,1.09389159402677,1.09397970103636,150589.53523500505,1.1001801798525064,1.1657322496175766
175,1.1160761975660556,1.4282959731335336,1.101085912808776,1.1000938152983075,150636.17768634734,1.1043410471012427,1.170858720796449
176,1.1182684532943226,1.3926577068244417,1.0970145042985675,1.0943234772199677,150790.77781628023,1.1007119473483828,1.1719352067322344
177,1.1198878284634612,1.3950089717164953,1.0983173491863103,1.0937625574214118,150613.97206115723,1.0976991105911345,1.1653841466588133
178,1.1149446195499464,1.4208053389191628,1.0965352810564497,1.0929099290885709,150743.07574918377,1.1016504732163055,1.1610028010148268
179,1.1119288567985808,1.3952182267482085,1.095246941968799,1.088015447963368,150807.56850733902,1.0921527673800786,1.1530813186576492
180,1.10850924184156,1.3723032084107398,1.094312434270978,1.0884240040691888,150870.1845858135,1.0972272708364157,1.151428980060986
181,1.1121714246414958,1.415579941868782,1.0996675081551075,1.09435047718083,150733.20788180444,1.1033522033173104,1.160122485579671
182,1.105087628676778,1.370854185819626,1.092819276015933,1.0890327798468726,150868.00434027778,1.097714858210605,1.1574739849096851
183,1.1051513698129427,1.3724893537163734,1.0914864871650931,1.0887456265362827,150883.3555279356,1.0952392481267452,1.153119099703995
184,1.10496792015506,1.3570919793844225,1.0950359374284744,1.0896690458786198,150900.68461403917,1.0919732244854623,1.1537870797846053
185,1.106625629677659,1.3614436140656472,1.097279290109873,1.091630467917861,150902.92785274622,1.0960709826813804,1.1468995594316058
186,1.1026008224913053,1.374678755402565,1.095084710419178,1.0914009784053011,150793.03762817383,1.0936502873897551,1.1514161886537777
187,1.108092521627744,1.3951123815541169,1.0974752049893142,1.0916788237435475,150725.1784485774,1.0980008545777071,1.1528438731200166
188,1.103900735114896,1.397860779189596,1.095384143292904,1.0906960740685463,150880.25714202426,1.0952923903241754,1.1457834569247145
189,1.0987302355823063,1.3932412204146385,1.0908023431187583,1.084578274325891,150878.33590877758,1.08607332345019,1.1302390448950432
190,1.1025927396757262,1.4080454862117768,1.0963892386782736,1.0937723954292862,150797.0493594899,1.097587521187961,1.145473838255212
191,1.10190673101516,1.406397034227848,1.0929677003040543,1.0881088005171882,150807.87369791666,1.0965416681893327,1.1365084455985772
192,1.0980962064377098,1.3703804695606232,1.0902552111517816,1.0874836105246877,150817.58578953598,1.0902672295148177,1.1304509569155543
193,1.0983428693399198,1.3603667452931405,1.0933738993037314,1.0867445035414265,150822.32022633273,1.090186799143223,1.1351650695543032
194,1.0985257198864764,1.3546330812573433,1.0909240884440286,1.088727204637094,150916.01163258273,1.0906551236167867,1.128336373520525
195,1.1028363639261665,1.3380542070257897,1.0961406074464322,1.0911105938933112,150879.31756036932,1.0931640150754347,1.1400446964276802
196,1.099788659592954,1.3307340589224124,1.090446461991566,1.0880921967327597,150911.96848366476,1.0918416761689715,1.128323835986001
197,1.0954674925655126,1.3518816921508536,1.0898666378110646,1.0843707156735798,150906.36969449627,1.0838298282840035,1.1236281948430198
198,1.0976650643916357,1.367232992969177,1.089862554201058,1.0870062197473915,150811.7388269761,1.089410870928656,1.129308543707195
199,1.0906451955074217,1.3050812184810638,1.085851068540317,1.0835275817208174,150956.2222254136,1.083168741654266,1.11843049566488
200,1.0954689893871543,1.3024924732744694,1.0920412602221097,1.0884234702045268,150763.9349006204,1.0862974592230537,1.1270743827852938
201,1.0899237720739274,1.3069516839804474,1.0850741072070031,1.082451904921428,150928.12893497242,1.0866975093141515,1.1147081882525711
202,1.097883288349424,1.2836938218937979,1.090269251964813,1.0891482708129017,150958.85730865036,1.089676956443683,1.124493928291859
203,1.097892963815303,1.3005467162088111,1.0917627669689132,1.0882176500420238,151002.76517857143,1.0891126126728274,1.1325297413600817
204,1.0976535248614492,1.2903777007703428,1.0909447361316,1.0866624845022506,150824.07849839155,1.0888660462654156,1.1305717018089796
205,1.0965702697271251,1.2956852973611266,1.089739130366416,1.0874947652567264,150678.8233570772,1.089690911160274,1.1293436006495827
206,1.0914341665622664,1.2886157355926655,1.0883723381089,1.0849421430717816,150894.00331182065,1.0861899442970753,1.119646896265055
207,1.0945079116485057,1.2573347513874369,1.0889649921801032,1.0875304003314274,150906.43526785713,1.0867603925818747,1.122237719808306
208,1.0948371248585838,1.2878625161117978,1.0889950744634451,1.0865792869166897,150876.75600298712,1.09036073833704,1.1231398521325526
209,1.0990307949483396,1.263350966627951,1.0932337095340092,1.0900097695941275,150567.74908088235,1.0924363146451386,1.12346689886338
210,1.0916773542052225,1.2858496048233723,1.0879349211851757,1.0820481123572046,150878.32625804227,1.0875184874642978,1.115774863013407
211,1.0937052968889476,1.250828845081506,1.0875711217522621,1.084986906160008,150866.01849888393,1.0884236100722442,1.1165948686631102
212,1.095066635710437,1.255481334472144,1.0881365874693507,1.084100929512219,150874.0423224954,1.089152036404068,1.1120164535748651
213,1.0863019997874896,1.268903592670405,1.0847809081050483,1.0815923064947128,150869.3959386489,1.0823779922599597,1.1069632064551116
214,1.0914366390646957,1.2409001331437717,1.0848666487092322,1.080809506219487,150829.42833754595,1.0854909958487209,1.1098984435200692
215,1.0915975138181593,1.2401186561694852,1.0881705176691676,1.0843595838682218,150720.13852391098,1.086269010874358,1.1136757064806788
216,1.0896113423200755,1.25155485973314,1.0864424818172689,1.083845471697194,150765.87151442308,1.088232366537506,1.108373038470745
217,1.0907267699154413,1.2455678096523992,1.0855019759725442,1.0831045764823293,150824.21889796402,1.0929216951765912,1.1074613022961115
218,1.0940457021906262,1.235790326639458,1.0890390912691752,1.090695458650589,150818.2311246502,1.092145941220224,1.1110394110039967
219,1.0896396186202764,1.246024837648427,1.0856193710457196,1.085671472688054,150764.26265158583,1.0884249330835138,1.1061785265803337
220,1.0894853185862303,1.2495202441458348,1.086379439654675,1.082406330247258,151015.04506983902,1.0914503351805058,1.1034092351794242
221,1.0895052366867295,1.2296926216394812,1.0852095288309185,1.0844294636748557,150899.94205729166,1.0881155524402857,1.10325460806489
