step,deepseek1.5b_sync_8gpu_lr3e-6-rollout_corr/rollout_ppl_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-rollout_corr/rollout_ppl_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-rollout_corr/rollout_ppl_step,deepseek1.5b_sync_8gpu_lr5e-6-rollout_corr/rollout_ppl_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-rollout_corr/rollout_ppl_step,deepseek1.5b_sync_lr1e-5-rollout_corr/rollout_ppl_step,deepseek1.5b_sync_lr1e-6-rollout_corr/rollout_ppl_step
52,1.4473067031879174,1.4189476311206817,1.2987722334189291,1.3961114628534568,147277.86588541666,1.272500907257199,1.5576771206476472
53,1.462359196833662,1.3997514348477125,1.3025949632650928,1.3951430061930103,147335.45841117526,1.281026344942419,1.5809360342946919
54,1.4800303865496705,1.4372517124908726,1.3193412132206417,1.4086834776860018,147617.38630558894,1.2965262031980924,1.610338681741901
55,1.4800248516675754,1.4440068050128658,1.3224901360709491,1.415776241766779,147791.91785606972,1.3008134755350294,1.5808674848597983
56,1.4777022397670991,1.4287234965711832,1.3289163566944076,1.4208420656430416,147831.06490071616,1.2935211388837724,1.6102397047811083
57,1.4490626858253228,1.4104675936855768,1.3101533443519944,1.3928057284731614,147922.31619966947,1.2887971339429296,1.6019291631704151
58,1.4353496116541682,1.4194247350096705,1.3023679402064194,1.396186382642814,148012.70113760966,1.2782900346650017,1.576927198135123
59,1.4129199190508752,1.3924436204135415,1.2988848143390246,1.3766528577322052,147583.24884406888,1.2674110400122265,1.5540570840239525
60,1.4497132081361044,1.4329187401703425,1.3170772198587657,1.4157761690162478,,1.2972998934035949,1.6153646657864251
61,1.425934928028207,1.4286126047372818,1.3083808601579885,1.3774462835419743,148000.8720150354,1.2859098231014998,1.5707785235510932
62,1.4167832744618256,1.4029416171343705,1.300708708167076,1.3615027540005171,148284.0357960668,1.2662467371140207,1.57151236012578
63,1.3868076769929183,1.3934116088427029,1.2834731718388999,1.3234376960567065,148303.0636786099,1.2622959742491895,1.5325501683083451
64,1.4139496050775051,1.4043700083305959,1.3085329673993282,1.357466995343566,148427.7416643415,1.2763980268722488,1.5688556294888258
65,1.3729647309393496,1.3815568250260857,1.2767496785012686,1.3342169643867583,148464.70588631465,1.2545044752103942,1.5249758245689529
66,1.3613209720398929,1.3752169154584408,1.2686941847205162,1.327237484710557,148481.53747979525,1.2392389167632376,1.5195586982854576
67,1.385262513885627,1.345967517087334,1.2779213510453702,1.3350978460980625,148518.92389547414,1.253101528755256,1.5509763089723363
68,1.3390797964400716,1.3126539572289115,1.2554491582589271,1.2940860371559093,148638.1438293457,1.2111024100865635,1.493274363667466
69,1.3571399321427216,1.3224579034707484,1.2552180290222168,1.2989386240156686,148771.16006019467,1.2176654796515192,1.4983445013111287
70,1.354656313319464,1.3505052630054324,1.243608132407472,1.2959602857247376,148763.53486328124,1.2206656825403834,1.5161385352528371
71,1.3663722053170204,1.3846526545913596,1.2570837109516828,1.3115078218281269,148916.24940146168,1.2404861624042194,1.545452336470286
72,1.3879558485415249,1.3854818889185,1.2683377051964784,1.3117490967824346,148984.46247438525,1.2459499027047838,1.5639450323014032
73,1.3548717295957935,1.3342477161633342,1.236557164304965,1.293807425150057,148982.53356933594,1.2180449079449585,1.5202949272423256
74,1.3386463112122304,1.3738245639281397,1.229593185217757,1.2864544206276172,148980.07394588695,1.2182153449172066,1.504228343450746
75,1.340483332673709,1.3582380433615886,1.2353353863343215,1.282498284056783,148809.28802849265,1.2235277990500133,1.4997534072253762
76,1.3618039617107969,1.3553374053703413,1.2393677466009791,1.2988930264624154,148216.19129269622,1.2265974933781274,1.5287410974502564
77,1.3214902579784389,1.3365551735225476,1.2167378515005112,1.2715658403578258,147693.58227539062,1.2053378628832954,1.486464723235085
78,1.3256633676387168,1.3493836602649174,1.2182567212730646,1.2696852276964885,146515.89326171874,1.2046792414926348,1.5026480108499527
79,1.3376836514956243,1.3943324783130695,1.227266713604331,1.2709056330578667,147099.57563920456,1.2090437642875171,1.5142229444214277
80,1.3171745530433123,1.413204629678984,1.210630019774308,1.257907147087702,148077.1008998326,1.1954139123360317,1.4892941348646815
81,1.3151070848107338,1.3855550457772456,1.2171755816255296,1.2579922147449991,148441.82243795955,1.1955627469079837,1.4856639110616274
82,1.3316093840309091,1.37395006339801,1.22006377838552,1.2724392225102679,148773.1065882241,1.2000387030285458,1.502647778019309
83,1.3248291094052165,1.3849494497518282,1.2193373129135223,1.256492431089282,148809.682532269,1.2039349934174899,1.489152458153273
84,1.3050959794907957,1.3420824573652164,1.2017199530815468,1.2529251281172038,148954.87136008524,1.1852644344880467,1.4791057047091032
85,1.309509164094925,1.3442299350311882,1.2148116823463213,1.2421227132165156,148719.29407380757,1.1898687641051682,1.4782546410957973
86,1.3055879289382382,1.3248057485454612,1.2070405497783567,1.250672775010268,148763.63937717013,1.1936367175408773,1.471454193315855
87,1.3017218940352138,1.3463097034316314,1.2107680054699503,1.2463653153458307,148830.858859592,1.1849004113396933,1.4541333215992625
88,1.288326298868334,1.3593881323530868,1.200738143630144,1.2342166044684344,149025.0120361328,1.1831475382759458,1.4578512694686652
89,1.2782838885721408,1.345401058071538,1.19717034350994,1.2245369218289852,149272.2215465199,1.1789098243144425,1.4480636066624095
90,1.2839937882452477,1.3157757050112675,1.1936186991986777,1.2262910195561345,149450.44065504806,1.1705947393594789,1.4367726274899073
91,1.2881056513441236,1.3285470061205529,1.1987317746005408,1.227230776373933,149384.74377211084,1.1777324680061567,1.451079364006336
92,1.279932970801989,1.3162194259072606,1.1934023393051965,1.2178187214515426,149457.59031394677,1.173303230625132,1.4421219066494988
93,1.2886142244464474,1.3204910106755592,1.187437655069889,1.2241332098841666,149481.7107747396,1.1876371158730417,1.463410483771249
94,1.2901532759791927,1.3040737489590777,1.1941907733678818,1.2203203624203092,149532.60259540266,1.1840823484318597,1.4566489282995465
95,1.2681948596404655,1.323619352446662,1.1797700352393663,1.2104816313832998,149629.40127505898,1.1667694238627828,1.4375510831942429
96,1.2468328197535716,1.3050628092728165,1.1793114532057831,1.1946693724248467,149589.9916087963,1.1649249763715834,1.4098733916532162
97,1.2721084634724416,1.3206640364308109,1.190715376560281,1.2068789611722148,149686.76481681035,1.1761626909886087,1.4390785170671268
98,1.2818820602015446,1.2993679617842038,1.1846739842397411,1.208910654104033,149671.2686917489,1.1681105544169743,1.445660469372098
99,1.2481075183647434,1.310392171928757,1.177109979802654,1.1935964950988458,149776.13167613637,1.1627325766852925,1.4239713192679162
100,1.256871840892694,1.339195630840353,1.1791817749801434,1.1933351669460537,149793.75740840516,1.1591465239013945,1.4167635980106534
101,1.2543233536183829,1.3031823493932422,1.1792171487496013,1.1895456062186331,149802.55813802083,1.162735311483795,1.4173861106946355
102,1.2614321066783023,1.3310394773357792,1.177072514735517,1.194629010267374,149859.17727661133,1.162669255974747,1.4336251396508444
103,1.2458955813199282,1.3046992311352177,1.1644644577328749,1.1745754540676163,149777.26966366524,1.1527252969416706,1.395267500746541
104,1.2553569933301525,1.2753152956857399,1.1774607383106883,1.1937941385385318,149876.10044642858,1.154328931300413,1.419698144412703
105,1.252652295135163,1.287760417251026,1.1783069387460363,1.1938208094552945,149864.94127604167,1.1562359180478825,1.417685128748417
106,1.239756353199482,1.3311300378393482,1.1702075873812041,1.1910500586742447,149828.67838016633,1.158020360602273,1.3992765794197721
107,1.2492400053001584,1.3018591588265018,1.1752088414061637,1.194449739700014,149948.5097360322,1.1595964622886286,1.404374011570499
108,1.2353442506148264,1.3041608663829598,1.1608998819095333,1.179267796377341,149958.60263356855,1.147423433356507,1.375822115316987
109,1.2285686504095792,1.325457843510728,1.155374859770139,1.1701205417860383,149903.76808215727,1.1440117107260794,1.3674029012521107
110,1.2317593457495295,1.3153213909582089,1.1610884252117901,1.1758454819520314,149855.716796875,1.154464007086224,1.3806533504809653
111,1.238583249088965,1.3157975105820476,1.1642587660324006,1.1811411380767822,149862.70913233902,1.1533368343398684,1.3748028627256068
112,1.2286678948684742,1.2704596945217677,1.1565964416815684,1.1686415748625267,149984.13298740672,1.147222489118576,1.3548717130389478
113,1.2369157221345677,1.2995995014078088,1.1587154621427709,1.1783502467653968,149903.4654107863,1.1570771499113603,1.3649937597716726
114,1.2175569330391132,1.2650177122818098,1.1450970852520408,1.162432535773232,149890.55896577382,1.1399949586817195,1.3552937457958858
115,1.2162700616999675,1.2802549902763631,1.1518111530600526,1.1651883696516354,149880.62932054923,1.1431977869499297,1.3479966474206824
116,1.2168400191834994,1.3083187180914375,1.1516897658055478,1.1707354406515758,149972.10127527572,1.1496666122314545,1.3647003855024065
117,1.2074477594345807,1.2803452627526388,1.1407206425579584,1.1511996569378036,150028.8204273897,1.1409234142019635,1.3351558680469926
118,1.2154545906931162,1.322628743342451,1.1520317276803458,1.164175618262518,150013.35294117648,1.15090204848022,1.3547269962728024
119,1.219584196805954,1.3052497513592245,1.1482185860474905,1.157898023724556,149983.51036879595,1.147850555843777,1.3420147622047471
120,1.2061791757032985,1.2877919154392707,1.147432689639655,1.1516803641404425,149969.83791893115,1.1483528780795278,1.3375362757593394
121,1.215687565150715,1.2615878360496986,1.1575835062698885,1.157760853568713,150081.1148158482,1.1500182293710255,1.346849577128887
122,1.1936430812646182,1.264160362796651,1.1432094950051537,1.1506849106401205,149978.21142578125,1.1352575240390639,1.3173907912875478
123,1.2004708712681746,1.250031619436211,1.139202120155096,1.154710828140378,149770.07537699855,1.1415646363322327,1.3359349241127838
124,1.188500440191655,1.2480350580066442,1.1365850449285724,1.1459145338036294,149755.14224054784,1.1280650682747364,1.3193626038730144
125,1.197089779667738,1.2444580120918078,1.1377354204654693,1.147517403960228,149248.75543870192,1.1324957030063325,1.3319530769398338
126,1.1919414504216268,1.2589367691427469,1.1375481351500465,1.1516109738498923,149147.4920247396,1.138249254023487,1.3308514991873188
127,1.1790514612520062,1.2323615554815683,1.1326670669019223,1.1378286477178334,148691.72805989583,1.1276479505357289,1.3175655722618105
128,1.1803647006551423,1.2152607972041154,1.1256172321736813,1.1358104038697023,148220.8869047619,1.1274367541074752,1.3116252000842776
129,1.1714963705131882,1.263578511029482,1.1331742507655451,1.141950262337923,148188.043359375,1.1294036624687058,1.3037428420943182
130,1.1774010090600877,1.2829779494553804,1.1333369091153145,1.1376915996273358,148369.64425223213,1.1335255636109247,1.3146842576381637
131,1.1886393094533367,1.279336732549545,1.12985378939931,1.1416756474390262,148811.94057992788,1.139266463906266,1.3193261653184891
132,1.16791126171225,1.2704336368120634,1.1262161829849568,1.132048374414444,149099.19357299805,1.1320732332939325,1.3109425948216364
133,1.1680232133620825,1.3005598105490208,1.124627831869009,1.126923430711031,149448.62633634868,1.13540595498952,1.2898685324650545
134,1.168667204104937,1.2951637693704705,1.1205251972849777,1.1360092785209417,149603.4394077035,1.129813234126845,1.2910342753717774
135,1.175968199968338,1.2941423429128451,1.124636256071024,1.1322582824978715,149681.99193050986,1.1349180470342222,1.3021541304886342
136,1.1789439944993882,1.377597544164885,1.1250896985557943,1.132600799912498,149473.9366383272,1.1388406150870851,1.3094401680506194
137,1.1540435827695406,1.2941927090287209,1.115656214810553,1.117447457299,149313.10693359375,1.1222248262037402,1.2624803223671055
138,1.1586017447548944,1.269201174378395,1.1176673223574956,1.1215106458277315,149514.8794642857,1.1206409502320174,1.2620411585602496
139,1.1773349039065533,1.3121081061269109,1.1255558471127254,1.132153661512747,149712.94834498354,1.1274164634801092,1.297429136730529
140,1.1686727773575556,1.2983789122418354,1.1222191133669444,1.127182319405533,149779.46628534226,1.1316754924399512,1.286019816994667
141,1.1564795193148822,1.3183840964085016,1.115823207866578,1.116802728247075,149736.49469259512,1.1223696378015338,1.2592676825620033
142,1.1602137696284514,1.31905405654719,1.115894325622698,1.1187620929828503,149778.81721297555,1.1172144849385537,1.2554733323700291
143,1.1549862340092658,1.2928935128908892,1.1161468437030202,1.1210819882590597,149758.53717912946,1.1233077981444293,1.2696605092462372
144,1.169048466572636,1.2708183256419079,1.1206393349915742,1.1246777452528476,149949.1033203125,1.1292274583910786,1.2752413179944544
145,1.1508567241521983,1.2711264365597774,1.1121298104524613,1.1141097091138363,149718.11997070312,1.1249978631025268,1.249810032320745
146,1.1631560651368873,1.3170935675501825,1.1187809060017269,1.1181429655745971,150023.91832386365,1.1238708658062893,1.268216969999107
147,1.1534685577181252,1.291387470030203,1.116876442517553,1.1157652086445264,150020.2961107337,1.123892631641654,1.254650904922872
148,1.1461361927348517,1.2796494851752025,1.1091533597558736,1.106200586731841,150010.938984375,1.1182969458574472,1.2419890945448595
149,1.1406803425740113,1.2959708315985543,1.1045509360375858,1.104030380888683,150047.14390625,1.1139268719014668,1.230737574836787
150,1.1533325914202668,1.267369558662176,1.1111604598088145,1.11086968742311,149948.33629261365,1.1142152100801468,1.246330465464031
151,1.1508631272448433,1.3013276840959276,1.113281389925538,1.1114425500008194,150133.56081321024,1.1254668682813644,1.2470479446806406
152,1.1357208780753307,1.2728554062545299,1.1039821039885285,1.1025616154074669,150073.68710049716,1.1099506801948316,1.2340602962409748
153,1.142503514192825,1.3225479576559294,1.1086867651561412,1.1063352876475878,150051.64331054688,1.114526765929027,1.227961305724947
154,1.1455865466878528,1.288009991603238,1.103560414256119,1.10575668407338,150044.30933115433,1.1141206185485042,1.2275300320041806
155,1.1457765900662966,1.2611162171858112,1.1075351797044275,1.1089664512291186,150243.46424278847,1.1145369226849355,1.2285404656496313
156,1.1393878431547255,1.2946052502840757,1.102013785764575,1.1035398757312356,150251.97472205528,1.1095594384130978,1.2162944509794835
157,1.143561413955121,1.3154982513770823,1.1057017013430597,1.1059446128254586,150055.4951923077,1.1120130534876476,1.2273179418162297
158,1.1399596886975425,1.3177722100077611,1.104043874517083,1.105238671219626,150185.651825574,1.1035857353099556,1.2178405833405417
159,1.153290794009254,1.3597177845381556,1.1109840366989374,1.112920446055276,150266.4680363582,1.1126653631759245,1.2346217867575189
160,1.133289218641991,1.3689854446707703,1.104859686115893,1.102662623992988,150259.22544126157,1.1062046556987546,1.2057346948667576
161,1.136377765309243,1.3467397462754025,1.1007508996874094,1.1044401714489571,150202.04094827586,1.105023170736703,1.2097505248690907
162,1.1373444608388803,1.3820730359071778,1.1066770761420852,1.1114097003425871,150225.27352792246,1.1042502476345926,1.210155506782672
163,1.1343195126170205,1.374809637327086,1.107056166704108,1.1010348080169587,150338.47786458334,1.1022819103229613,1.1988847971790366
164,1.1346109983248591,1.3787802308797836,1.103494430058881,1.1040436959848172,150363.58032226562,1.107038326561451,1.2074304129396165
165,1.132607923526513,1.396651478992267,1.1031356566661112,1.1058713365346189,150370.25114493535,1.1119679727337577,1.2022606314105146
166,1.1258377334693583,1.3717078515751795,1.102251857127014,1.09908295777582,150426.95423177083,1.105036793445999,1.1914602424417222
167,1.1305914084826196,1.3862164762357008,1.1060126072321184,1.1013518985022197,150335.9513671875,1.1070629406807035,1.2028115484360102
168,1.1250157703955967,1.4309329266877884,1.0995155267417431,1.0966013558208942,150308.98766276042,1.1101422947506572,1.1858740162692571
169,1.1209590748736733,1.3628519757961233,1.0955681551147152,1.097288241110197,150137.2322848136,1.1043577130351747,1.1727007291146687
170,1.1235267587360882,1.3846377800119685,1.102454769902113,1.0990388134405726,150372.48701171874,1.110967181126277,1.1876802839137413
171,1.1171714596095539,1.4392080268134242,1.0975874591618775,1.0954483916813678,150458.26102570564,1.1041016727685928,1.1740155119348217
172,1.1186579675191926,1.4419588332480573,1.099713485315442,1.0944256290145542,150457.82560096154,1.108756561966046,1.1760634164276875
173,1.1182573372271003,1.4130979205699676,1.0965883281081914,1.0957340154536934,150471.51964962122,1.0999594777822497,1.175103331337104
174,1.1125232169315928,1.4768402141829329,1.0933273427543186,1.0933407094420455,150306.03802293347,1.09944161578365,1.1653249444145906
175,1.1155636844838537,1.427016463051451,1.1004904791712762,1.0994790125460852,150345.15591380635,1.10355232413425,1.1704405473811286
176,1.1177902118790717,1.3916879581908386,1.096459457650781,1.0937480174359822,150494.62852822582,1.09989160531097,1.1715235621542543
177,1.1193304090965084,1.3939503304501797,1.0977020412683487,1.093174853495189,150325.27142333984,1.0968554068443388,1.164994792026632
178,1.1144795268774033,1.4197082981467246,1.095938163853827,1.0923243811862036,150457.4637214319,1.1008713494824327,1.160602982227619
179,1.111449492474397,1.3939651039739451,1.0947323471307755,1.0874454453587532,150521.98703835226,1.0914236144887075,1.1527157669004642
180,1.1080354434806248,1.3709450465440751,1.0937293831259012,1.0878283290601358,150577.22882564485,1.0965391089734824,1.151102433034352
181,1.1116869832788194,1.41391806691885,1.0991025771945715,1.0937267447390209,150448.99558971773,1.1026051711776983,1.1596992060139373
182,1.1046110437739465,1.3699959009885787,1.0922785906530008,1.088437367053259,150584.61635044642,1.0969753877624222,1.1570610870656215
183,1.1046792495818365,1.371421534717083,1.0909477893263102,1.0881710658696564,150600.7450580019,1.0944214245925348,1.1526884243295
184,1.1044916496044253,1.3561507272720337,1.094556887447834,1.0890563388423222,150616.86304804104,1.0911999693648382,1.1533944577806523
185,1.1061418805093992,1.3604771104454991,1.096819967404008,1.090982494921219,150605.90734493372,1.0953028013308843,1.14654130447242
186,1.102121207330908,1.3738511312007904,1.0945396784693002,1.0907602946205837,150506.9290008545,1.0928893619113498,1.1509967801325462
187,1.1075647860055875,1.3940877125543707,1.0969518151134252,1.0910464592632794,150439.04881354945,1.0972240930018218,1.1524657780925434
188,1.1033226982798687,1.397218006790853,1.0948542651127686,1.0900887850333345,150596.66036030784,1.0944721288979051,1.145363809246766
189,1.0982304602151824,1.392583778500557,1.0902742104870933,1.0840095847167752,150596.31333295038,1.0853322154663978,1.129878968403146
190,1.102053841309888,1.4074300369620325,1.095872549783616,1.0930606875229965,150516.69916130515,1.0967447798078258,1.1450557527509897
191,1.1014121245770228,1.4057308241724968,1.092488063181319,1.0874536169899836,150529.81318063446,1.095601511762497,1.136088953990685
192,1.0975666565950526,1.369843553006649,1.0897360263126237,1.0868659625912822,150526.18418560605,1.0894365636631846,1.1300939180349048
193,1.097823720879671,1.3597384840250015,1.0928674787282944,1.0861018357629126,150535.32121725642,1.0895074894453616,1.134752178111592
194,1.098007793114944,1.354068994820118,1.0904206151054021,1.0881335376338526,150625.3912856158,1.089887467470575,1.1279737408223904
195,1.102325671329731,1.337496875840075,1.0956260040402412,1.090581478043036,150586.23581025095,1.0922994934346364,1.139642587384662
196,1.0993016387631254,1.3301601135263257,1.0899344188411062,1.0874531594189731,150635.0195016572,1.0911155581474303,1.1279198889221465
197,1.0949651140719652,1.3512867731305789,1.089368287473917,1.0837434149065683,150624.6394298041,1.0829695977947928,1.1232595758778707
198,1.0972026015321414,1.3666960042383935,1.0893292022602898,1.0864106464115055,150533.68932387407,1.0884598642587662,1.1289301526389623
199,1.0902039495910083,1.3045901520936578,1.0853648036718369,1.0829102386061735,150667.8909409467,1.0824200541458346,1.1180453501843115
200,1.094972912222147,1.3019882056575556,1.0915367646915155,1.087804594839161,150465.653420841,1.0855862650681625,1.1267029245694478
201,1.0894316757718725,1.3064221298253094,1.084602616727352,1.081856657953366,150636.19680606615,1.0858034814925903,1.1143574114793386
202,1.0973601671201842,1.2831556223056937,1.0897848027390102,1.0884717310016805,150671.1450124547,1.0888436588904131,1.1240992435278037
203,1.09739274425166,1.300027560028765,1.0912349987320784,1.0875316612249195,150698.53211495536,1.0882933884859085,1.132159948348999
204,1.097139457506793,1.2897426303890016,1.0904343181422778,1.0860823799263348,150547.99167049633,1.0881074346278026,1.1301750262316903
205,1.0959954018273004,1.2951730934006196,1.0892718377567472,1.0868611439715985,150390.51740579045,1.0888391350480644,1.1288953094105971
206,1.0909191359107089,1.2880263957712386,1.0878818827431376,1.0843357623300771,150599.75130208334,1.0853762985630468,1.119235494419148
207,1.094005374954297,1.2568237469704062,1.0884685323732657,1.0868575692903706,150597.24765625,1.0859730883755467,1.121807511789458
208,1.0943597228754134,1.287342831492424,1.0884637524222218,1.0859312733465976,150580.81083409928,1.089592082933946,1.122729372137632
209,1.0985183633863926,1.2627368414843525,1.092741252765769,1.089354321360588,150277.5090188419,1.091676231812347,1.1230657221497715
210,1.0911651491409255,1.2853209316730498,1.087465869386991,1.081376400860873,150595.82505170038,1.086766838688742,1.1153981961855075
211,1.0932099144905805,1.250387888815668,1.087099587988286,1.084299482066523,150530.60107421875,1.0875813297250054,1.1161563929758571
212,1.094491398552569,1.254982042643759,1.087626463245778,1.083385781808333,150579.46599264705,1.088351415300911,1.1116131777182603
213,1.0857704107960064,1.2683940780935463,1.0843103677034378,1.0810240950774064,150584.54236557905,1.0816575912758708,1.1065813675522804
214,1.0909398550667413,1.2404694259166718,1.0843614736063911,1.0801677655342012,150544.7307846967,1.0847967642952094,1.1094704348593951
215,1.0911263452797402,1.2396637402750827,1.087674625391184,1.0837409205057404,150439.2987837358,1.085616653615778,1.1132571160009033
216,1.0890949200361202,1.2511192171110048,1.0859043783530955,1.0831505131153834,150482.68494591347,1.0875258611684495,1.1079478228562756
217,1.0901660762908982,1.2450839154146336,1.0850119912488894,1.0824699713740238,150539.29518821024,1.0921681570879958,1.1071001224611934
218,1.09347599567402,1.2352874014112685,1.0885225597355102,1.09000570707851,150533.88427005598,1.091370800199608,1.1106164913351944
219,1.089117306470871,1.2455974665504914,1.085146221924912,1.0850925099018007,150480.7798361707,1.0876336646206834,1.1057652950286865
220,1.0889858793467284,1.2490128206985969,1.0859290046448058,1.0817292405422343,150729.61298532196,1.0906300960069006,1.1030270356684924
