step,deepseek1.5b_sync_8gpu_lr3e-6-rollout_corr/k3_kl_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-rollout_corr/k3_kl_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-rollout_corr/k3_kl_step,deepseek1.5b_sync_8gpu_lr5e-6-rollout_corr/k3_kl_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-rollout_corr/k3_kl_step,deepseek1.5b_sync_lr1e-5-rollout_corr/k3_kl_step,deepseek1.5b_sync_lr1e-6-rollout_corr/k3_kl_step
27,0.000413531443427928,0.0004995995802649607,,,,0.0005047496095011454,0.0004353491803288177
28,0.00040505047005960176,,0.0005572409529743642,0.0004334339199359467,0.0005042696440303492,0.0005266001055707946,0.0004319285821485905
29,0.000408602481339975,0.0005046115845219062,0.0005739033114016485,0.00041535551654784574,0.0008300178588579793,0.0005582026298927505,0.00041961398889520015
30,0.00039366827361329734,0.0005086581119973778,0.0005314957328856077,,0.0003869036568007518,0.0005868627753156225,0.0004182811661779012
31,,,0.0006366746435848721,0.0004192364293358926,0.0004139906660460232,0.0006173946965645882,0.0004354648629032454
32,0.0004242391797561141,0.0005167098525244337,0.0005645046990028321,0.0004277557030191685,0.00036588724715053985,0.0005955646933043248,0.000416232823511109
33,0.0004281738150893943,0.0005318533468688166,0.0006270710274293379,0.00041095522484331585,0.0003868510153876871,0.0005435223755761754,0.0004302456835603152
34,0.00042038045912704545,0.0004931799699429226,0.0005449462525575655,0.0004208280330969597,,0.0005202014384562254,0.00042963924098936935
35,,,0.0005350477817046339,0.00041813876714513754,0.00010063849056710492,0.0005375355368701811,0.0004174038593255478
36,0.0004191402290527504,0.0005015986237184752,0.000527316594809413,,,0.0005408215353626718,0.00043051367233062394
37,0.0004021264692710247,0.0004888923958013889,0.0005548031804210041,0.0004129927290609646,,0.0006401309045893294,0.00040662650962985936
38,0.0003923539616658269,0.0004698644478263635,0.0005288233130493992,0.00042693179656871016,0.00020894710082757227,0.000523245105058949,0.0004109721078818368
39,0.0004022469303986566,0.0004846743577218149,0.0005163889950381417,0.00043294335484507686,0.00014513927557941472,0.0005350323098809895,0.0004192686919164119
40,0.0003940642595224721,0.000477487310159962,0.0005123838746863513,,,0.0004858997007232108,0.0004149169600350433
41,0.00042764667150316737,0.0004931096379798626,0.0006024279347911943,0.00043433897287265374,,0.0005586960455080511,0.0004283007972089591
42,0.0004208484287071195,0.0005202222979480413,0.0004923865207750904,0.00043140324630387895,0.00010740560483219796,0.0005336719557037993,0.00041083995116563386
43,0.0004011649124593186,0.0004976318690209387,,0.0004178831799695867,0.00015750987246053084,0.0005001301303872467,0.0003960500802559881
44,0.0004351471934796791,0.0005085996744614825,0.0005406979687991441,0.00042089186475398793,0.00029018768190891217,0.000549182553408084,0.000395287571243861
45,0.00040376024303330314,0.00048425542382060286,0.0004921443325952697,0.000489166103135277,0.00024604788458049143,0.0005109949647400451,0.0004040983327357418
46,0.00040090519900872634,0.0005067127916390746,0.0005456042039267707,0.0004722535172399281,0.00013534696656591905,0.0005945123768599712,0.0003990091411632169
47,0.00039263025546215185,0.0004875115385114374,,0.00048477548608345735,,0.0005298305032262025,0.0003882769715346512
48,0.0003981355765842766,0.0005281591797722198,0.0005417072586565971,0.0004388816067148582,0.0001275398636715564,0.0005513858858449101,0.0003971293094006494
49,0.0004203320806099279,0.0004729147393455995,0.0004784836440064412,,0.0002438576506956056,0.0005019241243644501,0.00038822891239128103
50,0.0004064326279019172,0.000528757984807271,0.0005561127321785674,0.0004375806876506997,0.00021031355440655992,0.0005983167301565117,0.00039864729329896033
51,0.0004057551944112804,0.00045263948955036494,0.000490143227716544,0.00044278898119381137,0.0003159310227531586,0.0005384073996083316,0.000382997685462922
52,0.000396751099718753,0.0004628490477443847,0.0005627053837647858,0.0004160104070155955,0.0004901458979134077,0.0004630522179922991,0.0003798042532707768
53,0.0004123676977493184,0.0004706434537183668,0.000471451950033952,0.0004541014636503716,0.0005612941592699906,0.0005205082164761016,0.0003880154944536943
54,0.00041625880933169376,0.00048539097747934425,0.00046050034520054135,0.00041523890920358006,0.00010767082338903632,0.00048499075024838455,0.0004016681542334086
55,0.00041325414965215785,0.0005283786820921417,0.0004959636327573495,0.0004559628626003886,0.00036986099856816366,0.0005631632479673412,0.00039388907822760064
56,0.0004260463847925003,0.0004815464623789012,0.0004916880469220526,0.0004294500893313223,4.75413684881687e-05,0.0005258785757264594,0.00040572980162525914
57,0.0003996070834450381,0.0004997599599415768,0.0004950532305596617,0.00048039475055511023,0.000261991021705381,0.0005325372514517967,0.00039714529364488934
58,0.0003940736232834752,0.0004773940834292305,0.0005281962120617126,0.000436080022891041,0.00045878529547201,0.0005103178882159733,0.0003915514603713931
59,0.0003811461851693734,0.0004975500146429113,0.0005192881224372416,0.00048195972959504054,0.0011751251420589273,0.0005400308190114312,0.0003800682554712061
60,0.0004268217948092136,0.0005156692913087248,0.0005050118813414884,0.0004465843455926959,,0.0005571295823756373,0.00041162019821664825
61,0.00039844938754341505,0.0005669142909737718,0.0005218272324120996,0.00048057637910200616,0.0004174124099674957,0.0006517544427918873,0.0003990532886139894
62,0.00042478595868386846,0.0004951309372125635,0.0005218045356286894,0.0004251961029998104,0.00019924800056577593,0.0005055206994646662,0.0004007639765859494
63,0.0003882142068026664,0.0004836888702601965,0.0005347294175341475,0.0005157749632243871,0.00016358505525533535,0.0005160410662690331,0.0003802796882568642
64,0.0004066155893269752,0.0005024324418866998,0.0005056890971527303,0.0004551675469883776,0.00029732989222403764,0.0005803499287659568,0.0003965599464663683
65,0.00040891265465737935,0.0004849484306951605,0.0005224037641909956,0.0004403818092257661,7.93485523017964e-05,0.0005107375597314482,0.0003859896865140486
66,0.00037102413040662903,0.0004916914345585611,0.0004727847877347813,0.00040592203779288825,0.0002324393393741016,0.0004890564701955078,0.0003874051680488561
67,0.0003976977494046976,0.0006888779516166802,0.0004762330778703472,0.0004221296508703523,8.131827927948914e-05,0.0005437990167982727,0.0003918695900760805
68,0.00037186763665886247,0.0006161829707803248,0.0006063528273956856,0.0003867838259350556,0.0002383787475856991,0.0004848300071075972,0.0003735641196747798
69,0.0003740447465699273,0.0006912087773787043,0.000520731171945954,0.0003883334701219233,0.0001069823483610472,0.0006174525622208464,0.0003717648596234953
70,0.00039896954518012906,0.000526776071015583,0.000551552248096512,0.00042294240940977127,8.836902631893887e-05,0.0005832216817040273,0.00038155483436935885
71,0.00039083511597305513,0.0005882792014936536,0.000554336499426893,0.0004335479636210948,0.0001390976285968522,0.000564079207140908,0.000398449028147124
72,0.0003929630593120237,0.0005295598199441692,0.0005427444756116109,0.0004325011846265711,0.0002456466247734125,0.0004963276491946003,0.00040498008699311566
73,0.000452622221018828,0.0005115591677502763,0.0005699884577798248,0.00041738702850302727,0.0003940210537933808,0.0005860214027629033,0.000391663559417882
74,0.0003985949169381874,0.0005166627940455398,0.0005125745188993996,0.0004254108661393175,0.0011940545814016947,0.0005633117839135507,0.000386091567528384
75,0.0004276174889936454,0.0005279475165623712,0.0005347269984784548,0.0003915060254712444,0.0008925698259377788,0.000492088128686148,0.00038746516585844095
76,0.0004103953757900551,0.0005711982447185923,0.0006106580057061556,0.00040591582551203874,0.001229290759117121,0.0005549286976774299,0.0003952693241444649
77,0.00047636078309216446,0.0004908746524578371,0.0005081506483293197,0.00047454159885958126,0.0011537730177432577,0.0005105430901018,0.00037405902126660555
78,0.0004298218573731484,0.0005966712456397914,0.0005647395969390345,0.00038511677112404777,7.114750024470596e-05,0.0006648097250512191,0.00038638655509462945
79,0.0004381480309127034,0.0005643964785505025,0.0006470702037404408,0.0004288049622984891,0.0004123225821631009,0.0005556765978932768,0.0003980062904572281
80,0.000372451851591096,0.0005790487689778643,0.000698264152339795,0.00041215838115110783,0.0004144452787824905,0.0006249164883099313,0.0003826449919391675
81,0.0003936893051200298,0.0006093041248325454,0.000605502489157689,0.0004642893292752671,0.00011330628450757692,0.0007261525272822057,0.000384566100256918
82,0.0003960291628204318,0.0006204302943316227,0.000500018272714442,0.0004404024049751858,4.802308211953748e-05,0.0007073791539580778,0.0004027968835089269
83,0.0004079806388912594,0.0006772434397233254,0.0005224047722438671,0.00048477720288246927,0.0001003051944903548,0.0007227781474111474,0.0003856569757389432
84,0.0003863824990362077,0.0006712541476559096,0.0005153632427652319,0.0004158788929544244,0.0002623022010601,0.0006275847376422288,0.0003872247297725775
85,0.00039394667819578897,0.0006469085045338081,0.0004824371634250773,0.0004514268577284299,6.550215623759102e-05,0.0005939608563080997,0.00038567443152714986
86,0.0003749108527699718,0.0005912708859594002,0.0004910644042311328,0.0004092556616905356,0.00015722057553249315,0.0006226368570553729,0.0003851208167783093
87,0.0004296907209687848,0.0005725460454665441,0.0005411753531140076,0.0004003287867394541,0.00013147275071408634,0.0005474289410115087,0.0003732299400348338
88,0.0003849013137860803,0.0005951259820879361,0.0005767471054973501,0.0004250162150509463,4.468939028754448e-05,0.0005793488560682038,0.00038417940340877975
89,0.0003765530449240224,0.0006238799430655874,0.0005201016717978217,0.0004618961601491637,5.68247186963204e-05,0.0005633642423493835,0.0003717863015654508
90,0.000365038790266958,0.000611261615009234,0.0005520169991952917,0.000442500354522984,4.186509913167286e-05,0.0006162797155919306,0.0003750735412116531
91,0.00039143251912096994,0.0005965823721773042,0.0005540990283717714,0.0005140950012080394,3.081808270782755e-05,0.0005847166183100074,0.0003778538825244117
92,0.00036769407168841487,0.0006071333283264386,0.0005269286159004661,0.0005140156997227182,3.184349378039365e-05,0.0006246941397085207,0.000375173849360657
93,0.0004177832003590179,0.0005895302510907641,0.0006591588603325176,0.0005201271222631476,5.636217037329482e-05,0.0006146873590859329,0.0003920255036830081
94,0.0004126852787808993,0.000661603416267246,0.000628119162774965,0.0004821758618293513,3.759699167788382e-05,0.0006119642296090163,0.00038728472341063023
95,0.0003886675008288876,0.000678714316311218,0.0005873738396892291,0.0004262606850261363,3.279183012534115e-05,0.0005685423431448104,0.0003828544707888599
96,0.00034480775581725636,0.000854955730143334,0.0005437424987598561,0.000413415147527192,2.6058242886611645e-05,0.0005508096863715244,0.00035898800107916456
97,0.0004024957911736381,0.0007619781812488662,0.000557900705843633,0.0004092033374712797,2.5765593561729852e-05,0.0005758112817732451,0.0003837161800616648
98,0.0003888939422483274,0.0006836579156394388,0.0005531879119965796,0.0004046691233164639,3.2960213833607745e-05,0.0006445744512304719,0.0003829713513834754
99,0.00040154699934469025,0.000782108795886559,0.0005939479365007996,0.0003882272964357642,3.632809918020608e-05,0.0006112746106217466,0.000370806833035563
100,0.000378061296312528,0.0006891109557260721,0.0005947702489529069,0.0004196873418095493,4.457698906890073e-05,0.0007031799493363776,0.0003688415001653041
101,0.000388189334580602,0.0007800028862747192,0.0005721294320600075,0.00041303989465155783,3.0014128630758325e-05,0.000609086595866095,0.000371675561902001
102,0.000366710625082935,0.0006648751591695289,0.000598167620886497,0.000408174276100642,8.406736166222117e-05,0.0006769914216853241,0.00038068733149321775
103,0.0003941702213978715,0.0006119453372249202,0.0005865214816589198,0.0004262317461325438,7.661519566681818e-05,0.0006016891186184446,0.0003626063227074621
104,0.0003660473521210262,0.0006862720474868291,0.0005725351211367524,0.0004327646370839853,3.511257147335657e-05,0.0006849343855633162,0.0003731930610481666
105,0.0003815078942205071,0.0007089844727542025,0.0005656439931884122,0.00041313957061854463,4.6843945826443206e-05,0.0006309741948999068,0.0003828757100766072
106,0.00036258235944669216,0.0006859364766569342,0.0005138069724515455,0.0004227273653408962,5.403449741760919e-05,0.0006847149964515766,0.00037050019511211544
107,0.0004032270287877639,0.0008289437751284966,0.0005551389423263096,0.0004316372042425924,0.00014021136163330195,0.0006249060236215249,0.00037717594469064526
108,0.0003676483098761543,0.0007566872907380064,0.0005354460644434212,0.00040377862465642726,0.00017026322556680203,0.0006350129807224433,0.0003604861113217339
109,0.0003882230097815409,0.0008253778638678149,0.0005280534922002559,0.0004017521865154227,7.666743681511434e-05,0.0006359775072182639,0.00035468249108730346
110,0.0003752939414769616,0.0012729401343293783,0.0005197263550898486,0.0004190690400921286,6.261568879928348e-05,0.0005919998670126208,0.00038048359982938216
111,0.0003836938843194634,0.0009392538414013452,0.0005282671313580067,0.0004040656175758076,5.223026845287264e-05,0.000596382306845217,0.0003723313089367144
112,0.0003689420864726631,0.0009635734408740452,0.0005942519483375155,0.0003952284928900332,0.0005989970759197712,0.0005753949730465788,0.00035881427217848087
113,0.0004002965418597644,0.0009965685903807753,0.0005720414616131496,0.00042016132403494504,6.742901827707218e-05,0.0006301670366817482,0.00036610716814743126
114,0.0003668432733368383,0.0007790557131102105,0.0005594987237045866,0.00041984961288627734,0.00016365748678658242,0.0007407051861740737,0.0003602983863227284
115,0.0003660648897876902,0.0008834667314153598,0.0005552937882384867,0.0004291600381683176,8.960820561083672e-05,0.0007062589679879325,0.000349878006856766
116,0.00036942007318430115,0.000851932833412368,0.0005298331392085939,0.0004279534737078291,9.533679793726015e-05,0.0005798537482870986,0.00036062803922374897
117,0.00035749836699778826,0.0007816768476610984,0.0005638425792734246,0.0005114190018416377,0.0005965484600815617,0.0005328390123481984,0.0003423848635508408
118,0.000384345846123324,0.000775761094995982,0.0005327662775681991,0.00044830083273457905,5.674901466497484e-05,0.0006740058846977573,0.0003553554004383841
119,0.0003687421136956718,0.0006735008879331872,0.000519888030814602,0.00045908412212983506,0.0001922325066262227,0.0005938830154870327,0.00035927698274124765
120,0.0004300397459874581,0.0007869862147836593,0.0005315088442330307,0.00046497409649808627,0.00013922495435034088,0.0006144360360113275,0.0003585289214925069
121,0.00038980963243028823,0.0008124424949110599,0.000545237837245209,0.0005249081650184788,0.0032828896808853513,0.0006928821496027618,0.0003628350336157382
122,0.00040022261992607336,0.0010062165336471986,0.0004992700242794291,0.00040905152973209625,0.001360717485903409,0.0006468879164458485,0.00034153937303926796
123,0.0003809163977516269,0.0007988476631402995,0.0005196715039801347,0.0004096980057283872,0.0009668032807603808,0.0006495931796430008,0.0003507648973912158
124,0.0003975940399175757,0.0008911759338388947,0.000539022850385994,0.0004777443817485703,0.0008888800248237315,0.0007818258798331292,0.000343579673176464
125,0.0003582329499095511,0.0012945959608772776,0.0005567802554196533,0.0004966434534253494,0.0002929745212038772,0.0005906218658641261,0.0003569659553058476
126,0.0003685923885104085,0.0017854391647119882,0.0005401369118468816,0.0005158532139148519,0.0001891013273649378,0.0006202215417322969,0.0003566477360819638
127,0.0004183756646435123,0.002275409104745799,0.0006057255489849922,0.0005708956319949721,0.00018683660482944712,0.0005824046551251307,0.000347019090674751
128,0.00038313249526961753,0.002619639971761409,0.0007275255002923587,0.0005463073189159145,7.249217359068487e-05,0.0006594298899472051,0.0003463368072906243
129,0.000458520892894548,0.001981743113947232,0.0005565795044964123,0.0004474529595881904,4.399844254976415e-05,0.0006538647419888765,0.0003374036301662469
130,0.0003769882110819232,0.0009725928741772804,0.0005197001805754553,0.00045195039681510975,7.56990592554714e-05,0.0007077406010163637,0.0003435975623887782
131,0.0004069855652855231,0.001295615065828315,0.0005411192667052979,0.0005302100175535221,7.152516089639413e-05,0.0006356687883961185,0.0003534092245899956
132,0.0003615431965523672,0.001270297015976095,0.0005389671121786417,0.0005113358806283941,4.799765765284292e-05,0.0006373513722919174,0.0003502342904726109
133,0.0003482147382713335,0.0013254215727101838,0.0004794182618863443,0.0005005549279530896,4.5598163594425054e-05,0.0006123869368779692,0.0003269131277239723
134,0.0003440769672427753,0.001242663766368843,0.0005451147879329055,0.00045083820895115424,0.00010915273898405737,0.0006576054095836129,0.0003299539080456414
135,0.0003607180342875099,0.002270316365003311,0.0005460411894937563,0.0004266042920409196,0.00014191600999424736,0.0006992993712233526,0.0003447959783443366
136,0.0003782934335980653,0.001060194445710208,0.000584469195432162,0.0005335929876136582,3.449701191183361e-05,0.0006865535036518445,0.00035334097220840753
137,0.00034216138849912497,0.0007567905722225988,0.0005394208698514072,0.0004901879692846616,9.22952873487759e-05,0.0006032488878665152,0.0003208466764707014
138,0.0004246196049034306,0.00074949547256677,0.0005475496507596034,0.0005103338928804717,8.819734291754295e-05,0.0007115114698668859,0.0003264830920165372
139,0.0004017679652744659,0.000859523699067435,0.0005784509106577877,0.0005832204405589615,2.5330415982843508e-05,0.0009488887171322684,0.00036696500924212944
140,0.0003898266936197442,0.0007767353466701216,0.0005456949124891253,0.0005997878340513992,2.1192269157056997e-05,0.0007703148917460654,0.0003527022294341854
141,0.0003947259044541237,0.0008733189238111477,0.0005179698625744052,0.0005192658601290965,3.152824750615132e-05,0.0006842545696296535,0.00034112019578035844
142,0.00039812586272511486,0.0008688587116155663,0.0005227496242629812,0.00053228973588486,3.0306366092556505e-05,0.0007466756648812277,0.0003351029727662749
143,0.0003776717911478045,0.0007427177397636488,0.0005168139189100614,0.0004988112320527917,3.904441782408087e-05,0.000724088094039173,0.00034163191013944656
144,0.0004250544846064785,0.0008738836860222938,0.0005048945169619401,0.0005664970136422198,2.9044344168482893e-05,0.0007494305578421877,0.00036233188711776165
145,0.00041645713103067607,0.0007448649009204114,0.0004832275856870183,0.0005581563843861659,1.674796066595263e-05,0.0007422262993021009,0.0003349994884763763
146,0.0003992863588961015,0.0008914099793400964,0.000520717618785836,0.000593659880186626,2.401086842951372e-05,0.0007860602274337472,0.0003443065294492486
147,0.00037563638827784666,0.0012317137020212746,0.0005088232586612797,0.0005897148377178903,3.526677501312129e-05,0.0008712246783118665,0.0003469933477832898
148,0.0003597196991270108,0.0016256532817795057,0.0005053377393778646,0.0005592807457527137,1.6142247048946956e-05,0.0010483264776730509,0.0003448144486409386
149,0.0003495526170189061,0.001827471418307271,0.00047782044129278454,0.0005475479154306302,5.28499732263299e-05,0.0007566610404951678,0.0003268215284205165
150,0.0003961726906265717,0.0008991684846478166,0.0005114479007692679,0.0005882274738723936,4.376147505395651e-05,0.0010949666518102346,0.0003462794344052193
151,0.000405475791821017,0.000943533019684158,0.0005543458391468626,0.0006323495645946506,1.2937358544139569e-05,0.0008605554790971258,0.00033363478472605684
152,0.0004812022965173431,0.0009190458069952,0.00048421719900488825,0.0005872667277799337,2.159529319359618e-05,0.000845239647565993,0.0003234206076954519
153,0.00039150637743406085,0.0009044101682212344,0.0005071826346865259,0.0005292348965191369,2.5412729036370745e-05,0.0006845046494328761,0.0003208111827581505
154,0.0003938483951060334,0.0012617502999048504,0.0004899255465893586,0.0005179824342381575,2.4607461304352617e-05,0.0008389082883463003,0.00033980775247312664
155,0.0003796871892085446,0.0010162801974241498,0.0004928958739355948,0.0006106624375938625,1.6017096755787792e-05,0.000799149737758853,0.0003306638634765275
156,0.0003859791353360855,0.0010009510137024336,0.0005045479104410333,0.0005215406132132247,5.730481440480162e-05,0.0008163752843410336,0.0003273898579496553
157,0.0003779259166635928,0.0010488556761673665,0.000491246683668578,0.0005050511635173197,3.423037830320762e-05,0.0009669227915558374,0.00033668641007304697
158,0.0004435580035749895,0.0013322293663982348,0.0005435489811588922,0.0005549601676669459,2.60124691496402e-05,0.0007233319587781849,0.0003360237409700907
159,0.0004564428820144496,0.001682036996672174,0.0004949151136770524,0.0005681597570271281,7.120575128501863e-05,0.0008840072829581575,0.0003354520269902806
160,0.0003778692517423837,0.0015062681892098824,0.0005221096658804128,0.0005080485458338877,5.198725852164056e-05,0.0008904702227813356,0.0003390269312388371
161,0.000389733116944193,0.001098399778779172,0.0004881342423232127,0.0005086043329789564,5.998525151575262e-05,0.0007557270342369355,0.0003273535099699649
162,0.0004011016850805997,0.0013176929475905905,0.0004857415557652482,0.0005825676938088907,6.294904611502682e-05,0.0009423941713369762,0.000346350286342974
163,0.0003967741483956204,0.001396831822355373,0.000495432173210713,0.00058651209474192,1.7169902347573212e-05,0.0009985444949485271,0.00031553820679164346
164,0.0004265975980020952,0.001614461921896939,0.00048769652281216143,0.0005544126872514537,2.794021472141139e-05,0.0009163855668041584,0.0003330470353051039
165,0.0004799024942545465,0.0014356090954276044,0.0005419220213396427,0.0005576827315508126,3.340685148306624e-05,0.0008912971597138411,0.00033719897908881917
166,0.00041999075737538346,0.001577317369413901,0.0004933539417642782,0.000545971951613042,5.2038740226597234e-05,0.0008243742404994754,0.0003191074604598855
167,0.00041862708251626046,0.001455089037058908,0.0005094902668740057,0.0005399341108303898,5.441699225722611e-05,0.0007796938612468799,0.00034972410466670644
168,0.00043097228631051534,0.0016580532140691737,0.0004487889378651744,0.000517054265070659,2.8366109540911565e-05,0.0008319668730448114,0.0003226926064359615
169,0.0004080395268542098,0.003842605377182432,0.0005223202103995907,0.0005351006797487881,2.3540885577906584e-05,0.0007461267066121634,0.0003216799638071929
170,0.0004262754314368067,0.0009915129613797577,0.00051105335365364,0.0005424876271284856,3.229990926551333e-05,0.0007150490249639714,0.00034612925397546813
171,0.0004147752778884578,0.0008888385867501948,0.000483569298535258,0.0005194959600719977,4.0762102621959955e-05,0.0006348497544274513,0.00031616185483348874
172,0.000395263906132944,0.0012577991871713743,0.0004881234929371203,0.0005077532407639134,2.6345116918946587e-05,0.0006276222668574243,0.0003492524006345009
173,0.000429954174051534,0.0014112996046760794,0.0004838121232751291,0.0005898746844121528,0.00012760776795406662,0.0006365645527087811,0.0003438906004137951
174,0.0004305390601162106,0.0014677418979924066,0.0005020952081568318,0.0006021975559189919,4.407739394291492e-05,0.0006564039447015523,0.0003183351438900373
175,0.0004499543959732031,0.0008385569392672512,0.0005147046324282201,0.0005965487292390511,9.640184941406648e-05,0.0007002843877608241,0.0003262024942159769
176,0.0004443143913401097,0.0006873737918340339,0.0004968549371596964,0.0005454744560406003,9.464137372472785e-05,0.0007393381153532472,0.00033679542370058745
177,0.0004911319215907275,0.000756533434856039,0.0005347981212906187,0.0005315019907357055,2.974765491536857e-05,0.0007609836007801743,0.00032852360779061737
178,0.0004402938023056115,0.0007937919000323745,0.0005020345915692728,0.0005274481496929762,1.8696195741425193e-05,0.0006750681676867712,0.00031426218620020873
179,0.0004495633979136722,0.0008345892035398114,0.0004924634020198937,0.0005304786517709462,4.194598891978895e-05,0.0006372173138111571,0.00032215846553490816
180,0.0004139721926718309,0.0009551263610774186,0.0004955416968641657,0.0005508736300792562,6.030564471288132e-05,0.0006152248781646725,0.0003098995049055832
181,0.0004197642429928583,0.0011599662288790569,0.0005004554061542876,0.0005894853882903302,1.9865022809903343e-05,0.0006513743791322707,0.0003260163712184294
182,0.0004397041901982101,0.0006155433320418524,0.0004843307077885029,0.0005364977626933458,2.5891968932899633e-05,0.0006596586550467296,0.0003258152639414459
183,0.00043852761590252546,0.0007309307767718564,0.0004506899861326019,0.0005358637761219143,3.067953984510275e-05,0.0007485964564087529,0.00032490258458769733
184,0.0004368818149598111,0.0006977203249334707,0.00046518085180196066,0.000548902592105683,5.667095288728562e-05,0.0006922336828293654,0.000340247084422016
185,0.0004367907334069189,0.0006862279764027335,0.0004748370693960169,0.0005584934856082461,6.439033604847695e-05,0.0007103185180716941,0.00031956765110408014
186,0.0004340280429676655,0.0006401784389527166,0.0004876007761595247,0.0005711349470114261,2.1452851814984797e-05,0.0006460859498272637,0.00033825796607048046
187,0.00046754154380410215,0.0007447744259051807,0.0004773222100538987,0.0005608860731063899,3.735167843442197e-05,0.0006956731766402537,0.00033427751885836996
188,0.000504814194734303,0.0004687859147595066,0.0004694287043672706,0.000541388993807149,3.579895563186948e-05,0.000682418157888757,0.0003422788043663834
189,0.0004561059072329954,0.0004622186492269975,0.0004627586442785243,0.0005436830963596797,6.29189163277033e-05,0.0006846438790431576,0.0003153329886560174
190,0.0004921139454511701,0.0004489523972006282,0.0004689934188978181,0.0006340453788156578,7.749262132292374e-05,0.0007164733707062018,0.00033650849414894963
191,0.0004591510729109619,0.0004617946365760872,0.00044839678709494607,0.0006028718347604607,4.585293736040926e-05,0.0008010301595238568,0.0003447338125576942
192,0.00046279777591756336,0.0003992985279546702,0.0004718732934201225,0.0005413876436694748,0.00011402408465717902,0.0007225731843050198,0.0003161827291574139
193,0.0004803523353718735,0.00042546386139292737,0.00044171924160504465,0.0005779101425105182,3.927963123243551e-05,0.0006801129037681831,0.00034741011588905804
