step,deepseek1.5b_sync_8gpu_lr3e-6-rollout_corr/rollout_log_ppl_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-rollout_corr/rollout_log_ppl_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-rollout_corr/rollout_log_ppl_step,deepseek1.5b_sync_8gpu_lr5e-6-rollout_corr/rollout_log_ppl_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-rollout_corr/rollout_log_ppl_step,deepseek1.5b_sync_lr1e-5-rollout_corr/rollout_log_ppl_step,deepseek1.5b_sync_lr1e-6-rollout_corr/rollout_log_ppl_step
1,0.6827360279230255,0.6740506174649263,0.6805468481347969,0.6729181645245388,,0.6725975738345892,0.673399299510162
2,0.6691472839726054,0.6682556458222477,0.6682058072720582,0.6647903769798986,0.6599574077178488,0.6639139091002417,0.6727047149542269
3,0.6634656982703342,0.6630368005115908,0.6703555508219934,,,0.6710708061440124,0.6729614717865383
4,0.655234434966291,0.65719715183538,0.6515386108817025,0.6552384089339863,0.7147382104148468,0.653914395763084,0.6603511157497931
5,0.6825218549873455,0.6822332214654946,0.6730375551618636,0.6869606438242359,,0.6579106572084129,0.6826022488055126
6,,0.6441571131526005,,0.640898921494854,,0.6067193453665822,0.6424291796568368
7,0.6573061599406633,0.6560044970274681,0.6150674609001726,0.6542533087459478,0.8616859637807275,0.6110152004286646,0.6622397524233048
8,0.6629826505610972,,,0.6624221342958903,0.9833710621552249,0.5989545292686671,0.6691314739859607
9,0.6616809245100931,0.6794902128684852,,0.6795865163521867,0.9848005590850816,0.5871482107200121,0.6689147116025773
10,,,0.5603555306941936,,1.1006272133330213,0.5290822528768331,0.6529745654680017
11,0.607571043790533,0.637392699957276,0.5531618966633687,,,0.5157429952717697,0.6547176412890082
12,0.6026746242923636,0.6444685348888507,,0.5808255724164088,1.6097177532586184,0.5136129394587543,0.6598069241334652
13,,0.5986543220996454,,,,0.4861422596947738,0.6093398074783823
14,0.5332239227877422,0.591350061286773,0.5170174418733671,0.5220191005681609,3.074852332803938,0.48274944921955465,0.614494659146294
15,0.5462229498440311,0.615114235867034,0.5084331990884883,0.5438645464471645,4.689229829831326,0.4828251102210387,0.6485255562044956
16,0.5378486533338825,,,,,0.48595411084931006,0.6395008787058476
17,0.5070129113102501,0.5787055254477309,0.4787006289806477,0.5001551166743688,,0.46786703436042776,0.6228895547652715
18,0.48480270598800135,0.5668751884368248,0.4701951720884868,0.4804317437644516,,0.45084904797028663,0.5924990006495972
19,0.49686542908394976,0.6103002838790417,0.4764050374050503,,7.119862489402294,0.46985181818405786,0.6189589725377468
20,,0.6232976804473507,0.4763510517243828,0.4946771072308449,8.055240874107067,0.46979882731102407,0.6489468748240095
21,0.5012725068178648,0.5795790086189906,0.4596563329299291,0.4906213858630508,9.389599446739467,0.4707496760501748,0.6401137942714351
22,,0.5513399379147638,0.41826001793528217,0.44748690749543746,10.380218826807464,0.4129423191998063,0.5757802524470857
23,,0.5813489661461884,0.4325387866701931,0.47420979229112464,11.289722227133238,0.45694680499251594,0.6106827228764693
24,0.4665883941110224,0.5618062695583045,0.4257416548697572,0.47923131013179526,11.603395803769429,0.4269551903009415,0.6016004329547286
25,0.4405263349879533,0.5466463883738901,0.39191683949902656,,11.67971164905108,0.3870201876387,0.560851585853732
26,0.4493830075585528,0.5533602510354129,0.3925730597227812,,11.736324883424318,0.3910119193009077,0.570665981286942
27,0.4585496335290372,0.5583455973615249,,,,0.4001290190166661,0.5998284311699016
28,0.461781935662859,,0.3875196132718063,0.45582325251674966,11.799450794855751,0.3737387496880011,0.5848598453928443
29,0.44575322791934013,0.5054511102274634,0.3751186150077142,0.44451077096164227,11.820968622746674,0.3590011082900067,0.5673329286397465
30,0.4309963746550115,0.5251420812715811,0.3693729465043074,,11.836912865991946,0.3569916130386685,0.5330604078248143
31,,,0.3747906269414759,0.44906613416969776,11.847744818528492,0.3675726976245642,0.5565428155532572
32,0.4327296246425249,0.5071360026141284,0.35664908292635183,0.4271650590661278,11.857613932002677,0.3292427804720189,0.5487066643981962
33,0.4516955748200416,0.5129637749722371,0.3584175054449588,0.4433067592939264,11.863122831072126,0.3503485390598454,0.5473929990257602
34,0.4516882384661585,0.5101793707491686,0.3576111018192023,0.4361648257135561,,0.34061294475472287,0.5361618105943005
35,,,0.33710337886586783,0.4119184313979196,11.86825651356152,0.32133084181451094,0.5376310425957567
36,0.4413276847179343,0.5168664485362231,0.34808473634283715,,,0.33212708831742044,0.53722544519578
37,0.41873025670647623,0.4500492148576899,0.32599557367594617,0.407052761777059,,0.3125461520823209,0.5010677508723277
38,0.4228815844334248,0.46010903061621566,0.3278196165828328,0.41101557549995343,11.8797838807106,0.3229580452111927,0.5211758082732558
39,0.42779865704084696,0.4637188524245582,0.3251991374883801,0.41244560193557006,11.881583275466127,0.31962965382263064,0.5238670856814902
40,0.4111646615350858,0.4338484109294685,0.30612381767386043,,,0.3029324534780732,0.5042460966855288
41,0.43867448392586833,0.4466134164990349,0.32291151359677317,0.4132931571193906,,0.32485835830725374,0.5226231089459276
42,0.410451074473952,0.3954982564267185,0.29940003498146933,0.39397269314421074,11.890016904002742,0.29775756913503365,0.4857379237118249
43,0.4024235016355912,0.3992938740139312,,0.38928428735761417,11.889588048583583,0.28673910764267757,0.4700062552180428
44,0.4074427816318348,0.37661247072351534,0.2932450536283709,0.40519596370203154,11.891840060551962,0.28664349127424565,0.4672148772040192
45,0.4048050328089697,0.3979192129133836,0.3015311994524889,0.4086961099257072,11.892762668430803,0.292628435128265,0.48016680388108773
46,0.39959417308705886,0.3601037974469364,0.29262953162902877,0.4002709533201485,11.8941817805171,0.2661901071856153,0.4761267111815037
47,0.3862806045123049,0.355114513463,,0.3786118040304808,,0.270405266101339,0.4655592654548261
48,0.4058241651526519,0.360770498358068,0.28975668740578187,0.3835409973282367,11.8959520019983,0.2716982082077643,0.47062229823010665
