step,deepseek1.5b_sync_8gpu_entadapt_initial_lr1e-5-actor/ppo_kl_step,deepseek1.5b_sync_8gpu_entadapt_lr1e-5-actor/ppo_kl_step
1,1.5591252854690877e-05,-7.767206874365817e-06
2,-9.424878823025852e-06,-1.339926238428133e-06
3,-1.226135767078125e-05,3.0328867289831625e-05
4,3.623444923141109e-05,1.974987462745048e-05
5,2.517476109692945e-05,4.577876087568101e-05
6,6.205156289521384e-05,8.755067144627113e-05
7,0.00010572637265114866,5.223065425029535e-05
8,6.597916816986071e-05,8.163148491435734e-05
9,9.39162990490886e-05,4.8810905083320115e-05
10,0.00010923217124879992,7.686020214278025e-05
11,0.00015769421337693296,0.00014661897937846022
12,0.00014446473651439363,0.0001324126884177738
13,0.00019068733212382737,0.00014182411581197012
14,0.00018154757717376936,9.366999033238504e-05
15,0.0001574759974113012,8.98867170985254e-05
16,0.00016176465695880523,0.00011952937565275176
17,0.0001328995675926188,0.00014141776479732472
18,0.00012856029022687566,0.0001299696481679216
19,9.368127191204204e-05,0.0002098315334273515
20,0.0001932455022624492,0.0001910833935397704
21,0.00011934953156292696,0.00024083561383149215
22,0.0001725454579898794,0.00024878384893348675
23,7.120048027994615e-05,0.0001178301521252335
24,0.00010162346872644752,0.0002047724182850806
25,9.57267404406013e-05,0.00014716241270656082
26,9.894731474754202e-05,0.00010787837331929346
27,8.06413951390065e-05,9.048387509071886e-05
28,0.00012025387628898985,0.00018026740947144995
29,7.498939795000514e-05,8.06204929255308e-05
30,0.00010526051392442274,0.00010842778362222438
31,0.00010286333829055496,9.378284882442602e-05
32,0.0001425980379144405,8.168778921053883e-05
33,0.00011853392817176964,0.00010698632761574346
34,8.461380047498053e-05,7.92019653759825e-05
35,7.327822126753806e-05,0.00011832256133848502
36,0.00014242481312935472,4.489959113658547e-05
37,7.268189100617661e-05,0.00016152022206991238
38,8.108114343929446e-05,9.02912817917212e-05
39,9.335397162632069e-05,0.00012010527515014604
40,7.815345627831104e-05,8.614315681469975e-05
41,4.953555267384329e-05,8.521553277167258e-05
42,0.0001028610632538614,0.00013209831213929492
43,0.0001189916195081444,0.00016318810947688934
44,4.176414604597395e-05,0.00010330905023820948
45,9.094010849527736e-05,0.0002222273429783132
46,5.5925863645434333e-05,0.00014494107591929152
47,7.662982813734233e-05,0.00018093450085348016
48,7.056235621121232e-05,0.00013827710230666175
49,0.0001343091516186945,7.964063930002084e-05
50,6.288563296969211e-05,0.00021937783458163553
51,0.00010168935895499569,0.0001442600151393983
52,7.86805981796964e-05,0.00017612327453613084
53,0.00013777274376262737,0.00010595789112670674
54,5.334418338256275e-05,0.00019310316289244427
55,6.1904627510258e-05,0.0001359771311161326
56,9.14100691710744e-05,0.00016546588600649522
57,6.0909545637562255e-05,0.00013192396897068192
58,5.891453116815694e-05,0.00019414703507853628
59,5.361776665189328e-05,0.00014296261673895185
60,6.372472125702546e-05,0.0001780507905292119
61,9.244962777614774e-05,0.000178598810590902
62,0.00010999286782739424,0.00021156056283563144
63,8.544221417513367e-05,0.00016132459214715378
64,8.854455035094904e-05,0.00019038414647627345
65,0.00011149688088206398,0.00010905378272826148
66,0.00012593546982673698,0.00018727775872253713
67,7.418885162553289e-05,0.00017065078092298058
68,0.00010576288869252064,0.00015767625255516817
69,7.818120255365102e-05,0.00018292992334467684
70,8.399896324533529e-05,0.00023027094766017863
71,7.40694444248291e-05,0.00028607584510709216
72,0.00011728628908865104,0.0002613200463603249
73,6.575601247193474e-05,0.00025672617361824216
74,9.506025485198476e-05,0.0002097151713513767
75,5.921832070145326e-05,0.0001760598640013474
76,5.223346433451031e-05,0.00014130212753480593
77,9.946129977087654e-05,0.0001391897105669332
78,7.25072409881733e-05,0.00018200318947600777
79,0.00011065061036539364,0.00019569442718460009
80,6.369864005709554e-05,0.00023406234918883664
81,5.013094716472615e-05,0.0001991905430937127
82,5.011566712995795e-05,0.00014834793970130988
83,2.6356551405630916e-05,0.00018962159384279463
84,9.537020428383944e-05,0.00016250386191671848
85,5.527316436692602e-05,0.0001608397090296214
86,0.0001572130198503885,0.000175097763315215
87,8.397743965158356e-05,0.00013793686785575012
88,0.00014176012935678272,0.00014261252678997898
89,5.253261446275753e-05,0.00018358423661494913
90,0.00010711222332729231,0.0004821421429465868
91,5.644217118996807e-05,0.0001951658302203896
92,4.853279278012356e-05,0.00023271838769763537
93,7.507035210057726e-05,0.00019740458148199353
94,2.850427506304175e-05,0.000200467505911612
95,6.281279826517231e-05,0.0002107880027542665
96,0.00010003798813206814,0.00016484652061840325
97,7.326286485446568e-05,0.0001841097692102209
98,3.563022994055944e-05,0.0002635342606068104
99,3.428671648254455e-05,0.00015075423337068949
100,3.667733993698416e-05,0.00017713421336547456
101,6.290268807366113e-05,0.00014855136956130598
102,6.021494691310636e-05,0.0001622765852553292
103,0.00013008754173562292,0.0002165539567353764
104,7.998486022696392e-05,0.0002521421242619226
105,0.00011110764807510444,0.0003125531429475359
106,5.671023859996829e-05,0.00021391405928222247
107,8.847586368626088e-05,0.00025507134058447685
108,7.095840397372147e-05,0.00024963275343195404
109,9.3570554304543e-05,0.00022087404198710745
110,3.634262483436552e-05,0.00019720385868295307
111,4.7859508676478554e-05,0.0002340826053644681
112,1.4288729752310336e-05,0.000188943268598949
113,4.6145489490786425e-05,0.000228947818986366
114,8.087205241015196e-05,0.00023356656485128992
115,4.7738500724121775e-05,0.0002040740246610955
116,4.322509924206554e-05,0.0002225038827567971
117,4.4349655212982955e-05,0.000219352623813187
118,5.406418004309968e-05,0.0002378883243151416
119,4.843572043517436e-05,0.0002112478723236993
120,5.538571430479584e-05,0.00032110738739209497
121,0.0001006927146880866,0.0002946760151615297
122,3.612046045629671e-05,0.0003514971984806098
123,3.9597262477692705e-05,0.0002667095063694577
124,5.8869122166268795e-05,0.00026270543485967183
125,3.031812964002789e-05,0.00032634715164820506
126,7.728665634739888e-05,0.0002987135627952255
127,7.330143254078437e-05,0.0002799821639973388
128,5.797872166212761e-05,0.0003586119509018104
129,6.406825103544818e-05,0.0002219503328000255
130,2.367812002210005e-05,0.0002848035874620791
131,7.176226615562037e-05,0.0003142876000368424
132,4.089235124822499e-05,0.000332335366663469
133,4.866322938060616e-05,0.0002887716698910222
134,4.1798395702671986e-05,0.0003462015189610735
135,3.385752282203908e-05,0.0003548641572933775
136,3.5282513511031906e-05,0.0003264346914564746
137,2.9479342162379363e-05,0.0003782789788457111
138,3.277427679417855e-05,0.000246275329954772
139,5.617308509631158e-05,0.0002540368294859594
140,1.470658895506122e-05,0.00025963156204188533
141,1.7190706045528537e-05,0.00029551847568932824
142,3.507387913788015e-05,0.0002659225964986181
143,1.4527085137776186e-05,0.000322599231481366
144,3.390118923789487e-05,0.00026270643425570353
145,4.0145764783172666e-05,0.00030527715205007735
146,1.3181060693124806e-05,0.0003505688387501019
147,8.359773835816701e-05,0.0003399994265644117
148,4.366993560064124e-05,0.00034131689015895163
149,5.750891404982379e-05,0.00045205821453076953
150,5.081549276582109e-05,0.00033096192720582027
151,3.3757363074471416e-05,0.0004316854124075083
152,3.505569857793489e-05,0.0002597349805347178
153,6.325104796415157e-05,0.00024101870299835844
154,1.9531689427291592e-05,0.00027728452844743385
155,4.319261048629109e-05,0.00028898214684793607
156,2.802145359603068e-05,0.0002841579629879541
157,8.532541094226076e-05,0.00031149219378402324
158,6.67150555875512e-05,0.0003456844352772815
159,4.602079344979801e-05,0.0003410737689493585
160,5.478283279357145e-05,0.0003424052380770111
161,2.979198405287217e-05,0.00023828590309835443
162,4.357209557284136e-05,0.00029682960205512643
163,9.248314919695649e-06,0.00020214400088510348
164,7.238593048392822e-05,0.00022086795768688268
165,3.6111968678726615e-05,0.00034033682508575216
166,1.5850934645014614e-05,0.00039193894780235417
167,3.4953805690675596e-05,0.00038577638297428976
168,6.313029300543555e-05,0.0003684759565551587
169,6.425509327492306e-05,0.0004023334860665095
