step,deepseek1.5b_sync_8gpu_entadapt_initial_lr1e-5-actor/grad_norm_step,deepseek1.5b_sync_8gpu_entadapt_lr1e-5-actor/grad_norm_step
1,0.06464524567127228,0.06450425740331411
2,0.061858325731009245,0.06026553083211183
3,0.06015493953600526,0.05992875620722771
4,0.0639435350894928,0.06607593316584826
5,0.07180867064744234,0.07093772664666176
6,0.07217460591346025,0.06897773873060942
7,0.07494290545582771,0.07288878038525581
8,0.0786895900964737,0.0806568805128336
9,0.0819340031594038,0.0771358534693718
10,0.08564732782542706,0.0867190808057785
11,0.07775542885065079,0.08003637380897999
12,0.08220134489238262,0.08651352673768997
13,0.0841253474354744,0.0819651298224926
14,0.08657164685428143,0.0820851530879736
15,0.07920965179800987,0.08330773748457432
16,0.08312986604869366,0.0890738982707262
17,0.08029413223266602,0.08281666971743107
18,0.08382219262421131,0.08419317379593849
19,0.08250280655920506,0.08372391760349274
20,0.07653546333312988,0.08202819712460041
21,0.07678242772817612,0.08051866479218006
22,0.07567690126597881,0.08383351564407349
23,0.08289915882050991,0.08289476670324802
24,0.08013483509421349,0.08095507882535458
25,0.07647796347737312,0.0751151880249381
26,0.07067071460187435,0.07079891953617334
27,0.07492671348154545,0.07269181311130524
28,0.073591573163867,0.07498499378561974
29,0.07491147704422474,0.07204757630825043
30,0.07613260112702847,0.0706170629709959
31,0.07153182849287987,0.06334866397082806
32,0.07555313594639301,0.07308587897568941
33,0.07333067432045937,0.06991089880466461
34,0.07605623453855515,0.07241111155599356
35,0.07160057686269283,0.07041328027844429
36,0.07304289378225803,0.0747151616960764
37,0.07596508413553238,0.07286953739821911
38,0.07603907585144043,0.07061191461980343
39,0.07048200257122517,0.07254973612725735
40,0.07470691949129105,0.07309545762836933
41,0.07382821291685104,0.07307135034352541
42,0.07401788234710693,0.0699569396674633
43,0.07324759662151337,0.06928792595863342
44,0.07351387105882168,0.07660824060440063
45,0.07262223400175571,0.07362841069698334
46,0.07203441672027111,0.06857558526098728
47,0.07620387710630894,0.07274788059294224
48,0.06936286389827728,0.06588461436331272
49,0.07556943967938423,0.0700166542083025
50,0.0761861801147461,0.07018132414668798
51,0.07436337135732174,0.06893656961619854
52,0.07528473064303398,0.0691437367349863
53,0.07997201383113861,0.06988761760294437
54,0.07140271551907063,0.06667004711925983
55,0.07157761137932539,0.07373561523854733
56,0.07516965828835964,0.0674769002944231
57,0.07873397693037987,0.07286074757575989
58,0.07323431596159935,0.07072262093424797
59,0.07539993152022362,0.07408625073730946
60,0.07179462350904942,0.07096942327916622
61,0.07541107200086117,0.07035766169428825
62,0.07629339955747128,0.0745677100494504
63,0.06910047680139542,0.0707944966852665
64,0.07460022903978825,0.06547532603144646
65,0.07631732150912285,0.06941379234194756
66,0.07138305716216564,0.07012070156633854
67,0.07629750296473503,0.07162733934819698
68,0.07720712572336197,0.07279255241155624
69,0.07459934242069721,0.06960793770849705
70,0.07610145211219788,0.07957667484879494
71,0.07061618845909834,0.07101423665881157
72,0.07101653143763542,0.07527047023177147
73,0.07194529287517071,0.08327760361135006
74,0.07656659185886383,0.07151087559759617
75,0.07943973504006863,0.07152388617396355
76,0.08631329610943794,0.0780942551791668
77,0.07449894584715366,0.07150374446064234
78,0.08400231972336769,0.07648681942373514
79,0.08226857334375381,0.08031358383595943
80,0.08234682492911816,0.07413476333022118
81,0.08453820087015629,0.08027264103293419
82,0.07817166671156883,0.07131964899599552
83,0.08609068021178246,0.07963911257684231
84,0.08027185685932636,0.07467711716890335
85,0.08750134333968163,0.07546206004917622
86,0.08606518059968948,0.0779257956892252
87,0.0838239025324583,0.0748343737795949
88,0.08373554423451424,0.07445645704865456
89,0.08404017612338066,0.07862252369523048
90,0.08617101982235909,0.0756317675113678
91,0.09308343753218652,0.07803119532763958
92,0.08221533708274364,0.07594830170273781
93,0.07852332852780819,0.07690298929810524
94,0.08037121035158634,0.07639600709080696
95,0.09111700393259524,0.08110476471483707
96,0.08179864473640919,0.07625694945454597
97,0.08898006938397884,0.0802782904356718
98,0.09193706139922142,0.08105507865548134
99,0.08028898201882839,0.07657757587730885
100,0.08102938905358315,0.0766056589782238
101,0.07851662673056126,0.07697802409529686
102,0.08654678054153919,0.08099722489714622
