step,deepseek1.5b_sync_8gpu_entadapt_initial_lr1e-5-actor/pg_loss_step,deepseek1.5b_sync_8gpu_entadapt_lr1e-5-actor/pg_loss_step
1,0.01857721811029478,-0.008575054866014398
2,-0.01385276277869707,-0.046336955718288664
3,-0.015405350030050611,-0.010844216237728688
4,-0.04631823584350059,-0.044241412385872536
5,-0.08678011392657936,-0.0910308837392222
6,-0.07366924045913947,-0.11828902142588048
7,-0.0886042823894968,-0.0951254974661424
8,-0.07871609129506396,-0.0425589924925589
9,0.024501626950950595,0.003989170018030563
10,0.04384500733704044,0.05209142769672326
11,-0.037204606938303186,-0.0440133937754581
12,-0.029738794078184583,0.03398237514556968
13,0.06949286904819019,0.07083230349599035
14,-0.014249953389743553,0.1232541485890124
15,0.09577639645453928,0.08777707106310118
16,0.062024282897255034,0.0734030537118997
17,0.05608820580960128,0.03644787499297309
18,0.047713723266497254,0.08300341963877145
19,0.10094170741012932,0.10213473645171688
20,0.04359251160076383,0.013421530641441136
21,0.039170488036006645,0.05835769319037354
22,0.043463328350071606,0.06136458692708402
23,0.032395258444239516,0.040225784312497126
24,0.06276415705087857,0.02741200193668192
25,0.040163857146239934,0.04970233129824919
26,0.08640145399112953,0.02117927680592402
27,0.012836841496209672,0.0263374539626966
28,0.058661195065724314,0.041068241167067754
29,0.06096146113395662,0.02787606501033224
30,0.03770884702475996,0.004264108593815763
31,0.0720960208964243,0.04888817910978105
32,0.0932701521026047,0.07619274175340252
33,0.03600142669711204,0.03225823077855239
34,0.06831363303535909,0.05565881864504263
35,0.04986524205378373,0.047357670357087045
36,0.06082588853769266,0.050444295766283176
37,0.0310452551157141,0.03342346949534658
38,0.01661078000688576,0.03207337661953602
39,0.018473429553750975,0.06681472435138858
40,0.02022123269853182,0.03133716351476323
41,0.07544182921265019,0.07435012814676156
42,0.08729510129433038,0.04459467371998471
43,0.07984471705594842,0.0596259931107852
44,0.04997016378547414,0.03588331405671852
45,0.06454635347472504,0.02034456549472452
46,0.0024380449240197777,-0.0014385529993887758
47,0.05717321800057107,0.0542346299998826
48,0.03646477864697317,0.021376227487508004
49,0.026953546454478783,0.029437901891469664
50,0.04463740243397751,0.035558691510232165
51,0.03571578380342544,0.021293085959769087
52,0.039173930666947854,0.05422944821839337
53,0.009382160649124671,0.02091352488332632
54,0.06014894929649017,0.04932832184204017
55,0.03340599878356443,0.037776126262542675
56,0.014289921558884087,0.041015395462181914
57,0.040475544096807425,0.0604205723789164
58,0.0257701726641244,0.06656162412036792
59,0.0464134740514055,0.04219731447801678
60,0.03600140552634912,0.03013215145006143
61,0.032260262421914376,0.07471710642585094
62,0.03231389580105315,0.01177449447550316
63,0.03214355619275011,0.03931135699349397
64,0.02048643545640516,0.03886245251669607
65,0.021691256786652957,0.025088718994084047
66,0.03706416736986285,0.04110158710039968
67,0.004341517927969107,0.03784722142461305
68,0.020137938430707436,0.04618268544527382
69,0.0417563614764731,0.06752521583075577
70,0.026073333508975335,0.017270723859382997
71,0.02187079851864837,0.02913481284667796
72,0.041496307459965465,0.04552141764725093
73,0.06892602811149118,0.026515633960116247
74,0.010540274881691404,0.08155035349045647
75,0.07201003670434147,0.04428084094570295
76,0.05177255728813179,0.017202211461153638
77,0.06667783392913407,0.03634104556476814
78,0.0155584719923354,0.07282623758555928
79,0.02516585805824434,0.05326701745434548
80,0.03906055891070537,0.020162364940006228
81,0.01299399386425648,0.05151281464350177
82,0.08946088821585363,0.04440619502111076
83,0.0624991152894836,0.04815478898717629
84,0.034794230272382265,0.03562280930009365
85,0.07419145344874778,0.09489249744547124
86,0.03250646474043606,0.0432126367904857
87,0.015000843984466885,0.06861523355019017
88,0.06506880989581987,0.068622951494973
89,0.0343991047803911,0.0484093018767453
90,0.04754390948073706,0.03873674563874374
91,0.10097114815289387,0.03099386175563268
92,0.0011765037834265968,0.017466145160142332
93,0.07418028477559346,0.06194174023676169
94,0.0018033128080219285,0.04939574734726193
95,0.04828707529577514,0.0709310430079313
96,0.055300904152773,0.06434119046252817
97,0.03219180777523434,0.06118066102044395
98,0.04323615067801256,0.021462021741172062
99,0.057422455404775974,0.06186591346590831
100,0.026616888199896493,0.04151334236667026
101,0.03454252544452174,0.05000848804047564
102,0.04055129834841864,0.05033813310183177
103,0.0622212131197557,0.019929021927055143
104,0.04862729581509484,0.06842100380617921
105,0.04532175721033127,0.06967571241148107
106,0.015889515693743306,0.0521513015646633
107,0.06969442256649927,0.05217717315827031
108,0.024315653623489197,0.06365724553870677
109,0.08520665930709015,0.014880307357088896
110,0.03585227220833076,0.022830428766610567
111,0.04094423384549373,0.034447516525688116
112,0.11869763526510724,0.027855086289491737
113,-0.0045908310003142105,0.025427247081324825
114,0.04590039769982468,0.06557466139565804
115,0.05140499714980251,0.06169181132463564
116,0.060551681977358385,0.01823597114344011
117,0.046115914192341734,0.03821713535126037
118,0.04325130061852178,0.002558719565058709
119,0.05871508076052123,0.021741108343121596
120,0.05164011717761241,0.016681622966643772
121,0.03926880012295442,0.08533258555635825
122,0.04850142763552867,0.036483672867689165
123,0.06213800969999283,0.06185188553899934
124,0.05416579143366107,0.041255246513173915
125,0.0475640467084304,0.01046522244450898
126,0.00875230479050515,-0.005578281503403559
127,0.06933297652722104,0.035650283970426244
128,0.0442869537309889,-0.008814280372916983
129,0.03480684243641008,0.010519434347770584
130,0.005588487163549871,-0.009814845141590922
131,0.027095798883237876,0.05344319720461499
132,0.04619777489688204,0.02005171079633783
133,0.057579651956075395,0.020439692456420744
134,0.014548061625646367,0.05888412403874099
135,0.02555825475610618,0.03402319791530317
136,0.027501742176355037,0.013114211791162234
137,0.02547450734709855,0.030892935265001142
138,0.020920785780617734,0.04748604602900741
139,0.011435599888500292,0.0023749776346448925
140,0.025051627637822097,-0.0036421546607243727
