step,deepseek1.5b_sync_8gpu_entadapt_initial_lr1e-5-actor/pg_clipfrac_step,deepseek1.5b_sync_8gpu_entadapt_lr1e-5-actor/pg_clipfrac_step
1,0.0001347222467157652,0.00013930737527882502
2,0.00012428449468129458,0.0001287060924975473
3,0.00013745425885745036,0.00011852084343855084
4,0.00018876111650126064,0.00016955530157728764
5,0.00024009408776668375,0.00027137801645267247
6,0.00035892779725807844,0.0004893745232571169
7,0.0006432985735620221,0.00040669548326676655
8,0.0003754983493611993,0.000372153776723394
9,0.000566392478195682,0.0004581138062868767
10,0.0006203327022752812,0.0005563881848222362
11,0.0007462659357095676,0.000784076656506433
12,0.000995477617925644,0.0006430836656185349
13,0.0010881278490160184,0.0008514165717445264
14,0.0009528141191349636,0.0006726620573441654
15,0.0007613775598542816,0.0006138227313602416
16,0.0008041796149289281,0.0005658047912220354
17,0.0008878846379668009,0.000773019142548037
18,0.0008711152989917537,0.0008043138893873746
19,0.0007569082050597192,0.000975104691838169
20,0.0009231447536313638,0.0009988817174189535
21,0.0006309963959304299,0.0012993915645558062
22,0.000818778175739564,0.0013512675931869544
23,0.0006200478453870235,0.0009247544802220592
24,0.0006131942490068659,0.00094932954468479
25,0.0005410980440118643,0.0007355659208291112
26,0.0005209080825629715,0.0006193388667031143
27,0.000436346850035209,0.0007012677749571594
28,0.0005671458578122145,0.0006305048156998684
29,0.000611738748786939,0.0005823718416790003
30,0.000603581034565217,0.0005827037939968981
31,0.0005880849336487397,0.000570453649591703
32,0.0008344583807878994,0.0006166639757286121
33,0.0007272740664943523,0.0006024681186621212
34,0.0006382578772856851,0.0006361942391127481
35,0.0006448860776799847,0.0006779281091959482
36,0.0006260043814701169,0.0006892441313031541
37,0.0006636787725938121,0.0008173871850929226
38,0.0007157377440547095,0.0007038535906375679
39,0.0005513867440973494,0.0008634016985091702
40,0.0006485096702164857,0.0007032647098867528
41,0.0006453298350740025,0.0006771936857215379
42,0.0007374783552561069,0.000880531993357181
43,0.000851643669999579,0.0008609098002391586
44,0.0006339816726332564,0.0009678125380560232
45,0.0006759747646728183,0.0010857662581483531
46,0.0006093598746324794,0.0007671041453704674
47,0.000713380642582706,0.0009291346402051204
48,0.0006615409645519322,0.0008590257256844034
49,0.0008900119365307547,0.0007505076748601845
50,0.0008146043296140928,0.0010216498498721194
51,0.0007394971431303451,0.0009289717886648036
52,0.0007214680981872477,0.0009920146791869012
53,0.0009484726132051528,0.0010557103410064883
54,0.0008092128074104251,0.0010095459543836547
55,0.0007408184810850709,0.0009960556402845776
56,0.0006944718710699471,0.0009722664805113232
57,0.0007223657068942358,0.0010102417674943353
58,0.0006891043589824957,0.0012136711949373737
59,0.0009102862719113804,0.0011960096053164968
60,0.0007655435867188013,0.001162160182610976
61,0.0008020962443197276,0.0010629058312009545
62,0.0007699985149834853,0.0011976267010380213
63,0.0007543675263533306,0.001095964387808462
64,0.0006141427819683384,0.0010252986858410086
65,0.0008396158303021833,0.0009875831739874427
66,0.0008699768792259994,0.0011903565314696609
67,0.000686751304923606,0.0011117449780945984
68,0.0009332266206815564,0.0011367465495631657
69,0.0007079397877078009,0.0012041003185004227
70,0.0007722253506926791,0.0014848234473710791
71,0.0006862002597699757,0.0013485689380559052
72,0.0008131959747981633,0.001710839414090515
73,0.0007629441090784895,0.0018739901283161568
74,0.0008947215776407532,0.0015057383171575242
75,0.0008283398084088168,0.0011936968417342686
76,0.0010144787438104864,0.0012191368577754102
77,0.0010699461923390375,0.0011671652708909756
78,0.0009809815162822946,0.0013968979843722502
79,0.001092124185951044,0.0016149022605878556
80,0.000949608253947753,0.0014793817484436054
81,0.0008737809224374697,0.001417803706837211
82,0.0009326323807704838,0.0012191434844226023
83,0.000985307408793632,0.001314397741225548
84,0.0011342173447701498,0.0012648990396883163
85,0.0009967245162962562,0.0013384519349983748
86,0.0013272533180725076,0.0013096064082371108
